,comentario,liguagem
0,Miley should do more songs in this country vibe mixed with pop music more often. She was born to sing this kind of musical style.,en
1,It's been 4 years but nothing's gonna stop me from listening to this masterpiece on repeat,en
2,"I thought this song was new. Nope. I’m 4 years late to the party. 

Can’t get it out of my head. Incredible tune.",en
3,"Ainda não consigo entender como uma obra de arte dessa não tem 1 Bilhão de visualizações, essa música é ridiculamente perfeita.",pt
4,I don’t understand why this song didn’t do better. It’s my fav she has ever done.  ️,en
5,Ela tem uma voz incomparável ,pt
6,Mark Ronson always finds the vibe of the artist. Never disappoints.,en
7,I love the symbolism of Miley being graceful and composed during the midst of a car wreck. As a newly single mom I can relate to having to stay composed and poised and strong while your life as you know it falls apart around you,en
8,Just cant get enough of this song. ,en
9,The tone of her voice is so damn warm. My heart warms up every time it hears her sing!,en
10,This song really is so honest and hits a nerve. I only came across it last year although I see now that it came out in 2018 already. It is n masterpiece which I listen on repeat almost daily,en
11,"Never was a fan of miley, but her voice in this song is just so deep...",en
12,"This is as good as my grandmother's lullaby, no one ever fell asleep when she told it. and we all devoured her other stories to listen to and relive. Fantastic music and song and Miley is on top.",en
13,"Such a good song. I'm so surprised I found this by chance, not every 5min on the radio top ten.
Seriously, such a good song. Miley you are a Queen. ",en
14,Here I am 4 yrs later still admiring Miley's amazing vocal with Ronson's beautiful arrangement. Just amazing.,en
15,"I remember how in the summer, this song always played on my radio every time I went to the beach. Pure nostalgia. ",en
16,The song is just perfect in every way. The visualisation is so good ,en
17,Adoro essa música ,pt
18,"Lyrics
This world can hurt you
It cuts you deep and leaves a scar
Things fall apart, but nothing breaks like a heart",en
19,I love this song! It is one of my favorites :) ,en
20,Embarrassed to say that I’ve only this week found this track. It’s absolutely brilliant and has been on repeat ever since,en
21,I usually don't listen to Miley Cyrus or similar but this song is something else and I don't know why I love it... am I wrong?,en
22,This one is a pure masterpiece. Miley is so good at what she does.,en
23,Sounds even better in person than edited in the studio,en
24,"Hino, hino, e sempre sera um Hino!",pt
25,"You can play this song many times, you'll feel always the same.",en
26,One of my all time faves!,en
27,"I honestly love this song, I was never a big fan of Miley but this is super good!",en
28,Stumbles upon this and cried my eyes out. Great song.  Healing can be tough. Be blessed everyone,en
29,I love her voice ,en
30,One of her best songs by far!,en
31,Love the sound of her voice  This song needs to have more verses so it goes on about 10-15 minutes .  Then on repeat!,en
32,Miley is really a talent of pop music. She was born to sing this kind of musical style. Her voice in this song is just so deep...,en
33,Idk HOW this song did NOT even come close to hitting #1 ?!?!? This song is AMAZING!!!  ,en
34,Man I just love her songs . Long live Miley ... ️️️️,en
35,"Miley Cyrus, I was never a fan until I heard this song. You are an amazing singer and I wish you nothing but growth in your new life.",en
36,Another great song by Miley. Man if she had a greatest hits album that thing would have so many bangers and such a diverse sounds throughout the album with so many different kinds of songs. She can sing In any genre and has proved that throughout the years. I may not see her in concert or buy her albums but I respect her talent and her amazing voice and I do happen to like many of her songs just not a whole single album lol,en
37,This is my most favorite right now! ️,en
38,"LYRICS
[Chorus: Miley Cyrus]
This world can hurt you
It cuts you deep and leaves a scar",en
39,love this song!!,en
40,perfeição de música sem palavras para descrever!!,pt
41,Miley's voice carries a brass of emotion no one could ever duplicate! Once in a lifetime type of voice ️,en
42,This song has stuck in my mind recently and keeps repeat itself. I can't take its rhythm out of my mind.,en
43,This video is so poignant. People have focused on and criticized Miley her entire career and meanwhile things fall apart in the world. She's always said that people need to stop worrying about her and focus on issues that matter. #MileyIsBack,en
44,Her voice is striking and unforgettable ,en
45,"What a piece of heaven 
Perfectly rhythmic 
The most synchronized I heard 
The beat all worked very smoothly",en
46,I like the music this girl is making. I hope she continues and is successful for many years to come.,en
47,Finally a song that touches my core and speaks on deep concepts. This world is truly messed up in many ways. Well done Miley️,en
48,I recently heard this song and am so into it,en
49,Beautiful voice and awesome song!!!!,en
50,Arguably one of the best pop songs over the last 20 years,en
51,Love this Song ️,en
52,This song is masterpiece ,en
53,"She killed it with this song. The music, vocals... I wasn't much of a fan, but you sold this one Miley!",en
54,An electronic voice. Love her style.,en
55,Esto es música para mis oídos ,pt
56,Just love it ,en
57,Just found this song and now I can't stop playing.,en
58,Love that she's getting back to her roots. She's becoming such an amazing woman ️,en
59,This song has been playing in my head all week.,en
