,comentario,liguagem
0,Hope y'all enjoy this one ,en
1,"I can listen to this song for a whole day and not do anything else, this combo of Marshmello and Khalid are taking it to another level!",en
2,Marshmello always killing it with whoever he collabs with. This one just takes number 1! It's so addictive,en
3,I heard this song on the radio at work and finally I found it. Keep up with the nice and nostalgic songs,en
4,"Marshmello and Khalid never disappoints.
Silence is my most favorite song of all time. 
Silence was kinda dark but this one has more chill and summer vibes ",en
5,"The feeling of listening to this on repeat while running out a mountain ridge, skipping over rocks and roots, and passing people and waving, is indescribable. The best high I’ve ever had",en
6,essa música tem uma vibe tão positiva. Linda.,pt
7,"Listening to this makes me feel like I'm traveling to another world, and I love it",en
8,I love it  keep up the good work ️️️,en
9,Bro your song giving us lots of vibes amazing work subscribe to you amazing ,en
10,Amazing music amazing beats just love it so much keep doing your thing!!,en
11,I love to tune in all the collaborations of Marshmello & Khalid <3,en
12,Loved it !! Keep it up ,en
13,Marshmello and Khalid together again to give us an amazing wonderful song to play on repeat and I'm definitely putting this on my playlist. I can't wait for more to come from you Mello. Have Great day/night wherever it is for you guys.,en
14,"I love it,it is so cool   i dont think i need to say why its amazing, it is displayed right here,keep up the good work.",en
15,Que vibe boa nessa música ,pt
16,"This is good music! Most of today’s hip hop is complete garbage, but you keep turning hits! You’re an amazing composer!",en
17,This song is absolutely amazing. The fact this explains how so many people feel right now definitely lets me know I'm not alone. This is gonna be my 2022-2023 Anthem for sure ...,en
18,Love it ,en
19,Marshmallow knows how to make you feel nostalgic and a party freak at the same time ! The beats and the rhythm just makes it up so wholesome a feeling ️,en
20,LOVE THIS SONG !! IT ALWAYS PUT'S ME IN A GOOD MOOD !!!!,en
21,Just heard this on radio and love it.  Can't stop listening to it now... 5th time in less then 15.  Ran in house to pump it.  I just wanna get numb.,en
22,"I love this song! The beat, the lyrics, Marshmello and Khalid are the perfection. This video should have waaayyyy more views. ️",en
23,"Marshmello é foda, todas que faz é gostoso de ouvir",pt
24,"Finally, a music video that I can enjoy!
Thank you guys for the song and video, you rock!",en
25,"Khalid is one of the few pop artists that always catch my attention, nice summer jam guys ",en
26,Love it!! One of my favorite songs in the last couple years thats come out....needed one like this!! Its perfect!! ,en
27,Marshmello and Khalid are one of the best combos in the music industry,en
28,"I love this one! I'm so glad I finally found it , becauseI was always listening it to the radio.",en
29,"Amazing, upbeat song. I listen to it multiple times a day",en
30,Just heard it yesterday and now I got her on repeattt!!!!! ️️,en
31,"True Fact: Everyone agrees that Marshmello is not just a DJ or music producer, but he is MULTI TALENT!!!",en
32,Loving it ,en
33,Beautiful song man… I’m listening daily many times… soothing ,en
34,Too nice....automatically you feel yourself moving to the lovely beats. ,en
35,"heard this while listenin to other songs on spotify - love it <3 keep it up marshmello!! love ur music - khalid also nailed it with the voice for the lyrics, makes a perfect song",en
36,It's not only about the lyrics it's about the vibes,en
37,Very infectious tune here & would sound fantastic on a high powered sound system for sure! A summertime tune! ,en
38,Loved it ,en
39,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
40,I love your music keep up the good work,en
41,"Numb Lyrics

[Chorus]
I, I wanna get numb",en
42,Love this song ♡,en
43,Masterpiece! Can't believe this doesn't have more views.,en
44,"Man this is masterpiece.
  Just close your eyes and feel it!!!",en
45,Just found this gem and I’ll never find another new song because this is the ONLY thing I listen to now ,en
46,I heard this song and started dancing and it changed my mood. This is how much good this song is.,en
47,"I don’t really want to get numb, but I can’t stop thinking about this song and replaying it. It gives me the greatest sense of elation, that life is good and everything is going to work out in god’s timing",en
48,Love it ️,en
49,Nice one ,en
50,very good this song and video ,en
51,Top,en
52,"The song we all needed to hear, u never fail to amaze me. Your songs literally project me to a different dimension. 
thank you Khalid and Marshmello",en
53,One of my favorite songs. It is catchy. Thank you for making this song. I love it.,en
54,Apenas um replay infinito...,en
55,This song rocks. From Marshmello’s production to Khalid bringing usual awesome vocals but also switching up the feel of things makes this the perfect summer bop!,en
56,Thank you so much for this song! It cheeres me up every day!,en
57,AMAZING SONG!! I AM DANCING TO IT EVERY DAY! Congratulations  on your success !,en
58,How many of you have heard this song over 1000 times and still think it’s one of his best songs.  Love the lyrics and the beat and everything. ,en
59,Love it so much one of my FAVORITE SONGS! ,en
60,His music always hypes me up love it,en
61,"Música perfeita, direto para os favoritos do Spotify, tinha q ser do meu música favorita",pt
