,comentario,liguagem
0,"My new album SHOCKWAVE is out now: https://marshmello.ffm.to/shockwave
Download the Mellogang App: https://marshmello.ffm.to/mellogang
Official Marshmello Merch: https://marshmello.ffm.to/shop",en
1,"We don't search for old songs,
We search for old memories.",en
2,This song may be 7 years old. But for us it never gets old. He's truly a masterpiece,en
3,Marshmallow truly makes masterpieces,en
4,I love this song since I was 9 years old I'm a big fan of yours man time went by so fast it seems like yesterday I heard this song for the first time,en
5,7 years later this song is still a masterpiece,en
6,It’s impossible to forget this wonderful song. the Vibes it makes you feel while listening to this song are too good that you can’t stop listening to it.,en
7,6 years later and this song still hits different. Truly a masterpiece.,en
8,"Marshmello is such a big motivator to me, he's one of the main reasons why I started making music and he's the reason why after a year of thinking I should give up, I'm back again! Thank you and I hope to be as great as him one day, it would be a dream come true ️",en
9,Fazia tanto tempo que não escutava essa música...bom voltar,pt
10,amo suas musicas,pt
11,"As a little kid I never thought I’d actually relate to this song the way I do now, thank you Marshmello for all of the beautiful memories you helped us make through your music",en
12,You are my favorite music artist! This song is masterpiece!,en
13,"As a little kid l never thought I'd actually relate to this song the way I do now, thank you Marshmallo for all of the beautiful memories you helped us make thought your music .",en
14,"Many years have passed since I first heard this song, and it never gets old.",en
15,"Only a select few songs can give me goosebumps, this is one of them.",en
16,"God, I miss listening to his songs.. the last time I listened to this one was YEARS ago! It’s still a masterpiece imo. ️",en
17,Still can't believe this song introduces me to the electronic genre when it first came out. Crazy times,en
18,Six years later and it's still a timeless masterpiece.,en
19,"Quando eu tinha 6 anos, eu escutava essa musica o dia todo, era escutando e chorando ao mesmo tempo ques momentos fodas velho.",pt
20,Para as futuras gerações não deixem essa obra prima morrer ️,pt
21,6 anos e essa música continua sendo incrivel,pt
22,First time listening to the full version and this is so amazing and awesome,en
23,This song never gets old!,en
24,Para mi esta musica no pasará de moda 7w7,pt
25,6 anos é ainda continuar perfeito,pt
26,Essa música é muito boa parabéns cara,pt
27,I can play this song all day:),en
28,Ainda ouço essa obra prima ,pt
29,"This song was such a vibe for me back in 2018, great memories",en
30,"My brother played this on our TV two years ago and it has been my favourite marshmello song since then It's 2023 an I'm still listening to this masterpiece, can't believe it's 6 years old",en
31,Love your content man... Keep it up!!,en
32,Till this day this song is still a masterpiece ,en
33,Nostalgia Hitting Hard after 7 years,en
34,"I remember listening to that in high school five years ago. Lord, time flies so fast. So much has changed since then, and it's even a little painful to find such forgotten songs.",en
35,"Coming back for some of that 2016 nostalgia
and I love every part of it ",en
36,A melhor de todas,pt
37,Essa música me dá nostalgia e boas memórias,pt
38,2023 essa musica sempre para tudo onde toca e sempre chama atençao.   BRASIL,pt
39,Um hino mundial,pt
40,When friends are like supportive then what was left with him ,en
41,4 years later and this song is still amazing,en
