,comentario,liguagem
0,"I swear, this is one of the coolest music videos",en
1,"This song NEVER gets old!  One of his best, 14 yrs after his death its still a popular song across radio & 
social media!  RIP MJ",en
2,Gênio,pt
3,"Michael era muito fora da curva o cara é, foi, e sempre vai ser o melhor",pt
4,This mans career is never going to die,en
5,We have to get this beautiful masterpiece to 1 billion views.,en
6,This song is so awesome!! It does not even feel like it was made around 40 years old!! if it got released again right now it would be one of the most trending songs if not the most!! I saw Michael Jackson first time and this showed up and can not leave a day without listening it!!,en
7,"In 42 years of life on this earth, I have never heard anything like Michael's music, and I don't think it's possible that anyone could ever create something like this ever again. The man was an absolute gem and a musical genius.",en
8,Anybody here like me who just got a random Feeling to Listen to Michael Jackson?,en
9,REI DO POP,pt
10,"Cant be a day in my life without hearing his song, especially whenever I am down, his songs boost me like anything....miss you a lot MJ......",en
11,2022 and this song is Still fire! His songs will be here for the future generations!,en
12,essa e a minha musica preferida,pt
13,Até hoje estamos aqui ele é uma lenda ,pt
14,I feel so blessed that I got to see him perform live in 1988 during the Bad tour. I was only twelve but I remember everything about that concert. It was honestly the most amazing show. I have been to so many concerts and shows in my lifetime. I am now forty-six and this one was by far the most magical. Nothing will ever come close. To say I miss my childhood and the '80s doesn't even express one billionth of it. ,en
15,"Esse ser humano realmente existiu? É loucura acreditar, ele estava tão a frente de seu tempo, tão a frente dos demais. O artista perfeito.",pt
16,"Making a music video like this right now is almost impossible.. All the dancers connect so well to the rhythm.
Like having people playing those instruments, those sitting while moving to the rhythm, those acting even while dancing, those fighting, those gambling, the ones playing snookers too, let's not forget the ballet dance part. Everybody in the club is just participating or involved in one thing. Also having a stage to perform where there is a microphone for you to sing, there is a spot light too. Having a place like brothel where MJ's money was stolen by one of the girls. So many",en
17,Lendas como Michael Jackson nunca morrerá porque ele é O Eterno Rei do Pop ele sempre será nunca vai deixar de ser O Rei Do Pop eterno Rei do Pop para sempre,pt
18,"Esse cara é incrível,as músicas dele me dão um sentimento que não encontro em mais nenhum artista de hoje em dia ,ETERNO MICHAEL REI DO POP ",pt
19,"esse vídeo é uma obra prima, patrimônio do youtube",pt
20,I mean who can watch this and dislike it and thumbs down. It's bizarre. It's the best music video of all time with Thriller.,en
21,The greatest! How many years later and it’s still feels fresh. RIP to the greatest who ever did it!,en
22,Só uma palavra pra descrever os movimentos suaves de Michael: ELEGÂNCIA,pt
23,I miss him so much . He changed the music industry. He will always be a Legend ,en
24,"Cara com toda sinceridade. Me respondam uma coisa , como explicar esse ser chamado Michael Jackson ? Insano cara. Que Privilégio de poder ver a onra de ver essas obra primas que são suas músicas e sua coreografia.. gênio da música. Simplesmente o rei do pop. ️",pt
