,comentario,liguagem
0,"What we have learned:
1. Don’t interrupt Ethan in the bathroom 
2. Don’t interrupt Vic in a hookup session             3. Don’t take Thomas’s cigarette",en
1,Many years ego I saw them playing in a street of Rome. They were babies. Now they are global stars. Our pride! 100% italians! 100% romans.,en
2,I wanna personally thank Maneskin for bringing the Rock back in the music scene.,en
3,"At the moment, Maneskin are the best young band around in the world. They sing and play with their soul, the lyrics of their Italian songs are poetic, profound, smart, fresh, thought-provoking, their English songs are full of energy and life, they are gorgeous, veeery young, humble, fun, polite and their glam rock style is a delight for the eyes.... what's not to like about them?",en
4,"Estou absolutamente viciada em maneskin,  não tem 1 música ruim.",pt
5,This band is gonna become so big around the world. Only to know this is just the beginning for them.,en
6,"I'm an American who grew up with MTV in the 80s.... THIS brings back what a rock video should be ... cool, mysterious, under budget, hilarious and sometimes shocking.  Just rocks!  Thanks!",en
7,How have I never heard of this band before? This was awesome. Time to fall down a Maneskin rabbit hole.,en
8,"Finally, Mammamia has reached 100.000.000 streams on Spotify. Another big achievement for these guys! I'm so proud of them!",en
9,Absolutely obsessed with Vic. Everything she does is mesmerizing,en
10,I'm going to learn Italian for this band. Just so I can sing their songs at their gigs!  Love 'em,en
11,"I can only hope next year's Eurovision will give us artists half as good as these guys


Edit: yeah yeah this aged badly. Though actually if we take 'half as good as maneskin' literally it still works",en
12,"I think one other thing worth mentioning is that their music not only connects people all over the world but also a ton of different generations, I can see comments from people my parents age and I'm 36, and I have 3 teenage daughters who love their music  just an all around amazing band, and I can't wait to see how many great places they go, and I love Rush ",en
13,"Honestly, I love Damiano's face when he finds Victoria. Dude's just happy to see his friend.",en
14,Eu não sou roqueira mais amo muito eles as músicas deles são tão boas e maravilhosas,pt
15,É... Não tem pra ninguém não !!! Essa é a melhor banda dos últimos tempos !!! Perfeição !!! ️,pt
16,"Not a Måneskin fan per say... yet. I'm a big rock fan, KISS and Mötley Crüe fan, really, but Måneskin's songs are actually pretty good. Growing my taste for them; this is why rock never dies...",en
17,"the music, the costumes, the crime scene words and the lyrics. They are perfectly in sync, which makes it a great song. IT'S FUCKING HOT",en
18,Muito feliz de ter conhecido a banda. Tudo que ouvi deles é bom!,pt
19,"This band will become even more famous than now, i really see a very great future for these young people!!",en
20,O rock respira com essa banda,pt
