,comentario,liguagem
0,I love how Måneskin is still popular after their Eurovision win! They are still dropping fire music to this day!,en
1,Am I the only one who loves the fact they listed EVERYONE in the production of the video? That’s incredible!,en
2,"You gotta give Victoria some credit she is a absolutely amazing bassist, my friend plays bass in our band and is constantly saying they want to be as good as her one day no surprise there because she is absolutely amazing.",en
3,"the lead singer is amazing with vocals, and the song is fireee. wow great job to this band",en
4,"Their music makes you feel alive, ready both for danger and safety. It makes you both excited and somehow peaceful... Idk but I love their style! Also I would be really glad if they keep singing in Italian.",en
5,"Besides the song being an absolute banger, can we please appreciate the creativity and dark humour sprinkled on top of all of their music videos? The script is always so weird, yet fun and new, I don't think we'll see them fall into the bucket of boring videography trends.",en
6,"Eu ouvi essa música na rádio local recentemente e logo reconheci a voz do Damiano, ele com certeza daqui uns anos vai se tornar tão inconfundível que todos vão saber que é ele que está cantando. Essa banda tem uma qualidade enorme ",pt
7,This song is so good. The chord progressions and melody are so catchy,en
8,They’re amazing and finally recognized for their talent.  They’re a fresh breath in a long current stale musical scene. That being said. Can we shoot for a 50/50 Italian/English mix at all times !,en
9,"This song is an absolute hit. It's impossible to stop listening. 
Keep it up guys, you are so talented.Love you",en
10,"eu não consigo parar de escutar esse música, boa demais",pt
11,Amo a voz do vocalista ela perfeita pro rock ele realmente nasceu pra ser cantor.,pt
12,I never get concert tickets unless a friend asks me. Måneskin is the first band that made me proactively order a ticket. Can't wait to see you guys in December!,en
13,"O mundo é de vocês, Maneskin!! Só não se deixem corromper por ele e sejam felizes!! SUCESSO!! O Rock precisava dessa ressurgida triunfal!! Uma banda rockstar!!",pt
14,"Absolutely popular opinion: they should
Never stop singing in ITALIAN ( but Also in English)🇮🇹",en
15,I can't get enough of this song or this band ️,en
16,O melhor que tocou no rock in rio com toda certeza,pt
17,"Your music videos are always so upbeat , creative and interesting",en
18,"é isso que gosto no rock roll, a provocação,  ha muito tempo nao via uma banda como essa,  parabens, continuem com o otimo trabalho, e venham fazer um show na minha cidade Goiânia-Goiás-Brasil",pt
19,This is definitely Maneskin era. One of the best band on the field.  They're so talented and deserve to be heard.,en
20,This band is badass. Love it.,en
21,Guys! We need more songs like this ! Peace from Poland ️,en
22,"It’s so heartwarming seeing all the possible countries and nationalities here, may I note IN COMPLETELY DIFFERENT TIME ZONES, waiting for the premiere… Rock and Roll never dies you people ️",en
23,"I'm Italy, I live in Italy.  I discovered this song now I had heard it on television I was singing the chorus with my daughter.  I didn't think it was them.  this song is something extraordinary.  They are pure rock talents.  they deserve so much.  Italian pride.",en
24,Como eu amo essa banda!!! Isso que é rock de verdade!!,pt
25,Idc if Måneskin is singing italy or english the songs always sounds so good they are doing so good job!,en
26,if this isnt gonna be the most iconic thing ever i dont know what is.,en
27,"adorei mano, ficou show demais o clipe",pt
28,"I like Maneskin so much. Damiano is outstanding singer, and all of them together are making one perfect pack. I would like to see new video with serious theme to follow words, it would give whole new vibes watching and listening.",en
29,Every song they release is better than the previous ones. How can this be? Amazing!,en
30,"I'm going to be honest, at first I didn't like this song, but the more I hear it, the more I LOVE it!",en
31,Literally EVERY song they drop is such a masterpiece. I really hope they'll just continue with what they're doing!!! :),en
32,Banda boa demais,pt
33,"Banda FODA pra caralho, tem que ter no RIR toda edição!!",pt
34,They've literally never made a bad song. They never miss,en
35,"This just can't get old!  How many times have I heard this, don't know",en
36,"I love how they're all just waking up after what looks like a fucked night, and Thomas is already up just vibing at the pool",en
37,"I'll be very proud to tell people in the future  that i grew up with this  <3 you maneskin , and remember, ..... 
ROCK AND ROLL NEVER DIES!",en
38,"Måneskin hit the spot once again and you just can't stop listening to it  And there's no denying it, they are the band of our time, our generation right now 
I love them because they are so refreshing, I can't put it any other way. And I'm looking forward to so much more! ",en
39,Amazing:) I adore your voice. Greetings from Ukraine 🇺🇦,en
40,Amo a banda de mais mano,pt
41,Sensacional um verdadeiro som de qualidade ,pt
42,"The most beautiful language is Italian.  It's such a pure language, so melodious, it's honey for the ears.  I set out to learn this language this summer.  I'm jealous of Italians because they have such a beautiful language.  Not to mention the best food in Italy.  The finest language, the finest country, the finest people.  Love from Romania!",en
43,I love their music so much! English or Italian! Either way it's all FIRE!!!!,en
44,"Supermodel has been certified gold in France, Switzerland and Greece. And it's platinum in Italy. Plus, in 5 months, it reached almost 150 mln streams on Spotify!

I like that their new songs continue to be successful!",en
45,Love this Song  Can't stop listening!! ,en
46,Great song and a beautiful clip too!!Bravo ️,en
47,"THIS ITS MY ADDICTION ️️ GREAT SONG I AM 24/7 LISTENED 
I LOVE YOU GUYS ",en
48,This is my first time hearing Maneskin. I'm looking forward to hearing the full album. Good stuff!,en
49,Love the song and the video. Let me say something tho -don't take this the wrong way please. I hope you guys will keep playing authentic songs and feeding us with lyrics in that wonderful expressive language that is Italian. Just that. Keep rocking,en
50,this is my type of music that i love also love the fact that you have an amazing voice!!!,en
51,this band is incredible,en
52,Gosto muito,pt
53,Okay but for real this is a master piece ,en
54,"As a classical musician, I'm usually not that big of a fan of modern music... however, this band is an exception...",en
55,"I love how much funking bass is in this!   Really, it feels like the riff from More Than A Feeling made by the The Red Chilli Peppers but it got taken down to FunkyTown and I just can't put my tounge on why the lead guitar solo is so familiar!",en
56,Two words! MIND BLOWING! I wish you guys get all that you deserve. YOU ARE DEFINITELY THE BEST BAND TO DATE! ️ @therealmaneskin,en
57,"This song is so good!! But guys,  please don’t stop singing in Italian, and never change your musical style for what might be more popular on the entertainment industry (aka the US)!",en
58,"The guitar intro reminds me of smells like teen spirits
These guys really rock!",en
59,Muito bommmmmm,en
60,These guys are great (even to a middle-aged housewife like me).,en
61,THIS IS CRAZY GOOOOOD!!!! I LOVE ITTT WHY ISNT THIS SONG BEING PLAYED EVERYWHERE?!,en
62,"Okay,i fell in love with Maneskin because of their beautiful Italian masterpieces such as Coraline,Vent'anni,and Torna A Casa.Making more catchy pop in English is good and all but i hope they never stopped producing the former just because of their current global superstar status",en
63,Maneskin I love your music soooo much!! Never disappointed!️️,en
64,"Take some of the most famous rock bands in history and go and listen to their first albums. Everyone experimented at the beginning, everyone felt the influence of other artists in some way, many started as a ""cover band"", and many others have become famous after so many years, growing over the years and with them, their lyrics and their music. Give these guys a chance to experiment, make mistakes and try again until they find their way. they are young and have a great desire to do. long live the maneskin",en
65,trop bon ! that voice ! that guitar ! ,en
66,"Lyrics
Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back
When she's upset, she talks to Maury and takes deep breaths",en
67,"I absolutely love your music, in this difficult time it helps me at least a little, but distract from everything that is happening in my country, with love from Ukraine 🇺🇦",en
68,I just want you to know but in France your music still be listening by many french persons and they put it on some radios. You guys are fucking fire mans,en
69,"This song really rocks and hits harder the more I listen to it!!!

I hope they will continue to collaborate with the Pop Geniuses such as Max Martin, Shellback and Dr. Luke...",en
70,"Lyrics:


Alone at parties in a deadly silhouette",en
71,This is amazing!! I love it️‍,en
72,Damiano's vocals keep getting better and better with each passing year! Amazing. It's so clean yet so versatile.,en
73,Love the energy! Keep kicking ass!!,en
74,I love this song,en
75,"The world needs rock'n'roll today. Thanks, Måneskin.",en
76,And now I must see them in concert. Yep.,en
77,"I used to be a fan, but after hearing this masterpiece, I'm a whole air conditioner",en
78,Good job Maneskin! You are so cool. I admire you!,en
79,"I just was introduced to maneskin and I have to say I LOVE what I have seen and heard. I'm so impressed, I can't even......",en
80,"Lyrics:

Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back",en
81,É linda essa musica amei ,pt
82,I voted for this band in last years Eurovision and I’m made up that they’re doing so well.,en
83,Os melhores do rock in rio,pt
84,I love this song ,en
85,"I think it’s so cool how young they are but how successful they are and like, representing their country???? Bro these guys have done such much already and it’s just the beginning",en
86,"I just recently  came across this band and became in love with them....
Love all of them songs up until now...
This new song sounds too generic like most bands lately here in the US.
Really hoping they are not trading their uniqueness for more exposure (fame) outside of Italy....",en
87,This is the best song ever omg this is sooo good lyyy Måneskin ,en
88,"90s kids will totally appreciate this song forever ️️️️
This will be one of the most streamed songs of the 21st century️",en
89,My favourite Italian band,en
90,I don't usually like this kind of music but I actually like this.,en
91,No words can explain their success!!!,en
92,Love this song ,en
93,in some years this band will be huge!!!,en
94,I love this band Maneskin!,en
95,just finished a full binge of their whole discography and am ready for this mv,en
96,Love it,en
97,"Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back
When she's upset, she talks to Maury and takes deep breaths
She's a '90's supermodel, uh-uh-uh",en
98,"for the people in the comments: Måneskin have ALWAYS sung in English, it’s not like it’s a new thing… yes, they will keep singing in Italian, yes they will also drop English stuff, and it’s okay if you don’t like some songs in their albums, just stop asking them to make the same songs over and over again. they are young, they are going to experiment with their music and they can do whatever they want (and I will be listening, like I’ve been doing since 2017)",en
99,"I love you guys, keep doing the best!!!",en
100,"Essa Banda tem músicas simplesmente maravilhosas ️
Só não curto os clips, são realidades de jovens pervertidos se violentando q triste ",pt
101,They play this great song on the alternative station here in Edmonton Alberta Canada 🇨🇦,en
102,Gosto desse som,pt
103,They’ve had an streak of amazing music videos since vent’anni.This one was a masterpiece as well,en
104,"Some people say there's no new music that's good. I disagree, and this one has a really nice bass line.",en
105,The best rock band in a generation.,en
106,"Music is like fashion, it comes back one day or another... This echoes the controversy of Nirvana's homage to Bowie' s The Man who sold the World. Just enjoy the music! The MTV VMA show was worth watching! Thank you Maneskin for this wind of freedom you blow in this tepid world, we definitely need it!",en
107,"I remember watching them 5 years ago... I was an instant fan! I kept on saying ""these guys are special"" ... Lots of people told me they were just ""a tv product"", and they were ""already dead"". Well, every goal Maneskin achieve makes me smile with satisfaction. ha!ha! ""In your face!"" After 5 years they are more alive than ever, they keep on getting better and better and they already made history. Plus, thanks to them people around the world have stopped thinking about Italy and Italian songs as if we were still in the 50's. Italians rock! And Maneskin are a great example of that!",en
108,"Ive to say ""awesome song"" very nice. 1st song of them i like very much 🇮🇹
Greetings from Germany",en
109,this is a beautiful song i like heard it 123441578 Times and i i love maneskin they are my favorite group. i even hear this song while i do my homework because it help me concentrate ,en
110,Love the guitar riffs in this song!,en
111,I definitely need an official lyrics. I just need to know She's a monster or a master...,en
112,"You're incredible and unique, guys! And waiting for more songs in Italian ️ Much love from Ukraine 🇺🇦 🇮🇹",en
113,Love the clothes in the video. The song is of course perfect. Also love that the video is a cycle,en
114,I saw them sing this song and other songs Sunday at lollapalooza in Chicago ,en
115,I love this song.,en
116,"This song is made for stage performance.. 
Im gonna perform this at Our Annual Fest!",en
117,"Yesterday I was super exhausted, just wanted to sleep. But I couldn't because I know Måneskin was going to release this video. I'm in Vietnam so I had to stay up until 11PM to see it. And of course Måneskin never disappoints me, I dig it, ended up having it on repeat until 3AM and my battery died hahahaha",en
118,Hey  i love ur songs they are so energetic! When you started to sing in Gdynia i was so happy bc you are the best i am 12 years old and im your big fan.,en
119,this is the popiest song of maneskin and even tho they are a rock band its so fucking good,en
120,Maneskin - Just another quality song from this fantastic Italian group with Danish roots :-) !,en
121,I love this song ️️,en
122,Love these guys,en
123,i love this song !!,en
124,"I saw vedio that they are signe on the street like a band 
Just 5years ago 
And bOOOOM 
The dream cam true ",en
125,"I am absolutely IN LOVE with Måneskin; their songs, the band members & their personalities, the messages they promote, everything is a 10/10. I love this song and the music video, perfect for summer. Lots of love always to the best band ever!! ",en
126,I love this song ,en
127,What an amazing lyrics!!! Who else is missing a 90's slender supermodels?,en
128,loving Victoria's facial expressions ,en
129,"Isso sim que é um clipe com história! Não um monte de montagem qualquer, pisaram como sempre. Cadê os BRs? 🇧🇷🇧🇷",pt
130,great job guys love it so much hello from France,en
131,E mais uma vez o måneskin faz uma música boa e incrivel 🇧🇷🇧🇷🇧🇷,pt
132,"Super Sound, super Song, Great Music.",en
133,"Great song, been hearing this on my local station, didn't know them. Than for another reason, I heard The Loneliest. and I didn't even know it was the same band, but just hearing it once, I had to look them up! 
Wow, great job. 
(note aside: I lived and followed the models back in the 90's, tattoos were NOT popular back than, and I very much don't think, and don't remember seeing any top models back than, messing up their most valuable asset (their skin) with tattoos. Today, yeah, some might, but not than. Certainly not where they could be seen while on the runway!)",en
134,"Love the circular narrative, and the fact that at the end, the bag and the boots of course match.....  Grazie Måneskin, fabulous as always!",en
135,"I love this song, you are the best group in the world",en
136,"I’ve commented the same in another video, the 70’s David Bowie Glam and 80’s Glam Rock vibe this song and band has is what got me hooked to this song and this band",en
137,Amo tanto essa banda️🇧🇷️,pt
138,"""When you're not looking, she's stealing your Basquiat"" made me crack a smile.",en
139,This is definitely Maneskin era. One of the best band on the field.  They're so talented and deserve to be heard.,en
140,"Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back
When she's upset, she talks to Maury and takes deep breaths
She's a '90s supermodel, uh-uh-uh",en
141,"Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back
When she's upset, she talks to Maury and takes deep breaths
She's a '90s supermodel, uh-uh-uh",en
142,The rock in roll NEVER DIEEEES!!!,en
143,The guitar is giving me John Frusciante vibes ,en
144,"I'm so proud of you! I'm really looking forward to the premiere, guys, you're so magical!",en
145,"I fucking love this song !!!!!!! Lol I must been living under a rock but this song gets me so hyped & I usually listen too reggaeton , hip-hop but this song is my GO TO song to get shit fucking rollin!!!!!!",en
146,Played endlessly in the car!,en
147,I hear some John Frusciante vibes in guitar riff .Awesome song !,en
148,"muito bom saber que o rock não está morrendo e são esses 4 que estão mostrando isso pro mundo, que maravilha",pt
149,"The ""rocknroll"" part is incredible",en
150,"Welp, this ONE song is my entrance to the rabbit hole. 

Now, it’s time to slide down it! Might as well add Italian to my list of languages too lol",en
151,Absolutely amazing music video and the song  Greetings from Ukraine 🇺🇦 We love you,en
152,"Everyone bess support Måneskin to make whatever music they want. Italian, English, profound, basic, it doesn’t matter, let them be free",en
153,"Love this song!!  I discovered you during Eurovision and have been obsessed ever since!! Covered Beggin, Wanna Be Your Slave and Zitti E Buoni!",en
154,"Lyrics
Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back
When she's upset, she talks to Maury and takes deep breaths",en
155,"Lyrics:
[Verse 1]
Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back",en
156,"Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back
When she's upset she talks to Maury and takes deep breaths
She's a 90s supermodel, oh-oh-oh",en
157,Love this soundtrack,en
158,just heard this on the radio and thought it was gonna be a weird happy-go-lucky version of Smells Like Teen Spirit,en
159,"Singing in Italian is what makes them so damn unique!!! Singing in English is a mistake, they are losing their music identity that way....",en
160,"I have no idea what timezone the release will be made in. I'm in Alaska and I'm so excited. I love this band so much, they make me happy. Rock and roll keeps me young Måneskin is an elixir for my body and soul️",en
161,Give us the album!,en
162,Anyone else been counting down the days to see this? Love love love it,en
163,This group will be at the spotlight forever. Such unique sound and personalities,en
164,I feel like Damiano's English pronunciation has improved a lot. I'm impressed,en
165,I LOVE THE MUSIC,en
166,very good music and video <3,en
167,... she's working around the clock when you're not looking she's stealing your Basquiat! BEST LINE EVER!!,en
168,this is awesome!  I am a relatively new fan (first saw them at Coachella 2022) and I’m hooked.  Gonna see them in Philadelphia in November.  Can’t wait!,en
169,Wtf ! What a song ! Love it,en
170,awesome memories of the 90's,en
171,"Okay but the song is such a vibe 
The prod is ",en
172,"Um fenómeno esta banda. Faz-me recuar no tempo e voltar a sentir algo de novo, semelhante aos primórdios dos Nirvana. É viciante ouvir Maneskin.",pt
173,fucking hard going amazing everything fits everything in place rock top,en
174,Good band with amazing vocals,en
175,The sexiest band in a while,en
176,"I wish Maneskin would create songs in Italian again--I always felt like the lyrics to their Italian songs were much more beautiful and meaningful than those of the English ones.  

They might be making more English songs for their primarily English-speaking audience, but, as an American who pretty much only speaks English--we love the Italian songs!",en
177,"I think that with this band and these their songs, it is an excellent return of this musical style. 
I think it was desperately necessary to enjoy a very good rock & roll music, to leave behind the vulgar and badly spoken rap, hip hop and all its variants.
Long live for Good Music !! > Rock, Pop, Electronic-dance and R&B <.",en
178,"Normally I am bothered by 1 hour loops of songs, but this song is so perfect and such vibes and its just an accurate tragic story told with such artistic expression and thought put into I that I actually like listening to it on repeat. It's actually enjoyable, even after an hour of just one song. This one is IT my babys. I love the sound. I love the voices. I love the instruments. I love the music. I love this song! Thank you Maneskin for giving us this song! We love you!!!!! Wonderful vibes!",en
179,Help I can’t stop listening to this song,en
180,I wish they made an Italian version too!!,en
181,Love the tune. I will have to check out the Italian version now.  thanks,en
182,Love this band all the way from Australia.. great music and all so beautiful. Have to say the live Eurovision version is the best. His voice was so raw and fantastic.. they sound better less produced and edited,en
183,"Oh my gosh I’m so excited for this video, he’s so perfect mds",en
184,Love the song and the vid. Thomas is very natural ,en
185,"LYRICS
Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back
When she's upset, she talks to Maury and takes deep breaths",en
186,maneskin for always,en
187,"Música boa e clipe excêntrico, Måneskin não decepciona 🇧🇷🇮🇹",pt
188,They fucking rocking ,en
189,love this song,en
190,im a old fart. these kids ROCK!,en
191,This is so good!!,en
192,This song has such a summer vibe i love it,en
193,Great song,en
194,"Lyrics 

Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back",en
195,I love this song and a lot other   There really good,en
196,Alone at parties she is working around the clock i love that part,en
197,"Living legends!️
Much love from Ukraine!️",en
198,"Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back
When she's upset, she talks to Maury and takes deep breaths
She's a '90s supermodel, uh-uh-uh",en
199,This is rock and roll.,en
200,I love it ,en
201,"Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back
When she's upset, she talks to Maury and takes deep breaths
She's a '90s supermodel, uh-uh-uh",en
202,"A really good cover band  smells like teen spirit, beggin,.. but a good way to let rock not  die ",en
203,This part is so epic 1:54,en
204,"This song is  my favourite,IS SO COOL ",en
205,"I love that ALL Måneskin videos are super fun to watch, plus their great music, they just hit different ¡Me encantó! Se han convertido en una de mis bandas favoritas ",en
206,"""She's a 90s supermodel, oh-oh-oh
Way back in high school""I LOVE IT",en
207,"I love how they could fit in 80s rock and 2022 rock ! Very few bands can give that old school feeling and rawness of the instruments and edginess of the voice yet still be relatable today. 
I love this band. 
I love all the influences that they have in their music and how everything sounds nostalgic and fresh at the same time! ",en
208,"Paroles

Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back",en
209,Her boyfriend is the rock and roll,en
210,obsessed with the fact that everyone at the party was passed out except thomas who was just quietly cleaning the pool. so true king xx,en
211,VOU ACOMPANHA O CONCERTO  NO ROCK IN RIO,pt
212,This song is so godine!!!,en
213,"If this doesn’t blow them up more, I don’t know what will ️️",en
214,This videoclip is just insane.,en
215,I love it!!!,en
216,"OMFG you guys are truly the best!!! when I saw you at Sanremo, I immediately thought: “they will definitely be known to the whole world”, because you have too incredible energy! your songs make me cry sobbing and dance until you drop. thank you, you gave me a lot of emotions, I love you to the moon and back ",en
217,This surpassed 100.000.000 streams on Spotify.,en
218,"I like the fact that they speak a little more english. I love their songs but since I don't speak italian, it was a bit hard to get the lyrics and the story told. I know people love it in italian and I do too, english is no even my first language and I am not from the US. But I understand more now and the song speaks to me more. Understand that it is easier for people arround the world to understand english. Yes, italian is a beautiful language, yes they should keep making some songs in the language. But why should I feel guilty to love the english stuff? Don't take it wrong , 'cause this is just my opinion.",en
219,Jam just heard it 4 first time I think it my new go 2 mayb they were on late night show great song much love & the bag ,en
220,"Supermodelo (Portuguese Version)

À solta na festa em uma silhueta carnal
Ela ama a cocaína, mas a cocaína a deixa mal",pt
221,I love how maneskin ,en
222,I am a 90’s Super Model!! You should have added some old school and blended it with the new. And I would’ve liked your video much better. But I love the song!! Keep rockin!!️,en
223,"""She will never love you more than money and cigarettes"" not only this is my favorite verse, because of the message, but the way Damiano sings it (especially last word)",en
224,VI ADORO TANTISSIMO ,pt
225,what a hit guys,en
226,"Yeah, ... I'm getting old. I was dead set against new music, but the ""oldies"" are well, ... old. I'm sooo glad I stumbled upon this gem. Maybe there IS hope for music today. BTW, how do you pronounce the name?  The local radio station makes it sound like MONO SKIN.",en
227,Makes so much sense why this bops so hard: Max Martin produced it...,en
228,"In this difficult time for my country🇺🇦, the only thing that makes me happy is your music! Thank you ️",en
229,"Supermodel

Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back",en
230,Keep going you are going international,en
231,"This band without Damiano voice is just like another ordinary band, Damiano voice takes this band to another level just like The vibes of Fredy Mercury and Qeen",en
232,"I get a Guy Ritchie vibe in the filming of this videoclip, and it suits the song perfectly.",en
233,"Even if it isn't out yet, it's gonna be so iconic, already loving it",en
234,Pure pop. Not that theres anything wrong with that. Cute couple. Reminds me of Lux and Ivy sorta.,en
235,So love love this - so much!!!!,en
236,"Just another iconic video as expected, I love it that they're never doing less. Can't wait to hear in Rock in Rio ",en
237,I line your music Maneskin,en
238,"Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back
When she's upset, she talks to Maury and takes deep breaths
She's a '90s supermodel, uh-uh-uh",en
239,"Lyrics :

Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back",en
240,WHY IS THIS NOT A TREND!!!!!!!!!,en
241,"Impossible to stop listening to this masterpiece. ""Eurovision it's ONLY about politics"", ok, then what do you about talented musicians making hits after hits and being popular, just like Måneskin, Salvador Sobral, ABBA and Duncan Laurence? Congratulations, this is FIRE!",en
242,"The best team of the young generation.

You are the best!!!!!!!!",en
243,What a banger! Greetings from 🇱🇹,en
244,"I’m from the US, and I love it!!",en
245,Love this song from Mongolia,en
246,this one has a lot of american horror story vibes,en
247,"Sou viciada em Maneskin  cada música, cada apresentação é uma sensação única. É sempre como a primeira vez, eu amo.",pt
248,"Thank you, nice song.  Greetings from Ukraine!",en
249,I LOVE THEM,en
250,Worthy of a real English sound from the 1970s/1980s the costumes at the Top a crazy look thank you for reviving Rock And Roll Maneskin Bravo you are on top I love it ,en
251,I adore them forever! Saw them live in London! This is fabulous again! Love from Bulgaria ️️️,en
252,Dude can sing.,en
253,holy shit! i got addicted to this,en
254,"Tonight, it's the MTV VMA Awards.",en
255,"I love the entrance of the four, when they search for the model  in the mansion  - and I laughed loudly at Ethan's reaction, when he spotted her xD This reminded me of him doing the math at the ESC. Also Victoria's screaming face was fantastic <3 great video!",en
256,This song literally came out on my birthday. Nice,en
257,"People, the intro is similar to Nirvana on purpose, it's a homage the producer and Maneskin do to them. What's the problem with that? The rest of the song is of course different. Let them write the songs they need to write. They're young and learning.",en
258,anyone else never heard of this song but it’s apparently so popular,en
259,"fabulous !!! I love everything about them, music, style, everything !!! Italian pride that conquers the world 🇮🇹",en
