,comentario,liguagem
0,"It’s a masterpiece. It shows death of a loved one, the pain, the loss, but also people holding you back for staying here with them. The pain you got from losing someone but having people who care about you and want you to stay here with them, not following death but staying alive. This shows the strength and caring friends who we all need in this life. You made me feel like I’m not alone. Thank you Måneskin",en
1,É uma obra de arte ,pt
2,Amo essa música  que clipe perfeito,pt
3,"Essa música..e .muito bonita..eu não conhecia,esse banda..mais já tem o meu respeito..muito bonita...muito.mesmo..eu ouvi 32 vezes essa musuca..e muito boa...ntn..",pt
4,"I'd say that this is one of the best songs that was ever created. It's rare  to see everything fit so absolutely perfect. It was made for a voice like Damiano's because it can carry the sad moments with all the breaks(if i may call them that way) he has in it. The guitar often feels as if it's crying, but the song despite being sad also has a note of attempted happiness, i think. As if the loneliness is accepted or at least attempted to be. And as i said, it all blends so well together, that it sounds perfect. Definetly one of the few perfect songs.",en
5,"I rarely comment on youtube but I really like your songs and especially this one. You released the audio version just a few days after I lost my grandma. I'm still hurt and I'm that kind of person that keeps everything inside but as my grandma advised me to do, I release my emotions thanks to music. And this song helped me to finally cry, after a few days of keeping everything inside. It is really beautiful and hurtfull, but I like it. It will be forever the memory of my grandma. Ti amo ",en
6,I am 40 and love this band. They keep having bands like this in music and music will get saved. We needed this in 2023.,en
7,Sou brasileiro 🇧🇷 e sinceramente amo essa banda e especificamente essa música maravilhosa,pt
8,my absolute favorite song on the album <3,en
9,"O sentimento de perda nem sempre é por alguém que já se foi. Que música linda. A letra, o vocal e o instrumental, simplesmente perfeito ",pt
10,a parte ruim dessa música é que ela acaba. Perfeita demais <3,pt
11,Måneskin needs more worldwide recognition. This is pure gold. These guys and its art mean so much to me. ,en
12,"Nossa que música linda  tocou meu coração  , não  me canso de ouvir , fazia tempo que não  ouvia uma música tão  linda assim",pt
13,I've never cried so much at a song that wasn't in an actual musical before. This is mind-blowing. The video is on another level.,en
14,"Essa música é linda, muito tocante, gosto muito muito. ",pt
15,Perfeito   Música e clip maravilhosos ,pt
16,"At 40, you've reopened my eyes. I have finally bought an electric guitar, and look forward to playing this one day. You are all an inspiration. The love is in your music",en
17,"Quando ouvi essa música na novela Travessia me apaixonei, não tinha ideia que era deles, parecia familiar mas não reconheci, simplesmente perfeita!",pt
18,"I went through four stages of grief watching this music video, I think I'm genuinely tearing up from how beautiful and the amount of feeling it shows. I didn't know I could love this song more from just watching the music video.",en
19,As a 50 year old rocker from way back these guys give me hope that modern music isn't utter shit.  Magnificent song.  Magnificent band.,en
20,Wasn't really into Maneskin until this song! Really touches you ...,en
21,Essa música é perfeita ,pt
22,"Sou tão apaixonada por essa música, que não canso de ouvir!! ",pt
23,"Essa música não só tocou o meu coração, mas sim o mais profundo da minha alma. Essa música é uma verdadeira obra de arte️",pt
24,Essa música é mais do que perfeita ,pt
25,"I can never thank you enough.
I've been waiting to see this kind of song on the Tv for a while now.
In a world where people don't have as much creativity as they used to before, it's not easy to find an artiste with a loot of tools in his bolsos and a great potential as you.",en
26,"Existem músicas que marcam pessoas e até mesmo algumas vidas, essa música sempre fará parte da tua e da minha vida. Tailla ",pt
27,"Amo muito vcs e ouvir essa música minha alma agradece.
Não somente a música mas as  batidas o ritmo a melodia 
Valeu 
I Love you",pt
28,Simplesmente lindíssima 🇧🇷 🇧🇷,pt
29,"I don’t understand why many Italians don’t like Maneskin. They are a group that deserves the international success they are having. The text is beautiful, Damiano’s voice points straight to the heart. Very good! Congrats!!!!",en
30,Sou brasileira e apaixonada nessa música ,pt
31,Such a beautiful Song ,en
32,Adoro adoro uma das melhores músicas dos últimos tempos. Parabéns ao grupo  e muito sucesso.  Espero por vocês 1 dia num concerto em portugal.,pt
33,Omg the emotional impact this had on me is unfathomable I can’t even put I to words how this masterpiece made me feel. The collection of the instruments fusing with his voice along with the visuals brought tears to my eyes.,en
34,"This is such a beautiful way to express how people feel when they lose their loved ones, thank you Måneskin, always and forever",en
35,Muito tocante mesmo...sonhei com essa música tinha escutado 1 vez só.,pt
36,"""You'll be the saddest part of me
A part of me that will never be mine
It's obvious
Tonight is gonna be the loneliest",en
37,"Uma obra prima, despedaçou meu coração em várias partes ",pt
38,Estilo as músicas do Aerosmith dos anos 90. Resgatando essa época que era uma fábrica de músicas boas!,pt
39,"The loneliest just shows yet again, how versatile Måneskin are. This is such a gorgeous song - you can hear the depth of the feelings in it. And Damiano‘s voice is soft but also powerful",en
40,Que voz linda...calma doce acalma o coração e trás saudades ️,pt
41,This song brings out the greatest sadness in me... My father passed away just two days before this was released. I listen to it when I grieve. Thank you Måneskin <3,en
42,"Mesmo superando a perca essa musica me traz uma sensação boa de melancolia, eu amo demais ela",pt
43,"Vi ontem o vídeo clip e fiquei em êxtase, não consigo ver é ouvir sem que as lágrimas me venham aos olhos. Parabéns, está maravilhoso ",pt
44,"Essa musica me lembra uma de Guns 'N Roses ""November Rain"". Melancolica e dolorosa. Principalmente porque faz a gente um turbilhão de sentimentos ao mesmo tempo... Maneskin mais uma vez me surpreendeu nessa versão! Sinceramente arrasaram em estilo, forma, melodia e toda a orquestra instrumental. Parabéns!!",pt
45,"I think that this is officially one of my favourite songs EVER! thank you guys for this gift you shared with all of us!!! Grazie ragazzi, ci rendete orgogliosi della vostra Arte! vi si amaaaa! ️",en
46,"Måneskin, amo demais esse tipo de música ",pt
47,O tempo passa e essa música continua tão agradável aos meus ouvidos,pt
48,Amo essa música ,pt
49,ESTA CANCION TE LLEGA DIRECTO AL CORAZON...,en
50,Essa  música é maravilhosa. Aliás  Maneskin é  show  eu amo toda as músicas,pt
51,Simplesmente linda demais!!!!!,pt
52,Que música linda. Meu Deus sou apaixonada por ela .,pt
53,"This song is so powerful, love it!   🇭🇷",en
54,Maravilhosa música ,pt
55,"""Você vai ser a parte mais triste de mim""
  ""Uma parte de mim que nunca vai ser minha""
Essa música é tão maravilhosa que me sufoca ",pt
56,"This is definitely one of the best rock ballads of the 21st century. For me as a rock and metal fan it is so important to hear fresh and epic music nowadays and not only look back to the songs from the past. Great job Maneskin, Thank you!",en
57,"I found this song yesterday and then early this morning my grandmother passed away. I listened several times after watching her pass, closing her eyes and crawling back into bed at 4am when the funeral home had taken her away. This song has been stuck in my head all day.",en
58,"The first time I listened this song I was with my two children (ages 9 and 3) and I can't help but lift them up in my arms and we started to dance slowly, embracing each other with their heads in both my shoulders and for a moment I imagined that one day, listening to this song, they will remember this sweet moment when I'm gone.",en
59,What a voice. You can feel all the emotion. This is just stunning.,en
60,"Whenever I would share music with my son he would insist on hearing the audio only first so that it would not be clouded by the video.  I'm glad I heard this song and appreciated it for it's beauty first before seeing this video which took it to another level.  I've always been someone who feels music anyway.  This official video for it symbolizes my son's life and death in so many ways.  His story was much like Nikki Sixx's only without the happy ending.  He was a musician.  He played many instruments and settled on the bass guitar.  He wrote kickass rock and roll songs, formed a band, and became addicted to heroin.  They only got 2 tracks fully recorded for what was to be their first EP.  His addiction got in the way.  Near the end everyone turned their backs on him and ran away from him just like in this video.  But his bandmates and I helped him back up when he fell.  But he pulled away and continued towards his destiny but looking back at us with so much love and gratitude but silently saying, ""I'm sorry.  I must go.""  His bandmates were all pallbearers at his funeral.  This video tells his story and describes the pain in my heart from losing him.  You all have sick talent and I pray you go all the way with it and it doesn't get wasted like my son's did.  Keep rockin' like you do.",en
61,"Não sabia como era o vídeo, nem a tradução dessa música, nem mesmo quem a cantava mais toda vez q eu a ouvia ficava arrepiada e apaixonada por essa música. Mto grata por essa canção ",pt
62,"I am sure that with this song  even people who hadn't suffered for the lost of someone in their life, can perfectly understand how the other feel about the death of someone they loved (friend, partner, and/or parent). So proud of you!",en
63,Lost my mom 14 years ago. This song remembers me on the fact that she will always be part of me,en
64,Uma letra super profunda! Incrível e indescritível o sentimento que eu sinto ao ouvi-la ,pt
65,"Não sei por quê, mais eu amo essa música!",pt
66,That's the best song I've heard on the radio in last 6 months!! Masterpiece!,en
67,This song totally bring out both of the sadness and emotion simultaneously that is graciously covered by beautiful lyric and melody,en
68,"Congratulations Måneskin! You did it again! I'm really touched. The lyrics, the music, that guitar solo, Damiano's voice, the video... This combination goes to the deepest of my heart. It's amazing that there's a band these days who can do this again. You must be very proud of yourself. You're real artists with a very beautiful soul. Thank you for this masterpiece guys  Hugs from Belgium",en
69,This is by far their best song. I wish they had other songs THIS good.,en
70,Essa música me toca de tal maneira que chega a ser inexplicável  Maravilhosa  Insubstituível ,pt
71,Que música perfeita é mv sem palavras o final me pegou de surpresa ainda não tinha assistido.,pt
72,"uma banda muito teatral e muito boa, som de primeira",pt
73,I was (and still am) a huge My Chemical Romance fan growing up and hearing this really brought me back to those days. I'm so happy to get new music with this sound. Maneskin really proves that rock is not dead ,en
74,"Essa música é tão boa, lembra as bandas dos anos 2000 🥹 Tokio Hotel, My Chemical Romance, Kings of Leon, entre outras… QUE MÚSICA PERFEITA E AO MESMO TEMPO NOSTÁLGICA!",pt
75,"Essa música me lembra uma outra que não vem na cabeça agora, mesma batida... Melhor música",pt
76,Cara essa música e magnífica ,pt
77,Ah melhor musica ,pt
78,"I love Damiano's voice, here is like a different version I usually hear and I fall in love with him more ",en
79,"It's going to be one of my favorite songs ever, no doubts. A masterpiece. Hope to cry my eyes out listening to this song live at your concert in Kyiv one day. 🇺🇦️🇮🇹",en
80,"This band will take the world by storm. They are doing for RocknRoll now, what the Beatles did for RocknRoll in the 60's. Rock on",en
81,this is forever my favorite music video and song,en
82,"You'll be the saddest part of me
A part of me that will never be mine
It's obvious
Tonight is gonna be the loneliest",en
83,"obrigado novela travessia por essa música maravilhosa q eu n conhecia ainda do maneskin, já gostava bastante de ""beggin"" e essa veio pra somar",pt
84,"I'm a bit older and not part of Maneskin's demographic, but I totally love this band. They are brilliant. The best band to come around in many years in my opinion. Their lyrics, sound, mix, performance and dedication is extraordinary. They have a mysterious way about them that's hard to explain - they have the uncanny ability to penetrate your soul and stop you in your tracks. It's mesmerizing and fascinating to experience, and to see how intensely they connect with their audience is truly amazing. This band resonates and I totally get why they grew in popularity so quickly across the globe. As long as they keep their head on straight and continue to surround themselves with smart management and advisors, their staying power will last a very long time. Maneskin is like a fine wine because they will continue to get better with age and they are great already. Their journey is in its infancy and I can't wait to see what's next!",en
85,I went to their gig in London yesterday. What a great band ,en
86,"Lembranças de um grande amor, que ficou no passado, adoro essa música como é linda!!!!",pt
87,"The best group, the best songs, the best style and ... only Manskin ️",en
88,Beautiful song  His voice is amazing,en
89,"I’m so proud of how far they’ve come and how far they’ll go. This song is relatable to everyone in some way and some aspect of life and that’s what makes it so beautiful, everyone sees it differently. Thank you Måneskin, this song means a lot to us and will reach and touch many people with similar feelings",en
90,"Saw them two years ago at a festival, thought they had nothing special.  Saw them again last year and they rocked the place off.  Now this record.  Love it when my first impression is so wrong!",en
91,This has to be the best song I've heard in quite some time!,en
92,Incredible song...  Long time without a song with such quality!  Love it!,en
93,a melhor música que já escutei e a tradução é top,pt
94,Amo muito essa melodia.toca no fundo da minha alma ️️️️️️,pt
95,"Maneskin never fails to impress, they could give out exhilarating songs like Mamma Mia then come up with something heart wrenching like the Loneliest. I don’t think I’ll ever get tired of them ",en
96,"Amazing song, amazing performance,amazing voice ️️️️",en
97,You always make great songs,en
98,"Música perfeita, maravilhosa, traz uma paz, amooooooo ️",pt
99,"I'm playing this in July, when i finally go to college and leave this town behind, this town will have the saddest part of me, the one that suffered for 18 years, i'll leave this part of me here to finally start a new era and be happy, and be who i really am. THANKS MANESKIN FOR GIVING US THIS SONG",en
100,They prove with each song that they really deserved to win Eurovision. Maneskin is one of the most interesting rock bands of current times.,en
101,"""You'll be the saddest part of me, a part of me that'll never be mine, it's obvious..."" is a line that hits me hard. Not because I lost a particular person but because in my life it seems like everything has been drawing me away from love, like I'm not meant for it, and I feel it deeply. So whenever I feel something for someone for a moment and it gets pulled away from me (as it usually does) I just feel that: ""You'll be the saddest part of me, a part of me that will never be mine, it's obvious...""",en
102,como amo a måneskin,pt
103,Essa música tá fazendo todo sentido pra mim esses últimos dias,pt
104,"Best artists in the world, at this moment! Thank you for your music..lot's of love from Belgrade! ",en
105,"No words for this great song.... i am 48 years old and it is a long time ago that musicians where that good in writing their songs.
The song is so good that you can feel the pain in the lyrics and at the same time you feel the love for the ones that stand close too you.",en
106,"Love you guys. DAMIANO your voice begins so sad and shy. And blue and emotional ans sweet. And an explotion takes the place to say hey, here I am. So brave. And seperate. Beautiful song and perfect interpretation.",en
107,"You'll be the saddest part of me

A part of me that will never be mine

It's obvious

Tonight is gonna be the loneliest",en
108,"I'm beggin' you, please, do more songs like this, sad ones. It's a masterpiece and the sad songs by Maneskin are the best.",en
