,comentario,liguagem
0,"Man, it's crazy when you think about how songs from our teenage days kinda grow with us. I've been listening to this song with my best friend every day after school, when our broke asses would share a single can of beer, summer sun hitting with that good vibe and now like SEVEN years later, still bumpin but with different vibes man. We got money, clothes and shit but it still feels like those damn broke days have been better than these days... Love yall <3",en
1,"I don't care if you came from tik tok or not, I'm just glad that Kendrick gets more and more recognition",en
2,The greatest song Kendrick has ever made and one of the greatest songs in rap history,en
3,"One of the greatest songs of all time, same goes for the album",en
4,"such a masterpiece, still listening this after a bunch of years...  still got goose bumps listening this track",en
5,"This tune is so timeless, in a hundred years people will still be bumping to this, mark my words",en
6,Não consigo por em palavras o quanto eu curto esse som. Atemporal.,pt
7,"honestly, Kendrick. i saw you perform this song and it felt like I had Goosebumps. Ain't just me. this song is truly a phenomenon song for hip-hop.",en
8,Vicie nessa música top demais já escutei umas 1000 vezes!,pt
9,eu amo a vibe dessa musica,pt
10,Amo esté tema ️,pt
11,"I suffered a robbery, and the thief’s gun didn't work, that part ""But the one in front of the gun lives forever"", always give a me shivers...",en
12,"am currently crying so hard right now. This is seriously the most beautiful, well put together song ever. I can’t believe how magical it was 1:12. That part truly made me shed a tear. And especially at 0:34 that part was just so truly heart touching words can not describe the series of emotions I felt. I absolutely loved the climax it had insanely excellent detail. Oh and we can’t forget the conclusion. The conclusion was the greatest and saddest conclusion I have ever seen better than any of the books I have read. Thank you so much for creating this absolute masterpiece. This is essentially the most important masterpiece of film history. It is a tragedy that this, it can’t be called a film, but a transcendent emotional experience, will be inaccessible for most. It beautifully encapsulates the human struggle to its basics; suffering, pleasure, faith, despair. It connects with the characters within the viewers, individuals suppressed within our own subconscious. It stays vibrant, fresh, and revolutionizes the art of storytelling and filmmaking while making a damn of statement on what it means to be human. Entertaining, gripping, and simply exhilarating. This might be the most impactful piece of art I’ve come across in my life, and I’m definitely coming back to it in the near future to study it more deeply. this is an absolute masterpiece , I was brought to tears listening to this and seeing the bacon go whirly swirly in a circle countless times. it absolutely moved my soul , and I don't think I can ever be the same. this bacon has changed my entire mental state , I am now at peace with who I am and what I will be doing later in my life. i have forgiven all my enemies and now I am a man of a pacifist life. I will move on , gotta move on , as the song says. the bacon is so inspirational , it shares it vast wisdom with all of us , and we are all so lucky that it would bestow it's great words with us. we are all children on bacon. hail bacon. hail bacon. The spinning bacon, rotating in one direction with this music... This made me tear up. How could such a bacon do such a thing? I'm struck by awe by this masterpiece. Especially when the bacon spins, showing its lightly salt covered tan skin. I can hear the crunch just from here, and so as the beautiful sound of the bacon scraping the dark, smooth velvet floor.  The flavor, music and everything can be heard, tasted, seen and felt from a screen. You can really hear the breaths between the music artist, empathizing her love for this rotating bacon. Truly what I call modern art. This was the most legendary performance by any piece of bacon I have ever watched. The acting was top tier and very life changing. This is one of the greatest work from a piece of bacon I have ever seen especially on ",en
13,Uma das mais brabas de todos os tempos,pt
14,"Boas recordação escutando esse som nas caixa , muitas vive...",pt
15,Essa música é um hino,pt
16,ON MY LIFE THIS NEVER GET'S OLD!!! TOO MANY REWINDS I CAN'T COUNT!!,en
17,"my dude.
 this is the best banger you have made so far. not open for discussion. 
no matter how many times and how many years pass. this slaps with the same force everytime",en
18,essa musica me faz pensar demais nos roles que a vida ja me apresentou,pt
19,"still feel like this song never really got the love it deserved, what a tune it is",en
20,"""Everybody gon respect the shooter but the one in front of gun lives FOREVER"" idk why but this part is so deep and beautiful, ART!!.",en
21,Amo essa,pt
22,"Been bumping this song for years now but this shit never gets old, kdot delivered on good kid so much man",en
23,One of those type of songs where people with all types of genre preferences can still vibe to,en
24,essa é a melhor musica uma pena não ter views,pt
25,Una obra maestra,pt
26,this song makes me want to go out with my close mates and do whatever the fuck we want to do without caring about what others think of us and just have the time of our lives,en
27,"still one of the best tracks of the last years, maybe ever",en
28,This already can be called a classic tune,en
29,Kendrick is a legend. Forever,en
30,"Badass track, replay replay replay allday",en
31,"istg I've never replayed a song so many times frickin love this song, it's a timeless classic!!!",en
32,"Lyrics:
Me and my niggas tryna get it, ya bish (ya bish, ya bish)

Hit this house lick tell me is you with it, ya bish (ya bish, ya bish)

Home invasion was persuasive (was persuasive, was persuasive)",en
33,Esse som é muito bom porra!!!!,pt
34,The older I get the more I realise Kendrick is my favourite rapper,en
35,I like listening to this before on my way to work. Didn't know that it is much better while working at home.,en
36,This thing is a masterpiece,en
37,I really underestimitated how I'd enjoy hearing this song again after so long when I clicked on it. I almost didn't. Turned out to be the best cleaning of my house I've done in a while,en
38,pesado de mais salve nação brasileira,pt
39,Can't wait to have my own car and play this while driving. Damnn,en
40,One of the best instrumental of  past decade,en
41,"this is dope, i don't why it was soo underrated ? Kendrick should do a video music with this music. DOPEEEEE",en
42,an underrated piece of work,en
43,Still banging hard in 2023 it's madness....,en
44,Forever a classic....,en
45,such a beautiful song,en
46,"A música tem uma vibe boa pra krlh,mas quando as mina começa a cantar PQP
parece q eu to sendo levado pra outra dimensão
 que flow da pooooooooha",pt
47,this song needs recognition,en
48,"Listened to this on Vinyl the other day, so sick.",en
49,Alguém do Brasil ouvindo esse clássico?,pt
50,"I don't know why, but this song makes me emotional",en
51,Old but gold ,en
52,Best Kendrick song to date.,en
53,"this is fucking gold dude
it is what it is
good vibes yall",en
54,Jay Roc's verse ,en
55,my favorite kendrick's song since 2016,en
56,This is one of the songs most underrated I've ever ear!!,en
57,damn i love this song,en
58,still playing this is 2023 man this makes me feel so nostalgic,en
59,fuckin' love this song,en
60,This is art,en
61,My eyes went away from rap and hiphop...but this song is fire for me!,en
62,i dont have ever seen before like that song this is masterpiece,en
63,I'm Brazilian and this song is very good. WOOW,en
64,this song is so underrated,en
65,i first listened to kenny when i was playing GTA 5 and adhd started playing on the radio then 7 years later and It still feels like it's always my first time listening to him when i listen to his songs,en
66,Great song,en
67,This song is on fire,en
68,love that beach house sample,en
69,Modern classic ,en
70,Bom video adorei,pt
71,underrated track,en
72,This song is psychedelic,en
73,"Don't care, kendrick is the king, and this song's vibe is not replaceable ",en
74,this is gold,en
75,this track slept on,en
76,It's been a minute since i've heard this ,en
77,great song,en
78,This hits different when its 5am and im still getting higher,en
79,Can't wait for him to play in Adelaide again!,en
80,I love it ! #ratio,en
81,"If this song dont play in my marriage,then I will marry the wrong BISH",en
82,This song is good <3,en
83,"Me and my niggas tryna get it, ya bish (ya bish, ya bish)
Hit this house lick tell me is you with it, ya bish (ya bish, ya bish)
Home invasion was persuasive (was persuasive, was persuasive)
From nine to five I know its vacant, ya bish (ya bish, ya bish)",en
84,TOP 10 best album in my list,en
85,you got the dopest album bro,en
86,Kendrick u are my only true love! ,en
87,3:59 This is so f*cking relaxing <3,en
88,this is peak of hip hop,en
89,"thank you, kendrick you the king",en
90,i feel so godamn blessed to know this song,en
91,Jay Rock was perfect for this song. Damn,en
92,"I was in prison when I heard kendricks album,not a good place to be,but better than now,time flys,changes ,it's all fucked up now",en
93,This song is so fucking goooood,en
94,3:56 is really relaxin as fuck,en
95,I think this is my top song of all time..,en
96,#settleforlamar ️ this song should be a national anthem wtf it didn’t got the success it deserves,en
97,This songs still making money trees,en
98,Dam this would be perfect time for a new album and no am not going to spoil myself by listening to the leaked stuff this is for weak people who can't wait,en
99,"i know this ""gangstafunk"" since i was in prison 2012/13 they play it all day ell day on the local radiostation cuz.",en
100,Kendrick sampling my favourite song by Beach House. Damn feelsgoodman,en
101,"[Verse 1: Kendrick Lamar]
Uh, me and my niggas tryna get it, ya bish (Ya bish)
Hit the house lick: tell me, is you wit' it, ya bish? (Ya bish)
Home invasion was persuasive (Was persuasive)",en
102,"I need this but like, 100 times looped",en
103,the best 6 mins every day.,en
104,A dollar might just turn to a million and we all rich That's just how i feel,en
105,just watched boyz n the hood and this would've fit perfectly in the movie as an outro song,en
106,I thought it will be easy to forget my boyfriend but  he is always in my heart. I Miss You so much  Bernard i wish you will read this someday.,en
107,"Everybody wanna ride around town with me

Making money ride around downtown with me",en
108,Jay Rock was the perfect feature,en
109,So fucking fresh bro !,en
110,"Uh, me and my niggas tryna get it, ya bish (Ya bish)
Hit the house lick: tell me, is you wit' it, ya bish? (Ya bish)
Home invasion was persuasive (Was persuasive)
From nine to five I know it's vacant, ya bish (Ya bish)",en
111,Got my first driving test today hope I pass saying fuck everything while listening to this keep ya head up bois,en
112,perfection,en
113,Met this song in the start of corona... still listening nowadays,en
114,"I got only 1 ord for this track, and that word is DOPE <3",en
115,The beat and the flows tempo so perfect for gettin stoned to,en
116,#RIPGeorgeFloyd . This sounds different after his death and the lyrics hit more harder .,en
117,im back here every day,en
118,"Me and my niggas tryna get it, ya bish (ya bish, ya bish)

Hit this house lick tell me is you with it, ya bish (ya bish, ya bish)

Home invasion was persuasive (was persuasive, was persuasive)

From nine to five I know its vacant, ya bish (ya bish, ya bish)",en
119,"Money Trees

Kendrick Lamar

Me and my niggas tryna get it, ya bish (ya bish, ya bish)

Hit this house lick tell me is you with it, ya bish (ya bish, ya bish)",en
120,"""Money Trees""

(feat. Jay Rock)



[Kendrick Lamar:]",en
121,king of all time!!!!,en
