,comentario,liguagem
0,I heard the teaser for this on his Instagram and immediately loved the lyrics and melody. Morgan can’t make a single bad song.,en
1,It's insane that he's releasing a 36 song album. Dude never misses!!!,en
2,"""those get you into heaven letters in red, ain't getting read enough to keep me on a straight line"" best line on the whole album",en
3,this song gets better and better the more u listen... I had it on repeat for like 3weeks at work,en
4,Your music is so relatable and has helped me a lot these past few years,en
5,"I absolutely LOVE this song, definitely one of my all time favorites",en
6,"Love this song already. Great concept. As much as he’s out there living wild, you can tell Morgan has the roots from his parents and he hasn’t forgotten them.",en
7,Possibly my fav song of ALL TIME! Pure Awesomeness,en
8,"This is honestly the best album I’ve listened to ever. Has to be my favourite song of the album, Thank you for the great music.",en
9,Love this song. Lyrical genius and solid track.,en
10,This is the first song in this genre I’ve ever heard and liked. Going straight on the playlist Woo!,en
11,Yesss !!! So excited for this album ...Morgan Wallen never stops !!!,en
12,You're pouring your life out with heart  I feel it,en
13,"️
This is amazing I’m really impressed with this project  Father thank you for life an music ",en
14,Absolutely love this song!!!,en
15,I don't think that I have ever liked an artist more!,en
16,I didn't know I could love Morgan any more then I already do and then he drops this one. Absolutely amazing I love it!️️,en
17,"And they just keep coming. Dude! Such a great song! So much talent... singer/songwriter/artist/musician.  You're either a great listener to some heartbroken peeps or you can just relate and put it into words that become an awesome song, but dude, you nail it every time. Thank you for doing what you do️",en
18,Wow!!! You got the whole Waylon Jennings sound️ thank you Morgan I absolutely love this!!!!!!! This song speaks truth gives me chills,en
19,"I think he must know my son, Anthony!  This is 100% is written about him. Amazing words. Amazing song!  Thank you",en
20,I love this song!!! Can’t wait for the new album!,en
21,This guy is amazing!! Chills.. Literal chills.,en
22,I absolutely love this song ,en
23,Incredible song. Lyrics giving chills and vocals really bring his emotions out,en
24,I love this song!  Definitely on my way to work Motivational.,en
25,The song we all need in our lives. Thanks Morgan,en
26,I'm digging this song. I've been checking his new songs out and this one hits home.,en
27,"This song is all I need, today !! ️",en
28,"Morgan Wallen is an artist I will buy every album from. Just like I bought Dangerous, this will be blaring in my Truck! Country Proud baby!",en
29,I heard another great album coming. This song is already a hit with me,en
30,Been following Morgan wallen since his first album If I Know Me  and he is my favorite country artist. He’s the only guy I can listen to over and over. Never makes a bad song and it is also great that we have been able to watch him and his career grow over time. Keep doing what your doing Morgan! Can’t wait to see you for the first time ever in May,en
31,This is your next # 1 on the billboard  . I soooo LOE this song !,en
32,Love this song Number one Morgan Wallen!!!!!!!!,en
33,I’m not going to call this COUNTRY MUSIC THIS IS LEGENDARY MUSIC ,en
34,Love this one!,en
35,If only they would play this on the radio,en
36,"i just discovered him, and im now a fan....and i love this song from the album so far",en
37,This will be a#1 hit,en
38,Hardy and Morgan both are 2/3s of the writers on this track which makes this even more impactful!,en
39,My only problem with this song is that it isn't long enough,en
40,this song is my favorite on the new album beat also,en
41,This song and my all time favorite Thinkin Bout Me. The two songs from this album that aren’t singles - YET - but should be!,en
42,This is one of my new favorite songs,en
