,comentario,liguagem
0,This just shows how versatile Polo G is.,en
1,This song sounds like something you’d play during summer and I LOVE IT I’ll be playing this during summer it’s such a vibe!!,en
2,sometimes I feel that these people who dont sing dont get a lot of credit. NEIKED actually created the script and music of this song!,en
3,"This song and Mae Muller are both so amazing, I can’t believe it didn’t shoot through the charts.",en
4,"finally, just heard this on radio and cant get enough of it. this is perfect for radio. very addictive to listen to.",en
5,this song hits different when you actually sit around and wait for better days,en
6,"That Polo verse basically carried this song into the limelight, and I'm more than happy about it",en
7,Love this song  beautiful voice mae muller,en
8,"I saw a comment saying this sounds like a song that would be played while shopping,and I agree sm. It's a song I'd want to hear while shopping.especially in a mall during summer",en
9,"Awesome song, Polo G always delivering  in his verses. Glad I discovered Mae, she’s a great singer and is gorgeous.",en
10,Love this did not know Mae Muller until the Eurovision 23 announcement today! Great Entry Great Artist! Wow 🇬🇧🇬🇧🇬🇧 Goodluck for the Win ,en
11,Mae Muller got such good vocals. And Polo continues showing how versatile he is,en
12,one of those coming through the pop-charts that just suddenly lift your spirits,en
13,"this is the type of song you would hear while shopping, on the radio and during summer",en
14,"This used to be the song I played the whole day for months. One year ago when I knew about this song, this became one of the things that triggered my motivation. One year later, compared to where I was back then, I feel so proud of myself. I knew better days were coming, and I did work hard for them.",en
15,"Mae Muller is waaayy too underrated - this is fire. heard it on the radio on the way to school this morning and it was stuck in my head the entire day; couldn't stop singing/whistling to this during school, in the afternoon, and the tune's still jammed (pun intented) in my head rn and it's almost bedtime. songs like these we don't know we need more of.",en
16,"As a Polo G fan, I can confirm that they both did their part good af",en
17,All I do is sit around & play this song on repeat...!!! ,en
18,This song hits different an hour after leaving a job you hate for a better one ,en
19,"Every bit top notch, great spring/summer vibe and what a bassline",en
20,"Polo's verse was amazing, but you gotta admit Mae deserves a lot of credit too",en
21,"I’m far too old to be listening to this music genre, but I can’t help it - this song is too addictive, it’s got me hooked.",en
22,Dang Polo is so versatile with his voice. It’s like he can tweak it to fit any song.,en
23,"Literally since i saw their live on mtv on january i've been obsessed with this song, i love it so much",en
24,I love how this song spread the vibes ,en
25,"música muito boa, que vibe essa colab entregou pqp",pt
26,The music is so positive and it automatically makes you happy!,en
27,Polo G is incredible. He fits perfectly in pop songs not just rap,en
28,Um tremendo sucesso aqui no Brasil.,pt
29,I would never know this song existed if i didnt see her in eurovision,en
30,I LEGIT CAN'T GET ENOUGH OF THIS!! It's so HAPPY & #CHEERFUL !!,en
31,"Polo G's verse is so addicting, I keep replaying it",en
32,It's always great to see big artist like Polo G making/feature songs with new small artists. Definitely a big W for Polo G!,en
33,I came back to this song because it gives me summer vibes  I’m ready to blast this all the time,en
34,Absolutely love this track!! Extinguishes all My stress!,en
35,"I have never been to a concert, any concert. But if I did get a chance, Bruce and the ESB would  be my choice, the energy and love I feel from their videos, I can only imagine what a live concert would be like :)",en
36,I would never know this song existed if polo g wasn’t in it,en
37,"I've been feelin' lonely
I need someone to hold me
Come on, baby, hold me
Yeah, I've been feelin' jaded",en
38,I cannot express how much Brooklyn 99 means to me. I just love how comfortable it is to watch and that is thanks to the great actors and amazing crew,en
39,"Lyrics

I've been feeling lonely
I need someone to hold me",en
40,"Love this. Also, great running track as so uplifting when it gets tough. Nice video too.",en
41,The song I was hearing each and every single day on the pool this summer. Brings such joyful memories. Summer hit no.1,en
42,This song should've dropped in the summer bruh definitely a summer banger,en
43,I love this song make me think about summer vibes ️,en
44,Loved this song since release. Nice work on eurovision. Better days!,en
45,Excellent voice and a very good video!,en
46,"NEIKED really makes bangers, this is awesome",en
47,Great song very catchy  positive vibe good mood type ish,en
48,goes right in the playlist “don’t listen around the homies”,en
49,"Listening when I'm stressed out today ️ makes me happy and less stressed, thank you",en
50,Just goes to show you my generation has some songs that are absolute bangers. I'll be looking back a few years from now being struck with the nostalgia,en
51,Give that bassist a raise ,en
52,"LYRICS
I've been feeling lonely

I need someone to hold me

Come on, baby, hold me",en
53,It’s been 11 months and this song is still a banger,en
54,I like how everybody is just appreciating Polo G,en
55,"All the participants on the creation of this song are amazing and valuable , because this song is a masterpiece!!",en
56,When I heard polo g on the radio I literally almost shed a tear,en
57,"Remember it was pandemic , and she was so right on . Beautiful  female  voice . Love her .",en
58,"Press F to pay respect to this awesome underrated song!!!
Lowkey this is literally the most groovy song I know",en
59,this sounds like a song you’d hear while shopping,en
60, Great Song!! Great Voice!!    Thank You!!,en
61,"Everyone talks about Mae and Polo G, but NEIKED is also amazing. He made this song sounded so good.",en
62,I love this female singer she gives me Amy Winehouse vibes . Rip  but her lyrics are spot on any track she does. But for me its about relaeting to lyrics. And her loving her unique edge she give to each track she does.,en
63,Thank God this music video doesn't have anything inappropriate! This is great! And the song is also very upbeat and catchy.,en
64,Damn this song is so cool and wavy!  Makes me want to drink a good cold glass of lemonade ,en
65,This is a good song Polo is really showing his versatility with this song. Mae has good vocals and the beat/melody along with overall production is good.,en
66,"I've been feeling lonely
I need someone to hold me
Come on, baby, hold me
Yeah, I've been feeling jaded",en
67,"This song never fails to pick me up, even if I was mad before the song starts playing",en
68,"A year later and this still make me think of summer in San Diego, love this son so much.",en
69,"Heard this on hot hits Spotify at work and love her retro voice

all I do is sit around and wait for better dayzzzzzzzzz",en
70,14 years later and this song still goes hard,en
71,"this just proves polo g was being held back by production, he can adjust to any beat",en
72,mae has an amazing voice :),en
73,This song deserves 1 billion views.,en
74,I love this song girl you did amazing,en
75,Polo had such a fire part. Favorite song he collaborated in just because Mae's voice is so pretty with Polo's rapping.,en
76,This song should've blew up way more than it did. These lyrics are so meaningful and catchy..,en
77,This Channel deserves to be MUCH popular,en
78,This is the perfect feel good song for me ,en
79,"It just amazes me how toxic people can be.
Both of them are good singers, what is the porpouse on tryin to put Mae down?
This song is good the way it is. Why don't we just appreciate how good their voices are together?",en
