,comentario,liguagem
0,"Enquanto tem Portugueses apaixonados pelas músicas Brasileiras, aqui tem um Brasileiro apaixonado pelas músicas de Portugal 🇧🇷🇵🇹",pt
1,"Sou brasileira, e hoje do nada resolvi pesquisar por músicas portuguesas, não me arrependo, simplesmente perfeito. ",pt
2,"Linda música espero que muitas delas, continuem sendo curtida por Brasileiros.",pt
3,"Viciada nessa música! Parabéns Nuno, nós do Brasil amamos Portugal 🇧🇷🇧🇫️",pt
4,"Essa música marcou minha vida, amo as músicas portuguesas, mas essa é especial 🇧🇷🇵🇹RJ-Brasil",pt
5,"Sou brasileiro apaixonado por uma portuguesa, essa música fez o amor que eu sinto por ela aumentar mais ainda",pt
6,As músicas de Portugal são muito lindas parabéns,pt
7,"Amo o som e o conceito do vídeo! Precisamos mais músicas do Nuno em 2021!
Abraços da Índia 🇮🇳",pt
8,"Começou a ouvir nesta e acabo na música ""dias cinzentos"" todos os dias amo amo a voz do Nuno Ribeiro é um calmante",pt
9,Linda demais ️️️,pt
10,"Já foi a 2 anos e n deixo de a ouvir 
A música é linda ",pt
11,Não consigo parar de ouvir esta música️️️️️,pt
12,"Já não há palavras Nuno. Só posso desejar uma carreira feliz para ti. Do fundo do coração tu mereces, acredita. ",pt
13,Maravilha de música ,pt
14,"Diretamente do BRASIL, ouvindo essa música linda demais ""Só eu sei o  que é estar longe de ti, não espero mais ninguem, só tu vives em mim""... Amo-te muito meu amor.",pt
15,Já passou um ano e ainda estou a ouvir a esta música e não me canso de ouvir parebens continua assim,pt
16,Linda música ️️🇧🇷️️,pt
17,"Estou a passar por uma situação idêntica e não sei como lidar com ela.. e só a tua música, me dá forças para não desistir da pessoa que amo... Obrigada por me ajudares mesmo!!!",pt
18,Amo essa música parabens,pt
19,"Eu estou a ouvir a música a 18/12/2020, uma das nossas músicas. Ouço-a pela restauração do nosso casamento Inês Filipa Aleixo Viana e Hugo Miguel Gameiro Jordão Ámen e Graças a Deus.",pt
20,Tamos em 2021 e eu ainda amo esta música ️,pt
21,Muito bem.Esta geração fez a música portuguesa dar um salto.,pt
22,"A primeira vez que ouvi esta música, fiquei completamente viciado...fiz replay vezes sem conta. Simplesmente fantástica!",pt
23,"Conhecendo as músicas portuguesas recentemente, e me apaixonando por algumas vozes e com toda certeza esta  faz parte da lista.",pt
24,"O meu marido está a trabalhar no estrangeiro há 2 anos, essa música descreve bem o que eu sinto ",pt
25,Adoro esta música!! ️. Estou sempre a ouvi-la!,pt
26,Música linda de mais,pt
27,Eu amo demais está música 🇵🇹🇵🇹🇵🇹,pt
28,Espetacular. A música portuguesa no seu melhor.,pt
29,Primeira vez a ouvir esta música. Muito bonita ️,pt
30,"A música é linda, fica na mente e não sai de lá. Parabéns️️️",pt
31,Adorei esta música,pt
32,Amo esta musica do fundo do coração,pt
33,Esta incrivel!! Estou completamente apaixonada por esta musica e pela tua voz q esta cada vez mais linda!!parabens,pt
34,Boa música para pensar em quem se ausentou e deixou aquele vazio enorme onde só ficou dor…,pt
35,Que canção mais Linda parabéns Nuno 🇵🇹🇵🇹,pt
36,Nuno Ribeiro = músicas viciantes ,pt
37,"Essa música é linda... ️️ Adoro!
Reflecte muito bem o quão difícil é estarmos longe das pessoas que amamos.",pt
38,Adoro ,pt
39,Eu estou aviciada nesse música ameiii 🇧🇷,pt
40,Eu sinto esta musica no fundo de meu coração,pt
41,"A música, a letra, a melodia, a história, o vídeo está tudo magnífico !!! Simplesmente linda !!! Muito bem !!! Espero que venhas a ter muito sucesso !!! Se há alguém que merece és tu !!!",pt
42,Simplesmente uma das melhores músicas de Portugal️🇵🇹,pt
43,A.D.O.R.O!!!!!️️️ completamente viciada!!  música linda  videoclipe ,pt
44,"Adoro esta música . Ela faz me chorar, pk me lembro de coisas que não quero . Mas é fixe na mesma . Sou fã desta música ",pt
45,Música maravilhosa ,pt
46,"Amo o vídeoclip, amo a música, amo a tua voz...
Está incrível! ",pt
47,"Coisa Linda meu menino 
Muitos Parabéns a ti e a toda a equipa!",pt
48,Apaixonadíssima por esta música,pt
49,Nossa meu irmao meu orgulho minha energia para superar as deficuldades de todos ks dias obrigado nuno bora para o #top1,pt
50,Viciadoooooooooo demais sou angolano e amo essa musica,pt
51,Junto ao mar com companhia a ouvir esta música é linda.,pt
52,"Já conheço a voz do Nuno desde o meu 5º ano e sempre gostei imenso, tal como adoro esta música! Desejo-te o maior sucesso porque mereces e realmente cantas muito bem, mil beijinhos",pt
53,Passado 1 ano e eu continuo a ouvir a musica!!! Continua assim️,pt
54,"Linda esta musica Nuno, não me canso de a ouvir!...Felicidades pela vida fora e continua sempre assim. ",pt
55,Hum amo Portugal  lindo país  tem cantores maravilhosos  amo-te  Portugal. ,pt
56,"É lindissima!! Toda vez que ouço arrepio me toda! Lembro me bem de ti no the voice, representaste a equipa do Mickael e sei que ele gostava muito de ti. Evoluiste imenso... Parabéns, espero continuar a ouvir mais trabalhos teus e espero que tenhas muito sucesso :)",pt
57,amo esta musica é linda ouço todos os dias ,pt
58,Sou completamente viciada ,pt
59,"Uau, estou completamente apaixonada por esta musica ️",pt
60,"Nossa ! Que canção tão bacana !!!!
Nuno , você é a voz de Portugal 🇵🇹 Força Portugal 🇵🇹 ",pt
61,"Belíssima música , parabéns!! Contínua no bom caminho.",pt
62,"Já ouvi está música umas 10000x e não me arrependo, se fosse preciso ouvia outras 10000x️️️️️",pt
63,"Estou viciado na música mano, continua assim ️",pt
64,Que som e voz maravilhosos. Está excelente. Parabéns. Adoro. Obrigado por nos presentear com seu talento Nuno. Votos longa carreira. ,pt
65,"Conheci te através do The Voice , ouvir esta música maravilhosa e ver no que te tornaste é mesmo incrível",pt
66,Nove milhões de visualizações é obra. Parabéns,pt
67,Linda música,pt
68,"Adoro, gosto da música e da letra. Muito boa️",pt
69,Parabéns pela música. Nunca ouvi uma música tão bonita.️️,pt
70,"Foi lancada a dois dias e ja e um sucesso,viciei",pt
71,"esta música faz me lembrar imenso a minha mãe, e tambem tenho ela como toque do telemóvel ",pt
72,Essa musica é tao linda,pt
73,"Canção muito linda, gosto muito.",pt
74,Linda voz miudo! Força que vais longe.,pt
75,"Musica fantástica, adoro o teu trabalho...",pt
76,Outra grande VOZ!!!!,pt
77,Eu um dia em antes do fim de ano a ouvir está música estou rendida a está música ️,pt
78,Simplesmente adoro,pt
79,Muitos parabéns Nuno és mto talentoso mto sucesso tudo de bom!,pt
80,Amo essa música ,pt
81,Linda musica nao me canso de ouvir ️,pt
82,Música mais linda e toca mesmo no coração  <3,pt
83,"Amo demais esta música, não consigo parar de ouvir.
Muitos parabéns, tenho a certeza que conseguiste transmitir esse sentimento a todos nós.
Beijinhos e muito muito SUCESSO.",pt
84,"Gostei imenso da música, continua assim! ",pt
85,Simplesmente linda!!! Não canso de ouvir ,pt
86,Está  a música. Parabéns ,pt
87,"Adoro a música, é tão profunda...",pt
88,"Adoro a musica ja a ouvi tres mil vezes e nunca vou me cansar de ouvir, parabensesta fabulosa",pt
89,Amo  essa música ️,pt
90,"Espectáculo de música,parabéns e obr Nuno Ribeiro",pt
91,Incrível irmão! ,pt
92,Parabéns Nuno um forte abraço apoiando a música nacional excelente BRUTAALLL 🇵🇹,pt
93,"Música mais sentimental não existe,... meu deus!!! Está música tocou me no meu coração. Aquela frase "" Só eu sei o que é estar longe de ti...!"" repete se mil e uma vezes na minha cabeça!!",pt
94,"Desde que houvi a primeira vez a música apaixonei - me por ela e até agora ainda não consegui parar de a ouvir.
Estás de Parabéns.",pt
95,Outra musica e palavras lindíssimas!...Adoro Nuno. Obrigado.,pt
96,Música  maravilhosa,pt
97,"A musica é fabulosa demais, ja escutei muitas vezes. Tens o meu apoio desde a Russia!",pt
98,Viciada nesta canção,pt
99,"Oh mano, carrega em cima, continua  Quem te diz que não tens futuro? Estás bem perto do sucesso  És grande, grande som ",pt
100,Que linda música! Parabéns!!!,pt
101,"Canção linda, voz igualmente...",pt
102,Este tipo nem era conhecido na rádio e já eu tinha conhecido esta música (e ainda bem!) fiquei quase que eufórico quando ela começou a tocar.,pt
103,Amo demais essa música ,pt
104,Amo esta musica. Continua assim que vais muito bem ,pt
105,Grande som parabéns continua assim,pt
106,"Mais uma música incrível para o mundo, Nice!️",pt
107,Eu amo está música estou viciada ️,pt
108,"Pode suar mentira mas eu não paro de ouvir isto todos os dias 
Adoro te muito ️
Até na semana passada fui contra um rapaz parecido contigo e chama lhe Nuno e ele ficou atoa 
És lindo Nuno Ribeiro ️️️",pt
109,Está música e linda Nuno muito sucesso na tua carreira,pt
110,Simplesmente linda esta música não me canso de a ouvir parabéns bruno és um cantor 5 estrelas e viva a música portuguesa ,pt
111,"Linda música, linda voz!!! ️",pt
112,Excelente  Muitos parabéns!!!!,pt
113,"Parabéns a ti e a todos os que fazem parte deste teu projeto, bom trabalho :)",pt
114,Está linda a musica! Muito bom ,pt
115,Muito bom!!!,pt
116,"Totalmente viciada 
Parabéns e muito sucesso!!!",pt
117,Amei está musica bate mesmo aquele sentimento da musica no coração bela musica continua não desistas BONS SONS,pt
118,Identifico-me bastante com a Música. É mesmo sensacional  a música. Obrigado Nuno Ribeiro! Excelente trabalho!,pt
119,"Uma palavra define esta música ""PERFEITA"" AMEI A MÚSICA PARABÉNS
ESTÁ MÚSICA É MAIS VICIANTE QUE QUALQUER DROGA ",pt
120,Gosto imenso desta música,pt
121,Nao conhecia... mas ouvi na radio e viciei mt linda,pt
122,Amo a música Nuno Ribeiro!,pt
123,Não consigo parar ouvir esta música,pt
124,"Já acompanho o teu trabalho desde o The Voice PT e sempre soube que ainda ias dar muitas mais cartas nesta industria,nao so pelo teu talento,mas tambem pela tua personalidade. 
Confesso que quando ouvi este tema na novela ''Valor da vida'' adorei de imediato,mas nao reconheci a tua voz!! Quando vim pesquisar e vi que eras tu fiquei perplexa!!! Evoluiste tanto Nuno!!! Estou muito orgulhosa!!! Agora é continuar!! Beijinho.",pt
125,Essa música foi feita para mim e a pessoa que gosto ,pt
126,Incrível demais ,pt
127,Completamente apaixonante e declarante ,pt
128,"Adoro! Continua, Nuno ",pt
129,Lindíssima adoro  suas músicas não me canso  de ouvir parabéns e muito sucesso ️,pt
130,Adoro estou viciada,pt
131,Para ti meu querido irmão ÂNGELO. Morro de saudades tuas. A tua partida.... impossível acreditar. Amo te muito.,pt
132,"Que música maravilhosa
Parabéns ️",pt
133,Esta música faz me pensar na vida e no meu futurooooo,pt
134,Adorei!! Gosto muito muito ,pt
135,"Música espetacular, demais mesmo ️ adoro ouvi lá e faz me pensar em certas coisas na vida. Muitos parabéns puto! Vais ter um futuro brilhante, continua assim ",pt
136,Contínua com o ótimo trabalho!!! ,pt
137,Que música belíssima ,pt
138,Adoro esta letra e música.. Parabéns,pt
139,MUITO BOM ,en
140,"Amei
esta música faz pensar na vida !!!!!!
como ela é curta e triste",pt
141,"O som está espetacular 
Adorei 
Parabéns",pt
142,Muito bom!,pt
143,Música linda!! Obrigado pelo espetáculo no encontro no Porto!!,pt
144,É incrível o puder desta letra  sem palavras ,pt
145,"Música simplesmente linda
Amo mesmo",pt
146,Grande música e grande som e o cenário está top,pt
147,"Deus te abençoe, muita saúde felicidades e sucessos sucessivos... És bom ️",pt
148,"Adorei esta canção, Nuno.Continua, auguro-te um futuro brilhante",pt
149,Adoro ️,pt
150,"Não te conheço mas tenho de admitir que cantas muito bem, a música e vídeo clip ficou um máximo. Adorei ouvir.
Boa Sorte na sua carreira",pt
151,Eu estou apaixonada pela música,pt
152,ouço esta música desde que saiu e continuo tão viciada nela !,pt
153,Música excelente ,pt
154,Parabéns não canso de escutar essa música linda ,pt
155,A música é lindíssima tou VICIADA,pt
156,Essa música é mesmo Linda ,pt
157,EU  SEI  QUE  QUANDO  SE  AMA  COM SENTIMENTO  E DIFÍCIL  SE  ALGUÉM   NOS  DEIXA  MAS NÓS NÃO  SOMOS  DONOS   DE  NINGUÉM POR  FAVOR  TENTEM  ULTRAPASSAR  A  PERDA  DE  UM  GRANDE  AMOR NÃO   MATEM  NINGUÉM PAREM  COM  A  VIOLÊNCIA  DOMESTICA  E NO  NAMORO  TAMBÉM    STOP  ESTE  VÍDEO  É BRUTAL   PARABÉNS  NUNO   RIBEIRO            QUEEN TORRES,en
158,Música mais linda do mundo meu deus !!!! Faz tanto pensar,pt
159,Meu vício Nuno ribeiro perfeito demais,pt
160,"Fantástico bro, lembro dos tempos em k participaste no the voice e fds k evoluçao! Parabéns mpt",pt
161,"Espetáculo, excelente música gosto muito e é portuguesa",pt
162,Música  maravilhosa,pt
163,"Parei no tempo ,amei a música ,obrigado por me dares este momento único espétacular",pt
164,"Adoro a música, desde que te vi no the voice Portugal e tens jeito pra cantar",pt
165,"Adoro as músicas dele ,já ouvi mais de 1000vezes",pt
166,Esta música é linda,pt
167,"grande musica, parabens e obrigado",pt
168,Parabéns Nuno!! Boa Música.,pt
169,Foi um show o que fizeste no parque oriental na sexta-feira foi lindooooo ADOREI confesso que não te conhecia mas naquele dia descobri um novo ídolo as tuas músicas são lindas,pt
170,"Amo esta música, a minha favorita",pt
171,Identifico me mt com esta música. Lindaaa. Viciei,pt
172,2022 até o infinito irei ouvir ,pt
173,"As tuas musicas são  tão  lindas. 
Sou tua fã  sem dúvida. Adoro a tua voz. Ass: LILIANAMORAIS",pt
174,"Adorei a música, boa sorte Nuno! :)",pt
175,Grande voz música linda,pt
176,Parabéns. Continua o bom trabalho ️️️️️️️️️. Viciei,pt
177,Eita música linda!,pt
178,Muitos parabéns a musica está top rumo a 1M ,pt
179,Mds deveria de estar nos top 1!!! ,pt
180,"Amei a música, maravilhosa! Parabéns da Espanha :)",pt
181,Adoro linda musica ,pt
182,Amei a música minha música preferida do momento ,pt
183,Um vício adoro ,pt
184,Tô viciada ,pt
185,Viciada nesta música!!! ️ Please keep writing bro! ,en
186,Adorei a musica  tem um grande sentido para mim,pt
187,Desconhecia este jovem mas canta muito bem parabéns. ️,pt
188,Não há palavras pra descrever esta música perfeita não me sai da cabeça continua assim,pt
189,Melhor impossível!! Ameiiiii,pt
190,"Musica linda, amei️",pt
191,"Estamos a viver u' bom momento no que diz respeito a música portuguesa  Parabéns, ganhaste mais um ouvinte e subscritor ",pt
192,"Adoro esta música...
Identifico me muito com ela 
Passei uma fase difícil na minha vida mas felizmente tudo mudou...
E esta música diz um pouco disso...",pt
193,Adorei,pt
194,eu ouço todos os dias,pt
195,Desde de já  o meu muito obrigado pela   sua atenção muito sosseso para a sua carreira musical você tem muito talento,pt
196,"Grande música, bom trabalho ",pt
197,Dezembro de 2021 e continuo a adorar essa música. ,pt
198,"Excelente som... linda música. esta música é viciantee, não me sai do ouviddo. muitos parabéns nuno e continuaçãO DE MUITO  SUCESSIO",pt
199,Muito linda essa música!!!,pt
200,Maravilhosaaaa !!! Extremamente viciante <3,pt
201,A 2 anos k ouço esta música sem dúvida que é a melhor de Portugal,pt
202,Eu adoro as músicas do Nuno Ribeiro,pt
203,...amei...um presente!!!...,pt
204,"Brutal mesmo, adorei mesmo <3 Faz lembrar momentos que passei :(",pt
205,Ja ouvi esta musica umas10000× este ano agr so d imaginar quantas vezes vou ouvir em 2020...,pt
206,Adoro a música está brutal!!! Adoro te bué tens sucesso!!,pt
207,Adoroo continua o trabalho exelente que tens vindo a fazer,pt
208,Adoro a tua voz. Muito único! Parabéns de Vietnam. Vivo aqui em Lisboa agora e gosto das tuas músicas!,pt
209,"Viciei na música, está fixe , parabéns nuno",pt
210,Apaixonada!!,pt
211,Linda música gosto muito de ouvir bjs pra ti,pt
212,Muito bom msm ,pt
213,Linda esta música parabéns Nuno Ribeiro é uma música que Para mim tem muito significado muitos parabéns e que tenhas uma grande carreira pela tua frente felicidades ,pt
214,Espetacular está música é linda,pt
215,Linda música ,pt
216,Quando ouvi a primeira vez esta música eu viciei Adoro,pt
217,Adorei a música,pt
218,Boa musica. Continua assim que vais ter muito sucesso.  Abraco nuno,pt
219,Que linda linda musica parabéns,pt
220,"Adoro, adoro, adoro.",pt
221,"Ainda não me cansei de ouvir esta musica, ainda me lembro quando  foste dar um concerto no encontro de EMRC no Porto foi épico",pt
222,Adoro fica a lembrança ao ouvir esta linda musica ,pt
223,"O som está espetacular meu , keep up bro",pt
224,Muito bom amei️️️️,pt
225,"Eu em 2021 a ouvir esta música.
Amooo️",pt
226,Amo ️,pt
227,Eu. Estou a descobrir estes músicos  tão talentosos e que são portugueses. Parabéns .,pt
228,A música está mesmoo adoreiii,pt
229,Está super bom adoro a música e o videoclip.,pt
230,Essa música  é especial ,pt
231,Melhor música estou viciada️️️,pt
232,Amei continua assim ,pt
233,ADOREI ! Nes preciso momento é a minha 2 música preferia !!!,pt
234,"viciei. Contínua, se continuares a fazeres músicas assim vais bombar!",pt
235,boa música Nuno ribeiro! Continua assim!  Muito bom! Etlstá top! ,pt
236,Tá muito top ,pt
237,Lindaaaaa! Só tu vives em mim! ️ Queria tá com quem eu gosto agora,pt
238,Uma musica que descreve o teu talento,pt
239,"Muitos Parabéns Nuno...
Grande abraço,
Pedro Lima",pt
240,2022 e sigo adorando essa música! ,pt
241,Amei ainda continuo ouvindo,pt
242,Parabéns linda música que toca profundamente os corações. ,pt
243,adoro muito esta musica,pt
244,"WOW  Primeira vez que ouvi o Nuno e fiquei apaixonada pela voz dele. Continua, e muito sucesso!! Tanto a letra como o vídeo estão fenomenais! ",pt
245,A minha música preferida ,pt
246,Sem palavras ... amei ,pt
247,Lindo tema parabéns e felicidades,pt
248,"Opá adoro, que voz linda  que letra linda  que cantor lindo  só é pena não seres o actor, ficava muito melhor contigo ️",pt
249,Música perfeita  muitos parabéns ,pt
250,Linda essa música  hum adoro ,pt
251,"Obrigado por esta  musica faz me  lembrar a minha familia em Portugal ... Tao longe  
USA 🇺🇸 Portugal 🇵🇹 ",pt
252,Ficiei de+nas tuas músicas ,pt
253,Amazing song! Respect from Serbia!,en
254,"viva as nações lusófonas abraços do Brasil, musica muito boa.",pt
255,"Brutal!!  
Obrigado por este tema maravilhoso! ",pt
256,"Grande Musica. Simplesmente linda, faz me sonhar :D",pt
257,Parabéns linda música  a conpanhada de uma voz brutal...,pt
258,adoro ...estou viciada,pt
259,"E eu a saber que está música me descreve a mim, e ao meu crush",pt
260,Esta musica bombou agr!! Best music! Edit:Mano dás mt carinho aos fãs ,pt
261,Depois do concerto na Sobreira eu fiquei demasiado viciado nas tuas músicas,pt
262,Adoro,pt
263,Está um espetáculo estou sempre a ouvir vicie muito mesmo,pt
264,"Está top,top! Parabéns Nuno. Continua...Abraço.",pt
265,"Está perfeira a musica, grande trabalho, forca e continua ",pt
266,Vais ter muito sucesso. Parabéns.,pt
267,Sou sei que esta linda musica ficará no meu coração  ,pt
268,"Tá msm top, adorei
Viciei completamente
Continua o bom trabalho que tens feito",pt
269,Amei a música quer dizer nem sai da minha cabeça amo amo amo ♡♡♡♡,pt
270,Adoro demais !!,pt
271,Música com muito sentido!..,pt
272,"Só eu sei o que é estar longe de ti ,Ganda som",pt
273,Incrívelmente incrível fofinho ,pt
274,Está música é muito bonita,pt
275,Oh meu deus isto está tão bom!!!,pt
276,Tens uma voz incrível cantas muito bem,pt
277,Linda música,pt
278,Eu adoro até ja ouço na escola quando o stor deixa :D és incrivel,pt
279,Só eu q acho q parece bué a voz do Fernando Daniel?!?! Jurooo q amo esta música muitos parabéns ( embora já tarde né),pt
280,"TOU VICIADA 
Adorei !  , tens futuro e do grande ",pt
281,Já a tenho no tele ,pt
282,Música linda voz linda,pt
283,Obrigado á novela por me fazer conhecer esta BELA musica ,pt
284,Adoro ouvir,pt
285,Amei e partilhei. Musica TOP  :*,pt
286,Muito bom!!!Parabéns,pt
287,Eu ainda ouço...A minha triste realidade,pt
288,Lindo ,pt
289,Eu ouço está música várias vezes ao dia eu amo esta música ,pt
290,"Rainha tu fazes me escrever mais e muito mais, por ti e por mim.",pt
291,Love your country 🇵🇹and your songs - love from India 🇮🇳,en
292,Liiinda!Adoro!!,pt
293,Adoro,pt
294,A música está bacana puto Nuno aquele abraço e sucesso,pt
295,Adoro!,pt
296,Muito boa !,pt
297,top demais ! ,pt
298,Está música e muito bonita parabéns para ti ,pt
299,"A Rádio Comercial viciou-me nesta música, e olha q escrevo de 🇬🇧 ️",pt
300,"Tá top não paro de ouvir mesmo top , continua assim boa sorte.#nunoribeido.",pt
301,Eu gosto mto da música  é mto linda  e é bastante viciante #best #longeTop,pt
302,Quando amores proibidos perdem as batalhas desta vida músicas assim acelera o batimento cardíaco de um jeito affffff,pt
303,Adoro! :),pt
304,Muito bom mesmo! Continua ,pt
305,Amoooo suas músicas 🇧🇷,pt
306,Que música linda amor ️,pt
307,Musica linda Parabéns continua assim a cantar essas musicas lindas,pt
308,Ganda música ,pt
309,Perfeito ️,pt
310,Adoro a música. Tou sempre a ouvir. Bjs do Luxemburgo ,pt
311,cantas muito bem Nuno Ribeiro ,pt
312,"Eu sei, que temos tudo para dar certo
Eu sei, que só estou bem quando estás perto
Mas agora que não estás, é que eu olho para trás e sei que é bom de mais ter-te aqui 
Eu sem ti não sou capaz, tudo aquilo que me dás, faz-me sentir o que nunca senti ",pt
313,adoro minha musica favorita !!!! (;,pt
314,Amo esta música esta muito brutal,pt
315,E muito bonita esta mensagem.,pt
316,Top adorei ,pt
317,Parabéns és um artista,pt
318,Muito bom <3,pt
319,isto está tão lindo. ,pt
320,Linda música,pt
321,Gosto mesmo da musica,pt
322,Eu estou a ouvir agora mesmo,pt
323,Esta musica    Quando  ainda pensas  alguem  nossaa faz tao sentido,pt
324,Viciei muito mesmo,pt
325,"Penso muito no meu amor ... que está longe ....mas quando olho para trás , parece que estou junto de quem amo",pt
326,"Volta e meia estou cá, atemporal ",pt
327,Orgulho  está top ,pt
328,A melhor música sem dúvida ️,pt
329,"Infelizmente só encontrei esta música agora pq não conhecia o cantor mas agora que a ouvi já me apaixonei
Adorei , está simplesmente fabulosa",pt
330,Adoro linda demais,pt
331,Muito bom,pt
332,Adoro!,pt
333,Parabéns do Brasil 🇧🇷🇧🇷linda música,pt
334,Como a Vida real ️,pt
335, linda música,pt
336,Ola eu sou a Maria e os meus pais  estam longe de mim e esta musica faz me pensar neles  parabens,pt
337,Estou viciada  na música,pt
338,És dos maiores cantores de Portugal,pt
339,Adoro esta música ficou muito fixe.,pt
340,Tá muito bom mesmo ,pt
341,Aqui está eu de novo melhor musica to viciada,pt
342,Lindo!,pt
343,Dedico esta música à uma linda menina que trabalha no Molete Bread & Breakfast de Matosinhos com amizade.,pt
344,Amei a música,pt
345,"Continua assim nuno es grande, grande música ",pt
346,"Alguem aqui em 2021?
Adoro esta musica
Ele é perfeitooooo adoro a voz dele",pt
347,nem sabia que e o nuno ribeiro a cantar esta musica adoro,pt
348,Altamente bro. Continua assim!,pt
349,Tou bem viciada,pt
350,musica demasiado apaixonante,pt
351,"De nooovo aqui CD... PT... ️️
Você dedicou a mim... 
Eu acreditei ...",pt
352,Love from Brasil 🇧🇷,pt
353,"Já amava a musica, mas quando vi o videoclip pela primeira vez pirei literalmente. Ilha do pessegueiro e porto covo é só o q tenho a dizer. OMG
PORTO COVO AINDA N ACREDITO",pt
354,"Continua assim , grande música",pt
355,Esta é para ti irmã estas longe de mim pois os  pais tão separados mas estas sempre no meu coração está dedico te a ti <3,pt
