,comentario,liguagem
0,Vivi 9 anos em Espanha e sempre disse que duetos entre cantores portugueses e espanhóis teriam sucesso!! Parabéns Nuno e Ainoa!,pt
1,"God Bless the beautiful Iberian people. My Blood, heart and soul forever Portuguese. Love from Australia",en
2,"A língua portuguesa é deveras uma beleza! A espanhola tb não fica atrás e a combinação de ambas nesta linda canção enche-me o coração! De parabéns mesmo e com poucas palavras mas certeiras, consegue-se fazer sentir mil emoções e reviver sentimentos!",pt
3,"Bom dia, desde dos Estados Unidos 🇺🇸️🇵🇹 Está música tem um letra bonita onde cada um de nós pode dar lhe um significado tao pessoal. Abraços de uma portuguesa que apesar de ser americana ama Portugal 🇵🇹️",pt
4,Cantor fantástico! ADORO! Todo que canta é simplesmente ,pt
5,Esta é a música mais romântica e doce que ouvi nos últimos anos em Portugal. 🇵🇹️🇪🇸,pt
6,"Nuno, belissima esta música. A tua voz é única ",pt
7,"Estou muito viciado nessa música. Adoro a música portuguesa, desde Brasil beijinhos! 🇧🇷",pt
8,Quanto amor em forma de música . Saudações do Brasil.,pt
9,"Muito sucesso nesse projeto lindo da ""Maria Joana"" merecido ",pt
10,Moito obrigada Nuno!! ️ foi um prazer ,pt
11,Música cheia de sentimento ️...,pt
12,Caramba mano você canta bem🇵🇹🇧🇷,pt
13,"A capacidade desta música para transmitir muita serenidade é absoluta,  por duas pessoas que sabem cantar. Cada vez mais, vai sendo  difícil encontrar músicas a sério em Portugal! Parabéns!",pt
14,"Parabéns Nuno, já passaste os 500mil votos. Um grande ",pt
15,Parabéns agora sim é um prazer ouvir música portuguesa. Abraço,pt
16,Adorei a mistura do português (Portugal) junto com o espanhol. Abraços desde  🇧🇷️,pt
17,O Nuno é dos melhores que Portugal tem! ️,pt
18,Estou verdadeiramente viciado na música  Muitos parabéns aos dois! ️,pt
19,"""Sinto me Livre por estar preso a ti""
Procurei toda a vida pelo o Amor e pela Liberdade sem saber se eram compatíveis.
Parabéns por esta linda música ",pt
20,Porra puto... Já  fazia tempo que uma canção não me emocionava tanto... Estão os dois de parabéns por esta obra prima ️,pt
21,Ouço essa música todos os dias♡,pt
