,comentario,liguagem
0,":: Letra ::

A distância não apaga a nossa história 

E o tempo não te leva da minha memória ",pt
1,"Esta música dá-me força para continuar a lutar por alguém que eu sei que fará sempre parte de mim, parte da minha vida. Obrigado Nuno!",pt
2,"""A distância não apaga a nossa história
E o tempo não te leva da minha memória
Mas tu não estás aqui
Tu não estás aqui""",pt
3,Existem amores que ficam para sempre guardados dentro de nós️,pt
4,Sensacional!! Um grande abraço do Brasil a todos nossos irmãos de Portugal. música perfeita,pt
5,"Só tenho a agradecer Por ser portuguesa, obrigada Nuno pela música incrível!",pt
6,"Diretamente do BRASIL curtindo está música linda, perfeita! Enche minha vida de esperança. Nuno Ribeiro você consegue expressar em suas canções, todo  sentimento preso no coração dos apaixonados. Obrigada!",pt
7,"A vida segue mas há amores que são para sempre mesmo depois do ""fim"". 
 .",pt
8,Adoro essa música  Grande cantor,pt
9,A vida segue mas há amores que não esquecemos ️,pt
10,"Quem está no Brasil e ama esta música, dá um gostei!

Muitos parabéns por esta música que, certamente, toca os nossos corações.",pt
11,Passei esta música à várias pessoas amigas lá no brasil e olha que adoram esta tua música... ,pt
12,"Há pessoas que ficam para sempre gravadas em nossos corações... linda esta música, viciante ",pt
13,"Parabéns,Nuno.
Os teus pais merecem o orgulho que lhes proporcionas.
Ficamos felizes por ti e por eles.
Céu e Rebelo",pt
14,Esta será para sempre a nossa música Veronica. Só nossa. Amo te ️,pt
15,Não precisamos de estar a passar pelo mesmo para esta música nos marcar a sério.... É a minha música do momento... Parabéns Nuno,pt
16,"Nem sempre são amores, por vezes amizades inesquecíveis, linda esta música, que já me ajudou tento muitos parabéns, um excelente cantor.",pt
17,"O nuno ribeiro é  uma grande promessa da musica portuguesa. Adoro. E por mais icrivel que pareça  tem mais saída  que o mentor do programa em que ficou conhecido. É  5 estrelas, desejo  lhe toda a sorte do mundo",pt
18,como disse um poeta:´´O amor é eterno enquanto dura.``,pt
19,"Amando as músicas do Nuno 
Amo esse sotaque português
Brasileira aqui 
🇧🇷🇧🇷🇧🇷️️",pt
20,"Se isto não for o teu maior Hit, a nossa amizade acaba",pt
21,"Essa música é um soco no estômago... tantas memórias dentro de um único enredo... e não consigo parar de ouví-la. A letra, a voz e a interpretação são impecáveis.",pt
22,Portugal tem artistas incríveis e tu és um deles!!! por mais músicas destas!️,pt
23,Estes novos cantores são o futuro da música portuguesa parabéns pelo excelente trabalho e talento bjs,pt
24,Nuno está espectacular e nunca é tarde demais para ouvir esta linda música,pt
25,"Tão linda ️ obrigado, Nuno!  Continuo a dizer que és um dos melhores artistas da atualidade ",pt
26,Acabaste com o meu psicológico  mas está música me dá forças para continuar a lutar retrata exatamente o que eu estou a sentir e a passar neste momento. Obrigada Nuno és o nosso orgulho continua  assim que vais longe. Bjs ,pt
27,"Completamente apaixonada por esta música, da me forças para continuar a lutar pela pessoa que eu tenho a meu lado lutar por mim.
Obrigado Nuno",pt
28,Obrigada Nuno esta música faz nos aprender  que não devemos desistir da pessoa que amamos,pt
29,Descobri esta canção lindíssima no período mais difícil da minha vida e ajudou-me imensamente... Obrigada Nuno! Abraços da Índia 🇮🇳,pt
30,Daqui a uns anos vais ser considerado como um dos maiores cantautores portugueses,pt
31,Linda música. Parabéns Nuno. És o  maior. Mereces tudo,pt
32,"Linda canção, parabéns! 🇧🇷",pt
33,"O melhor artista do momento, cada música faz me lembrar do passado e do meu presente... Meu muito obrigado Nuno Ribeiro...",pt
34,"Compartilhando com meus amigos, me deixa triste que no Brasil se conheça muito pouco das canções portuguesas",pt
35,"Está brutal bro! 
Muito sucesso de coração! 
Ganhou mais uma subscrição! ️",pt
36,"Você é como o Luan Santana do Brasil 
Amo suas músicas. Sou brasileira, morrendo de vontade de ir conhecer Portugal quando tudo isso passar...",pt
37,Tens um futuro brilhante a tua frente. Muitos parabéns porque és um excelente cantor. E esta música.. háaa possa .. é linda!! Existem amores que nunca se esquecem.. ️,pt
38,"O Nuno tem um estrelinha especial, porque é humilde e verdadeiro.",pt
39,Não me canso de ouvir música linda linda demais parabéns Nuno ,pt
40,NUNO RIBEIRO  QUE  LINDA  VOZ E QUE  LINDA  CANÇÃO  TU JÁ ÉS UMA ESTRELA  NO MUNDO DA MUSICA  BOA SORTE  FELICIDADES  LÚCIA QUEEN,pt
41,Esta Música dá-me vontade de viver e de continuar a seguir os meus sonhos e os meus objetivos. Mas nem sempre é tão fácil de os conseguir l.Obrigado Nuno Ribeiro por esta música,pt
42,"Apenas o Amor verdadeiro vence Amor livre de egoísmos, exigências, orgulho,..Amor é maravilhoso mas como tudo na vida tem o seu tempo, se não fôr cuidado e regado acaba por desmorenar..e assim, ser Tarde demais!!",pt
43,Uau ! Fiquei com lágrimas nos olhos. Parabéns por esta música excelente ,pt
44,Música maravilhosa. Continua o bom trabalho! Parabéns Nuno!,pt
45,"Juro, amo tanto esta música  Estava à espera que saísse desde o concerto no insta  A sério, está simplesmente linda! Tenho imenso orgulho em ti ",pt
46,"Nuno grande compositor, posso ouvir está música 30 vezes seguidas choro sempre palavras sentidas, qualidade, sentimento naquilo que fazes, transparece. Obrigada por pareceres e tornares a música portuguesa mais rica adoro",pt
47,"Que música linda, linda.... Adoro, força Nuno luta pela tua carreira tu mereces",pt
48,"Incrível, cada vez melhor! Arrepiou! Sucesso! ️",pt
49,"Adoro as tuas músicas, porque fazem-me compreender o que é a vida de cada pessoa e dá-me coragem para seguir em frente. Muito Obrigada Pelas Tuas Músicas, mais lindas do mundo.",pt
50,"Das músicas mais bonitas de sempre, obrigada por isto!! ️",pt
51,Certeza que vai ser a nova música da minha playlist !!!,pt
52,"Música incrível, que fica no ouvido  parabéns Nuno!",pt
53,"Música sem dúvida tocante, tempo volta pra trás ",pt
54,"A distância nunca apagarà as històrias ,e o amor jamais se esquecerà",pt
55,Cada vez gosto mais desta musica! É pura e simplesmente linda! Parabéns mais uma vez Nuno. Felicidades. ,pt
56,Todos os dias ouço pelo menos umas 10 vezes . Incrível ,pt
57,"Esta música fará parte da minha vida para sempre , me lembrará sempre aquele amor, mesmo longe do que um dia vivemos eu vou amar-te sempre.",pt
58,Parabéns Nuno já atingiste o meio milhão  de visualizações. ,pt
59,"Lança a letra disso 
Vai alcançar o mesmo ou mais que a longe ",pt
60,Ainda tem pessoas que cantam com alma,pt
61,"Amo tanto mas tanto esta música. Engraçado que ele sabe o que eu queria gritar ao mundo, esta letra foi feita para mim. Obrigado por esta maravilhosa letra, desejo muito sucesso com  ela.",pt
62,Canção muito bonita e muito bem cantada! Não sabia quem era o músico.Admiro-o MUITO,pt
63,Que música tão linda! Grande Nuno ,pt
64,Cada vez que ouço esta música fico cada vez mais viciado na letra e tb gosto mt do cantor bom trabalho ,pt
65,"Muito bom Nuno, parabéns ",pt
66,Amo esta música  Parabéns pelo teu percurso Nuno Ribeiro ,pt
67,"Amo esta música... Exatamente o k estou a viver no presente.. 
 És muito talentoso... Voz linda... Beijinho diretamente do Porto",pt
68,Lindíssima canção .Obrigada Nuno.Muitos sucessos,pt
69,Esta música é tal e qual a minha vida amo ,pt
70,Linda demais. Faz doer o coração de tão perfeita e de encaixar tão bem,pt
71,"A distância não apaga a nossa história 

E o tempo não te leva da minha memória 
vicianteee",pt
72,Melhor música portuguesa  !  Acho que toca no coração de muitos️,pt
73, sem palavras para esta música é linda parabéns Nuno obrigada ,pt
