,comentario,liguagem
0,"Imagine listening to this song while living in a blue world, and all day and all night and everything you see is just blue.",en
1,"Heard this on the radio while in the car. Sounded so familiar, so went on YouTube to look for it.
First few days listening the lyrics of “Blue” kept popping up in my head. Now I’m just really enjoying the song for what it is ️",en
2,I'm a guy but this song perfectly sums up how I feel for one girl ... crazy how some situations make you get certain songs.,en
3,"One of the best songs in world... Its so smooth, chill, romantic, calm, enjoyfull and full of harmony!",en
4,"This song reminds me of my ex-crush who gave me some hope and I waited 3 years for nothing  and when I finally moved on, I realized that there are a lot of amazing people who are better for my well-being waiting for me. You just need to get up and do something. Never waste your time girl.",en
5,"This really reminds me of “I’m blue if I were green I would die “ and it really sounds like it , so I love this song even more",en
6,"This song makes me want to live in a blue world, with a blue corvette, and everything i see is blue like me inside and outside.",en
7,"beautiful song, whats funny about this is that its taping into my chest, the melody and the song from the hook, the vocals feels like its reminding me of my past life or some place i havent been too.",en
8,"The best I've heard for the last few years, her voice, her feelings.. it's incredible",en
9,"Lyrics: Hmm, yeah, yeah, yeah, yeah

[Verse 1]
I will find the time, we will find the timing",en
10,This song is on repeat for me ,en
11,"This song reminds me of a book called once you loved me more than life, the girl married a man for 5years who never loved her but she kept hoping one day he will love her back",en
12,"I love this chorus....
I love this voice.... 
I love this song !!!",en
13,"I don't know if I love or hate this song. It just fits so perfectly. I'm in love with a good friend of mine but I know, that this will never happen, but I am stupid enough to ""wait"" and probably end up on my own.",en
14,This song makes me want to take a long drive into the sunset ,en
15,"This song makes me want to achieve every goal I have because it has emotional value, that's why when I manage to get into the university I want I will come and write again that I achieved.",en
16,Heard it for the first time last week and I wonder how does this masterpiece not have more views ,en
17,"The day my ex girlfriend left me was the day i discovered this song back in 25 June 2020 and every part of this song bring the memories and make me cry cause it describe my feelings perfectly and it's make me happy and broke in the same . 

The pain of knowing that the person will never love you back and hoping they will only hurt you even more",en
18,"I'm blue dabudibadu da dabudida, oh that's not this song haha! Joke aside, it's a beautiful one <3",en
19,"It's obvious what drove this song, but yet it's so unique and beautiful in its own way. Amazing job.",en
20,Do you know the kind of songs that you don't like at first and then they grow onto you? That's how I feel about this song,en
21,Loving someone who don't even know your name hurts waaaay more than rejection... ,en
22,"I am so happy I'm not the only one who's brain immediately chants ""I'm blue"" when the refrain plays-",en
23,"I have a strong feeling that the melody was at one point a placeholder for the chorus and came to stick at some point through production. I do this myself when producing; sometimes I’ll throw in random shit as a gag, but I come to like it at some point, so I choose to keep it. I know my friends to do the same as well.",en
24,Love it!,en
25,"So many people recounting their personal connection to the song and it's great, whereas this reminds me of my wife's pov before we got together.

I was the emotionally distant one, and honestly we couldn't have found each other at a worse time. To me I thought I was open and interested, but hadn't appreciated how bad a condition I was in following some heavy things weighing on me at the time. To her I was this distant, emotionally unavailable guy she had fallen for but thought was leading her on, in truth I was head over heels and was giving all I had at the time it just didn't occur to me love could happen.",en
26,Awesome song...Loving it ,en
27,I love the chorus ,en
28,I love her voice. The way she sings with the music at 1:50-2:00,en
29,I really love this song!!,en
30,Que melodia linda! Estou fascinado!,pt
31,Omg I just found this song and I can't stop hitting repeat,en
32,i love when artist use a retro rythm for a new song. Nice =3,en
33,This song is beautiful ️ I love it,en
34,"I really enjoy this song,the lyrics strike a chord and it's an hommage to ""I'm blue"". Thanks for uploading this song !",en
35,Beautiful. These words seem to have been wrotten with a Blue heart. Thanks for this!,en
36,"Full Lyrics ️ 
I will find the time, we will find the timing
'Cause you are on my mind, I hope that you don't mind it
You know that I want you, you know that I want you next to me",en
37,"I used to cry and listen to this while driving at night coming from work feeling nervous about my feelings to a person I have met… Now we are together ️
I confessed… ",en
38,Just came across this song. Love the hook. And that it makes me think of I'm blue song :) saving this to my playlist for sure <3,en
39,When this song hurts the most but you listen to it on loop,en
40,I love this music and I will listen to it every day even at the end of the lessons,en
41,I literally cannot stop listening to this masterpiece,en
42,Such a Beautiful Song Love It ^v^,en
43,Some say you will love me one day keep up the good work nea!,en
44,She’s such a good singer,en
45,I remember listening to this in 2020! How nostalgic!,en
