,comentario,liguagem
0,"I heard this song first almost 7 years ago in 2015, Hits extremely hard in the nostalgia. This generation and the future ones CANNOT let this masterpiece die.",en
1,"This is truly a masterpiece of its time. When I was a kid, this was my all time favorite song and looking back on it now, I can say it's still one of my favorites.",en
2,This song may be 9 years old. But for us it never gets old. She's truly a masterpiece!,en
3,10 years and it's still a great masterpiece,en
4,"This song will turn 10 years old in May, and I still can't believe it's been that long, but we'll be counting stars during that time. Thanks, OneRepublic, for this masterpiece of a song.",en
5,Quem diria que depois de 9 anos essa continuaria sendo minha música favorita,pt
6,"This song will never get old, no matter how much I listen, I never get bored.",en
7,Haven’t heard this song in 4 years but I still remember every lyric. So beautiful,en
8,"OneRepublic inspired me to go all in with my music. He was once just like me, an artist trying to get heard. And now he’s on on top. It’s happening for me, and Im not stopping when it does! ",en
9,"Quase 10 anos dessa música, eu não a conheço a tanto tempo, mas posso dizer que já fazem alguns anos. Ela é simplesmente incrível, é com certeza uma das minhas músicas favoritas da vida.",pt
10,9 years and this is still my favorite songs that ill never forget.,en
11,"As a 6 year old children, I hear it in the radio, so now I' m 14. It's amazing. I have experienced every time I hear this song.",en
12,"Tempos passam ,mais essa música sempre estará na minha play list",pt
13,"Mano, essa é a musica mais nostálgica que eu tenho, meu pai colocava ela no carro quando tinha viagem em família, eu acho que eu tinha aproximadamente uns 5 anos. Somente apreciem essa obra de arte.",pt
14,It’s easier to count the stars than the memories this song brings to us.,en
15,i love this song i was even listening to it when i was baby this is a masterpiece bro ,en
16,"No matter how much depression i am having in my life, this song gives me hope.",en
17,"Lyrics

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be",en
18,Nunca me canso da paz q essa música me traz ,pt
19,This song may be 9 years old but we can always keep singing it in our head like it just came out,en
20,Amo essa música ,pt
21,"One day this'll be more than 50 years old and when people come back at that time, nostalgia will hit harder than a train.",en
22,"anyone agree that this is an immortal song that just won't be forgotten?
cause this will never fade away, its to iconic",en
23,"Ouvia essas músicas na rádio quando eu era adolescente e na época queria que o futuro chegasse, hoje ouço sentindo falta de quem eu era",pt
24,love this song it brings me back to the old days,en
25,This masterpiece never gets old.,en
26,I love the song I will never forget it,en
27,"l absolutely adore the vibe they give off, the art, the music, just everything",en
28,"Me sinto nessa boa época, músicas boas, e boas vibes",pt
29,"This song is timeless

8 years and still sounds fresh",en
