,comentario,liguagem
0,Imagine how nostalgic this would feel in 10 years,en
1,This song feels like its been made in late 2000s & already feels nostalgic!,en
2,Perfect..,en
3,this song made the beach scene even more better than it already was. the whistling made it so catchy. i watched the movie two times already,en
4,"This song is epic, the movie is epic, so together it’s pure gold!",en
5,I can’t believe he wrote this song in one day. Truly one of the greatest singer song writers of this generation,en
6,adorei,pt
7,This music is beautiful,en
8,NOW THIS IS WHAT I CALL MUSIC,en
9,Top gun 1 and 2 are both quite possibly top 5 soundtracks ever. They chose and wrote the songs so well for the whole vibe of the movies,en
10,This is probably gon be a nostalgic song for the future,en
11,This is the ultimate confidence booster!! gonna stuck in my head for a while:),en
12,"Essa música não tem como enjoar,essa vibe é foda demais",pt
13,The vibe of this song is unmatchable ,en
14,"After seeing the movie last night, it was perfect for the scene on the beach.  Congrats OneRepublic for making history by being on the Top Gun: Maverick soundtrack!",en
15,"no matter how much time passes, this song will always be a masterpiece",en
16,This song feels so nostalgic by some reason I can't describe. Give's me a lot of feelings.,en
17,"Top gun maverick has a nostalgic feel to it. We all were a part of it. And the same nostalgia has taken over this song too. 
Anyone who hasn't seen Top Gun won't feel nostalgic about this song.",en
18,I love this song ,en
19,"I never imagined it would be a song made for a movie.

It's a really good song that doesn't get tired of listening to it and gives off a summer feeling.",en
20,gostei demais da musica e do filme,pt
21,Incredible ,en
22,I can't express how much I love this song.,en
23,Love this song so much,en
24,That whistle alone is enough to carry this song through. One Republic is the real deal.,en
25,O filme e a trilha vão marcar época pra sempre. Um grande suspiro do Cinema atual .,pt
26,This song is so good man it’s that feeling of putting everything behind you all the stress overthinking etc and just moving forward Being Grateful you still here enjoying the moment,en
27,Whenever I feel sad I listen to this song the chill vibes on this song are one of a kind!,en
28,This song gets me started for the day. I can seriously listen it to 500  times and still not get bored.,en
29,This song is just catchy ,en
30,This song fits the movie unbelievably and the setting of it on the beach I love it. Also the whistling wow.,en
31,1999 keeping dreams alive...I graduated in 1999 I feel this song every time I hear it!!  THANK YOU ONE REPUBLIC FOR THIS FEEL GOOD JOINT,en
32,"A música e o filme não podem viver separados. Un traz a mente o outro imediatamente  
Química  incrível !  -",pt
33,A great movie and a great song love it,en
34,Depois dessa música no Top Gun ficaria impossível não premiar o filme com o Oscar de melhor som,pt
35,The song hits different when you're familiar with the scene and the movie .Honestly has a special vibe to it .,en
36,This song makes me want to live life to the fullest,en
37,I’m literally singing this song with my school Choir class for my spring concert this year! ,en
38,The song is amazing. Congrats and well done. Continue the great job.,en
39,"This is one of my new favorite songs, whenever it comes up on my Spotify I will always sing along",en
40,It feels so nice to have OneRepublic still banging after decades.,en
41,Mais uma vez um grande sucesso dos cinemas embalado por músicas grandiosas!!!,pt
42,"Melhor música , melhor filme muito bom.",pt
43,This song reminds of the day where I was watching Top Gun with my friends...it was one of the best days of my life and this song still gives me those goodebumps,en
44,This song makes me nostalgic for a time that doesn't exist or I've never experienced. It really helped make the movie truly special.,en
45,I can’t stop singing this is my new favorite song,en
46,This song puts me in such a good moodthank you.,en
47,Best music video I’ve ever seen and what an amazing song to go with it. Hope the video gets over 3B views ,en
48,"This Song's Lyrics And Beats Are Just Soo Sick 
What An Absolute Masterpiece - Top Gun Maverick ",en
49,I'm obsessed with this song! I watched the movie on the plane to India  (my first time in the country)  It will always remind me of that amazing holiday ,en
50,"Everything about Top Gun: Maverick is cinematic gold.  Hats off to Tom Cruise and the entire cast, production crew, and everyone else involved with making the best film of the decade.",en
51,"awesome song, awesome movie, what a time to be alive, cheers",en
52,LOVE this song!!! Great job Ryan and the boys!!!,en
53,This song is so fantastic good job guys! ,en
54,"Vocês são extremamente sensacionais, venham para o Brasil, de preferência para João Pessoa ou Recife kkkkkkk adoraríamos esse espetáculo aqui, beijoooosssss",pt
55,"this song makes people including me feel the good times with friends and family, amazing song",en
56,"I watched Top Gun Maverick an hour ago, and when I heard this song I couldn’t stop thinking about it!! Excellent movie, phenomenal music ",en
57,"I never watched Top Gun, but i heard this on the radio and i couldnt resist to search for this and add it to my playlist the tune just makes me feel gentle and at ease a good song to just bump and chill to.",en
58,"I can’t say I’m a fan of onerepuplic but This song plants a genuine smile on my face! Hmmm, guess I am a fan. Great song!",en
59,Watched the movie for the 2nd time yesterday & can’t get this song out of my head! It’s so good!,en
60,"I'm totally addicted to this song, such a good vibe!",en
61,this song is such a summer vibe and fit the scene perfectly,en
62,Thank you OneRepublic for making this song I LOVE IT,en
63,"Never even thought to look up this song, but I've been whistling it for the past 9 months. Super excited to find it and quite surprised to see it's One Republic!! Amazing song dudes ",en
64,"Love it, Onerepublic is just a legend",en
65,Makes me want to watch this amazing movie again in theaters! Thanks Tom for keeping theaters alive!,en
66,"I was depressed for so long time, but this song makes me smile. Therapy song absolutly",en
67,"This is what happens when you give the fan's what they want , a wonderful movie and a wonderful song",en
68,Great song! We will be listening another 10yrs from today!  Classic OneRepublic,en
69,"This song should've been nominated for an Oscar along with Hold My Hand, it was (and still is) soooooo good. It's the perfect summer song, but it's also a bopping tune any time of year.",en
70,"The most well called song: it immediatly makes you stop worrying about whatever problem, making you find back joy and love.",en
71,"To me this movie feels like a vacation or amusement park. When you're there, it is lots of fun and emotional. But right before you leave, you become sad that it can't last longer, and once you left you start to wanting to go back right away.",en
72,"Oh my god
The feeling we get from listening is just amazingly marvellous 
Like all the negativity in the world doesn’t exist 
Good job one republic",en
73,"Popular opinion: Everyone agrees that OneRepublic’s visuals, charisma, concept and talent is everything!",en
74,"This film honestly felt like a complete overhaul of the original. To be totally transparent, I'm not really too big a fan of the original Top Gun film, but this one is definitely one of my favorite action films in general. I loved how it gave you scenes that had you tensing your entire body, but it also gave you scenes like the beach ""football"" one where everything felt hunk-dory. This song definitely added to the overall tone and emotion of the beach scene, and it's been stuck in my head ever since I watched the film.",en
75,"I saw it 3 times in a row, one night at the movies; with my 2 best friends; simply unforgettable and memorable, the best movie.",en
76,I love this song so much ,en
77,I can't stop listening to this reminiscing about my childhood watching this movie back in the 90s. Now this tune has just absolutely smashed the new movie. My 3 year old daughter loves me whistling the chorus. Nice to hear a new one republic tune after apologise too..,en
78,Não tem como não dançar  essa música se movimenta dentro de mim... 🇧🇷 ,pt
