,comentario,liguagem
0,"“I ain’t worried by it right now”. 
Truly a masterpiece",en
1,Brian’s whistling is on point! Props!,en
2,"Use me as a ""OneRepublic"" is fire button!",en
3,"This band can do no wrong!   Everything they do is a hit, is awesome, and gets added to my music library.  I  OneRepublic",en
4,I was never a One Republic fan until I watched you guys live on The Voice.   It was insane how good you guys sounded.   Sounded better than any pre-recorded studio.    I was thinking you guys were lip synching it was so amazing.   You got a new fan.   I want to see you guys live in concert now.,en
5,This man has so many number 1 hits hits under his belt it's insane.,en
6,I say it once again their concert is on my bucket list ,en
7,HIS VOCAL IS INSANE!!!,en
8,"It’s insane how good you guys are even without auto tune! I love your music, especially this song!",en
9,The guy's whistle is just ..clean.,en
10,"I've been listening to One Republic since the release of ""Apologize"". Their songs are not mainstream in the Philippines, but you'll always feel nostalgic whenever you listen to their lyrics and melody.  I never went to a live concert. This year, the first-ever live concert that I will watch is of course my all-time favorite -- One Republic! You guys are always full of energy and passion. BTW, Brent is sooo cool!!! ",en
11,100% my favourite band! So worth going to your concert once! This music is the best ,en
12,Love the orchestral element. It creates a nice blend with this song. Well done. Great song.,en
13,"This is an amazing song, especially live, the musicians are amazing, and what A great voice, out of ten I give it 30, nice one one Republic",en
14,"The world needs more whistling. I liked the mix up! Rockin! 

This is my go-to song when I need to elevate my mood! Thank you One Republic!!!",en
15,"I have been a fan of them for 5 years, since I was 9.. and went to go see them a few months ago, best concert ever! I love them sm!",en
16,"“I ain’t worried by it right now”. 

Truly a masterpiece",en
17,"Perfeitos, eu amo essa banda ️",pt
18,My favorite band even after months of listening to their music,en
19,"Fantastic beautiful show!! Adore that group !! True!! Wish you,dear guys ,all the best!!  Respect from Lithuania!!🇱🇹",en
20,Amazing vocals!️,en
21,"Amazing. You are so great, guys. I live you, OneRepublic !",en
22,I love this song so much! One Republic is awesome!!!! ️,en
23,This song is always a banger to listen to.,en
24,"Time is running out, great upbeat song to start the holidays. Love this group.",en
25,Just a masterpiece. I love this band so much ,en
26,such top quality live sounds,en
27,"You are unique and that's a fact! Gorgeous and loved by the fans, you are our diversity and each of you guys are notes of happy and beautiful music.
Continue your musical journey, and we will listen and continue to admire each of you and the band as a whole.
You are the award of our music industry One Republic.",en
28,Thanks for this amazing performance! You are incredible!,en
29,I would've been in the audience of this performance ahh!!! Would've been awesome. Gave up my tickets last minute due to other reasons but I hope everyone had loads of fun!,en
30,"Perfeito essa música é  linda ,esse homem é  lindooooo",pt
31,Adorei a Música ela é de mais ,pt
32,Perfeitos demais 🇧🇷🇧🇷,pt
33,"This song is the band's first hit, that has been a major song for the Top Number 1 movie, ""Top Gun Maverick."" Way to Go Ryan Tedder and One Republic. Congratulations again on ALL OF YOUR SUCCESS. I Love Ryan's singing and I Love this song ",en
34,"Absolutly amazing, so on point",en
35,Os melhores do mundo,pt
36,OneRepublic is a huge inspiration to me and I WILL produce a song for them one day.,en
37,I literally went to their concert and I still am watching this!!,en
38,The whistling made this song so catchy and good  ,en
39,"Absolutely amazing. 
Seen them live in October n they we're out of this world. 
️️️",en
