,comentario,liguagem
0,Free ringtones for you: https://bit.ly/Cupid_Ringtones,en
1,"I love it, full of memories to remember",en
2,"Wonderful bro, this song will never get old. ",en
3,This song is so good I love it,en
4,I love this song...I really speak intermission this song listening,en
5,This song is just to perfect,en
6,I love this song so much ,en
7,I love this song forever,en
8,ever time i here this song i do the dance,en
9,Me and my friend loveeeeee this song ,en
10,Your best album by far.....This song also gets a ten across the board.... Your music gets better and better and better....who just be usin dat AUTHENTICVIEWS dawwwt cawwwm jawwwwn. Money well spent..... Thank you.,en
11,I love this song who ever made this song thx for making it,en
12,I love your songs,en
13,this hits different,en
14,bro that is so fire,en
15,This song stuck in my head,en
16,A lot of songs were discovered because of tiktok,en
17,I played this in my b'day party....,en
18,Im feeling lonley  im obsess with  this soong,en
19,Does Americans understand the songs without lyrics?,en
20,"Yes is true
I love this song I fili songngi",en
21,Y’all should listen to Fifty fifty’s songs their awesome!! I recommend Higher it’s a good song!!,en
22,I love my BFF by the way This is my brothers channel I’m a sister I’m just using it I wish he was my bf,en
23,regumasa,pt
24,what the hell bro,en
