,comentario,liguagem
0,Such a great track! ️,en
1,"Honestly, no matter what type of music you listen to, I think most people enjoy Post Malone.",en
2,Still got the vibe 4 years on… killing it!,en
3,"Hoje faz 5 anos que esse hino foi lançado. Desde então se tornou minha música favorita. 

""Melhor agora"" ",pt
4,"This song is just so nostalgic, it came out in a good year for me and brings so many good memories.. Easily one of my favorite songs.",en
5,"We must protect this guy, we shall not lose him.",en
6,"Lyrics
You probably think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down",en
7,As músicas deles são  ótimas para ouvir quando estamos dirigindo longas distâncias. Amoooo,pt
8,2022 Y SIGUE SIENDO UNA DE LAS MEJORES CANCIONES ,en
9,"Love Post Malone's music, my 15 year old daughter introduced me to his music, l'm 54 and age means little when the music is good.",en
10,"Post é um cara gigante e pouco valorizado. Veio ao Brasil e esbanjou humildade, merece respeito dmss!",pt
11,4 anos se passaram e eu ainda não superei essa música né pretendo superar,pt
12,"Post Malone foi no rock in rio e mostrou porque é um dos maiores rappers da atualidade, simplesmente ele é foda",pt
13,"Post Malone is probably the most real and true rappers out there. He doesn't flex where its not needed, he doesn't show girls in his music videos, and he doesn't show off designer cars/clothes. I love his music for this reason.",en
14,Não o conhecia e já estou apaixonado pelas músicas dele. Foi foda,pt
15,"This song is literally my life rn! It's such a good song on so many levels! It has a catchy beat, great lyrics and just plain good quality, which is hard to come by these days. I hope that he never stops what he is doing, because he is helping so many people through hard times.",en
16,"Lyrics

[Chorus]
You probably think that you are better now, better now",en
17,Orgulho de ser fã desde cara desde o começo do sucesso dele <3,pt
18,Its 2023 and this track still hits different,en
19,I'm soo glad that he is successful. He deserves it 100%,en
20,Sem dúvidas um dos melhores artistas do Rock In Rio nesta edição 🇧🇷🇧🇷,pt
21,Que cara gente boa. Virei fã depois do rock in rio,pt
22,"So much memories from this song, I just now found it again and I swear to god I almost cried from the nostalgia. I'm so fucking glad I found it in one of my very old playlists. It means so much to me<3",en
23,It's been exactly 4 years since this song came out. Brings back many memories ️,en
24,Here’s a ticket  for the people who aren’t here because of tiktok.,en
25,"Post Malone, no rock in Rio foi muito loco..
E pelo jeito muitos brasileiros gostaram.
E com certeza, ganhou vários fãs brasileiros também...
Post malone é o cara ",pt
26,Post malone is making music about something that he is feeling or going through. That's why I love his music and can resonate with the lyrics.,en
27,Simplesmente a melhor já feita ,pt
28,"This song never gets old. No matter how much I listen to it, I never get bored. ",en
29,"“But no matter how my life has changed, I keep on looking back at better days.”
That shit hit hard",en
30,"Nunca tinha ouvido falar, conheci através do rock in Rio, que cara massa, energia boa, ameeei ! ️",pt
31,"Melhor do mundo, não há outro! ️",pt
32,This song was ICONIC to me then and it is still iconic to me NOW. It also came out during a good time for me when everything was nice. (The memories man...),en
33,Um dos melhores da atualidade.,pt
34,"It’s already been almost three years since this song came out, wow, this is still an amazing song and will continue to be for years",en
35,"Quem viu ele no ""ROCK IN RIO"" vibe muito boa .POST MALONE 🇧🇷",pt
36,"Entra ano e sai ano, e eu não me canso dele <3 Love U Malone P.",pt
37,i love you  post malone. I'm going through a very hard time right now and you really make me feel okay. You bring joy to my life and give me reasons to keep going. Thank You,en
38,"Para quem tá conhecendo Post Malone agora, sejam bem vindos, vocês tem bom gosto musical ️",pt
39,amo demais,pt
40,Melhor música ️,pt
41,"My teenage boys introduced me Post Malone a few years ago. Stoked to say we all got to see Post live in Auckland, New Zealand when he opened for the RHCP. Definitely a night none of us will forget ",en
42,I'm addicted to Post Malone's songs,en
43,"essa música é FANTÁSTICA!
curtindo a vibe. 18/09/2022",pt
44,Se vc voltou pra ouvir esse som Parabéns! Seu gosto e excelente!!!,pt
45,"Era meu aniversário de 21 anos quando essa música estava tocando no modo aleatório e, meu até então namorado, me pediu em casamento. Fomos olhar a tradução da música e pensamos “nossa, isso nunca vai se encaixar pra gente” e exatamente um ano depois a letra faz todo sentido. Infelizmente por opção dele nunca chegamos a subir ao altar juntos, sequer os planos do noivado saíram do papel, mas as memórias que essa música traz ainda me fazem chorar, lembrando do tempo em que éramos jovens demais para saber que amar vai muito além do apenas sentir. ",pt
46,"[Chorus]

You prolly think that you are better now, better now

You only say that 'cause I'm not around, not around

You know I never meant to let you down, let you down",en
47,Can't we just agree that Post Malone made some boss songs this year,en
48,I’ve always loved this song. Defiantly top 10 all time for me.,en
49,Gostoso ícone lindo perfeitoooo,pt
50,Post Malone simplesmente top top...,en
51,"Post Malone always has great songs, better now is incredible ",en
52,"Such a great song! 
Post can write one hell of a heart break song.",en
53,Essa é aquela musica que quando começa a tocar eu aumento sempre o volume....,pt
54,"All started at white Iverson and too young for me, now I'm listening to post Malone as a routine everyday",en
55,Love all his music,en
56,One of the best artists of my generation ,en
57,"I love Post Malone so much its unreal, his music is awesome.",en
58,I can always count in post to understand what I'm going through . And through his music,en
59,"I swear no one can top the feeling this man gives me, his vibes r the best",en
60,Ainda não superei essa msk! ,pt
61,"I almost forgot this masterpiece, and I remembered now on 2023

The best music",en
62,This song never gets old!!,en
63,Depois de finamente encontrar o nome dessa obra prima me sinto muito Better Now ,pt
64,Post você e fd sua passagem pelo Brasil foi incrível ficou com gosto de quero mais,pt
65,"Esse som foda dele que não tem como abusar, és viciante tio essa cê louco!!! ",pt
66,never get enough of this song.,en
67,"Post is a gen younger than me, but his songs touch me regardless.  Some talent is ageless.",en
68,É A MELHOR MÚSICA  DO MUNDO,pt
69,this song takes me back  to when life was so easy and fun,en
70,I love this song soo fucken much. It describes what I'm going through with the man I loved. I really feel this song through the depths of my soul and more. Thank Post. I'm a fan for life.,en
71,"Post Malone music is really helping me,through my depression️you the best️",en
72,my best friend introduced me to this and sunflower in the hospital when we were just getting close... it's still one of my favorites,en
73,Posty I can't imagine what you went though but your personality and songs touch people soul!!! I just came out of your concert and it was an awesome!!!! Thank you so much I and people in Bahrain enjoyed concert very much ️,en
74,2019 vibes never die if I listen to this song. Those golden days when my life is peaceful and fun.,en
75,I can listen to this song on repeat for like 3 hours. Gives me good memories and bad memories. Thanks Posty.,en
76,Amazing song 4 years later. This song has this vibe thats everyone wants now!!!!!!,en
77,I LOVE POST MALONE...now and always,en
78,Melhor apresentação do rock in Rio,pt
79,i dont think people understand just how amazing and thought out these lyrics are,en
80,geral conhecendo o post só agr sendo q ele tá aí a mais de 6/7 anos e eu tô com ele desde muito tempo malone ref,pt
81,This song is killing it on the radio,en
82,"You prolly think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything",en
83,This song just always hits different ,en
84,Still one of my favorite songs ever!,en
85,A lot of people don't know this song was released as a single after the album. Which is helluva impressive considering it ended up charting 3 and reached over 500m views on yt,en
86,This song will never get old!,en
87,strange how this song is able to make you feel better now...,en
88,Song still hits different to this day,en
89,"one of my best songs ever, i love this song so much. whenever i feel down i come here to listen this song ",en
90,I discovered this song today and I’ve listened to it like 20 times already ,en
91,Such a dope song! Hits deep. Hits hard. What a talent. Unique.   His voice Blows me away. So dope….,en
92,It's almost 4 years since this song came out and it still touches the core of my heart,en
93,"Sorry to admit, i just started listening to Post in 2023. Its not my ""normal "" genre but alot of  his songs hit home. A bit late on the band wagon but still a fan.",en
94,The king  music legend,en
95,Aqui depois do Rock n rio pq já tô com saudades dnv,pt
96,"This song has been stuck in my head for a month now....dont see it leaving anytime soon...and thats ok with me.....always makes me feel ""Better ...now""",en
97,Maravilhoso!!!,pt
98,Uma das minha música preferida do post Malone,pt
99,Brasil ama você 🇧🇷,pt
100,"Of all the rappers in music today he seems to be the most down to earth and humble of them all, would be great to meet him in person",en
101,Can't believe it's 5 years since I heard this song. Like 5 years  not a long time but I was such a different person then. Lost a husband and a whole life style that I couldn't go back to or wouldn't.  I'm better now though.,en
102,"Can't believe it's already been 3 years! Man, I love this song.",en
103,And the show must go on....,en
104,Theres just something about the beginning of this song that gives me goosebumps. I love it,en
105,Brabo demais 🇧🇷🇧🇷,pt
106,Just woke up to Post after 35 in addiction. I was so tired. 13 months  and 26 days clean. I've started to feel. Scary. Fairy steps for me. The lyrics blow me away,en
107,"Hey Post, if u ever see this let me know, hope u doin good. That song helped me through the hard years. Keep up",en
108,"I can`t even describe, how much I love Posty and his music. I releate to almost every of his songs. wow",en
109,It's been many years since I first time listened to this song.,en
110,Who’s else still listening to this kinda masterpiece on 2023,en
111,If only him and mac miller would've made the album they talked about making together would've been insane,en
112,"Post Malone is one of those names that you hear of everytime but I never really knew what he was. I thought he was just one of those mumble rappers who are becoming more famous these days but Jesus Christ, the moment I heard this and Congratulations I just fucking died realizing how much I missed in the past few months or years. This is literally one of the best songs I have ever heard",en
113,“I can’t get this shit out of my head” how’d you know? Song is stuck in my head,en
114,Humildade prevalece nesse cara.,pt
115,I love your songs,en
116,"This song holds so much emotions and memories that I've been trying so hard to forget, but with this song it brought it back to me in a good way telling me that its not that people left me because they didn't appreciate me. It's because they never understood my worth. And it's okay to lose people that doesn't want to stay. Allow them to leave instead of losing yourself in the midst of trying to get them back.",en
117,1st trending Post song and will never be forgotten White rappers is a sad thing we'll remember u still ,en
118,Thank god we still have this legendary artist,en
119,"lyrics better now


You prolly think that you are better now, better now",en
120,"""Essa música é de Todos Nois""🇧🇷",pt
121,Still the best song I ever listen to,en
122,Okay.....Okay...I have been listening to this song for 3 days straight now on repeat. I cannot get enough of it!!!,en
123,This song is a masterpiece and deserve 1billion views .,en
124,Imagine the nostalgia this song will bring in 20 years when we are all adults. We will be telling our kids this  was a  good time to be alive,en
125,"this song hurts a lot, but i love it.",en
126,"Ah, brings me back to summer. Great vibes, Posty!",en
127,this song helped me thru depression.. and the lost of my best friend :/ thank you posty,en
128,i feel the lyrics so much,en
129,"Letra
You probably think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down",en
130,Love the ending of this song the music just puts a lovely mood,en
131,The beat drop is just everything!!,en
132,You are such a good person and I love your videos and you don’t brag about money like other- This is from my 7 year old son who listens to you all the time. Thank you for making such a positive impact on him!,en
133,"A famous person once said, When you are happy, you enjoy music. But when you're sad, you understand the lyrics.",en
134,"this isn't normally my preferred genre of music, but i must admit...",en
135,"My heart goes out to this song, thou it makes me cry, still can't stop listening... totally into it...I can't forget...",en
136,What an anthem ,en
137,This song and “Clover Cage - Ego Dissolution” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
138,"Dang bro I know you'll never read this. But just wanted to tell you, you're are awesome man. Love your music.",en
139,"Another masterpiece from Post Malone , F -ing Excellent",en
140,after 4years this song is still a banger,en
141,"Lyrics
You probably think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down",en
142,"You prolly think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything",en
143,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Colorblind With A Beautiful Mind” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
144,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
145,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
