,comentario,liguagem
0,Post Malone masters the look of being rich and homeless at the same time.,en
1,Porra a vibe que essa música passa é surreal! ,pt
2,Monstro dê mais ️,pt
3,"This song was released when I was really struggling at uni. I’d always thought this would be my graduation song so I work my ass off just to have that feeling of achievement. 6years in and now I’m in my 4th year at work, I relocated abroad and technically made in into my dream job. Life still sucks sometimes but I made it this far.",en
4,A vibe dessa música.... ,pt
5,"this song hits different when you put in the hard work, grind in silence for years and come out successful and surprise others; specially those that underestimated you and put you down.",en
6,"I remember watching this video on repeat my senior year of high school, now I'm about to graduate college. I can't express how real the saying ""time flies"" is.",en
7,"This song now makes me thing back to amazing memories spent with my friends before all of the bullshit that adult life throws at you. Thank you from the bottom of my heart Post, for being a part in making those memories that i will cherish for the rest of my life. Love ya man <3",en
8,I remember this being extremely popular back in the day. Looks like not much has changed,en
9,"6 anos já passou,e continuo amando demais essa música,incrível.",pt
10,Amo essa música porque me faz sentir conquistando todos os meus sonhos,pt
11,Essa nunca vai deixar de ser um hino ,pt
12,This song is timeless and makes u feel good and motivated,en
13,Uma verdadeira obra de arte !,pt
14,"Conheço desde o lançamento e nunca enjoo desse som

POST é foda!",pt
15,Today I graduated from college and this is the first song I played to celebrate. Can believe I made it. What an amazing journey!,en
16,I really love the message of the song and how they deliver in very artistic way.. Outstanding!,en
17,"3 years ago, this was my motivated song when I was reviewing for my nursing licensure examination. And now I’m already a USRN and waiting for my deployment in the USA. Thank you Post Malone! This song still motivates me to pursue more on my dreams ",en
18,Dps de tanto tempo e essa msc ainda tem a msm vibe ,pt
19,This man really deserves a grammy,en
20,"Lembro como se fosse hj ouvindo pela primera vez 
,  lá se vai mais uma lendas das músicas fazendo mais um ano, e conquistando pessoas 🇧🇷",pt
21,"Lembro-me de ouvir esse som em 2017, eu estava morando sozinho nessa época, e era bom demais, essa música me recorda isso, gosto mto desse som..",pt
22,"The visuals on this music video are stunning, Post Malone is truly an artist in every sense of the word.",en
23,Essa música me trás várias memórias boas,pt
24,Essa música nunca vai sair da minha playlist!! Que awesome!!!!!! Post malonerson é um mito,pt
25,7 anos já si passaram e eu ainda ouço ela mano top da mais,pt
26,Essa música é  maravilhosa ,pt
27,O ano é 2023 e essa música continua na minha playlist ,pt
28,"Post Malone is such a chill guy, always acts so humble when I see him in other videos, makes an artists music even better in my opinion if you know they are cool in real life and not a cocky shithead like most rappers.",en
29,Amo tanto essa música ,pt
30,Sempre vou amar essa música..,pt
31,Ja passou muito tempo e eu ainda gosto dessa música.🇺🇸🇦🇴,pt
32,After finally graduating from university and securing a job. This song just feels so relatable and I kinda want to cry.,en
33,"muito linda
som monstro",pt
34,"This song is like a sonic boom that shakes me to the core! Every time I hear it, I feel like I'm on a wild rollercoaster ride through the universe. Post Malone is a musical wizard who casts spells with his voice. I bow down to the king of sound!",en
35,"EU aqui mais uma vez pra dizer essa , muisica me motiva a cada nascer do sol.",pt
36,"When you hit 1 Billion


CONGRATULATIONS POST",en
37,"5 anos ja, de vez em quando escuto ",pt
38,"Heard this song a few times 6 years ago, recently re discovered it and nothing to say but aboslute fire right here, dont let this song die",en
39,"This man creates every single popular songs, THIS MAN NEEDS TO GET AN OSCAR",en
40,Todo mundo que ser igual post Malone dar orgulho pra coroa(mom),pt
41,mais um ano se vai e essa continua sendo a melhor música ,pt
42,I love this song. And probably a lot of people that has overcome a lot loves it too ️.,en
43,¡Love it!  ,en
44,Essa tá na coleção ,pt
45,when you finish that level that you couldn’t beat 10 years ago,en
46,"This song hits me hard. Went through a 5 year apprenticeship program. Graduated as a journeyman wireman, was bumping this song loud after my graduation ceremony  class of 2020",en
47,"Em todas as minhas conquistas, escutarei essa música!!!",pt
48,Graduation will never be the same after high school…,en
49,6 anos... os mesmos arrepios.,pt
50,"This had a big impact for the class of 2017! A stepping stone into the real world and this song couldn't have come out at a better time! Still gives me chills everytime I listen to this song 
""Good chills""",en
51,my respect for the people who been with this guy since day 1 ,en
52,Força meu povo 🇧🇷 vamos vencer nessa vida.. mta fé ,pt
53,Escuto desde que lançou ,pt
54,"A música perfeita para começar o ano, a tradição continua",pt
55,This song will never get old.,en
56,o ano é 2050 e eu ainda escuto essa musica ,pt
57,"Música PHODA, POST é monstro sagrado, escutando ela novamente depois do título do KC NO SUPER BOWL E POR CAUSA DO MAHOMES! Yeah",pt
58,classic song never gets old keep it up posty,en
59,This song made me motivation I want to say congratulations everyone ,en
60,Cadê os BR Na quarentena ouvindo esse hino 🇧🇷,pt
61,"Essa arranca lágrimas. Yeah, we made it.",pt
62,2023 and still gives me the chills ,en
63,Q obra de arte  mano ,pt
64,"Ainda vou terminar o curso de medicina, dar orgulho pra minha mãe e minha avó e vou voltar aqui pra ler meu comentário nessa obra de arte",pt
65,"Back when this came out I told myself I'd play it on the loudest audio setup I can find when I reach my life goals. I'm still on the grind, but I hope I'll be able to make that come true one day.",en
66,Feels like yesterday when I heard it 6 years ago. This song never gets old. And never will :D,en
67,i love you  post malone. I'm going through a very hard time right now and you really make me feel okay. You bring joy to my life and give me reasons to keep going. Thank You,en
68,"i was 14 years old when it came out, it's literally my adolescence this song. Message to the futur generation, don't let this song die",en
69,I was in 1st grade when this came out I really wish I can experience your songs again as they use to be its brings so much memories,en
70,bro this song is still art 4+ years later,en
71,Post Malone songs are fire and I loved Quavo's rapping it was on point,en
72,"I got my AA a year ago. I never would’ve thought that dreams could become so possible. Walking across the stage made me think of this song and although I didn’t cry, something in my heart was too true to ever let go. Post you’re the man thanks for making us all smile.",en
73,"Vou trabalhar dia, noite, madrugada, virado, chapado, com sangue no olho para que essa música se torne realidade. Por que todos a minha volta dúvida de mim... 

18k de inscritos no YouTube e só o começo...",pt
74,"This song Motivated me in many times, when broked, when failed in exams, when sad, when lonely...etc",en
75,"I can never get bored listening to this songs, brings back old memories",en
76,This song never gets old because its forever young ,en
77,"Let's be real, even after all these years, we will always come back here and listen to this masterpiece",en
78,Imagine this song on graduation night,en
79,"About to be 6 years since this music released, it’s still the best music ever!",en
80,EM PLENO 2023 EU ESCUTANDO ESSA MARAVILHA,pt
81,"i'm proud of you posty, youve made it far.. I can feel it deep down, you can only get better from here, no more time for bitching, its time to be up",en
82,"This song came out back when I was a senior in high school in 2016, played it when I graduated to feel like i really did it!!!  literally time flies :(",en
83,"REMEMBER: It doesn't matter if you win when you're 20 or when you're 60, winning is winning. I hope you guys all win.",en
84,Essa música me traz muitas lembranças,pt
85,No matter his lyrics he has this pure soul feeling around him totally appealing,en
86,I’ll be graduating high school next month and this is the song that I’ll be playing at my graduation after going 14 years of my life working my tail off for 7 hours a day.,en
87,"Queria fazer essa música se tornar realidade na minha vida, mas não vejo nada que eu posso fazer, tentei apostar em tudo que sabia, mas no fim sinto que não sou bom o suficiente",pt
88,Am I the only one that thinks of this song when you’ve graduated high school or college or achieved something really special in life.,en
89,Espero que um dia aconteca comigo e com todos vocês quero dar orgulho para minha mãe,pt
90,Every time I listen to this song something good manifests ,en
91,Year after year this sound remains a true masterpiece ,en
92,I have a great memories of this song. This came out during my last year of junior highschool and this i always hear during that days my schoolmates keep using this like hell fire. ,en
93,mesmos arrepios de sempre,pt
94,This will be the official celebratory anthem when 2020 ends.,en
95,"Just here to say: happy new year 2023 and congratulations to the people who achieved their goals and to those who have not given up and want to show what they are made of, you are strong and I wish you the best ",en
96,Everything this man drops slaps harder than an entire genre,en
97,Post Malone is so nostalgic now. Used to love him back some years ago! Feels like both yesterday and forever ago.,en
98,"This song will forever be the greatest graduation song. My viral graduation flip with this song went on to do close to 400 million views and i’m hyped you saw it and commented. Thank you Posty, would love to meet you",en
99,it’s hard to believe this song is almost 4 years old.,en
100,"I blasted this song leaving base for the last day of my time in the Navy, and it was the best day of my life. I felt like I was free for the first time in 20 years.",en
101,This track must be played in my graduation bash more than 5times..,en
102,These songs are  FIRE KEEP UP THE SONGS!!!!!!,en
103,This song never gets old,en
104,"I passed my driving test today

Felt like this was a fitting song to listen to after passing",en
105,É o POST Malone é o huncho dois brabos do hip Hop ,pt
106,Eu em 2023 escultado essa obra,pt
107,"fans 
100%good lyrics
100%pure talent
100%happy",en
108,Who else came back to this and got suprised by 1.2B views?,en
109,Sem entender uma palavra a batida e contagiante 🇧🇷,pt
110,I LOVE THIS SONG!!!!!!!!! I LOVE YOU POST MALONE!!,en
111,love this song,en
112,"Oooh first time watching/listening to him do his thang. I’m a granny that doesn’t sit on rocking chairs, I simply, rock. Love all your music. ",en
113,"2018 eu tive o pior momento de toda minha vida , e por acaso essa musica me fez superar !!!!",pt
114,Why is no one commenting on Posty’s sick dance moves? That boy can move...,en
115,Post Malone never disappoints us with his music!!,en
116,Love it!!! Thanks a lot for letting me use this song in my last video!! Love ya!!! God Bless,en
117,"this song always gives me different scenarios, one of them is when you’re a teenager messing around, partying and then adulthood hits and it’s not the same anymore.",en
118,"I remember how my mom would listen to this before and then I would start to pick it up, never gets old :)",en
119,This song came out 6 years old and I still love it,en
120,When you hit 1 billion views on YouTube,en
121,29:00 The surprise ending kept me waiting to the end and after getting to the end it filled the satisfactory hole in my heart. Thank you,en
122,"Mamãe ligou: filho, te vi na TV 
Tudo mudou desde eu e você 
Sonhei com tudo desde menino
Diziam que eu seria um nada",pt
123,"Waiting for 1B views 
Cuz After 1B views, this music will be absolutely real!",en
124,I love post Malone and I love all of his songs but this one is probably my favorite,en
125,I havent played this joint in awhile… I graduated from college this December (first person in my family to do so) with a prestigious job in finance lined up. Had to play it on the drive home  much love to everyone!,en
126,"after 6 years, still my favourite song",en
127,Sometimes I just feel different listening to masterpieces,en
128,Minha entrada de formatura vai ser essa ,pt
129,why this man look rich and homeless at the same time,en
130,Wow Just Today It's Been 6 Years Since This Legendary Song Was Made. I Can't Believe It's Been This Long. ️,en
131,2023 tá ai e eu escutando esse som incrível,pt
132,When you finally make it to Christmas break,en
133,I play this on my birthday every year to remind myself I have made it another year ,en
134,THE MEMORIES TO THIS SONG ARE UNFORGETTABLE 🫶,en
135,Esse clipe é muito foda mano,pt
136,Love this collaboration,en
137,Congratulations on 1 billion! ,en
138,este som quebra barreiras.,pt
139,"Tradução Em Portugues:

Minha Mãe Ligou, Disse que me Viu na TV as Coisas mudaram desde Então,

Sonho com tudo isso desde pequeno, Diziam que eu não ia ser nada agora",pt
