,comentario,liguagem
0,"this got ""summer anthem"" written all over it ",en
1,"Grandeur , tremendous of being impressive or awesome, Even better than what I expected . I’ve witnessed a startling dynamic changes in your perspective and your experience understanding of what’s passion in music . Post Malone marvelous skills,KEEP Going, Keep GROWING.",en
2,This is the first song I listen to when I wake up every morning. Sets the mood and the vibe. Just makes me wanna achieve my dreams and goals even faster. Can’t thank you enough post.,en
3,I am 60 years old young. I just discovered Post Malone over a year ago. I love ALL his music & one day I shall die a Posty Fan!!!,en
4,"I somehow only just found this song, and now I can’t stop listening. This man never disappoints.",en
5,i love you posty and post malone. I'm going through a very hard time right now and you guys really make me feel okay. You guys bring joy to my life and give me reasons to keep going. Thank You,en
6,I truly believe it's impossible for this dude to make a bad song. Banger after bangers,en
7,He never disappoints let’s just be real! Love ALL his music!,en
8,muito bom Post,pt
9,"Can I just say that all Post Malone's songs speak to me! Like DAMN, I can relate to all his music,  got me in my feels ",en
10,The vibes from this song are perfect. Perfect summer tune. Sounds amazing while driving.,en
11,Never disappoint your music always got a vibe,en
12,One of my favorite songs from post stay healthy bro stay strong remember where you came from and don't forget God much respect much love be safe,en
13,No one gives the vibes posty gives  praying he gets back on track and doesn’t let the limelight mess his head up,en
14,"What a banger Postie! Such a vibe song and always puts me in a good mood.
Respect to Post Malone, one hell of an artist and what a talent!",en
15,Thanks for all the support  Love you guys,en
16,This dude is amazing! Can’t get enough of him. Thank you Austin!,en
17,"Posty inspired me to go all in  with my music . He was just like me , an artist trying to get heard .And now he's on top. It's happening for me , and I'm not stopping when it does !",en
18,"Ele veio para o rock in rio , e deu show de humildade , post e top demais canta muito ",pt
19,Awesome song. One of my faves. I've already memorized lyrics and I use his songs in my singing. I hope to get big like him.,en
20,Posty Back At It Creating These Unique Vibes 🫠,en
21,"I turn 41 in a week and I'm obsessed with you. I'm not apologizing. You're music, this album in particular, is helping me through some really hard shit. Thank you Austin. You fucking matter to us! Never stop being you. Wish I could smoke a joint with u someday. Fucking love you ",en
22,always comes thru with the hits looove it on repeat,en
23,Amo ouvir essa música,pt
24,Incredible song!! Love it! Love post malones songs,en
25,"Post Malone is not only a great artist but just a phenomenal human being, and it’s just so refreshing when hes that humble and courteous  to everyone he meets. Love you post keep grinding  ",en
26,"Post is legitimately one of the coolest, most down to earth people on this planet. I hope nothing ever happens to him. It would absolutely crush me.  God Bless You Man!",en
27,"I love this artist  and his music  is fun to listen to, he's very talented",en
28,"Nobody does it better man, you’re music always puts a smile on my face",en
29,I really just love him  seriously He puts soooooo much passion in his music it’s so amazing! Love you Postie️,en
30,"This is outstanding.
 And the beat is amazing.",en
31,I've never heard anybody as good as this guy in my life. This has to be like when Michael Jackson was huge. Seriously name one bad Post Malone song. You can't. You seriously can't. Posty can do anything with music.,en
32,Muito bom!,pt
33,"This song has been on repeat since the release day!!! You did it again, Posty!!!",en
34,"He is ahead of his time no one comes close to his music, voice, and dance moves. He surprised everyone when big boys were so critical rude to him on an interview.. Who's laughing now You keep doing you Post Malone you Rock l am listening to you every day and can't l stop l want more just ️ you. ️Posty",en
35,Dude literally can make hit after hit with so many different flows and makes it sound amazing everytime,en
36,You always make timeless music,en
37,I'm 40 and not into new age music...but Post Malone's jams are fresh and crisp.,en
38,Love it on repeat ,en
39,This man’s artistry is transcendent.  Otherworldly.,en
40,I love this song!  Can't stop listening to it.,en
41,Man you're such a good artist man i love your music,en
42,i cant believe it's about to be a whole year since this album's release.. this one still bangs,en
43,"The best of songs, you're legend post , everytime I repeat it and I can't stop dancing, the legend is legend ️",en
44,Post malone is back better than ever keep on going,en
45,This is what I call Good Music ,en
46,"My daughter who knows I love posty ,took me to his concert in la in nov . She surprised me. I was crying. When this song came on I got the chills and moved like I was in Heaven . Love his voice and  his humbled soul. The RR was amazing as well.  God bless you ,I think your voice is heavenly . I touches me so. ",en
47,canta demais mano,pt
48,Post malone is the best at making music that gets you hyped and relaxed at the same time.  LOVE YOU POSTY!,en
49,This is one of my favorites of all of his albums well they are all amazing but this song just something special about this one especially when he played it in Indy because he sang the entire song alone it was spectacular well Posty sang them all by himself thats what I went for to watch him perform  his show  hugs and love ️ ️️️️️️️,en
50,"Man, Posty got me through some hard times. Never disappoints. Fan.4.Liiiife. Post, ya got me xoxo",en
51,"Keep making great music, can’t wait for the album!",en
52,I freaking adore this man! He must be protected at ALL COST!,en
53,I’ve been a fan of post since he hit the scene,en
54,I always feel at peace when post Malone comes out with new music ,en
55,"Post Malone nunca decepciona, to só no aguardo do álbum 🇧🇷🇧🇷🇧🇷",pt
56,muito bom,pt
