,comentario,liguagem
0,This was so amazing to be a part of  he was literally thanking the crowd after EVERY single performance   I hope he knows how beautiful he is!,en
1,This man has a beautiful soul.,en
2,Thank you for sharing. Was up in the stands. Appreciate this so much ,en
3,Posty dancing around is cutest and most serotonin filled thing I’ll ever see 🫶,en
4,Love you! I come home after a bad day and just listen and dance to your music! Makes me happy. I've lost alot of weight as well. People ask me all  the time how? Gonna be honest.  Stress! I don't eat most times and I keep moving.  I do love you Austin #Postmalone,en
5,Thank You for the upload....great footage ..When Post dance it gives me LIFE.....love this dude!)))))),en
6,POST Malone thanks for the moments of your dance moves vibe’s. I love watching other people in audience dancing grove’s vibe to your mood of enthusiasm to help in the position for a good time with you.,en
7,"man,the bass is powerfull!",en
8,Love this  guy he is in great shape,en
9,Posty flexing his dancing skill and his new bod just  he is such a vibe.,en
10,I do believe he is struggling some issues like everybody else does he is such a great man love his music ,en
11,Love his voice and his cute way of dancing,en
12,What a man. What a vibe,en
13,It's the dancing for me  love it can't help but get into dancing with him lol ,en
14,Thanks for sharing this with us!,en
15,Love me some Posty! He has mad love from all the ladies over 60.,en
16,This song is better in live version,en
17,What a man️,en
18,You are such a beautiful person and I hope your staying true to you ️.,en
19,"did you get the part of posty putting on the white hat? it was my friends and we’d love to see the vid! and thanks so much for posting the i fall apart video too, i was the one who gave him the butterfly at the end ",en
20,He looks healthier ,en
21,is posty losing weight or that just me???? he looking really good yall,en
22,Looks like a crazy Weight loss hope everything is ok,en
23,Dance like no one is watching ,en
24,He is so cute ,en
25,Yea thanks so much i wasn't near front so I keep looking on utube,en
26,Dxmn where the women at?,en
27,Why he kinda fruity?,en
28,He has a great voice but no dance ability,en
