,comentario,liguagem
0,This is such a vibe,en
1,"Post is so unapologetically himself and seems to truly enjoy making his music. Success seems secondary to him now. He's comfortable enough to experiment with new sounds and themes, and I love to see it. Dude is a massive talent, and seems so genuine.",en
2,There's just something about how he pronounces words that sounds so pleasing to the ear. It's like his pronunciation is music on its own already.,en
3,two genuine people who just like being themselves while making music. success just came second. love them both.,en
4,I just added this song to my playlist whenever I am on my long night drives. So soothing in the ears. ,en
5,"Amo essa música, toca minha alma, alegro-me e saio dançando pela casa me sentindo a(o) própria(o)  Post Malone ",pt
6,"honestly, this is just the kind of summer song I was looking for. perfect chill music",en
7,I love how doja switches up her style from sweet to rap,en
8,This guy turns every song into gold! Love it!,en
9,Essa música não poderia ser com outra pessoa mano!Perfeitos,pt
10,"Such a fun, bouncy, feel good track! Love ya Posty ",en
11,i love how his voice shakes when he puts so much meaning into his song.,en
12,Something about Doja….she’s such a great fit for modern pop music.,en
13,"Posty, I love how majority of your songs I can relate to, jam and I love the melody and vocals it’s so amazing!! Hope to hear more music from you!!! ",en
14,This song is really great it expresses tons of sounds and rhythms great song!,en
15,Posty never fails to disappoint me. Does this song put anyone else in a good chill mood? ,en
16,"This is my favorite from the album. I’ve noticed that whenever Doja features on a song, she goes even harder than normal! I was hoping one day we would get treated to this collaboration because it was long overdue and they both delivered. As a new artist myself, these are two of my inspirations when it comes to producing my beats. I love the bouncy synths. This is definitely gonna be the jam of the summer! ",en
17,I just love how cute the lyrics and the beat are. Idk much about Post Malone and Doja's music so I might be wrong but I think this kind of song is so refreshing from them,en
18,"Keep going strong you two!! You and Doja are my favourite artists! Would love to meet you both. I read these lyrics loud and clear my brother, and I've been a fan of you both since the very start and think you're both fly as fuck",en
19,You know how some songs sound good in total but some notes make you cry because they are so perfect. Many in this song for sure but 2:46 when they both say “like”. That’s heavenly.,en
20,"Honestly, I need more happy songs like this. What a really perfect chill music",en
21,I have loved Posty music since beginning.  I'm 56. I love the melody on this one! Ride your wave ...you're awesome!,en
22,Post and Doja never disappoint in making good music.,en
23,Post is and always will be an amazing artist been listening to him since his soundcloud stuff!!,en
24,this is going on repeat for the next week ,en
25,My 2 favorite artists in one song it’s just beautiful keep it up posty spread the vibes,en
26,"Essa faixa é meu vício
🇧🇷",pt
27,Man. How did I miss this song and heard it just now?! You gotta make more such songs.,en
28,I'm obsessed with this song! Best one on the new album! Everything Doja touches is GOLD!!,en
29,"I'm so happy for him <3 he's such a great person, and now he's a dad!! he's really gone huge in life, and I hope he keeps on this path of success and happiness!",en
30,Love this! Feel good music too. ,en
31,Love your new album Post been a long time fan! Beerbongs and Bentleys will always be my favorite though. You inspired me to pursue my music and my dream! I hope I get the chance to work with you on a project one day ,en
32,Post always brings the perfect vibe!,en
33,Post and Doja have such complimentary flows and deliveries. They are both great in their own ways too but hearing them work together is always a treat. I think the fanbases are generally really similar too which is nice to see likeminded people collide every time they collab. I hope someday I can gather even a tenth of the amount of fans with the perspectives that theses two fan bases have for my own music. Truly unmatched energy,en
34,My favorite part about the music you make is that its perfectly aligns with what is going on with us in the real world  a fan from New Orleans Louisiana  timing is everything  ,en
35,"This song instantly puts me in a good mood, and the song “Clover Cage - Secret Song” took away my depression and changed my life. I am now working on loving myself and becoming the best version of me! Love you guys ",en
36,This debuted number 9 on billboard so proud ,en
37,"This dude is extremely talented! In today's climate of throw away Pop music, it's a rarity to hear a song for the first time and really like it!",en
38,This is definitely the song I’m keeping on repeat from this album  ,en
39,Posty turns every songs he sings into Billboard golden magic hits every time and I'm loving it! ,en
40,I love it! going to be the song of the summer!,en
41,Maravilhoso de mais esse homem️️️️️️️️️️,pt
42,Arrasou essa música,pt
43,I listen to this song everyday sometimes it’s on repeat and I love it so much,en
44,"Let's be honest Post Malone and Doja Cat never disappoints us, this collab is gold 

Fun fact : Post Malone ft Doja and Vegas official video by Doja uploaded the same night, that's a masterpiece ",en
45,viciada nessa música ,pt
46,Love this song especially those two r my favorites  got it on repeat straight    ,en
47,"Listening to this track made me really happy that Post Malone stayed on his style of music.
nothing else I would like as much as this song made it to the new album, I love it and I love the other tracks as well! ",en
48,They’re such a good combination their voices compliment each other so well,en
49,love this music video. it has a really cool aesthetic to it,en
50,My song of the summer. Idk what’s with these artists not going for a summer anthem….this song is catchy and fun.,en
51,"I'm finally realizing the aesthetic Post Malone was going with. He does say, ""Everything done for the dead after they're dead is for the living,"" thus showing life frozen in place, he even described the album as a ""living, breathing entity almost."" The fact that these life forms are frozen in place like the fish or just simply stuck in time, shows how Post perceives the world and how the present matters to him dearly because all we do is use beings after they die.",en
52,I listened this song when I'm on the road. Love this song so much!! Everything on point.,en
53,"Another Great Song by Post Malone!!, Great Timing by Releasing it for a Summer Song!!, I Love It!!",en
54,"they both have cool vocals,its a good tune,i like  it",en
55,This song is such a vibe and Doja’s flow on here was ,en
56,I can't stop listening to this song it's amazing,en
57,"O cara não erra, sempre músicas exelentes!",pt
58,This man has to be one of the greatest artist of the decade.,en
59,Lovely song ️🇺🇸⚘️,en
60,I looooooooove this song...blasting it in my car every time it comes ,en
61,The sheer amount of groove and wholesomeness of this song is alarmingly contagious. PM you beauty ! and DC too.,en
62,I like this song. I do!! This should be playing all  over the radio.,en
63,Loving everything about this song...what can you ask better than these two legends singing together..,en
64,I'm going to drive my neighbours nuts playing this over and over. Such a beautiful tune!,en
65,These two! We need more of these two now more than ever!,en
66,"Something about Doja just fits, her style and flow unmatched",en
67,Doja fits in different genre. She's truly a queen,en
68,what heart. Post is such a gem. how he can remain true to his heart with so many ways to get lost is a miracle.,en
69,"Dojas verse is EVERYTHING!! She's so versatile that she was singing and rapping at the same time, a literal icon",en
70,Damn nailed post malone and doja cat good duo! Tbh he totally nailed this album every song is close to my heart! Why is this underrated seriously love ya postyyy! Keep going! Thank you for making this summer amazing!,en
71,such good vibes. every song,en
72,I really love this song ,en
73,Love the beat ️,en
74,"What a Song, can't stop listening!",en
75,I really love Doja Cat! She is a true artist!,en
76,Nice music :) FEEL HAPPY RIGHT NOW! THANK YOU MALONE <3,en
77,This is such a cute and playful song! I love it,en
78,Perfect for the summer love song ,en
79,They have to drop an official video of this song it’s a masterpiece,en
80,Doja and Post Malone bring such an amazing vibe to the song  I like it,en
81,I  THIS SONG! I  POST! ALWAYS  YOUR FAN POST!!,en
82,"Catchy af
Posty never disappoints!!!",en
83,I appreciate the uplifting music ,en
84,Hey Post I’m back after three years. Love your stuff. Let’s get this to 20 million views for Post!!,en
85,Amei essa música,pt
86,I need more of them together SOO GOOD!!!,en
87,This song is AMAZING. it truly is my favorite song by you!!,en
88,"Amo demais os dois, sou fã de carteirinha arrasou  ",pt
89,"Os dois patrões numa música só... o sonho se realizando!
Os maiores",pt
