,comentario,liguagem
0,a Post Malone x Doja Cat collab album is an absolute MUST ,en
1,"How can anyone not love this song? It’s so sweet without being corny or cheesy since they both rap and sing. I love how they both have different flows, but they mesh so well together. Not too many artists could pull off this concept without making it silly and/or superfluous.  They took this on seriously and sincerely, and the genuine chemistry they have is heartwarming af. I listen to this when I’m happy or depressed. It’s just brilliant for any emotion. ️",en
2,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
3,"“This is one of the happiest songs I’ve heard in a very, very long time” the collaboration between Post Malone and Doja Cat delivered an amazing performance. The video and it’s stylish Artistic visuals brought out the best in both Artist and truly delivered the concept of the song. All in all,  it’s one in a billion… the bar is set very high now. I certainly look forward to more like this from Post Malone and Doja Cat. Cheers",en
4,"POSTY inspired me to go all in  with my music . He was just like me , an artist trying to get heard .And now he's on top. It's happening for me , and I'm not stopping when it does !",en
5,who else listens to this song as a pick-me-up? the combo of doja and post malones soft voices and the catchy tune- unbeatable.,en
6,I’m so proud of them individually as artists they have came so far. Definitely did not receive its flowers it was an amazing track!,en
7,Their voice mesh so well together. Hopefully this becomes a huge summer hit,en
8,"Just walked away from an abusive relationship tonight. And this song was the first thing I saw, thank you Post. This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️",en
9,Amo essa música!! Dois feras !!,pt
10,words can’t describe how much I love this song it’s such a vibe <3,en
11,This song has been on repeat I can’t stop listening to it ,en
12,Every single song Posty makes is incredible. This man oozes nothing but talent. Love you posty. Can't wait to see you live!,en
13,"Let's be honest Post Malone and Doja Cat collab is gold  We need this collab more often, they sound so well together",en
14,"This is adorable on so many levels. I'm going through absolute hell right now in my life, and this dropped good vibes. Thank you so much ",en
15,"Really hoping we get more Doja Cat x Post Malone collabs in the future because their voices together is HEAVEN. Not to mention their vibe is like no other, love it",en
16,"This song is straight !

Both artists are extremely talented and love the video and how well they flow together!",en
17,I never get bored from this song ,en
18,Post and Doja have such complimentary flows and deliveries. They are both great in their own ways too but hearing them work together is always a treat.,en
19,"Protect these both guys, they are incredible and we need their voices and styles for long time.",en
20,This song lifts me up when I'm feeling down!,en
21,Está musica mexe dimais com meu ,pt
22,Two of some of the coolest artists out there… and they’re both together making a great song together… what more could we ask for.,en
23,i love you  post malone. I'm going through a very hard time right now and you really make me feel okay. You bring joy to my life and give me reasons to keep going. Thank You,en
24,"I stay having this song stuck in my head , will always be one of my favorites ",en
25,I really like how he put ( A HAPPIER SONG ) on the title that really is cool and the song does have a happy vibe to it the whole video fits with the song and parts of Post Malone’s personality love it I can see the vision he had in the making of this music video,en
26,He took a happier song and made it the happiest music video I've seen in a minute. It's just so fun and joyful! Really grasped the essence of love! Love this so much!,en
