,comentario,liguagem
0,This song is gonna hit different when we're old,en
1,Obra maestra ,pt
2,I still love this song because it just instantly teleports me back to 2018. It’s a whole different experience,en
3,"Addicted to this, gonna add this to my playlist ",en
4,"This song feels like a permanent great memory. No matter where I am, what I’m feeling, or who I’m with, this song always makes me feel good. Kinda the feeling Spider-Man should give people.",en
5,dang~ this song hits me right straight to the soul. I can listen to this all day. such a smooth song! i love it!,en
6,"Malone dropped Spider Man 
Kendrick dropped Black Panther
Eminem dropped Venom
Thanos dropped Gamora",en
7,"Mano essa música nunca sai de moda, essa vibe é muito positiva e relaxa demais vey, eu amo esses tipos de música, é perfeita!!! ",pt
8,This song will never get old honestly. The vibes are immediate.,en
9,"Essa rouquidão na voz do Post Malone é muito da hora, eu procurei uma música ruim dele e não encontrei",pt
10,Aqui ouvindo mais uma vez essa obra prima ️️,pt
11,"The absolute vibe, positivity and incredible beat from this song are something else  Just incredible ",en
12,Eu ouvi no mesmo dia que lançou e hoje ela tem 2B de visualizações ,pt
13,Que musica! Que vibe! Que sensação.,pt
14,"Quando eu ouso essa musica eu sinto uma sensação muito boa, ela faz eu me sentir bem  eu ficaria horas no mundo da lua ouvindo ela sem cansar.",pt
15,"E difícil encontrar Obras primas como esse hoje em dia por isso, vamos continuar escutando e não deixar essa obra morrer...",pt
16,Can't believe this song came out 4 years ago. This masterpiece will forever be in our hearts️,en
17,"This is one of the best music videos I've seen in a while. No language, no nudity, no random, flashy flexing. Just wonderful animation.",en
18,"I’ve never chilled so hard.
Most pleasing song of all time",en
19,"Pode passar milhares de anos, sempre vou ser fã! ️",pt
20,Música top demais ️,pt
21,"there are no words to express how genuinely amazing this movie is. To the music, the animation and the story no other spiderman movie competes",en
22,The song is full of exaggerated swagger and it gives me goose bumps everytime i listen to it.,en
23,Não é atoa que essa música tem mais de 2 BILHÕES de visualizações ️,pt
24,Its not just a song its emotion,en
25,"Que som cara, QUE SOM!!",pt
26,"This song feels so good, as looking the sunflowers.",en
27,"No matter how many years pass, music like this will live on forever..",en
28,This song still one of my favorite song ,en
29,"This song will never be out of date, great studio, it's ahead of its time",en
30,"3 years later and this song still hits good
edit: thank you very much for the 5k likes :D",en
31,"This song is going to be my favorite all the time and even if  
It's old It's eternal and i'm not going to change it",en
32,This song has no words to describe how amazing it is.,en
33,"[Chorus: Swae Lee]
Then you're left in the dust, unless I stuck by ya
You're a sunflower, I think your love would be too much
Or you'll be left in the dust, unless I stuck by ya",en
34,"Não vejo a hora de assistir o dois, me arrependi de não ter assistido o primeiro no cinema. ️️",pt
35,This song hits different every time I come back to listen to it.,en
36,Que música boa ️,pt
37,Já faz 4 anos que escuto essa obra-prima,pt
38,"No matter, how many times to listen this song 
This song never gets old
It always gives me good vibes",en
39,why do i love this song so much? it’s kind of nostalgic in a way,en
40,"WOW STILL HITTING HARD AFTER 4 YEARS 
Music really is..... is spectacular",en
41,This song is like life’s background music. ,en
42,Can't believe that 2 years gone... It still feels like yesterday the song was released,en
43,amazing song. touch in the deep soul. Thank you Post Malone.,en
44,After school...walking down the road and listening to this masterpiece is a TIMELESS memory,en
45,Que nostálgico e essa música ,pt
46,"It's been 3 years later, but this song feels nostalgic for me.",en
47,I remember when I was just a 17 years old boy listening to this masterpiece ️ now I'm 21 and still loving it!,en
48,Cheguei ao nível de escutar essa música para não dormir no trabalho... Muito bom!!!,pt
49,"I love this song, one of my all time favourites cause it makes people feel good, and isn’t that what music is for ?!",en
50,"""This song never gets old. No matter how much I listen, I never get bored.""
HAPPY NEW YEAR you guys",en
51,This song will always have a special place in my heart,en
52,I always come back to listen to this amazing song. It gives me a feeling that there is a true meaning in life.,en
53,A song that will stay in my heart for the rest of my life.,en
