,comentario,liguagem
0,"Love it the video is killer.
Post and the weeknd really kill it",en
1,"SEÑORES, ESTE VIDEO DEBE LLEGAR A LOS 200 MILLONES DE VISUALIZACIONES YA QUE ES OTRA GRAN COLABORACION QUE HACE POST MALONE, CADA VEZ NOS MUESTRA LO VERSATIL Y CAPAZ  QUE ES PARA HACER MUSICA.

GRACIAS POSTY",en
2,"From the moment I first heard Post and Abel back in 2016, I’ve been dreaming of this collab. I knew that between their styles and storytelling, they would come up with an absolute masterpiece. And here it is. I don’t care if it doesn’t win song of the year, it’s the best song this year as far as I’m concerned.",en
3,"Um espetáculo, dois dos meus ídolos do momento em um lindo dueto. Show ",pt
4,This song hits for me on so many personal levels. Trying to regain my self confidence after falling for a narcissist who gas lit me. Trying to build the strength to walk away and get back into my groove. When she pulls me back in it's hard to say no or walk away. This song helps me maintain confidence in my stance.,en
5,"Ta sempre na minha playlist, me sinto tao feliz quando ouço o toque, cmc ja a dançar kkkkkkk",pt
6,Posty lookin fly in that suit ,en
7,We need to see them do this one live! It would be unreal!,en
8,Gente essa música não consigo ouvir apenas uma vez repito pelo menos  4 vezes.,pt
9,Como essa musica não tem 1BI de visualizações ainda caraaaaa,pt
10,When your two fave artists do a colab it’s sort of like having an extra birthday.,en
11,"Amooo demais essa música, The Weeknd é foda demais ",pt
12,Se vc voltou pra ouvir esse som Parabéns! Seu gosto e excelente!!! ,pt
13,A true masterpiece by Abel & Posty. This song can get you through tough times I tell ya. It sure has for me!,en
14,"Post Malone maravilhosoooo!!!! Depois do Rock in Rio não tem mais questionamentos. Perfeito! Manda ver cara, tu é fodaaaaa!!!!!",pt
15,"Idk how many times I have listened to this, but it still hits!! ",en
16,Look how far these legends have come ,en
17,Tô apaixonado nessa música ️ que incrível parceria  tô amando!!,pt
18,ESTÁ INCREÍBLE LA CANCIÓN.,en
19,Biggest Collab of 2021,en
20,"I bet.. This goona cross 1b...in next 2-3 years... 
It's so soothing ",en
21,I keep coming back to this song. It feels like an instant classic.,en
22,I've listened to this song on Spotify first and added it to my favs. and now seeing the m/v makes it even better! it fits perfectly on the song. Very well! my two fav artists ,en
23,Eu amo demais ,pt
24,What a badass music video ,en
25,Música maravilhosa ,pt
