,comentario,liguagem
0,2023 and it's still fire,en
1,I can't believe it been 7 years since I listened to this masterpiece. Time flies for sure ,en
2, 7 anos se passaram e eu aqui não mim canso de ouvir essa música,pt
3,i love you  post malone. I'm going through a very hard time right now and you really make me feel okay. You bring joy to my life and give me reasons to keep going. Thank You,en
4,And everyone said this would be his one hit wonder and he’s still killing it. Post Malone you’re the man never change!,en
5,"Essa musica nunca ira sair da cena e nunca ira envelhecer .... comecei a escutar o Malone por conta desse clipe, lá em 2015 e desde então nunca mais parei .... Esse som tem uma vibe diferente !!!!!!!!",pt
6,"Grandeur , tremendous of being impressive or awesome, Even better than what I expected . I’ve witnessed a startling dynamic changes in your perspective and your experience understanding of what’s passion in music . Post Malone marvelous skills,KEEP Going, Keep GROWING.",en
7,O mais brabo não decepciona nunca 🇧🇷🇧🇷🇧🇷,pt
8,"1B views and I still think it deserves a lot more, what an absolute legend ",en
9,This song is a complete vibe. Brings me back to 2017/2018 just vibing without worries and chilling with old lost friends,en
10,Que música nostálgica ouvindo em pleno 2023 post Malone nunca decepciona ️,pt
11,"I was on his concert yesterday and he finished with this song, it was just incredible ",en
12,This song never gets old fire as always ,en
13,This song will always have a special place in my heart ,en
14,Played this song once in a while for years never gets old stright classic,en
15,It's incredible how this doesn't get old and we can still feel the vibe years later,en
16,Monstro ,pt
17,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you,en
18,this man deserves all the success coming to him ,en
19,Adorooooooo vc post malone do tamanho do universo .,pt
20,1962 and this song still hits different. Truly a masterpiece.,en
21,Always takes me back to 2016. Miss the old days man ,en
22,7 years later and this man still killing it ,en
23,Muito show  !!!!,en
24,7 years and and still a masterpiece,en
25,This one of the songs that never gets old,en
26,forever a classic! from uploading on soundcloud to havin 1B views on youtube. congratulations postyyyyy. you deserveeee!,en
27,Never heard anyone like him. Love his voice. If anyone's concert I'd want to go to it would be Post Malone's.,en
28,i had this on repeat before it was on the radio!!! i cant believe it has 1 billion views now!! still hits!!,en
29,"Yo post, I don't know know if you look at all your fans comments here, but as an old has been,let me say I'm actually proud of you man, don't even know you, but you create this out your own mind it's a talent in heard of,I always dream or dreamt doing what you do, making fans ,at least I was blessed to see it actually happen for you,may your mind forever stay in the air waves my man you rock",en
30,Malone the only guy to master the effect of looking rich and poor at the same time,en
31,"This song makes me feel sad, glad, and so many other emotions, at the same time. It has so much nostalgia to it. I do not need that ring anymore, but if Love comes again, then perhaps...yes. ",en
32,It's been 7 years of listening to your music. It's been 7 years of eagerly awaiting a chance for me to see you live on stage. It happened. Finally...,en
33,"Still #1 played song on my Spotify each year, hits different even 7 years 🥹",en
34,"It's really almost been 8 years already, having this on repeat back when I was in grade 4 now I'm moving on to grade 12 this year, time moves fast",en
35,I can't really imagine that this is 5 years old. Still fresh.....I always hear when I am down....thanks Post.,en
36,"Post Malone is a hill a will DIE ON. Not only is he an amazing musician and ARTIST but a good man! I truly never understood what a “natural high” was until I saw him in concert and for a WEEK after it felt genuinely like I was high .., he’s a good man .",en
37,"Post seems like a cool guy, and he's definitely got some talent. It's very interesting to listen to the calm beats of these songs and how relaxing they are.",en
38,"7 anos já mano
clássico do Trap",pt
