,comentario,liguagem
0,“I want you to notice when I’m not around” always hits me right in the feels,en
1,Essa música ganhou todo um novo significado dps de Guardiões da Galáxia Vol 3 ,pt
2,UM CLÁSSICO E SEMPRE SERÁ!!!,en
3,This song always had been a banger but to hear this again at GOTG volume 3 is fire ,en
4,"Ok, I'm 65 years old, and I love this. The thrashing, raw power of this song is incredibly moving. Throughout every moment the melody is never lost, and I love that. Believe me, you can feel odd or ""weird"" at any stage in life. And remember, too, that people never get old unless they choose to. I choose not to.",en
5,Such a good way to start the guardians of the galaxy movie and really show us how the group is feeling. James Gunn doesn’t miss when it comes to incorporating a song into a movie  this song has always been great,en
6,I will always love this song.,en
7,"I will not go to bed today , till i learn and master  this song on guitar ",en
8,Nothing has ever captured insecurity like this song does…. EVER. MASTERPIECE.,en
9,one of my forever favorites...this song hits on the right spots in my brain and heart any time i listen to it <3,en
10,This song is so so awesome. Love it.,en
11,It’s wonderful how music connects people,en
12,This is one of these songs that just never gets old no matter how many times you listen,en
13,"[Verse 1]

When you were here before

Couldn't look you in the eye

You're just like an angel",en
14,There are so few songs that are timeless and or flawless but this song is both. The song flows through your veins when you hear it and reaches your entire being. I can only imagine the feeling watching them preform live.,en
15,"This is one of the many ICONIC videos on MTV. His voice, his hair, the background colors. Everything about this screams 90s. I was in junior high. It feels like a lifetime away. I really miss my generation.",en
16,"14 years later, this still doesn't get old",en
17,"Yeah... hearing it in again in GOTG3 awesome. Brilliant tune, well done guys. ",en
18,"Hell, I'm a drummer and 71 years old, and love this song and performance. Outstanding. Beautiful use of emotion and dynamics.",en
19,"If you wanna sing along here it is 

When you were here before
Couldn't look you in the eye",en
20,"This song never gets old, not really overrated just and awesome song all around.",en
21,"I legit screamed ""OMG IT'S CREEP!"" in the theater lol, this song is timeless!",en
22,"This is the only song which actually made me cry. Maybe it's because I can relate too much with the lyrics but I have listened to thousands of songs with similar lyrics but none of them phased me. They all felt fake and coming from someone who doesn't understand what it actually is like to be seen as ""weirdo"" or be labelled a ""creep"". But this song feels as if it comes from heart unlike the others which are written by people just for the song or the bandwagon of self hatred. This song is SPECIAL.",en
23,"Man, I forgot how bloody good this is: When Jonny kick starts the guitar, it gives me gossebumps every time",en
24,"Como pode uma música com apenas 4 acordes ser tão maravilhosa  , show ",pt
25,Thom Yorke puts such a spirit into this song. Really leaves nothing left. Truly an artist,en
26,James Gunn just keeps on choosing masterpieces. Another diamond on the list ,en
27,"When you hear this song, it moves you but when you listen to this song, it takes you to another place entirely.",en
