,comentario,liguagem
0,Linda demais essa música ,pt
1,I LOVE THIS SONG!!!!! ️,en
2,Show danço muito em casa essa música alegra o dia,pt
3,This song makes me relax and not let the little things get to me. A piece of mind.,en
4,Topp mano muito bem música brava ,pt
5,Love it,en
6,"very nice song
I LOVE THIS SONG!!!!! ",en
7,Gosto dessa música!,pt
8,i love this song so much,en
9,Gostei muito desse vídeo,pt
10,LOVE THIS SONG,en
11,"What a collaboration thank you, very good stuff ",en
12,l love this song so much !!! ️ l cant stop listening it ,en
13,Still love this song! ,en
14,Love this song ,en
15,"nice song

I love it",en
16,Love this ,en
17,I love this song ,en
18,Love it’s amazing,en
19,The song is beautiful,en
20,I LOVE THE SONG,en
21,it won my heart! these are the best songs!,en
22,Nothing can get better ,en
23,this is so beautifully made,en
24,Como será a tradução dessa música ,pt
25,"This song makes me feel like i can,,,,,,calm down ,calm down  ,xx",en
26,Calm down is my favorite song ,en
27,It's cool  amazing ,en
28,"i     really really love this song
'",en
29,Nice song,en
