,comentario,liguagem
0,"A song for us introverts, loners, but unconditional, faithful lovers till the end.",en
1,this song feels like dancing slow dance with the right person in the apartment after something really sad,en
2,"I'll be the one that stays 'til the end
And I'll be the one that needs you again
And I'll be the one that proposes in a garden of roses
And truly loves you long after our curtain closes",en
3,"I can’t believe that its been 4 years since I asked her to be my girlfriend after making her listen to this song. Then yesterday, I played this song again while asking her to be my wife. I just can’t believe that she said no both times. :)",en
4,"I fell in love with someone who already has a boyfriend. Every night  i'd write poems about her. About my feelings for her that I cannot ever tell her. I fell for her because we are always one and the same. Like how we understand each other so much. How it was so easy that she slid into my heart. Every night we'll have deep conversations about life. And sometimes she'd tell me that she was not being happy with what's happening with her current relationship. And from that moment on,  I felt that she is just the one. I know it in my heart. She's the only girl that I can truly say I'd want to marry. And now, this song is my wish. That hopefully, when things become right for us, I will be the one. Even if i have to wait for very long, even if I have to battle the sadness every night, even If everyone tells me im being stupid, i will be the one. I will be the one that will propose to you, my dear. And even if I have to endure when things get so rough, I will. This is how much I love you. And no matter what happens, I will never forget you. Because you are my forever Happiness. ",en
5,"used to cry to this song because of a certain someone, but now, I feel loved when I listen to it bc my present love made me realize that I deserve the world and so do you!",en
6,i already know this is gonna be my wedding song and i’m 13,en
7,This the type of song you play when the homies ain’t around,en
8,"This song feels like meeting your soulmate and growing old with them, making memories both good and bad. Being there for them in hard times and in good times. All in all out of pure love.",en
9,"I'll be the one
That stays 'til the end
And I'll be the one
That needs you again",en
10,"Anyone get that feeling? Or is it just me. 

The time, the love, the effort, the sacrifices, the honesty. I'd given her everything, yet in the end.. she finds someone better than me. It's so impressive to see someone leave that fast. I was smiling thinking I can handle the pain. I said to myself over and over that she's just one girl. But with all that I've given her, it's just too much. It felt like she took my heart with her. And left me to die.",en
11,"this song will still be my favorite song, even though we're over. and one day i wish i could hear this song at your wedding, and the girl you deserve. because until now it's true, i am still the person who always waits for you. but you have to continue your journey with someone new, not with me anymore.",en
12,"i'm dancing with my girl while listening to this, her name is Air",en
13,"pro tip : never associate a song you love so dearly with a person. people are temporary, you’ll never listen to a song the same again.

edit: uh oh!",en
14,"i know everyone takes romantic meanings out of this, but i relate it to my best friend, my platonic soulmate.",en
15,i was chilling with this song in the background reading (first time hearing it from a playlist a friend created for me) and i was spaced out until 3:06 and it sounded SO GOOD i jumped up so fast. my heart felt like it was going to combust (in a good way). i restarted that part like five times now and i can't sit still.,en
16,I proposed to my girlfriend to this song about 2 months ago <3,en
17,"definitely the best song of all time. the lyrics, the way its composed, its an undeniable 10",en
18,"Rex is a really talented dude, he is one of the peeps that inspires me everyday to keep singing and pursuing my dreams even at the young age of 16. I started my channel to try and pursue my career the same way he did before, i'm not advertising my channel but I just wanna share this so that others who also have passion in music may come forward and show the world what they've got and not waste the gift they've been given",en
19,"I will never get tired of listening to this song :(( I will never stop loving this song just as how much I will never get over with the person who introduced me to the world of Indie genre and especially who introduced rex orange county to my life. Even though I've already cut off my connection with that person I will forever be grateful and he will always be kept here in my heart despite all the heartaches he's cost. Still despite everything I will never be mad at u for what happened. Stay safe, gbu, imy&ily",en
20,im gonna cry rex orange county is so underrated but his songs is EVERYTHING ,en
21,"My girlfriend introduced me to this song, she said that this song sounds like something I'd say to her, and for the longest time this was our song. I'd sing this song for her before she sleeps and she'd smile even though she's half asleep. Long story short she broke up with me, and on top of it all, it was through a text. All that remains is the ghost of her that still dances with me and I know deep down I'm still clinging on to her because she was all that I ever wanted love to be.",en
22,This album literally never gets old I love it so much,en
23,Its not just a music its a masterpiece.,en
24,All of Rex orange county songs was so amazing. Happiness is my ultimate favorite song of him.  It is our theme song of my past relationship and when I missed him or I'm lonely I've always wanted to play this song because it always reminds me of him.  All of the memories bring back because of this ,en
25,"I feel like I would sing this for myself. lovers will always come and go, but ill be with me forever. just a kind of comforting song to sing for yourself",en
26,"When I listen to this song I always think about my friend and how much I love him, I imagine us dancing to this song and fell finally happy, at least for a moment . I hope we’ll be friends forever.",en
27,"F

I'll be the one

                      Bbm

That stays 'till the end",en
28,"“Me and my lack of new news” is the line I relate to the most. 
When I’m depressed I’m always worried about not having anything to say, being too boring for people.",en
29,"this song really hits hard for me. i fell in love with this girl about a year ago, and im still loving her to this day. this song perfectly describes the way I feel towards her. me and her are very close and i asked her to listen to this song about a week ago. she heard it and really loved it, it made her cry. she feels the same way and loves me, but this is such an emotional song to me that im very connected to now. rex is one of my favorite artists and i love all of his stuff, thank you rex.",en
30,"I heard this song for the first time live in concert at Finsbury Park recently and I started tearing up out of nowhere mid-concert, the next day on the way home I listened to it again for a second time and I immediately started bawling after the ""happy"" line and today I decided to test myself again and cried at the same exact time  Rex you son of a bitch you got me.  The only artist to have ever made me cry on command you have made a forever fan out of me",en
31,"the good thing that this song is not famous is that you can appreciate it more, it's like a rare gem.",en
32,"A guy introduced me to this song the night we were together. We spend time together talking about each other. Spending joy and sorrow for us to share then laughing because of the silly things we've been through before. He always knows how to make me so happy with him. And until now, I'm very grateful to have it. -AZR",en
33,Who else wants this song played at their wedding,en
34,"i’d be the happiest ever if someone send me this song like i’d be flying above the clouds,,rex rly nailed it by doing this song ik it was couple of years ago but it still hits different and gives u the feeling that ur gon be the happiest with that person till the end of your life cz that what i really feel .",en
35,I love this song so much when I listen to it I feel like I am in another world,en
