,comentario,liguagem
0,"Thank you everyone for the love on our song. We are so grateful for each and everyone one of you that streams, watches, shares, and talks about our music.",en
1,"Whoever’s reading this, I pray that whatever your going through gets better and whatever your struggling with or worrying about is going to be fine and that everyone has a fantastic day! Amen",en
2,"This video is exceptional! The color tone, the transitions, the entrance of Maren, spinning round in circles highlighting the (vicious?) cycle you are in, the cinematographic calmness and textures used. Really does the song justice. Great work!",en
3,"This song perfectly describes my relationship with a lady that I can't get over. We get together, it's amazing for a time then she runs. Each time I think, I'm done than months later or even a year; she calls me out of the blue and we start the dance all over again. This has been going on for almost fifteen years. She's inside my soul. Perhaps in the next life we can finally make it work.",en
4,I dont come across a song that gives me chills that often.. this is so beautiful,en
5,"The melody, the guitar licks, the lyrics and then those voices melting together like butta  pure perfection!",en
6,My wife and I play this song when we have a disagreement. Reminds us that we love chasing one another still after 11 years ,en
7,I could listen to this song over and over and over again. Love you Maren!,en
8,"The first time I heard the sing, I immediately added it to my favorite Spotify playlist. Your voices together is a gem",en
9,This is the only song we've found that calms my almost 4month old daughter down and sometimes to get her to sleep!!,en
10,Just heard this song this morning while we were driving to work. I turned to my husband and said “Honey this song it kinda good”. And here I am playing like almost 20 times never get tired of it,en
11,Still 1 of my Top 10 country music songs! Excellent job done by Ryan Hurd & Marren Morris!,en
12,"I feel so at peace listening to this song. Perfect mix of soul and passion.
This is the song for 2 people in love, who cannot stay away or quite figure out how to make things work.",en
13,I can't tell you how much this song means to me and it brings back those happy memories I had with my x fiance of 11years... I really appreciate that yall put this great piece together bc its helping in the healing phase for me,en
14,"This song reminds me a lot of what I've experienced with a few women I've been in relationships with in the past.  I sacrificed a lot and tried very hard to make those relationships work and learned the hard way that relationships like that are best to walk away from and leave alone because they are toxic and will only lead to hurt, anger, frustration, disappointment, heartbreak, and loss in the end.",en
15,This song hits me right in the soul. Been with my husband for 10 years and this song makes our “make ups” so much better. ️️,en
16,Your voices and energies go excellent together. You should do another duet someday ,en
17,"This song expresses so much of how I love & how I'm loved, this track is amazing. Not many songs can break a grown man down this is definitely one of them.",en
18,This song just hits so deep right now. I've never had a song that described my current situation more than this one.,en
19,"Love this song, chasing to an extent can at first be exciting but it has to stop at some point or it's toxic. Yeah maybe there could have been something but who wants someone who can walk out without a warning there's a line even if you do it each other it makes life sad and uneasy. You don't know it unless you been through it. But I love this song it's hard to quit on someone that you had faith in and if they cross line too many times it just makes you feel used",en
20,I cant get enough of this song and these two. They deserve to win an ACM!,en
21,27 years together with my sweetheart and we just had our 23rd wedding ANNIVERSARY! This song is beautiful! He just sent this to me while he's at work.  That's just one of the things we've always done.... send each other songs letting one another know we're thinking of each other. ,en
22,"Amazing song, and exactly what it is sometimes. Thanks Ryan and Maren.",en
23,What a beautiful melody! Love the video also! Keep singing! Ty for brightening my day!,en
24,"I'M A 50 YR OLD BLACK WOMAN WHO HAS FALLEN IN LOVE WITH COUNTRY MUSIC ALL BC OF THE POWERFUL ""COUNTRY WOMEN"" WHO EXPRESS THEMSELVES THROUGH ALL OF THEIR MUSIC! TO ME COUNTRY IS MY ""SOUL MUSIC""!
I SUFFER FROM DEPRESSION AND PTSD SO COUNTRY HELPS TO DISTRACT ME FROM ALL OF MY STRESS. SO NOW 24/7 ME & MY DOGS DANCE AROUND AND SING TO MY FAVS. THANK YOU TO ALL OF THE COUNTRY ARTIST BC YOU'RE OUT HERE HEALING ALL OF US WHO NEED HEALING.",en
25,"This song hits so much harder when your going through exactly what there speaking about, I work alone and can't help tearing up everytime this song comes on. Such an amazing song!",en
26,Absolutely love this song ,en
27,"Such a beautiful song, performed by two people that sound perfect together.  ",en
28,Sometimes there’s a song that will always stay in your life. My hope was gone.. lot of music is nonsense nowadays. But this… this is truly amazing. ,en
29,Beautiful song!! Love this song,en
30,These two have some serious passion and love for one another and it's beautiful. You all fit so well that we can feel it in the song.,en
31,"Love this song, forever will be a favorite of mine.",en
32,Their voices compliment each other. It's amazing.,en
33,I can't count the times I play this song daily. You have an amazing voice! It gets me everytime. ,en
34,This is fabulous music Ryan and Maren ! Takes me into passionate serenity ! A thousand blessings !!!,en
35,This song never gets old. Classic by far. To my future love ,en
36,"Extremely underrated video in my opinion…I loved it. It matched the tone of the song. Wasn’t too overwhelming- it was sexy and endearing at the right parts. Thank you Maren, Ryan, and everyone in between :)",en
37,"Absolutely love this song, listen to it on repeat every chance i get ",en
38,I haven’t liked a county song in a long while but flipping through the radio I heard this!!   I fell in love with this song! This is like the anthem of my heart during the pain of losing that person you love and wanting to try one more time….. love it,en
39,You 2 are incredible. Please never stop doing what you're doing.,en
40,"Such a beautiful song! So picturesque. I especially enjoy when Maren says, “Listen!”️️️",en
41,I absolutely love this song!! Thank you for recording it!!️,en
42,So in love with this song. It’s hard to sing with out tearing up if you been through something like this. Feels,en
43,Currently my FAVORITE song! Stays on repeat ,en
44,"Love the video, great style, so unique and a great use of shadows, and elements to show exactly what the song is saying",en
45,Just heard this song yesterday for the first time. Been on repeat ever since!,en
46,Incredible song. Incredible voices.  Can't help but feel the power and truth of these words.,en
47,"What a great song. The chemistry & genuineness shines through so strongly! Also, the performance at the award show tonight, BREATHTAKING!! New fan of both!",en
48,Love this song ️,en
49,Hits the soul ️,en
50,This song was how my life was for so long. When I first heard it I was brought to tears. Its absolutely beautiful. You guys sound amazing together. And I am a huge fan of maren!! To see her in concert is on my bucket list!!!,en
51,I discovered this song a late night when it was playing on TV....been fan since of both of your work ... so soulfull and  nice ,en
52,I love you guys!!   Great Harmony's! Awesome story!! So much truth in these lyrics!!,en
53,Never get tired of listening to this song!!,en
54,I  am so in love with this song!! I put it on replay alot!! Video is awesome and so is the chemistry of the video.,en
55,A great song and one of the best videos in a long time.  It captures the song so well.,en
