,comentario,liguagem
0,She started it out with the instrumental from the acoustic version... she knows us way too well,en
1,Her voice is so addictive. Like being under a magic spell. Wow.,en
2,"Her  greatest  song  to  date....vocals , meaning , lyrics , .melody , production ,...",en
3,"She is raw
She is timeless
She is elegance
She is eccentric",en
4,"It's not just music, SZA is a lifestyle.",en
5,"It’s something about her music, it’s relaxing and captivating",en
6,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
7,"I haven’t heard a new artist in years that I like. this is such a beautiful song. music, lyrics, visually. sza is ethereal",en
8,I'm still listening it everyday. It's so soothing ,en
9,She’s a generational talent. I replayed the hook between 1:30-1:40 many times.,en
10,"Lyrics

[Verse 1: SZA]
Good day in my mind, safe to take a step out",en
11,"people don’t realize how beautiful and therapeutic this song truly is, just imagine watching a sunset and listening to this",en
12,her voice is enchanting I love her songs,en
13,"Please don't stop SZA , you're the best at your craft. We need more of your genius",en
14,Her voice sounds so angelic on this record. I hope she continues to follow this sound because it fits her voice so well. ,en
15,This song has gotten me through some tough times I love SZA so much ,en
16,the fact that she directed this and hit different….the talent is immaculate,en
17,"Even though SZA takes decades to release songs, at least they never sound rushed. Her songs always sound so beautifully layered or carefully thought out.",en
18,"This song hits home, feels like a prayer of closure and hope. It envelopes you in a rare comfort where you feel understood; you can interpret it the way you want that it becomes personal, with its poetic imagery and metaphor. An aesthetic sensory paradise- the vocals, the lyrics, the video- everything about it is just incredible.",en
19,"SZA is a Moorish woman and have a body of African/Amazonian, while being a goddess deep down in her soul, with talents. I ️ her.",en
20,"""Feelin like... Feelin like Jericho, Feelin like Job when he lost his sh**gotta hold my own , my cross to bear"" I felt that in my soul. This song has changed me.",en
21,"The song is so peaceful, beautiful and charming we need more music like these",en
22,She got me hypnotized with her dance I can’t even hear the lyrics I can only see her dance moves,en
23,AND LEFT NO CRUMBS.,en
24,"So happy this track is included in S.o.s. 
Still help me through bad days until today.
...Good music always underrated.",en
25,this song is such a vibe still one of my fav songs<33,en
