,comentario,liguagem
0,SZA will forever be one of the top R&B girls.,en
1,"I love how she makes saying fuck you sound so beautiful in her melodic vocals.  Been waiting patiently on her new music:)  I love this video, how she's not even in it it's just telling a story alongside her lyrics.  Made a great choice with LaKeith Stanfield, he's a great actor and handsome to boot..",en
2,"I loooove that it ends with, “not the end”. If you’ve ever been in a toxic relationship you know that shit is never truly done until it’s done. No matter how many times y’all say it’s over!! So good",en
3,I love how all her music videos are just simple but they leave such an impact.,en
4,"I love this song...
The lyrics are crazy 
SZA is so talented...
"" Lost in the lie of us """,en
5,I think SZA is underestimated and really one of the most talented out there in her musical genre.  I like almost all her music,en
6,Sza will literally never get old,en
7,Damn I love everything this woman does ️,en
8,Every sza song hits different depending on your mood and that’s what I love about her,en
9,I love Zsa's voice it's VERY DIFFERENT then any other singer I know.. her voice is very calm soothing and it relaxes me and when I bump her music and voice it gives me the hivie jivies Goosebumps in a good way. like when u hear an amazing VOICE. ,en
10,SZA brings out that old school version R&B ️,en
11,Just discovered this song and it's on repeat,en
12,Sza never disappoints. It's crazy that you can tell how FINE she is thru her lyrics lol,en
13," L A K E I T H 

I'm still obsessed with this song and this visual is so perfect.",en
14,Jesus……..this girl has some serious flow! Such a sexy voice too!  Decent bars as well! I don’t think we’ve heard the best from her yet…..looking forward to the next album!,en
15,I love SZA with ALL my heart.,en
16,Man.... I'm so in love with EVERYTHING about this. I cannot STOP playing it!!!,en
17,"This track and the visual is everything...So beautiful, SZA is true artist with her music! Love it, so many people can relate to this.",en
18,SZA is one of those artists that I believe literally CAN’T make a bad song. Her vocals are always on point and her pen game is undeniable,en
19,She is the new R&B and has this amazingly clear voice that has such great texture.  The richness and fullness is so refreshing.,en
20,"My love for SZA is infinite, she can do no wrong!",en
21,Her voice is soulful,en
22,"Have this song on repeat , crazy how relatable this song is to me & how I first heard it at the most perfect time too .",en
23,Hope I’m not the only one who’s still waiting for the other SoundCloud songs to be released on streaming services. Joni really deserves it!!!,en
24,"SZA's voice is so distinct!! and I love it, she brings such a different vibe ",en
25,beautiful song. beautiful visuals. beautiful feels. all of it's beautiful.,en
26,love this song so much ,en
27,I love this song ! It is so heart-felt !,en
28,I really enjoyed that video! We need to cherish SZA as its a delight to hear this quality pure swing style in 2022. All her tracks are brilliant! I can't wait to hear more! I saved almost 90% on my airfare purchases using Mighty  Travels  Premium.,en
29,"I love SZA, She makes such good songs with amazing lyrics and beats.",en
30,"SZA always hits different. One of the best singers imo, her voice alone is phenomenal",en
31,"This song makes me cry so hard, yet I have to listen to it atleast 15 times a day! I'm hurt so hurt...",en
32,I can not get enough of sza she come out with banger at the right time her voice is amazing,en
33,Amo ,pt
34,"Call me when she makes a bad song.
Her melodies are ethereal",en
35,I will ALWAYS love Sza! They don't appreciate her in that industry and they will regret it for sure. Look how old this song is and her fans have NEVER let it die. QUEEN! ,en
36,How every song SZA make is a hit. Love her so much ,en
37,She can do know wrong! Her voice is mesmerizing.,en
38,This song speaks to me on another  level after my recent breakup with my toxic ex,en
39,"SZA the type of artist that can drop a single and still have her audience as hooked as if she dropped a whole album.  The whole fanbase has been STARVING for the new album to the point that we are grateful just for a single being dropped - bc SZA is just THAT good! My voice is no where near as pretty as yours SZA but I hope some day I can work together with you on a project. Even if it never happens, I’m grateful for your music and I’m grateful I’m able to create my own music too. I think I speak for everyone when I say we can’t WAIT for the album. Praying it comes in the next two years ",en
40,I’m obsessed with her and her music ️,en
41,love this love u SZA A MASTERPIECE,en
42,"SZA you're a blessing upon us, we love you so much, the music you make is everything it needs to be, perfect",en
43,This is my favorite song by her  !!!! ️,en
44,One thing i feel like noone pointed out was the actor/ artist they chose.I love that her team chose LaKeith for this visualizer. He shows the emotions in everything he does. Even though there was no dialog or anything it was still amazing.  ️,en
45,Such A Talented young and beautiful women with a voice & lyrics that just reach the ️ Mind and Soul ….Much Respect SZA️️,en
46,"I'd love to read Sza's diary cuz her lyrics always sound like thought streams, personal but universal.",en
47,"This is why music can still survive, sometimes the pain we endure expressed through a beautiful voice & melody...",en
48,Tô viciada ,pt
49,"We need to cherish SZA as its a delight to hear this quality pure swing style in 2022.
All her tracks are brilliant!",en
50,Sza never disappoints !!! She is so innovative !! LaKeith Stanfield is so FINE!!!,en
51,Honestly a real vibe. This is the stuff you listen to on a rainy day and just lay back to.,en
52,B E A U T I F U L ,en
53,She is amazing ,en
54,When the song is already fire and the video actually relates and go with the song to make it even more bomb!  Then she put my man Lakeith in the visual! This is definitely a win for SZA!,en
55,"They literally captured an emotion we've all felt at some point.
 I just love SZA and especially Lakeith. 
It was so intensely relatable 
Had to watch it on silent and it was still an amazing work of art",en
56,Te amo aqui do Brasil ️🇧🇷,pt
57,Love her voice and love this song as well,en
58,QUEEN SZA!!! Love this track!!! Such a powerful track!!! Whole record front to back goes!!! Easily one of the best albums of the year!!! my 2 fav R&B records were this and Brent's!! King and Queen right now!! Need that collab!!!,en
59,SZA is a talented soul and her music just proves her talent as an artist! her power and her voice are just immaculate,en
60,I hope people still come back to this song in 10 to 20 yrs from now like they do for other legendary songs,en
61,"Just heard this song at Metro FM , thank you Naked DJ for playing it. I just love the voice and lyrics ",en
62,This song has helped me through a tough breakup. And the aesthetic of this video ️️️,en
63,"One thing about SZA, she'll always be original. Can't wait for the album ",en
64,I’m so in love with this song. ,en
65,Love her this one of the favs ️,en
66,Sza could not have put it better. This is exactly how I feel at this very moment,en
67,"Even today this song hits hard around here, it reminds me of when it all started and that I should have said that word that would make her stay",en
68,this song’s iconic as it is. And then she went ahead and put LaKeith in the video!! Like how can u hate him  a queen. ️,en
69,Sza's voice reminds me of the 90s version of Coko from SWV and it's so refreshing and beautiful I totally love it sang girl  #Timeless,en
70,"Sza is the best female artist of the modern day era. Pure blissful sounds, vocals and visuals. For me this is one of her top 3 best songs the lyrics are incredible. For someone who hates me... I love you SZA ",en
71,Can a song be any better??? love this,en
72,This song is an all time classic,en
73,"Loved how she had him feeling just like this…everything about him having a bad day felt right from stepping in that puddle and getting mad about it, to a broken cigarette, to the cold ocean water messing up his shoes! Loved it  Sza + Lakeith  P E R F E C T I O N",en
74,Love this  song!,en
75,I love this song so much because it actually tells exactly how I've treated my women in life and how I should never change,en
76,This take me back to when me n my man was goin thru it. So bittersweet to hear now when I’m partially healed. ,en
77,Sza is that one student who doesn't study more often at the beginning of the year but get good grades at the end of the year ️,en
78,I love how the chord messes up in the beginning of the song. It's sonically PERFECT!,en
79,I like how they made the video from the man’s perspective. Such a simple choice but imo it was huge. Taking the lyrics & SZA’s sound in & watching him losing his shit was deep. & the vibe with the ocean & fogginess just locked it all in. SZA will never miss in my book.,en
80,I love this it's too hard to get over this song,en
81,That cig breaking in half gets me every time ,en
82,Have to listen to this daily!!! Love this song!!!,en
83,Got this song on repeat ,en
84,SZA is a goddess. She's so unique and ultra talented.,en
85,"you know when you find the song you'll be playing for the next year, and it will still feel new, masterful,
 gracious, and echoing in multiple levels of emotions?? 
wellll.... here she is ...",en
86,i love this video cause its so different. will be on replay for me!!!! love your music!,en
87,You couldn’t have picked a better person for this visualizer️ Lakeith is a phenomenal actor and I love you two both️,en
88,Song is fire i listen to it everyday all day!,en
