,comentario,liguagem
0,Every time I here you’re song I sing it I love it ,en
1,"For those who need the lyrics 

I'll touch that fire for you
I do that three four times again, I testify for you",en
2,i  love  this album  so much,en
3,God I love her music ,en
4,Finna wake up smiling because of this album ,en
5,A true romantic song. I love it so much.,en
6,She could sing to me all day everyday I will never get tired of hearing her voice ,en
7,Hits different when you lose a bond which you never wanted to lose. ,en
8,Love ️ dis song 1 of my favorite songs,en
9,I've lost count of how many times I've repeated this song. It's the perfect vibe song.,en
10,My favorite track on the album. I just can't stop replaying it.,en
11,You know it’s Real When You Get Chills ,en
12,If sza has more songs like this then I’m her number 1 fan,en
13,This song will forever be on repeat !,en
14,I would play this song hundred times never get over it.,en
15,OMG Beautiful song is in its own class of its own 4SURE ️ The lyrics and that beat just flows AMAZING ️ Definitely speaks to my soul.Still listening how about May 20 2023,en
16,this is my favorite song in the whole album ,en
17,definitely a song worth listening to whether your sad or happy,en
18,"Sza voice sounds so therapeutic and soothing,  my gosh... Her melody is a Vibe ",en
19,This song captures the mood of being suspended in the air while vibing on a cloud. Luv it!!!!,en
20,Was humming this shit all day during my exams. I passed and will forever remember this song,en
21,Congratulations hitting number 1 on Billboard!!!!!,en
22,"Her album was worth the wait. This lady is talented... SZA, Summer Walker, Jhene Aiko and Normani are the most slept on...",en
23,This song does something to me. I can’t stop listening ,en
24,I love this song thank you SZA for this vibe. Hopefully you will make more songs like this. ,en
25,"this gonna be my new fav song of sza. you always bring the best songs, never disappoints ",en
26,This song is to damn good  on repeat forever and ever.,en
27,To me Snooze is the song on the album that most accurately encapsulates the feelings conveyed through the album cover,en
28,Both women Talented and beautiful!! I am actually speechless.,en
29,"One of my favorite songs in the album for sure. Also, I keep replaying the bridge part ",en
30,SZA makes me so calm,pt
31,Essa vibe ,pt
32,OMG  This beautiful song just moves one's soul in the right direction  The lyrics and that beat just janked ur heartstrings for decades Do u agree?? This song makes u float and takes u to another  dimension️🫶Still listening how about May 20 2023,en
33,THIS ALBUM IS TRULY A JOURNEY ,en
34,One of my favorite songs off the album ,en
35,"My favorite track next to Nobody Gets Me. The rhythm, vocals just everything 10/10",en
36,não é possível que eu sou a única brasileira a ouvir essa obra de arte 🇧🇷,pt
37,"Can't stop listening to SZA on this track ️️️️
She captures ALL the flavor in this sing",en
38,"This album is EVERYTHING! SZA really showed her talent, skills, emotions, and feelings on this one! I'm definitely in love... ALL OVER AGAIN!",en
39,"This is everything for me
Lovvvvvve the softness, raunch vibe annnnd vocals
Hooked!!!!
Keep it coming",en
40,"currently covering this on guitar until my fingers bleed, its like a drug to my soul...THANK YOU!",en
41,Still one of my favourites from the album ,en
42,I LOVE THIS SONG AND IDC WHO GETS IRRITATED ABOUT ME PLAYING IT OVER AND OVER ,en
43,I can’t lose when I’m with you Sza you changed the world with this one baby girl ️,en
44,Man that transition she did into those high notes floating at the end is great.,en
45,Love this song currently on repeat ,en
46,Song hits different when one person comes to mind in so little time you can fall for someone at the wrong time just to be left trying to heal ,en
47,Love it ️the chorus ,en
48,I’m in love with her & her voice ,en
49,Every new song I hear off the album becomes my Fav. I love this project. SZA is amazing,en
50,"The song is very chill and aesthetic, I really love it",en
51,THIS ALBUM IS LITERALLY EVERYTHING,en
52,the vibes from this song... my favourite. ,en
53,Love this song one of my favorite songs I can’t get it out of my head I listen to it everyday ,en
54,"Como superar essa música?? 
Pra mim é a melhor música do álbum

Não sei se é por eu estar a viver esse feeling também, mas o vocal dela, os backgrounds, o beat e lyric é tudo perfeito ",pt
55,Feel's like the 90is R&B Sounds  Love it ,en
56,This literally has been on repeat ,en
57,On repeat  IN SZA WE TRUST,en
58,"Juro, esse álbum  ",pt
59,I’m so in love with this song ,en
60,"I love it, it gives me like an early 2000s feel ",en
61,"""I can't lose when I'm with you. Nobody like you doooooo"" <333333",en
62,"Sza put you in that mode, she got hits for sure. May everybody that read this have a wonderful day and keep ya head up!!!!",en
63,Beautiful music from a beautiful and talented artist ,en
64,Uma Deusa que se chama SZA,pt
65,This is saved to every playlist periodt,en
66,The fact that she took the simple word “Snooze” and made a masterpiece out of it!  I cannot stop listening to this and the lyrics are SUPER relatable!,en
67,Gonna put this on my playlist to drive up to see my boo ,en
68,SZA just put her whole heart and soul into this song️,en
69,This song hits you in a different way. ,en
70,Love this song and the whole album,en
71,"SZA is truly amazing, the song is beautiful the rhythm, lyrics, and the flow is just crazy he coming with some crazy fire right now  and this different side of her never disappoints. Hopefully one day my music can have the same impact as his",en
72,My favorite track on the album. Perfect R&B.,en
73,Absolutely love this song!,en
74,Song on repeat ,en
75,This is one of the songs that just brings peace of mind with happy tears,en
76,I finally feel complete listening to this album,en
77,This Sza got the magic lyrics and that voice She keeps the hits coming .. I like her because to go for a ride and listen to this..  is the Bomb!,en
78,Her voice is so soothing ,en
79,This song been on repeat all day today ,en
80,SZA' S Song Writing Phenomenal With Golden Voice to Match! ️️️ Been Big Fan Since hearing! Thank You Queen SZA! ,en
81,I cannot stop replaying it heard on a fb reel and been listening every since ,en
82,This song is my fav out of the whole album,en
83,this song always set my mood when it's time to unwind and smoke .. it's like I'm missing someone I don't have yet.,en
84,Such a beautiful song ,en
85,"Idk how to describe it but this song is like a spring morning, one of my favorite songs off the album. ",en
86,I will take snooze with this song all day,en
87,"The best song on the album,been listening to snooze on repeat,sza is so underrated",en
88,I don’t think I’ve ever referred to a song as this but this song is absolutely gorgeous. ,en
89,i really love this song ,en
90,This one of the best songs to hit the atmosphere,en
91,"UHGHHHG HER VOCALS PAIR SO WELL WITH THE INSTRUMENTAL, SO SMOOTH",en
92,To those who think this song is the best song in the album…..you guys are special and I feel you ,en
93,On repeat ,en
94,Im in love with that song her voice sound amazing,en
95,Love This Song . Dedicate This To My Vanessa . You Got My Heart  .,en
96,Love this album,en
97,This song is a gem ,en
98,There’s just something about the vibe of this song that’s so magical,en
99,My jam right here ,en
100,The second chorus she sings contains a harmony with the intro of the song - if you listen carefully you can also hear the ‘I think I know oh oh oh oh oh’ whilst she’s singing the 2nd chorus. My favourite part of the song.,en
101,My favorite track on this album,en
102,She be killing it ,en
103,Love it!!! ,en
104,"Imagine not being a night owl, and snoozing on this Sza Drop .

Thank you insomnia !",en
105,This song is EVERYTHING!!! ,en
106,The vocals in the intro give me goosebumps,en
107,Wow her voice is amazing and she is An amazing singer,en
108,EVERY WEEK I FALL IN LOVE WITH A NEW SONG ON THIS ALBUM! THE LAST 2 WEEKS ITS BEEN SNOOZE :),en
109,"Perfect song, perfect rhythm, perfect vibe",en
110,love this song with my whole heart.,en
111,"Great Song, Love SZA",en
112,I can imagine her singing this on my behalf at my wedding ,en
113,This album introduced me to sza. I love this album and i looooove how much everyone loves this album.,en
114,On repeat ,en
115,She sounds so ethereal in this one i love herrrr,en
116,This song is a real masterpiece,en
117,This is my fave song in the album ️,en
118,I’m so in love with this song ,en
119,love this song favorite song off this album!,en
120,Her voice is so beautiful and smooth,en
121,"This song instantly took over me and got me in my feels. She’s so incredible, wow",en
122,Love this song sm ,en
123,I’m in love with  with Sza sound so soothing to the soul on my Goddess great Monday (How can I snooze  I can’t lose),en
124,"I can’t looooose, when I’m WITH YOU. I felt that deeply within ️",en
125,love this song sm,en
126,"Had this song on replay working 12 hrs shifts at ups, this shit got me through the whole day…my ass was zoned out playing out a whole ass scenario in my head",en
127,"I have a bad habit of listen to albums and the first few tracks get my attention, so they become my favs. 

How did I sleep on this one for so long lol uh definitely my fave",en
128,"Love the album, baguette snooze on repeat",en
129,Can’t get enough of this bloody song,en
130,I'm going to her concert in socal at 8 pm and I'm so excited I'm tingling TAKE MY MONEY SZA YOU DESERVE IT!!!,en
131,Got it on replay,en
132,24 hrs. after the album drop & this is still my fave song. ,en
133,I just love how she sings on the chorus ,en
134,Bro 57 million views and its not even the music video she deserves this so much this is a banger,en
135,My favorite artist got this song stuck in my head now when I hear it I just hear their voice,en
136,It's not just music it's a lifestyle,en
137,By far my fav on the album!,en
138,"The album was so cool, like everybody else seeking for peace of mind. That's why she found music to help her find what she's dreamin",en
139,Those falsettos at the end  boi SZA I love you,en
140,Luv this..this song bring real love to any situation!! ,en
141,I shuffled the album and this is the first one that started playin and I knew right away that this album is heavenly.,en
142,Playing this at night in the car hits different been having it on repeat,en
143,SZA is my entire feelings right now ,en
144,She can do no wrong!!!,en
145,This was one of my ex gf favorite songs. I miss her but I must keep going for me and she taught me that ️,en
146,Omg song on repeat,en
147,They finna be playing this at every school dance. Meet me out on the floor ,en
148,My girl snapped️️It’s getting played every time I get in the car the shower cooking all that ,en
149,I love this song so much ,en
150,She has one of these recognizable vocal voices,en
151,My favorite song on the album… the last interlude is the topping on the cake. Perfect song.,en
152,This track right here is the best rnb song of 2022! Thank you SZA for making love to sound rather than just lusting tones.,en
153,This song is stuck in my head 24/7,en
154,This album is a W,en
155,This shit hit when smoking out in the nature at night,en
156,Old school sound - man I love it ,en
157,My new jam she killed it,en
158,I feel so in love listening to this song ,en
159,""" Who feels this, knows it ""
This is magic",en
160,On repeat ,en
161,There are songs for all ages on this masterpiece. Simply addicting...,en
162,i can’t stop watching this ,en
163,I listen to this and zone out this a vibe 4 sure,en
164,This song on repeat this is the one that got me in my bag!!,en
165,The amount of times this song been on repeat ,en
166,"I love you SZA ,to be honest I can say that I love your songs but the truth is I fell in love with you through your songs.",en
167,Dis song on repeat 4 life,en
168,my favorite song off the album <3,en
169,This smooth as fuck she snapped ️ on repeat 5times already her voice,en
170,my fav song so far  in sza we trust !!,en
171,The best song on the Album ,en
172,Love this song,en
173,I love this song ,en
174,Just In Love With Her Voice.,en
175,This is beautiful ,en
176,This Album is sooo therapeutic  The wait was worth it ️️,en
177,I listened to this when I was getting my hair braided. So relaxing,en
178,Such a hit!,en
179,This song is too great. I have been listening to this song for two months straight,en
180,the vibe and the drums program <3,en
181,SZA really got that 90s R&B soul to her,en
182,This song feels like a warm hug,en
183,I was not really a fan of Sza music but wow this song is special,en
184,"As a guy , her voice is phenomenal ️",en
185,"i'm currently going through a lot right now, my heart is so broken i myself feel so broken but this song makes me feel loved i don't know how.",en
186,Obrigada por essa musica SZA <3,pt
187,One of favorite song from the Album ,en
188,This song is literally divine!!,en
189,Those vocals ,en
190,I love this song,en
191,This song is so smooth and beautiful.,en
192,This is in my top 5 off the album rn !! The way it starts just feeds my soul idk how to explain it any better ,en
193,"listen to this without the singing, just the instrumentals. it’s so good omg",en
194,Speechless! --- Awesome! --- Blown away!,en
195,This song is on repeat,en
196,I love you so much!!️ perfect album,en
197,I didn't want this song to end when I first heard it.,en
198,I finally have THE song to dance to on my wedding day ️,en
199,We’re like 15 days into the new year and I’ve listened to this song at least 50-60 times. My Apple Music replay gon be crazy this year ,en
200,Gonna have this song on repeat! It's a good vibe song,en
201,I LOVE YOU SZA,en
202,SZA just does no wrong 🥹,en
203,LOVE IT,en
204,"This most definitely one of the best songs;so smooth, the beat and it goes along with the cover well. This at least one of the top #3 songs in my opinion ",en
205,"I can’t looooose, when I’m with youuuuuu! Can we all sing that out loud every time?",en
206,This gona be the song we play for our first dance ,en
207,This is beautiful,en
208,Literally how this man make me feel MW,en
209,She snapped put her whole  in this album,en
210,Shit got me in my feelings for a relationship I've never even had.,en
211,This is my first time hearing this song and it’s fire!!!,en
212,I just can stop playing this️️️,en
213,I feel like I can heal now that I have this album. ,en
214,This song got me in my feels bruh,en
215,Such a vibe - I’m in love,en
216,This song makes me feel like im floating on a cloud.,en
217,"just like my alarm, this song is definitely on Snooze to me!",en
218,"This song was my favorite the first time I heard the album and 2,000 replays later it still is. Love love love this — and Nobody Gets Me ",en
219,This is the sound track to an incredible love story or affair ,en
220,wow Sza is unbelievably fkn talented,en
221,"Now she needs to drop the video of snooze because it’s clearly the new favorite, at least mine, I can’t stop listening to this song️",en
222,"That first ""I can lose"" hits deep️.",en
223,My favorite song thus far ,en
224,This song makes me feel like I’m in love…with the one though I ain’t met them yet ,en
225,I can listen to all her music all day ..  she makes the hit ,en
226,NO.1 ALBUM IN THE WORLD,en
227,This is so amazing!!!,en
228,Wow!! This is Amazing Song ,en
229,"the 2:29 background vocals just send me to another dimension. thank you for creating such a masterpiece sza, love you girl.",en
230,This song is my life from beginning to end!,en
231,Best song on the album,en
232,My morning alarm snoozed me up for this album again ,en
233,I love this song...if you don't feel like this about me I don't want you,en
234,Maravilhosa.,pt
