,comentario,liguagem
0,"Camila  and Shawn: we're just friends
director: NOT TODAYYY",en
1,"3 years later , still this song is in my playlist . It is a true masterpiece... This is never going to get old ",en
2,These two voices together are absolute magic!! Could listen to it over and over. love it,en
3,Who's watching after the rumours that they're back together again,en
4,"2015:I Know What You Did Last Summer

2019:Señorita",en
5,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
6,Essa msc é  linda.. ao msm tempo viciante.,pt
7,"Matthew: Are You two just friends?
Camila: Yes

Shawn: *whispering* With benefits",en
8,This never gets old. I could listen to it all the time.,en
9,"Producer: are you dating or just friends? 
Camila: yes.",en
10,"This song is so beautifully arranged, sung, enacted that it has made a permanent home in my heart!  xxxxxx",en
11,obra de arte + terapia = perfeito.,pt
12,"I can never get bored of this song. It just makes my mood romantic instantly. 
 Always favourite ️",en
13,"Producer: so its spanish now?

Shawn: sí SeÑoRiTa.",en
14,"great music, good rhythm, the lyrics arent too heavy and their voices are amazing",en
15,This song is one of the best song I have in my playlist for a long time and it still sounds awesome even after 3 years.,en
16,I normally think all songs about love and lust are just overrated but this is frankly a good song. They are just as vocally talented as they are physically blessed,en
17,obra de arte + obra prima = perfeito.,pt
18,"Shawn and Camilla: We're just friends
Me: And my mom is Beyoncé",en
19,"Inacreditavél, uma música ter essa melodia sensacional",pt
20,Essa nunca canso de ouvir,pt
21,"Eles estão de voltaaa! Tô surtando, to surtando, to surtando!!!!!!",pt
22,This song is such a masterpiece ,en
23,"Camila: Receives the third baby
RadioStation: How's the relationship going?
Shawn: We're just friends.",en
24,What a masterpiece of lyrics and music for generations to remember. Out of the world,en
25,"musica linda 
bonitinho esse shawn",en
26,"It's been my ringtone since three years 
This song can never get old ️",en
27,"No matter how many years pass, this song will stay in our hearts forever!",en
28,"shawn and camila: We're just friends.
director: im here to spill the real tea",en
29,"Director: Play fans heart with music video?

Shawn & Camila: YES!!!",en
30,"Everything is this song, including the lyrics and this clip can explain what's happening in my life right now. Thinking of her while listening to this always brings me a smile",en
31,It's been 3 years now but still new to me whenever I listen to it. It never gets old ️️️,en
32,"Shawn: You love it when I call you what? 

Camila- Señorita.",en
33,Amor  esse  hino nunca  será  esquecido,pt
34,"It’s 2:14 AM at my country but I am enjoying this song over headphones with a cup of tea in  my balcony. 
Hope everybody can enjoy and feel this song with fresh heart.️️️",en
35,"the song is amazing, recently i heard that they just came back, so perfect",en
36,"2015 : i know what you did last summer





2019 : we all know what they did last summer
.... Señorita",en
37,Bruh this song may be 3 years old but their voices and harmony is UNREAL!! Damn I tell ya I'm gonna be listening to this song in the next 10 years and maybe more,en
38,"Lyrics:
I love it when you call me señorita

I wish I could pretend I didn't need ya

But every touch is ooh, la-la-la",en
39,"amo essa música, quero um love pra dedicar ela  ",pt
40,This song never gets old. No matter how much i listen. I never gets bored.,en
41,"""You say that were just friends, but friends dont know the way you taste"" 
HAHAHAHAHAHA",en
42,Sei que vocês voltaram aqui pq eles voltaram o namoro ,pt
43,Who's here because shawn and Camila are officially back together?,en
44,"Camilla and Shawn: it’s strictly platonic!
Also Camilla and Shawn: Call me Señorita Shawn takes off shirt",en
45,"Always my favourite song. Even after hearing senorita a thousand time, I feel like hear and sing it again. I think It’s a song full of love and emotions. ",en
46,"""You say we are just friends,
but friends don't know the way you taste""
Best line ",en
47,"Shawn&Camila : We are just friends.

Their children: Am i a joke to you?",en
48,"It's 2023 but I'll never stop listening to this beautiful and amazing song .
It is a masterpiece ",en
49,"I love you so much Shawn And Camila. You guys did such an amazing job making this amazing, incredible song. This song is awesome. Shawn. When I hear your voice you sound just amazing. This is such a beautiful song. This song means everything to me. Camila, your voice is so beautiful. You make me almost cry but I just love you too much to cry. You guys are just amazing singers singing together.",en
50,The music and voices hits so damn different + the screen colour... Man IT GIVES AESTHETIC VIBES!!,en
51,"Camilla: You say were friends but friends dont know how u taste
Me: not gonna lie they had us in the first half",en
52,it's a very good music I love the lyrics the clip is greatI could listen to it on loop one way and the other,en
53,Found This Masterpiece Again ,en
54,"Shawn and Camilla: we are just friends.


Señorita: mmmmm you sure",en
55,"""I can't believe this song was released over three years ago and I'm still obsessed with it!. This song brings back so many memories of summer 2019",en
56,"Lyrics
I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la",en
57,This one is a timeless song. Filled with thrills and passion Frequent canceller of plans ,en
58,Now finally this song got life again !!️,en
59,"There’s Nothing Holdin Me Back Video: wow im jealous

Señorita Video: WOW IM JEALOUS",en
60,I can’t stop to listen to it,en
61,This is one of the greatest songs of all time Shawn and Camilla are a phenomenal duo,en
62,"Omg… their chemistry 
Such a shame they don’t make music together anymore..",en
63,The day this video was released was the day I quit drugs. I’ll never forget it. This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you,en
64,"Anyone else enjoying this after the coachella clips of them ""back together""?",en
65,"There's nothing holding me back :
so jealous 
Señorita:
omgg my eyes i cant",en
66,This tune constantly cheers me up! Just love it…simple ,en
67,The song is very wonderful 🇮🇶.,en
68,So happy they are back together ,en
69,Both voices complement each other,en
70,"“we’re just friends”
well shawn can i be just your friend too?",en
71,This song hits different now cuz they are back together ,en
72,Amo essa musica,pt
73,"No matter how much you listen to this masterpiece, it is never boring......that feeling when you hear.... Y'all understand? 

(Sometimes words can't be used....but yea i mean that same feeling you have)",en
74,"Nunca mais tive coragem de assistir esse clipe depois do término desses dois, mas agora que foram flagrados se pegando ontem no Coachella, percebo que esse casal está mais vivo que nunca",pt
75,Their chemistry still gives me goosebumps,en
76,"Produces: How many La La La you want
Shawn and Camila: YES",en
77,Refreshable ,en
78,"Camila and Shawn: We are just friends
Producer: Hold my beer",en
79,I love it ,en
80,Love this song ️,en
81,No matter how much i listen to this song. I never gets bored,en
82,They are back together♡,en
83,"Shawn : We Just Friend ?
Camilla : It's True La La La  :(
but
Friends Don't Know The Way You Taste  La La La :)",en
84,I miss them so much.. every time this song give me goosebumps idk why. I just Love this masterpiece,en
85,"The more I hear it, the more I like it.",en
86,I don't know why this is so touching to my heart i always like it,en
87,"Shawn and Camila :YES
Director:Wait,i didnt say anything",en
88,no cover compares like you who sing beautiful 2023 and I love it too much ,en
89,Lovely music video,en
90,"Shawn and Camila : we are just friends.
Me: but the vide-
Shawn and Camila : WE ARE JUST FRIENDS BUT EVERY TOUCH IS OOH LA LA LA!",en
91,Fun fact:you can listen this song anytime anywhere and in any mood ,en
92,Man it felt like 5 years since i heard this and its still the same i am so glad. ,en
93,Its been 3 years and this song is still SO GOOD!!,en
94,Casually searching for some sort of confirmation that Shawn and Camila are dating,en
95,"When you're in love, it hits different",en
96,This is my jam.,en
97,Incredible!!,en
98,"No one:
Literally no one ever:
Me: SHAWN AND CAMILA ARE RELEASING A SONG WOOOOHOOOO",en
99,Love this song so badly man!,en
100,The soulmates are back together ,en
101,3 yrs back this song was such a vibe ,en
102,This song never gets old ,en
103,Let’s celebrate hard ! But the hate waves that will come with it ! Who cares ! Let’s celebrate 1 billion soon !,en
104,"No matter how old this, truly a masterpiece ️",en
105,Yea well I just heard since Coachella they ended up getting back together! I was so happy to hear that! They make a hottt couple!!! N believe it or not today was the first day I ever heard this song! N it was the best such a hott steamy song..lol! You can tell they had some fire chemistry! Glad to hear they are back together!! They make a gorgeous talented couple! Just hope it works out this time for them!!! Huge fans of them both! Wish them both the best and Good luck to them both!,en
106,Im here cause they are back again omgg,en
107,It's so sad that I can't like it more than one time,en
108,"4 year ago, i was listen this song many times in a every day and now I suddenly remembered this song and come here to listen this masterpiece never getting old this song ",en
109,O TANTO QUE ISSO AQ É PERFEITO,pt
110,"I'm here coz im so happy fan, they're getting back together️️️",en
111,Such a friendly song to listen with your friends,en
112,Can't believe they are back together ,en
113,So nobody’s gonna talk about how they hit 1BILLION views !?!?,en
114,They're back together!! yaaayy!!!,en
115,They have undeniable chemistry. You can see in his eyes he really loves her.,en
116,"They're back together, I feel fun. I Love this song
From Vietnam",en
117,Still feel those summer vibes of 2019 ,en
118,"Director:
Shawn's and Camilla's friendship: am i joke to you??",en
119,Always a great song,en
120,I'm here cause I heard the two got back together..gosh i love them,en
121,I'm so happy they're back together! <3,en
122,"Camila: me and Shawn are just friends
Also camila: you say we’re just friends but friends don’t know the way you taste
Me: oH hOneY",en
123,It always gets me emotional ,en
124,WHO'S HERE AFTER THE NEWS FROM COACHELLA 2023 ,en
125,Its been 3yrs and this song feels like as if it's new  i love this song sm ️️,en
126,THEY GOT BACK TOGETHER ,en
127,"the song i always play
really nice to hear",en
128,God I wish i could have “friends” like this... ,en
129,Can finally listen to this again ,en
130,FINALLY BACK TOGETHER!! ️️,en
131,i came back to scream this at the top of my lungs because they’re back tggg,en
132,It's such a masterpiece  but I miss them together ,en
133,"Shawn and Camilla : we are just friend 
Everyone : yeah  we know so when is the wedding",en
134,This song never gets old. No matter how much i listen. I never gets bored.,en
135,These two voices together are absolute magic!! Could listen to it over and over.,en
136,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
137,"I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la
It's true, la-la-la",en
138,This song never gets old. No matter how much I listen. I never gets bored.,en
139,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
140,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
141,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
142,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
143,This masterpiece reminds me of my loved one,en
144,They are a match made in heaven ,en
145,They're back!,en
146,"shawn: “she loves it when i come..”
me: well damn i guess he went there ",en
147,Ohh god can't get enough of it ,en
148,"So we are back here after the Coachella thing, am I right??? ",en
149,"Camila and Shawn: were just friends

Senorita: am i a joke to you",en
150,Love this song so much ,en
151,"0:20

I love it when you call me señorita
I wish I could pretend I didn't need ya",en
152,vários motivos para voltar aqui sim,pt
