,comentario,liguagem
0,Such a beautiful song,en
1,This song represents pure love. It is not violent or demanding. If you see the most beautiful flower on your path you let it grow on its terms.,en
2,I CAN FINALLY LISTEN TO THIS WITHOUT CRYING BC THEY R BACK TOGETHER!!!! 🥹🥹🥹🥹,en
3,"Such a beautiful song, i can feel the pain of his voice. Shawn's songs always relate with me",en
4,The lyrics of this song is making me feel like crying cause we no longer meet with my partner and because of that we're having some misunderstanding more especially to the other side though we're so much in love with each other when we're in a same place ....Thanks  very much Shawn for this perfect song,en
5,"This song may not necessarily be only for relationships, it could also be very close friendships that have ended, perhaps due to misunderstanding, betrayal or no chance of meeting up / chatting after a really long time, or perhaps no more common interest, but you just want to return to the times when you were still very close with your friend. I feel the lyrics personally. Everytime I listen to it I almost feel like crying. Let's pray that 2023 will be a better year for each and everyone of us ",en
6,"To anyone reading this, it'll be okay ️ Beautiful song Shawn. Chills on chills.",en
7,The part where he sings “nothing more painful...” That part always makes me tear up. You can really hear the emotion in his voice I get chills every time,en
8,"Lyrics:
Are we gonna make it?
Is this gonna hurt?
Oh, we can try to sedate it",en
9,"My younger brother committed suicide last weekend by overdosing on something. He was found with headphones on, presumably listening to something. This is his youtube account. He made a playlist containing 6 songs that was edited the day he passed. This is one of the 6 songs. With the method he used, he was dead after about 30 minutes, probably unconscious around 12 minutes. I like to think that it was peaceful for him with his music on. I love you Myles, I'll miss you everyday for the rest of my life.",en
10,"A moment before our marriage, my better half decided it was not her path in life to be together.  I've shed many tears in your absence after our years together.  I miss you, but please live your best life.  I will love you either way.  This song embodies what my heart is gently screaming.  Be at peace, sweetheart, and all of you out there.  It'll be okay.",en
11,"""Crying doesn't mean you are weak, it means you can't handle your emotions anymore

""You don't want to die, You want the suffering to end",en
12,Not every breakup is about hating the other person. Shawn wrote a beautiful song. It’s so heart wrenching and magical thank u Shawn,en
13,"I love this song! His voice is perfection,  Im  a new fan because of this song. Its weird because its a break up song but it's my favorite song. I was sleeping on his music.",en
14,"Não me canso de ouvir essa música, ela me acalma .",pt
15,The sun is already rising for they both <3,en
16,When I first heard this song it melted my heart. It sounded beautiful when he said It'll be o- be okay. And the music when he said I will love you either way... wow.,en
17,I've been through so many breakups and I still love them because they have left an impact on my live that will follow me for centuries more.,en
18,Shawn never disappoints,en
19,I could honestly feel his pain through this song. Shawn really put his heart into this song. 'It'll Be Okay' truly touches the heart.,en
20,I would dedicate this song to my baby sister. She is 2 and I’m 23. She means the world to me and I would do anything for her. She is like a daughter to me,en
21,"“Your skin is not paper, so don’t cut it
Your neck is not a coat, so don’t hang it
Your Height is not a book, so don’t judge it
Your life is not a movie, so don’t end it.",en
22,"This song is so amazing such a beautiful voice  I’m one of the lucky ones been with my soulmate since I was 17 I’m 54 now, we’ve been through some  rides, just got to keep talking, don’t keep secrets from one another big love and hugs ️",en
23,This hits even harder when one or both of you in the relationship just KNOWS that it's over,en
24,Absolutely love this song! What a powerful voice ! Thanks Shawn 🥹,en
25,So much people relate to this song so sad that people hearts were broken but this song shows not to hate on eachother ,en
26,"Am I the only one who listen to this song all day, every day and never get tired of it?  
Dudee thank u for this amazing song ️",en
27,Such a beautiful song!I can listen to this one for the rest of my life,en
28,This song is teaching me about acceptance.. things don't need to be complicated at the end.,en
29,A primeira vez que ouvi esta música foi na rádio Cidade FM (rádio de Portugal). É simplesmente linda! É uma das melhores canções que já ouvi e não me farto de ouvir no modo de repetição. Um grande abraço de Portugal para o Shawn Mendes.,pt
30,Essa música mexe de um jeito comigo ,pt
31,I'm not crying. Just soothing to the soul. Beautiful. Thank you Shawn,en
