,comentario,liguagem
0,"Im just gonna leave a comment here so when this gets recommended in 10 years I can proudly say: ""Yes, I was there""",en
1,There's no such things as a scary and yet calming music vide-,en
2,Everyone here is talking about the song or how edgy this is. My question is why no one is talking about how much effort goes into the actual video. The acting the surrealism the costumes the editing. The music is also wonderful. I can't wait for more from Sub Urban :),en
3,"I love how unique he is with his songs, videos and etc. its really cool to watch him come up with new ideas.",en
4,"Sub urban  is a high legit singer. The video, the bass, and the beat really make a good combination ",en
5,This is the genre I've always wanted so desperately for years and I have trouble understanding why I can't find more of it,en
6,"Claim your “before TikTok steals it” card
 ",en
7,This song is calming and makes me feel like I'm in a different world,en
8,"Lyrics for those new coming around: 

Welcome to our freak show, come meet my monsters

Oh, such a fine collection of stranger things",en
9,"Eu amo esse tipo de música,  com essa n foi diferente. Na verdade essa música grudou na minha cabeça feito chiclete! A hora q vejo , já estou cantando ! É impressionante",pt
10,This is the proof that everyone can be hot when he has found his own style.,en
11,"It has been 3 years, and this is still one of my favorite songs",en
12,As soon as this song came out I was listening to it for like a lot and then forgot about and now that I found it again I got so excited,en
13,"I remember this song like it was yesterday, I used to play it on repeat every day. This song is still awesome after 3 years.",en
14,"My psychologist: every dream has a meaning
My dreams:",en
15,"Lyrics
  

Welcome to our freak show, come meet my monsters

Oh, such a fine collection of stranger things",en
16,THROWBACK TO 2021 WHEN I WAS LITTERALLY IN LOVE WITH THIS MAN ,en
17,This song reminds me of my high school days ,en
18,"His MUSIC is really unique.
I dont think any other artist could make music like him,everyone has different tastes.",en
19,"This is one of sub urban's greatest songs ever, in my opinion, sub urban is a legend, and a great guy with such a cool personality that had a weird but fun side. I love this guy",en
20,Probobly one of my favorite songs to ever be relesed.,en
21,He is so talented ️️️️,en
22,Fun fact: Sub urban is also the producer of all his songs,en
23,i have not listened to a song on repeat for a long time but this one just sticks with me. I love this song!,en
24,"Yay! Finally this song is 3 years old!
I love ur songs Sub Urban, keep going! U are really doing a great job",en
25,"This was , it's still now, and it will be the best song I've ever heard in my life, great job everyone!",en
26,Guys get ready for this song to blow up randomly again,en
27,"Can't believe they collabed! Why is no one talking about Rei Ami, she is a sweetheart!",en
28,"It can be said that you are one of the greatest people singing, you should win many awards, your life is full of opportunities, good luck to you",en
29,"I remember i would always listen to this, the good old times.",en
30,This song brings back so many memories ,en
31,The fact that this song is about people who are treated like freaks even though they shld nt beHe rlly is an amazin singer and artist!!,en
32,This MV will never fail me,en
33,"Una vez que empiezas a escuchar a sub urban no puedes parar de aserlo y cuando escuchas sus  canciones te da un sentimiento inexplicable
Once you start listening to suburban you can't stop doing it and when you listen to their songs it gives you an inexplicable feeling",en
34,Used to be my favorite song still is.,en
35,I like how it still sounds good after THREE. YEARS.,en
36,"I remember listening to this when it came out, and after two years, I still come back.",en
37,"I just gonna leave a comment here so when this gets recommended in 12 years i can proudly say: ""Yes, I was there""",en
38,"My biggest flex is i knew this song before tik tok whos with me
Ayo why's there so much likes",en
39,37 years old and this is me. Thank you for the music,en
40,Ahhhh damn he looks so handsome and his voice ️️,en
41,This has the weirdest chill type beat,en
42,He’s only turning 21 this year and he’s already so talented,en
43,"AFTER YEARS I'M BACK, WATCHING THIS HORROR SHOW AGAIN",en
44,This mans music always has are creepy feeling and I love it ,en
45,I love the freak show fantasy aesthetic I’m here for it,en
46,This song is forever stuck in my head and I love it,en
47,"Who else wants to be friends with This guy, he's so chill",en
48,Keep up the good work this is a good song.,en
49,os efeitos sonoros são muito fodas,pt
50,The fact that I've listened to this song on loop while writing my English essay shocks me a bit. I love your voice in this <3,en
51,bruh i was here 1 year ago questioning life and now I'm vibing to this song,en
52,Fun Fact : This Song Is Still Legendary.,en
53,I find this relaxing idk why though.,en
54,"Great job Danny. You went on tour, your songs are big hits, well done. wELL dOnE!",en
55,I LOVE THIS MUSIC,en
56,God this is a masterpiece I can’t stop listening to this song ,en
57,"""youre wasting all of your time finding a cure when theres no disease"" has to be my favorite line",en
58,"1:19 Probably my most favorite part of the whole entire video, but, the video is still so good! I’m still listening to it, till this day!",en
59,How is this calming yet scary,en
60,"You know it's a sub urban song when you have the:
Hush
Sick drop
Sick beat",en
61,I was wrong about this song it's not a phase I am still obsessed with it after 2 years,en
62,Esse mlk traz um som mt diferente e uma sensação mt única,pt
63,"lyrics:

Welcome to our freak show, come meet my monsters
Oh, such a fine collection of stranger things",en
64,Still a bop 3 years later,en
65,Is it just me or does it seem like sub urban has just created his own genre at this point,en
66,"Everything about this has something strangely romantic about it. Like this is all a wonder if it’s own.

Also the makeup and prosthetics were on point!! If I met someone with them I could genuinely believe for a minute that they were naturally way,  incredible job!",en
67,"I remember when this first came out I was so exited to listen to it and had it on loop I still can’t believe this was 2 years ago, wow.",en
68,"Talented, retro, unique. A work of art.",en
69,"I can't believe this masterpiece will be three years old in a few months, I won't get over it I love you sub",en
70,"This was my favorite song once, yet, still it is my favorite.",en
71,"Carousel: Who are you?
Freak: I am your brother my lil sis
The Greatest Showman: I am your Father
American Horror Stories: And I am your Mother",en
72,"Honestly love the way he spins in some of his music vids, keep up the good work",en
73,his lil smile was just so nice,en
74,3 years later and still enjoying this,en
75,"When he said ""no I don't mind"" why was it so comforting?!?!?",en
76,I love this song.,en
77,Everyone is enjoying this song but can we talk about the fact my dude literaly was fencing with a HAT,en
78,"God I love this song, it makes you feel good but also a bit uneasy =)",en
79,When you're binging every album from Sub Urban cause you have art block️,en
80,I fucking love this song!!!,en
81,"Dude that's chill. The concept, references, the art, camera moves, vibe, makeup, song. 

omfg",en
82,O som dessa música e incrível eu adoro esse tipo de música,pt
83,love the vibe of this song aaaaa- and the  effort for this video is just- INSANE><,en
84,"You know when you know a song, you listen to it so much and then u get tired? well i listen to this so much and i wont get tired of this:)",en
85,"Coming back to this. I remember going crazy when it first came out~! I love this song, it feels like a drug. ♡",en
