,comentario,liguagem
0,"""Like a cloud holding a knife"" -  Aurora's personality resume",en
1,They are like long lost siblings but one joined the evil side and the other is a whole garden fairy,en
2,Can we just talk about how aesthetically pleasing their voices are ,en
3,"damn, Aurora's voice sounded exactly like in the studio version, such a talented person",en
4,"""like a cloud holding a knife"" she's so poetic. I didn't know being ""poetic"" was a personality trait, maybe it's not",en
5,"Aurora: ""A think they're very nice together""
Sub: ""Yah""
Aurora: ""Like a cloud holding a knife """,en
6,These two are the most beautiful weird and unique artists I’ve ever seen/heard they are like from another planet,en
7,It’s impossible to not adore Aurora ,en
8,Aurora is a greek nymph and Sub Urban seems like a majestic centaur,en
9,"I love how they explain all the situations in which they thought to make the song, how they turned the matter around and how they took care of the words, the phonetics, the ""taste"" (how aurora explain) and stuff",en
10,"Aurora is that one friend that it's really awkward to go out and hang out with, but you also lowkey have the best moments with them, have the deep conversations and feelings that you're gonna remember forever",en
11,Sub Urban's singing voice is really different from his normal speaking voice. Both are beautiful. Aurora's vocals blend with that voice and makes this a masterpiece! Both music wise and meaning wise this is amazing.,en
12,"I find it funny that Sub Urban's regular talking voice is somewhat strong while his singing voice is ""weak"" in the sense that it's not harsh or loud. Aurora's voice is the opposite, where her regular voice is weak and singing voice is strong. These two balance out very well",en
13,This man is a vampire and I am now interested. His talking voice??? Compared to his singing voice?!?? I wasn’t expecting it!,en
14,"That vocal technique that Sub actually does around @4:12 is really interesting. It's like a ""self-canon"", like he split his voice in two where one voice is doing a little melody and the other is whispering. Really interesting. Great interview. My God they're both so talented and deep-thinking. It's very refreshing.",en
15,"Aurora's voice is magical and beautiful, it is also amazing how she adapted to the Suburban style",en
16,"Love both of these guys. Every time Aurora explains her lyrics, it makes tears well in my eyes. She gets it, man. And Sub Urban's own lyrics, voice, and complicated, layered, haunting music production is just chef's kiss Such a beautiful duo.",en
17,"I love the fact that aurora was like ️
And suburban is ️️️️
If yk wht I mean idk how to say it",en
18,How is it that they both have such pleasing singing AND speaking voices?,en
19,"I've known AURORA for years and I can confirm she's not comfortable with collabs. Sub Urban, on the other hand, has very unique style (I always wanted to see a new genre called ""Sub Urban"" in honor of him). So for me their unique style make them a perfect match!",en
20,"That is one of the most calm and aesthetically pleasing interviews, they're voices are amazing",en
21,"Aurora is like wine, she gets better with time ",en
22,"This song hits close to home, especially culturally speaking as this is a reality faced by many Indians discovering love and sexuality for the first time. It's a beautiful awakening but quite often misunderstood or perceived differently by parents who, loving as they may be (or not be in certain cases), are products of a different generation. The impact that can have on their children's growth, maturity and self perception is huge. And while that concern may come from a place of love, it's still a fine line between ""concern"" and ""control"". This song captures that struggle and the aftershocks it can carry into a relationship perfectly.",en
23,"Wow I didn't imagine Sub Urban's voice to be that deep! They're so cute! I love both of them dearly, so I screamed when I found out they collabed! They're so special and lovely, I'm glad I discovered them both. They will always be my little happy corner <33",en
24,"Don’t you think they both matches each other energy beautifully?
I love how Sub distorts his voice. Also how sad is the story behind the song :(",en
25,"I started crying reading this. I enjoyed the song but had no idea what it was about. My first and only relationship so far in my life was damaged by parents just like these. I was damaged and still suffer every day, spending my time and energy problem-solving and working through it. To give you an idea of how it was in my relationship - my parents didn't know about him until after they kicked me out, but I'm sure they had a hunch and it played into telling me to leave. They felt like they were losing control perhaps. I was fearful of holding his hand because I felt so much shame in having to lie about being with someone to parents that I loved deeply, even though I knew lying to them about being with him was justified because he was such a wonderful person. But even after they met him, my shame never stopped. It continued and poisoned my relationship. I'm not with him anymore but I'm still trying to find the antidote. For the him and her in this song, and for the him and I - I feel badly for all of us for being given such a hard time in just wanting to be human. And to anyone who can relate - I'm so sorry. I'm sorry you had to go through that, or that you are going through it. But we have to keep hoping, and healing and remembering that yes, all we want to do is live and we, like everyone else, absolutely deserve to do that.",en
26,"no but aurora always takes my breath away like she's such a beautiful 
human being I can't ",en
27,She sings so well so effortlessly,en
28,"its great to understand the entire meaning of this song, and their voices are both unique and cool even without autotune. Paramour is a nice song that deserve many compliments, probably the best song about love i've ever heard in my life",en
29,"Aurora: songs within nature
Sub Urban: songs within shadows
.
These two have such an interesting palette and they quite have their own style of music",en
30,"Seriously, these two are one of the best duos I have ever seen.
Both of their styles are so original and deep with such unique voices to match up the wonder of their works!
It makes me so happy they made this collab T^T <3",en
31,"this is definitely my new fav duo.
LOOK AT THEM, THEY'RE LIKE TWO SIBLINGS FROM TWO DIFFERENT REALMS I love them so much",en
32,This song is more relatable that you think. I had never heard another song like this that undress such a serious issue that I am experiencing with my parents . The lyrics are so specific that I can feel that the people who made this song actually understand what I am going through without even knowing me. Thank you for this masterpiece both of you.,en
33,"When he sings high, it's so breathy that it sounds like a second person is whispering. It's so cool.",en
34,"She's so tiny  such a beautiful woman, I can't get over how magical she looks 
She killed me with the ""like a cloud holding a knife"" 
He is a very interesting person, beautifully weird, I love this combination! ",en
35,I love how Aurora describes everything.. she is so poetic,en
36,"""Like a cloud holding a knife"" i love how aurora describes both of their voice in one༎ຶ‿༎ຶ",en
37,The meaning of this song is actually so beautiful! And the topic is so underrated like sub urban is such a genius and aurora’s voice is honestly beautiful! ️,en
38,"I've never even heard Aurora sing until this song. Clicked on this video out of curiosity, and I LOVE her. The way she says things make sense to me, and i feel like i would say the same things but I would be embarrassed or self conscious to say them.
I want to see more of them together, their music is so nice together.",en
39,The fact that they sound the same as in the video  crazy vocals,en
40,"These two are genuinely captivating. They seem like very conscientious deep-thinkers. I like it, and I like their chemistry! ",en
41,I hope they make some more songs together in the future. They seem to click very well creatively and it’s so cool seeing their ideas and talent bounce off of each other ,en
42,it's physically not possible to not like Aurora she is probably one of the most amazing people I've ever seen sing very inspirational.,en
43,"I love how Aurora strangely reminds me to Jesse Eisenberg. They’re so unique, calm and intelligent",en
44,"Hearing them talk about the meaning behind the song and the emotional depth behind certain lyrics really hit home for me. Damn, wish more people would watch this.",en
45,Man I love Aurora. She's an angel,en
46,"I can relate so much to the lyrics, especially to ""in our house, the quiet is so loud"" and ""I can't hear a single word you wanna shout"" - that perfectly describes my relationship to my father somehow. But my interpretation for ""oh God, you're just a child"" is completely different. I see myself years ago when I was a child and my father was shouting at me and I thought ""oh God, I'm just a child, why do you do these things to me, please just let me be a child and have a childhood""",en
47,The song's a bop. Didn't expect these two to be so articulate and so insightful with their approach on the lyrics! Makes me love the song even more!!!,en
48,They both have such comforting vibes,en
49,"I love how Aurora looks at him in adoration.  Like she adores the heck out of him.  I is what I love about this amazing spirit.  So deep and she is so attentive. 

That’s not always a given now days.  Whether it is a young person OR an older one…",en
50,"They are at the same time giving me awkward, friendly, siblings and shy couple vibes.  What a mix. And I loved the song. Was very surprised for this collaboration. 
EDIT: ALSO I never noticed how deep voice he have... O.o Like what the heck boy? ",en
51,"Aurora defines their voice perfectly together. ""Like a cloud holding a knife.""",en
52,Danny and Auroras voices compliment each other so well. And I'm sure these lyrics are relatable for many people around the world. Amazing song,en
53,"I love Aurora and recently started listening to more Sub Urban. When I saw this collab, I was excited mostly over Aurora, but I fell in love with both of their roles in the song. Now listening to both of them here and how they worked together so well and on point, I would love more of these two together.",en
54,I really liked the lyrics since day 1 but watching them explain the whole song makes me love it even more. I know many people have experienced abuse in their households when they were young so getting to hear an entire song about that it's amazing.,en
55,Watching her on an interview it reminds me why im busting my butt at a crappy job to afford the plane ticket to go see her in concert! She truly  is goals <3,en
56,These lyrics are so thought provoking and making me look at what I can learn from them as a parent of a teenager. I hope I never stifle their live for the beauty and joys of the world by shaming them or using my interpretation of the moment to be formed by what society will say.,en
57,"You really can feel how much both of them cared about the song, the art, the world they created around it all. i loved listening to every word they said, to every thought they put into this piece of art the song became. thank you for that.",en
58,It’s so amazing how every Sub Urban song has a story behind it and a deep massage it’s almost as if there was a scenario  playing in his head and he made it a song,en
59,"its painful that how much i can relate to the lyrics •́  ‿ ,•̀",en
60,"I could listen to these two chatting four hours on a bloody podcast. Really nice voices, warm personalities - just generally sweet and lovely",en
61,Completamente apaixonada por essa dupla.,pt
62,"Lyrics:
[Verse 1: Sub Urban]
Tell me, is your father a good man?
It's surprising how little he seems to understand",en
63,"Suburban music: Dark, chaotic, Breathy
Aurora music: Light, Fantasy, Sharp
Thanos: ""Perfectly balanced as it should be""",en
64,"I love Sub Urban so much!
I'm a 12 little girl from Taiwan,when I know he is half of Taiwanese,I am so excited!
He's sound is so healing,I already addicted 
I can't say anything,because that so good,I don't know how to describe how great he is ",en
65,"Sub Urban's voice is so unique and deep  when he sings 
And also I got surprised cause there's a massive difference when he speaks and when he sings",en
66,I love the way she is just in her own little world in the first part but listens very carefully to what he says and smiles when she agrees and nods when she thinks about how a parent could do that to there child,en
67,"All this added to the fact that the song is called ""paramour"" which means for love or out of love just makes it perfect, really poetic, plus i really like those two and their whole universe",en
68,"I love them both so much, their voices are just so harmonious and melodic. And this song in particular has a really strong meaning, many people can relate I think",en
69,It’s so cool how low and grounded his voice is when he talks and then how breathy and how lifted he sings- it’s angelic,en
70,"This song's meaning hit right right at home a little too hard, especially when I had gotten pregnant. So much stress and expectations falling on my like weights that only got worse when I finally told my dad I wanted to move in with my boyfriend and raise the baby with him. ""What about us? What about opportunities here? Do you have any idea what you are getting yourself into? It's not all sunshine and rainbows! Do you understand anything? You have to live with this now"" My dad, without really knowing it, was mentally and emotionally abusive and that's what landed me in a mental hospital away from my newborn was all of that finally crashing on me all at once. My dad does try to help do what he thinks is best for me, he truly does care, but his methods got more and more corruptible and more like guilt tripping rather than actually teaching me and it very nearly almost got to the point where I actually had to cut him out of my life entirely with no interaction whatsoever if I was going to actually get better and think for myself. This song means a lot.",en
71,This is pure art ♡,en
72,"Two beautiful people, two talented people, one amazingggg song",en
73,Is it just me or Aurora language really seems so graceful and poetic(not to mention her elegant voice)??,en
74,"I can’t handle sub’s voice, it’s so deep and relaxing 
Aaaa",en
75,She has such a amazing voice...wow..,en
76,Weird recognizes weird. I loved their interaction!,en
77,"I wish there is more live version of this, like acoustic one",en
78,Aurora is an angel and speaking in a very graceful way,en
79,Aurora has a big imagination: It’s like a cloud holding a knife!,en
80,"I LOVE IT ! It's very funny to see how they're both so freaking shy, opened and at the same time very free and outspoken. 

I'm very happy to see them collab together and I feel like this Sub Urban collab is the best he's done so far. 
A little angle and a magician. What a blessing ️",en
81,Aurora canta de uma forma angelical....,pt
82,This is one of the most perfect collaboration. No one can't change my mind,en
83,"Since Aurora did vocals for ""into the unknown"" I admire her technique and unique voice with a lot of Nordic texture in it.",en
84,Both wonderful artists!,en
85,its so satisfying hearing the sound of their voices. urban's is a calming deep and aurora's is kinda fluffy and light. idk opposites attract ig which makes paramour such a good song,en
86,Aurora parece uma criança fofinha mds,pt
87,these two are so poetically aesthetic omg,en
88,"They are a perfect match for this masterpiece, Sub urban voice is so relaxing, both of them.
 I love this part (2:12)
6 is Kuul",en
89,This guy is an art!,en
90,I really enjoy their storytelling with this song,en
91,Poderia ouvir essa mulher o dia inteiro... voz dela é  linda de todo jeito,pt
92,I never realized how deep Sub Urbans voice is he has such a light breathy voice when singing,en
93,"""Our voices are very nice together, like a cloud holding a knife"" 

I like the way she thinks HAHAHAHA",en
94,we need a whole album with these two omllllll,en
95,Both of them are soo magical and dreamy. I don't even know how to explain. They seem like characters from a fictional story,en
96,"I can just imagine them brainstorming. My goddd their brains like together, this is honestly a surreal thing I didn't knew was possible but no complaints I'm all here for it.",en
97,I love how sub just sitting curve and aurora sitting straight just to match their height awww HAHAA,en
98,There voices are so beautiful,en
99,Aurora's facial expressions are so sweet  she looks so excited while explaining the lyrics. We must protect her,en
100,his vocals got me shiver so perfect,en
101,"I hope there'll be more collaboration between Sub Urban and Aurora! Like, both of their voice match PERFECTLY! ",en
102,"These two are like, polar opposites but still go perfectly together.",en
103,It was lovely hearing them go deep into the meaning of the song.....love em both so much,en
104,aurora is such a wonderful person and the way she describes things is just amazing,en
105,"Omg omg they are like a ""cloak and dagger musical duo"" lol ",en
106,"Suburban is so ughhh 
Can't believe Aurora collaborated together. You guys are both so amazing and talented ",en
107,I love how she described both of them with her hand gestures,en
108,they look like best fairy friends who belong to the fairy realm ,en
109,I am IN LOVE with these two,en
110,Aurora sounds so angelic talking and singing,en
111,"im shook at sub urban's voice. his face doesnt seem to match the deepness of his original voice, his singing voice seems to match more. also im so shook at aurora having having a different personality than i imagined.",en
112,"These two are like, polar opposites, but at the same time they could totally be long lost siblings. Lots like, ones evil, dark, etc., and Aurora is like, and angel, fairy, cute stuff, etc.",en
113,The way they vibe together is so cute awww like they look at each other with such awe,en
114,"this song is such a huge eye opener, my parents are very influential in my life and it most definitely affects my relationships with people, i like seeing the ""partner's"" perspective.",en
115,"They need an entire album together
also HIS HANDS !!!",en
116,It's crazy how I can literally hear him whispering the words while he sings great voice control,en
117,"Aurora is so talented and i just love listening to her singing and talking, expressing things in her very own way",en
118,"I didn't know Sub Urban did the high part, his voice varies so much",en
119,Eu amo tanto essa música,pt
120,I’m completely blown by Aurora’s detailed interpretation of and attention to the lyrics,en
121,Aurora's voice has greatly impoved over the years,en
122,she sounds angelical every single time wow,en
123,ok her singing here is angelical you just hear that there wasnt much work needed in the studio,en
124,essa música é perfeita ,pt
125,"Im not even kidding, this is the first time ive ever heard of Sub Urban speak and I love it",en
126,The vocals make my skin tingle,en
127,Foi o melhor duo do ano,pt
128,They are both my favourite artists and this was the collaboration that surprised me in the best way-,en
129,Eles São tão fofos Q HAAAAAA️,pt
130,Ugh... what a story. It's such a shame how parents could be so controlling. Let love live ,en
131,I'm in love with sub urban omg that voice,en
132,"Why is his voice so deep???
I've never thought it would be this deep",en
133,I have listened to this song so many times and I really love their personalities,en
134,I like how different types they are and now they are working together ,en
135,"such a lovely people. it is such a pleasure and happines  to have them as creators and there music as creation in our lives! 
i am really happy",en
136,Knowing the story of this song makes me want to cry. It's my story. It's my fiance and I's story. I was kicked out for dating him.,en
137,"One of the best collabs I've heard, and two extremely creative artists.
I also absolutely love the way Aurora thinks.",en
138,“Like a cloud holding a knife” the sudden stare and smile was pure evil,en
139,I feel both of your voices in every song I listen from you to <3,en
140,sub urban really absolutely rocked that dress in the music video,en
141,how their voices sound so different from their singing I'm OBSESSED,en
142,Actually when I heard this song it became my favorite and it still is.,en
143,"Such an underrated song. It just hit a little too close to home, maybe that's why I resonate with it too much.

Well done, Aurora and Sub Urban.",en
144,Aurora is so cute omg. Also Sub urban put a LOT more breath in his verses than the actual song...,en
145,They're like... so... perfectly-weird? Together? Its just yes ,en
146,what an excellent discussion by these amazing artists.   Love the insight.,en
147,Their voices are soo different but matches perfectly,en
148,How he chages his voice is amazing,en
149,This really makes you wanna listen to the song again.,en
150,Aurora's voice sounds like a angel,en
151,"Whoa.. okay in a world of autotune, (and no offense to those that use autotune, cause I can't even carry a tune) to be able to sing beautifully without any sound at all, is amazing. 
He is such a wonderful talent. Dont let the world corrupt you.",en
152,Beautiful words from a brilliant pair of artists,en
153,Great song with a lot of meaning,en
154,Both of them are so talented.. and super sweet together ️,en
155,I like how there voices match for the song,en
156,"Se eles quiserem ficar juntos, tem minha benção ",pt
157,ahh two legends   with their legendary voice ,en
158,Getting to know the true meaning of a song really changes your whole view,en
159,"Aurora : Like a cloud holding a knife.
Sub Urban : Yeah… (thats too deep Aurora)",en
160,Wow I now love her and need to go listen to all her stuff ,en
161,Is it just me or do they work likeeee this is my new fav ship,en
162,I agree with Danny her singing voice is very angelic,en
163,sub urban has a very beautiful and thick voice and aurora has it fine and angelic but very pretty too,en
164,Sub Urban is like an assassin that is quiet and waits for his victims while Aurora just lures them.,en
165,Both artists that I adore made a collab. I'm screaming and crying in happiness.,en
166,"I love Aurora's music, and their collab is everything. ",en
167,My heart melted they are a great collab,en
168,"This collab was the best thing that i could ever listen this year, i love both of them <3333",en
169,i didn't expect them to be this adorable together!,en
170,I loved this! Wish more artists would do these!,en
171,"Dont tell me,im the only one enjoying watching them together",en
172,I. LOVE. AURORA'S. ACCENT!!!!!!!!!,en
173,her personality looks really different in the music video I was surprised when i saw her talking so kind like that,en
174,"For how moody and dark SubUrban’s music is, he has the most glorious smile ever",en
175,I love Paramour. It be on repeat. Y'all both did swell,en
176,She did perfectly  match ,en
177,"OMG, they look so beautiful together.",en
178,I cannot wait to see them both in May!!,en
179,The first time I hear Sub Urban's voice without autotune AJSJJSSJJS The voice is very serious compared to the songs,en
180,"Ever since I listened to their music, I've been waiting for a collaboration, it's surreal, the song is everything we can ask from these two talented people",en
181,I feel like i can listen aurora forever if she just talks about the things in her mind,en
182,their voices are absolutely angelic I can listen to them talk for days. How can humans sound so perfect omg,en
183,Finally the collab that we all want!!,en
184,"ive never seen someone who genuinely looks magical, even the name aurora is mystical wtf",en
185,every time sub urban sings it sounds exactly like the song like no autotune its amazing,en
186,"Thank you, Aurora for singing my emotional experience with my family. And Sub Urban too!",en
187,Aurora doesn't need any outotune and Sub Urban just needs it to get rid of some of the breathing sounds.. there so perfect ,en
188,I LOVE AURORA AND SUB URBAN COLLAB!! THE BEST COLLAB,en
189,Absolutely beautiful ,en
190,"Like a collab of light and dark,its amazing.",en
191,Oh my God... they're just amazing. This is gonna be my favorite song for the year.,en
192,"I Love her angelical voice, and his powerful voice, omg  he's sexy",en
193,Aurora is such a beautiful artist! no choice but to stan,en
194,i love their music,en
195,I love how scary his face expressions are when he sings lmao,en
196,She gives off Luna LoveGood vibes I think it's in the way she talks and her personality,en
197,This is the first time I’ve heard him speak instead of sing. And the first time I’ve seen him smile. I’m a very new fan. Lol,en
198,LOS AMO!!!,pt
199,Gente queria esse vídeo traduzido,pt
200,Love this duo.,en
201,I love this song and now that i know better the meaning behind it I'm completely in love with it and also with Sub urban and aurora. They are two beautiful souls that can fluidly explain their emotions put in the song very well and gently. I feel a beautiful sense of calming listening to them talk and I find that they vibe really well together,en
202,"PLEASE why did they seem so cute and wholesome at the start, complementing each other and all ",en
203,These two are like long lost siblings who are the complete opposite of one another but also not at the same time.,en
204,Son tan hermosos ,en
205,I love how Aurora can say something super confusing and possibly messed up but still look cute while doing it,en
206,Love this song and they are so cool,en
207,Those two are just soulmates tbh,en
208,watching this video is like somehow watching two mythic magical creatures out of this world talking to us,en
209,"You guys are so special, both of you!",en
210,Oh my Lord Aurora‘s voice is so perfect even without autotune you can hear in service voice it’s a little bit less perfect the Aurora‘s voice is amazing without auto tune or with autotune,en
211,I’ve been playing this song on repeat since it came out,en
212,I could die for these two,en
213,This woman is everything. Literally,en
214,I love the word indecisive I like the way it feels and how it tickled in my mouth,en
215,Aurora is like the living Anne with an E character too deep and inspired with fascinating weirdness,en
216,Sub seems very shy next to Aurora ,en
217,"very powerful and spiritual perspectives especially against shame are so powerful - I love how our generations and the new ones arising are starting more and more to embrace love and flow state and just allowing life and the universe to lead us as we mature and heal past the traumas of selfishness that was passed down unknowingly, often by those who meant well but we're just a product of their times",en
218,Aurora is amazing.. She's so adorable and talented,en
219,This made me smile and cry,en
220,um olhar da aurora me mataria facilmente,pt
221,"aaaa this is very good, their voices are so ",en
222,Two air signs they’re so awkward I love them ,en
223,the crossover i never would have imagined. appreciate both artists very much. love the song,en
224,"they are so amazing, and together? omg!!",en
225,the way aurora talks is just so pleasing like she tastes every word and says the best version. like her words just sound good saying it,en
226,Aurora definitely should do more of these collabs that she vibes with,en
227,"Wow, AURORA is just SO comforting..",en
228,I love the perspective of the song and how you shouldn't be feeling like you did everything wrong but in not all seriousness AURORA taught me that   is cool,en
229,I see a perfect match forming ,en
230,You are both so awesome,en
231,I love them,en
232,Thumbs up for the ones who play this on repeat. ,en
233,really love both of them,en
234,The lyrics are so deep,en
235,"They're both so talented, intelligent and lovely",en
236,They are so adorable together.,en
237,One thing I want in this universe is AURORA.,en
238,I love them both sm ️️,en
239,Aurora is a CHARACTER not a person but a BEING,en
240,Aurora voice is...wow!,en
241,Man I had a feeling that’s what it was about but for the creators to speak on it was nice! ,en
242,"they're so cute together, and sub urban sounds so mature and wise. i just want him to be my friend pls lmao im in need of some fair advice xD",en
243,No wonder I relate to this song so much.....,en
244,She's so cute  I love her way of talking it seems so poetic but in a natural way,en
245,"The duality between Sub Urban's voice when he's singing and talking reminds me of IU. Also remind me of myself, when I was singing my voice is a little bit high but when talking it's deeper than ocean",en
246,His talking voice...Just put me to sleep to that. I'm in love.,en
247,"They're so adorable 
I can't ",en
