,comentario,liguagem
0,dum dum ditty dum dum,pt
1,"Imagine Billie Eilish, Melanie Martinez, AURORA and Sub Urban do a collaboration... ARH! MASTERPIECE!",en
2,"I used to be a fan, but after hearing this masterpiece, I'm a whole air conditioner",en
3,Aurora really made a PERFECT description of this when she said this song sounds like a cloud holding a knife. That is so specific but so correct?? Sub urban and Aurora NEVER fail to amaze me <333,en
4,"This is why old people (like myself ) shouldn't fall back on the old ' They don't make music like they used to' shiz. You run the risk of never hearing anything great again. This is fantastic the vocals are so great together. I'm 50, and I hope I am still listening to new music in my 60s/70s... I would say 80s but unlikely I will reach those ( too much partying to my own generations music lol ) Love it!",en
5,"Without a doubt, the best voice control I've ever heard, and not only that, but the best collaboration and combination I've heard so far",en
6,Aurora's voice is simply enchanting,en
7,I just love how the dark aesthetic of Sub Urban and the ethereal aesthetic of aurora blends so well,en
8,it's lowkey funny how he literally cannot fail to make a melodicall masterpiece everytime he gets on the mic,en
9,Their voices together make it sound perfect and dark keep it up and this reminds me of paranormal stuff from back then,en
10,"Lyrics:

Tell me

Is your father a good man?

It’s surprising how little",en
11,"Why is no one talking about how Sub absolutely rocks this dress?!
It suits him really well.",en
12,I love how their voice harmonies perfectly,en
13,He's rockin' in that dress and none can change my mind,en
14,Sub in a dress is the most beautiful thing ive ever seen! this whole song is my vibe and two of my favourite artist did a collab im so happy  ,en
15,"This man truly is an influence to modern day music. He personalize his music to make it sound less like a robot than other artists, and he also is able to blend the perfect amount of acoustic based music with the electric, minor tone to the song to create an intriguing melody that keeps you wanting to hear more. Bravo!",en
16,This song never gets old.I'm literally obsessed.,en
17,I'm trying not to say the same thing in every Sub Urban mv/song but I looooove the art so much!! I'll never stop saying this actually. Such strange concepts!! The ability he has to make his art come to life is just amazing,en
18,I love how AURORA is exploring new sounds in her music career,en
19,"There’s something about that AAAAAA mid-rhyming scheme that gives me so much pleasure. 

“This is how it GOES,
Watching it UNFOLD,",en
20,Como uma música boa dessa só aparece para mim agora?,pt
21,They both feel like spirits and aurora can read your mind and sub urban makes your wishes come true but with some awful twist,en
22,"Sub Urban slowly dragging everyone into his melodical madness, I expected no less and am always here for it",en
23,"I'm Brazilian, but I loved the kind of psychopathic music style and horror theme... CONGRATULATIONS SUB URBAN",en
24,"Excellent collaboration, I liked the musical arrangement.Aurora and Sub Urban's physical beauty is breathtaking, I love them both. The video is fantastic",en
25,"Tell me, is your father a good man?

It's surprising how little, he seems to understand

His daughter was my savior

Sure, she can be a little indecisive",en
26,Let's be honest everything Aurora and Sub Unban create is perfect and the combination.. its even more,en
27,"i wouldnt say its weird, but eerily nice to notice how much that outfits suits him.",en
28,I keep trying to listen to the whole album but I get stuck with this one on repeat cause it's so damn good,en
29,a lot of times i say i'll never get tired of someone's music. and then i get tired of it. except your music. and bts. this is fire it's my 5th time listening in the last 13 minutes.,en
30,I've always loved AURORA but her with Sub Urban is just immaculate.,en
31,i HAVE NOT stopped listening to this for the past 2 or 3 days its the only song ive listened to lol,en
32,I can't this is a pure masterpiece,en
33,Sub Urban. The only guy who can pull off wearing a dress and looking good in it-,en
34,Cara as músicas dele são muito boas véi,pt
35,"lembro quando ouvi uma musica do sub urban pela primeira vez , ate agoraa e a mesma senssaçao de ouvir algo foda",pt
36,"The best power singers in my mind. Sub Urban is amazing and so in Aurora, them working together on a song gives it so much power",en
37,"If Aurora would've rapped, I would've lost my sht. I know she's not a rapper, but I also never expected her on a track like this. Amazing track though!",en
38,"This is so good 
I hope there's more collabs between them soon ",en
39,"sub urban is a genius, he finds the perfect artists to be featured in his music,bella poarch, aurora, rei, they all accentuate his voice and beats incredibly... this is art.",en
40,I could listen and to his song 10000 times and still vibe out,en
41,HOW TF DOES BRO NEVER MAKE A BAD SONG,en
42,"this speaks out to me in so many many ways I absolutely love your songs you reach out to so many people, keep it up:)",en
43,"Knowing that Aurora rarely collaborates with other artists, this makes me so excited!",en
44,"The tone, the voices, the emotion a true special moment in the alternate genre ",en
45,In the chorus his voice feels so present and just in my ear drums and I love it!!,en
46,I love his music so muchhhhh,en
47,Let her sing! They keep trying to mold her into a pop star and not let her unleash her unbridled gift.,en
48,Okay but why is no one talking about the dresses they fit PERFECTLY,en
49,This song deserved more fr is sooo good,en
50,The bells that come in for Auroras part will never not give me chills,en
51,"I love it! I really do! My only complaint with Sub Urban, is that the songs aren’t long enough. It’s like when you’re watching a t.v. show and they end it with a cliffhanger, and NEVER make the next episode.",en
52,I love all your music spring fever is my favorite but this one hits different every time I've listened to it and as I said in I think spring fevers comments your music helped me get over my moms death and I thank you so much and I don't plan on ever not listening to your amazing music keep up the good work oneday you'll have to many people listening to your music to even count and I wish I had a job and wasn't trapped in the high-school schedule to be able to go to one of your concerts but for now I'll be listening to your amazing music from the side lines ,en
53,no word to describe him this man is something unique than the other artists,en
54,"Their voices complement each other exactly how Aurora described. He has breathy voice, and she has the sharp one. Together they sound like the cloud holding a knife. You gotta love her expressions.",en
55,Danny you've been doing amazing! And it's great to see how far you've come since 2016!,en
56,This is the collab that we needed,en
57,If I could like this more than once I would because this is just...OMG,en
58,"it’s crazy how their voices matches perfectly
...",en
59,"2 perfect voices together, please need more songs",en
60,I used to be a air conditioner but after hearing this I'm a snow blizzard,en
61,Both of their voices are emerald their so beautiful,en
62,Ahh I love this song!!! The whole album is incredible,en
63,Never expected him to collab with Aurora but their voices go so well together :),en
64,HOW DID I NOT KNOW ABOUT THIS THEY ARE BOTH MY FAVORITE,en
65,I’m obsessed with this all over again!! This is probably the best visualizer I’ve ever watched.,en
66,this song has a very unique vibe,en
67,Beat drop hits hard every time,en
68,These two together make a whole different aesthetic that I just can't even explain but it's breathtaking ,en
69,I love his voice,en
70,The line “this is what you chose” always gets me teary. Parents make the choice to ruin their child’s life over their own pride,en
71,the dress sub urban is wearing seems like a dress that conan gray  could have worn but let's talk abt how it fits on sub urban in an enchanting way :'),en
72,Aurora sounds so different when she’s not singing,en
73,"Our voices together are like a cloud holding a knife.

- Aurora   ",en
74,the dress fits him so well omg and Aurora looks so pretty,en
