,comentario,liguagem
0,Hats off ,en
1,I can still remember listening to this song on the radio while driving in a valley deep into the Alps in France surrounded by dark and magestic snowy mountains. It was magical.,en
2,This song will never get old,en
3,Just discovered this gem of a piece. I feel late to the party but it's okay. This song stays in ur mind 24/7 after u hear it for the first time. ️️️,en
4,"Ah música mais escutada por mim esse ano, sem dúvidas ",pt
5,This songs hits different while driving alone at night.,en
6,I'm obsessed with this song already! ,en
7,"This song will never get old

Yo, AUTHENTICVIEWS dawwwt cawwwm be slayin' the game when it comes to YouTube views, know what I'm sayin'? They got that fire content and them views be comin' in hot!",en
8,This song is sheer brilliance - I love the Weeknd but this particular song is a masterpiece.  Don’t get why it’s not more recognized …,en
9,A year later and i still have the goosebumps whenever i hear this masterpieces,en
10,"Like a moth to a flame
I'll pull you in, I'll pull you back to what you need initially
It's just one call away
And you'll leave him, you're loyal to me",en
11,Hands down to the best artist of this generation...,en
12,I was actually dreaming of this collab...and now it's here....goosefuckingbumps,en
13,"He is not a musician .
.
.
He is a magician ",en
14,"those vibratos, silent, touching, this music makes me feel I'm in a different world. Close your eyes!",en
15,"The lyrics mean a lot to me, i will never forget this song, it will be with me my whole life. Hope he signs it at the etihad stadium in june, would give me an actual heart attack",en
16,This is not just music. The weekend is a lifestyle ,en
17,This guy really doesn’t know how to make a bad song. What an iconic artist,en
18,"This is for me the most important and definitory return in EDM history. Such a shame this track went overlooked by the media and audiences in general. Nevertheless, it doesn´t matter if it´s the quantity or the chart positions this song reached, it´s about the quality of the final product and believe me this one of Abel´s best vocal performances and Mafia´s productions.",en
19,This song is without a doubt in my top 10 hits of all time! A real audial carnival for my ears and my soul ,en
20,Apaixonada por The Weekend 🇧🇷,en
21,"What a tune.. can’t stop listening, it’s like pouring maple syrup into my ear holes in a good way!",en
22,This song is sooo amazing; I just love it so much,en
23,The world will discover this masterpiece later but we are real fans here.,en
24,"After an year,still hitting my heart.",en
25,Every song of weeknd have its own vibe,en
26,"2023... Nearly a year since it was released and I always come back to listen to it... There's something about it that makes it addictive.  His voice, the beat, the low tone and then ramp up and last but not least, the lyrics.  I love this song",en
27,This song is soooooo amazing. I never ever get bored from it i could hear it like 24 hours and still enjoy it just a fine deluxe music ,en
28,Word to the next generation..Never let this song die,en
29,The Weeknd and Swedish House Mafia... one of the greatest collaborations of our time unfolding before our eyes,en
30,UN AÑO DE ESTE HIMNO Y SIGUE SIENDO IGUAL DE BUENO QUE EL PRIMER DIA,en
31,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself”  the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
32,Every time I listen to this masterpiece is like the first time. I LOVE it. I need it ,en
33,"This song marks a surreal moment in my life. When I listen to it, it always brings me back to that recent memory. For us who know who Swedish House Mafia is, gotta give credit to them as they brought an impecable amazing melody and beat! And The Weekend and his vocals makes this a remarkable song!",en
34,This song hits soo different while on a road trip,en
35,this album going to be fire,en
36,"Great dark song, and huge modern hit. It reminds me trance music, from the 90's. Unique blend of trance music and pop music it is this track.",en
37,This song hits the spot. Thank you boys and The Weeknd for this sensation!!!,en
38,Amo essa música! ️🇧🇷,pt
39,"The weeknd impressionando como sempre, ainda mais com o Sweedish!",en
40,This Song is a journey and brings you to another Galaxy!! especially the ending goosebumps every time xoxo ️ timeless masterpiece hats off ️,en
41,His vocals are so dreamy. He’s created yet again a masterpiece,en
42,This epic music takes me to dream worlds ,en
43,this song is criminally underrated ,en
44,essa música é perfeita,pt
45,I love his music. His videos always tell a story. Amazing!,en
46,I'm obsessed with The Weeknd songs because there's always a sexy tone that only he has. Nobody else can replicate his essence,en
47,this song gives me energy,en
48,Essa música é tão perfeita,pt
49,It feels so amazing dancing alone in my room.  See you guys after many years.  This song will never be old.,en
50,Essa música é tudo! ,pt
51,I just cannot express what this person’s voice and music do to me.,en
52,Está canção me leva a outro mundo não me canso de escutar ,pt
53,This song never gets old 🇿🇲,en
