,comentario,liguagem
0,"Lisa's voice is very addictive, really good at rap, can dance, can vocal, can also be a really complete package",en
1,"PERFORMANCE - 100%

LISA - 100%

TAEYANG - 100%

RAP - 100%",en
2,"Eu tô viciada nessa musicaaa!!
Taeyang e lisa arrasaram",pt
3,WHY DID IT TAKE ME SO LONG TO LISTEN TO THIS. Taeyang your voice sounds like it belongs in the heavens. thank you for the good listen ,en
4,Eu amo essa música,pt
5,Shoong is so good! No wonder it is a hit now,en
6,"Omg, todo mucho perfection ",en
7,"the fact that everyone in this video is an absolute visual, mesmerizing",en
8,Gente que combinação é essaaaaaaaaa,pt
9,"I have watched this video almost a 100 times and i am obsessed with the visuals, dance, beats, music, their voice, each and every line and word.I cant dance and this is a song that makes me move and i rly wish i can become like them and sing this and dance perfectly, like Shoong!",en
10,"First time discovering Taeyang ...and wow! I just fell in love with his voice and dancing !... the shoong ooh ohh.. shoong part... WoW! I'm glad to discover him >u< and Lisa's voice is so sweet...! and her dance in the ""make me go Oohh! part is just Ohh God! Wow!",en
11,Iam soo addicted to this song  soo much love from india 🇮🇳,en
12,THE TALENT IS AMAZING,en
13,Lisaaaa su voz es tan hermosaaa  she is beautiful from head to toe,en
14,"PERFORMANCE - 100%
LISA - 100%
TAEYANG - 100%
RAP - 100%",en
15,Love this collab! Lisa looks so good with black hair and Tae Yang just over here blowing me away with every new comeback!,en
16,"yg deveria deixar a lisa cantar mais além do rap, a voz dela é perfeitaaaaa",pt
17,"This song and this performance are underrated.  Everything is so perfectly made. Taeyang, Lisa and all the dancers left no crumbs. ",en
18,Taeyang and Lisa are killing it  the mv is  I love that they mixed  R & B and Hip Hop together he never disappoints  he's always made such incredible music   This man  never  ever  made a  bad song not  ever his last  3 albums was good  too have them on repeat. The dances move to the song I love them I really want to see them perform this live. This man is smooth Taeyang  Lisa ‘s outfit reminds me  of how girl groups used to dress in the 90s In the USA baggy pants back then was very fashionable she pulls this look off well .,en
19,"ME ENCANTAA, AMOO",pt
20,"""BLACKPINK IS THE REVOLUTION"" SEMPRE SERA LENDARIO",en
