,comentario,liguagem
0,wow. i can’t believe it’s out. i rlly hope u guys enjoy this rlly special video:’) love you all sooooo much,en
1,The chemistry the tension the choreo the lyrics the voice the artistry just wow like wow !!!!!!! Tate you are a legend,en
2,"The male lead is amazing.. His channeling of the feelings of abuse, pain, and anger deliver a visceral response that transcends through time and space. The dance sequences are unlike anything.",en
3,"I never felt so emotionally connected to choreographic storytelling, but this was done exceptionally well. Tate McRae is a multi-talented artist for sure.",en
4,"Holy crap. The choreography in this is amazing, as well as the emotions portrayed. It’s this tug of war that they are trying to separate but can’t keep their hands off each other, and they’re so mad they can’t. All the feels! Can’t stop watching it. The whole up against the wall scene is incredible! The way he holds her with his head at chest level and slowly sinks to the ground was so beautiful.",en
5,She is so criminally underrated it hurts,en
6,The quality of her songs is amazing. She’s criminally underrated in my view,en
7,"Tate doesn’t have a bad song. She didn’t just deliver, she SERVED.",en
8,"She’s such a genuine artist and sings about real life things 🥹 i love her, love that she can relate any of us through her music. this song hits different when you’re in an abusive relationship, every move they make, the push and pull. ugh she’s my new fav artist ",en
9,"The choreography is so intense, I would watch this music video over and over. The fact the she went from writing songs in her room and doing dance to being an artist, dancing in her own music videos and writing/producing her songs is crazy. She'll forever continue to do amazing things",en
10,I keep coming back to this music video; I love it!,en
11,It's been over a year and I still listen to this every day. This hit me. The choreography is amazing. The story. The voice. Everything is just untouchable. How does this masterpiece only 19 million views???,en
12,"With so many people becoming famous and having literally zero talent, it's so amazing and nice and refreshing to see someone soooo talented and she should definitely be bigger than she is",en
13,The choreography tells the whole story. How difficult it is to walk away,en
14,"The part at 2:27 where you melt backwards into his arm as you sing ""but I still have the shirt that you wore""...gives me goosebumps every time. And then the backwards dip after that. Wow The whole thing is amazingly beautiful. To me it symbolizes how comforting it can be to have someone we love take us into their arms but just because we are used to them, doesn't always mean they are the best for us",en
15,"Usually never cry at all
I would say I'm pretty tough
But it's been a couple weeks now
And I still feel stuck in my lungs",en
16,"She needs to do a live performance of this choreography, it gets me everytime.",en
17,"Stunning choreography, straight to the point lyrics, this girl is made for big things!!!",en
18,She really does deserve way more recognition and she’s really pretty! I mean who wouldn’t be a fan ,en
19,"Why are people sleeping on Tate? She is the most talented artist. She composes her own music, sings, and dances on a pro level. She has SO MUCH TALENT!",en
20,She's definitely one hell of a triple threat in the arts !!! Started listening to Tate when she first started...good for her! ,en
21,"I LOVE that she does her own dances, she’s so talented",en
22,the fact that the whole dance sequence was done in one shot,en
23,I've literally looped this song for almost two hours. Her sound is amaaaaazing,en
24,she never fails me she aint a dissapointment the choreography its literally everything you can literally see the emotions through their eyes you can seriously see how they like going back n forth with each other with the support of them both in over the top level of dance so talented!.. i get so emotionally everytime i see this amazing music video deserves way more than what it is now!.. it should progressively get higher!.. i love you so much Tate im so proud of you girl!.. this deserves much awards!.. in many categories!.. not just in dance but the song especially music video! ,en
25,"Only the og’s remember when she taped her phone onto her mom’s car on a rooftop and filmed the you broke me first music video. To go from that to this insane choreo, vocals, and storyline just shows how good Tate really is and how much she’s improved while still keeping it simple and awesome. Nobody can take that away from her and her incredible voice.",en
26,The choreography shows all the emotions and its insane,en
27,God bless Tate Mcrae and whoever choreographed her dance,en
28,This video is legit. Very relatable. And Tate is one impressive artist. Such hard work and long term dedication to her passions. Very inspiring. I am just now discovering her content and music but man I am a fan instantly. Very impressive work.,en
29,I've watched and listened to this song a couple of times and everytime the lyrics hit. Thank you Tate for releasing this song.ILYSM ️️,en
30,I remember showing my sister videos of her singing in her room years ago and saying I knew Tate would be so great someday and then fast forward to a concert in Atlanta watching her perform this song. It was wonderful.,en
31,The dance choreography for this song is unreal. So dope. Tate and her dance partner absolutely killed it ,en
32,I LOVE this song - just watched the video… and I had to set down. That was incredible- I’m blown away how talented she is. The chemistry and emotions they portrayed in this dance is insane. I could feel their pain - instantly remember feeling the pain of losing young love.,en
33,I like the way Tate expresses the emotion in music AND  dance,en
34,The choreography is on absolute fire ,en
35,"I’m so happy that she’s finally getting some recognition for how amazing of a singer, dancer, and songwriter she is. She deserves a lot more but right now it’s just awesome to see her doing good in her career.",en
36,The choreography just makes this song so much more intimate and beautiful ,en
37,"The dance is intense. You can see the back and forth in the relationship, the full and resistance. It's wow.",en
38,Can we just take a moment to appreciate and applaud the choreography then another round of applause for the actual song,en
39,"This is so real!!
Phenomenal!!
Tate is extremely gifted. This is not your average music video or made for the sake of music. 
There is a message and purpose in this song. It's incredibly touching too!! I love how this is still on her own channel. You can see how far she's come. ",en
40,"The way their bodies move in unison / respond to each other in complete tandem...MAGIC.

I also love all the times she fiercely counters his aggressions and holds her own/ walks away. ",en
41,tate sempre nos edificando com músicas maravilhosas e perfeitas,pt
42,This is literally my favorite video of all time. The way you guys danced and choreographed this entire video spoke so many volumes. It gives me chills everytime ,en
43,The choreography is insane,en
44,"What an underrated, under exposed, beautiful dance story.  The choreography and her talents go beyond.",en
45,I love the combo of this song with the slow dancing! ,en
46,"what a fucking masterpiece. im speechless, shocked, impresed. THE FUCKING TALENT AND WORK OF TATE is just chefs kiss",en
47,Tate every song I relate ! I love everything you write and sing. Your so pretty too!,en
48,"Ela é uma artista completa Canta, dança e atua Linda demais",pt
49,"i can seriously FEEL the emotion through this choreography, cant stop watching",en
50,"Her dancing and voice is nothing short of amazing 
She's a gift xx",en
51,"she's so underrated and idk why. More people should listen to her songs, 'cause she's really talented and honestly I love her music style. Keep going, Tate <3 you're great!",en
52,Love music videos like this where the choreography tells the story.,en
53,shes legit creative.. her voice and tone ...sooooo smooth   ️,en
54,"She is not only a great singer, she's also a great dancer. So talented. Now Im the one who felt like shit ",en
55,I’m so happy that Tate is getting the recognition she deserves.,en
56,"Wow, the dance really shows all the pain behind the words. We need more music videos like this!",en
57,perfeição esse música,pt
58,Wow! You are sooo talented Tate!,en
59,I am just in love  with this song! I can feel their emotions and the dance is breathtaking.,en
60,I personally feel like she's just as talented as Olivia Rodrigo and also deserves so much attention and awards,en
61,"Finally a artist that is just as amazing when she performs life as she is in her recording. True talent just being herself not like so many artists that is trying to be something nowadays. Love all her songs,she doesn't have one bad one at all.",en
62,I don’t even mess with Pop music but this girl is something different. TALENT !!!!,en
63,WOW. Her choreography in this song is amazing. I just found her tonight and I already love her music <3,en
64,"I keep coming back to this! The choreography, setting, and song are jaw-droppingly incredible ️‍ ️‍",en
65,"This song never gets old. No matter how much I listen, I never get bored.",en
66,"No matter how much audience she gains over time  She's still underrated in my eyes! 
Like come on people ,the queen deserves the world ",en
67,"this song is legit stuck at my head, like its a must for me to sing to song everyday!
Thanks Tate! For producing such a great song like this!
Love you, Tate!",en
68,She’s extremely talented. ️,en
69,I love that she's a dancer and it's her passion as much as singing is because she's so truly amazing at it ,en
70,Her lines are stunning and in every video she evokes such emotion.. a joy to watch!! Thank you ,en
71,"Beyond obsessed with this song!! I listen to it constantly daily, I can’t get enough of it!!! Her voice is just absolutely incredible ️",en
72,The fact that you started singing in your room and now you sing in front of so many people makes me feel proud of everything you are doing.,en
73,This video is just insane the music and the choreography ,en
74,"This actually moved me, the...I can't even explain.  I felt the video, not just the music.  I keep coming back to this video.  Its so amazing!",en
75,i'm feeling the pain from a breakup i never had listening to this song. the emotion in the lyrics is just SO GOOD,en
76,How does this not have more views?! The song is great. The choro is insane ,en
77,"tate is a complete artist. dance, sing and write songs. ️",en
78,Gosh the choreography is unreal! She does it soo effortlessly. It’s soo intense yet beautiful. What a gaddamn masterpiece!,en
79,THIS GIRL IS WAYY TOO UNDERRATED,en
80,"Firstly LOVE THE SONG AND THE INTENSE VIDEO!! This is the bomb, I taking my finals and just love the song and the video. You can really see the emotion in the movement of the dance, and coming from someone who can't intercept emotion I can understand the music to the dance and chorography to the tarnished stages of a relationship. I just wanted to say for all those listening, this song is great!!!",en
81,"I’ll never get over this song. The video, the production, the choreography, the emotions… just insane.",en
82,You’re so talented!!!!!! I love ALL your songs!!! ,en
83,"This is so good, I hope people can understand how amazing she is! she deserves the world!!!!!!!!!!",en
84,she is so underrated..like this is the best song i’ve heard in a while..,en
85,the choreography is amazing and her outfit is brilliant,en
86,"The choreography is so insanely intimate, and beautiful. I know I wouldn't be able to do that lol but I imagine I look that good when I dance in my bedroom lol",en
87,"wow, the choreography is incredible, and the song sounds like something i've been listening to for years",en
88,"This is actually pretty good…the dance choreography struck me and I don’t usually care about that. 

Well done guys…",en
89,Man I wish I could do this! Great dancing and phenomenal singing! Wow,en
90,"Some weeks ago Tate wrote: ""I want it to feel like people are watching a movie through my songs"". And this music video really felt like a whole series in just 3 minutes!!! It was amazing!
Tate should also think about becoming an actress sometime, and if she writes the script even better! :)) she has got so many skills!! We can feel all the emotions in her dancing here!!",en
91,The choreography. The talent. Omg no words ,en
92,wow Tate has a very powerful voice... so beautiful.... and her dance moves are so emotional and deep... I'm a new fan here....,en
93,"Such a great song,  love your music hope your doing well.",en
94,Really amazing video to go with the emotional sad song...great job,en
95,"Amazing video, song, choreography, and she is so beautiful.  I constantly watch this.  In some way I am sure we have all been through the same at some part of our life.  I am also willing to bet, you would do it all again, I would!  I love the way she gets pulled back.  Both of their movements are amazing.",en
96,"The choreography and the lyrics are so on point, you've improved and come so far in your journey as an artist, I love this <3333",en
97,"I am single, but when i hear this type of songs, than i feel i am in love. This is power of music."" ...",en
98,your artistry is unmatched Tate...you're the total package!,en
99,I’m obviously obsessed this is golden! Perfect! Amazing! Her voice is perfect!,en
100,"First time listening to Tate and this is an amazing song, what a banger`",en
101,"I fcking love her voice so much. It's so unique, and she masters it so well. She knows exactly how to use her talent.",en
102,I’m speechless Tate. Like actually speechless. That was the best thing I have ever seen. I am so damn proud of you. Wow.,en
103,ONLY ONCE IN A LIFETIME MUSIC COMES ALONG & SUNG LIKE THIS ,en
104,"Tates songs always seems so similar to my real life. Like one day,all my friends are fake and she’s all I wanna be.",en
105,The choreography  this is amazing.,en
106,"I wish music television was still a big thing, i feel like this triple threat would be so much bigger if more people were able to see her efforts and talent culminate like this, honestly geeting to hear her sing and see her dance is such a treat!",en
107,"It blows my mind how professional tate dances. Its incredible how she can be so good at dance, singing and songwriting. She has come a long way from writing songs in her bedroom to playing sold out tours

I wanna clarify that im not saying that tate is the only one who can dance good, its just that its not a common thing. I know that in other music industries like kpop etc, they dance insanely good too.",en
108,The beat is just fantastic...it really is,en
109,"Living proof you can take a girl out of ballet, but not ballet out the girl. You make good tunes lady, damn good tunes, and have a grace that transcends even your femininity.",en
110,"Any woman/man/person that can be vulnerable like this deserves credit. We all sometimes want to act tough like we don’t care, but this song is real and most of us have felt it.",en
111,"Dude im not even like sad or heartbroken, and I’ve never really felt like I’ve been thru that hook or whatever (directly). But ruck , this just sounds so good!!!!",en
112,Just fell totally in love with this song. All her songs hit the spot. Repeat all day.,en
113,I haven't heard the whole song but I know that it's gonna be a masterpiece,en
114,"I just love this video so much,everything about it is s o perfect,the song,the music,and of course the choreography.I love the male dancer so much,he is just so fine,his facial,expressions,the way he expresses so many emotions throughout the dance,everything about him is so perfect,the way he dances,his arms,his messy hair ,I Just can't help admiring his beauty,he is so handsome.",en
115,Omg all her songs are fantastic and relatible she knows just what song to release when we all need it most ️‍️‍,en
116,"Just imagine how many people come back here every day, this song is really legendary!! I can't get this song out of my head, love this song ",en
117,The choreography in this video is just breathtaking. The lyrics are on another level. Just wow.,en
118,Tate is an absolute legend! xx,en
119,"WHY AREN'T MORE PEOPLE TALKING ABOUT THIS?! it's so mature and beautiful,  like she took out a piece of herself and gave it to us. Phenomenal.",en
120,Hearing her sing  this song live was absolutely stunning ,en
121,Already was obsessed with her voice.  Then found out she can DANCE today.  I think I’m in love,en
122,"Her voice Is gorgeous.
Love this song and this video.  
The choreography is amazing.",en
123,Everything about this music video is completely amazing,en
124,Why isn’t Tate’s songs beside one on the top billboard?? She deserves atleast 4 songs.,en
125,"the sexual tension, the choreography, everything is so on pointttt, i loved this video, it is truly amaying, tate you've been my favorite singer ever since you were our little youtube secret",en
126,"Where did you come from!?!?!
You are absolutely stunning, your voice is enchanting and the choreography..... UNREAL.  This is talent!  Holy shit!
Nice to bump into this amazing artist!
Hi Tate!",en
127,"I love this song and the music video,  omg the way you dance tate is amazing and so soothing. and I remember the first time I heard this song was in the supermarket I'm so proud of you tate you came such a long way and I can't wait for more songs you put out. but I'm definitely gonna replay more of your songs on repeat.",en
128,"Hi Tate, I’ve Ben addicted to your songs. I adore you, your passion four music, and your taste in music and your sense of humour for your fans.
In fact, I’m your biggest fan!",en
129,Wow!! I can honestly say this is the best music video I've seen in years! Insane choreography and lyrics!!!,en
130,I love Tate McRae songs very much,en
131,i know that this song will make me cry all nights and thinking about THIS PERSON…,en
132,"its official, shes a triple threat. amazing singer actress and dancer.",en
133,"You ever like a song - not love it, but like it. Then you watch the music video and it adds so much depth to the artist and the song that you can't stop listening? 

This. ",en
134,"This is one of thee best music videos I have ever seen. My favorite now. God, Tate, I cannot even begin to express how incredible you are for making this. Every single part and detail about it. This is next level. This is.....",en
135,Ela precisa de mais reconhecimento véi,pt
136,I really love her songs. All of them even her dance moves,en
137,"I remember the days when she was posting ""i wrote a song"" and WOW.. I hope she'll get even more attention because she really deserves it",en
138,So sorry I'm late but this song is so good  please make more like this if you can. Stay safe. Take care of yourself ,en
139,I wish I could go see you live Tate McRae. You are an amazing artist :-),en
140,Everything about this is beautiful,en
141,Tate is so pretty and her voice is amazing!!,en
142,Great song and lyrics Tate,en
143,"CAN WE TALK ABOUT THIS MUSIC VIDEO AND THIS CHOREOGRAPHY??! 
HOW CAN SOMEONE BE SO TALENTED?",en
144,"Linda demais, clipe lindão",pt
145,"I love Tate McRae so much, so much talent, grounded, and all round beautiful. Love her!!!",en
146,The emotion expressed in this is so beautiful,en
147,"this song is just amazing like all your other songs.And you sing and dance too well.   The French love you too ! All your songs are Amazing , i love",en
148,Awesome song and video. Straight fire. Was fun to watch. Great video,en
149,"She really wasn’t shy making this, because she took out everything she had and made literally the most amazing song known to man and so relatable ",en
150,I didn’t realise that Tate could dance but now I’m in love with her dancing style. I also love her music,en
151,My god ...this song...this choreography is so beautiful it gave me chills...amazing,en
152,Just love her music ️,en
153,"This song, the choreography, the dancing by both of them, this is freaking GOLD GOLD GOLD!!!!!",en
154,This choreography is amazing!,en
155,"I’m just now finding you, Tate, and your music is so amazing! But, damn you’re choreography is so amazing! I can appreciate it even more because I’m a dancer myself, but I could never do anything like that, it’s outstanding! Great job all around!",en
156,So good Tate!!! And your voice is so pretty like I don’t understand how someone can have a voice like yours!!! And the dance choreography!!!! It’s so dam good! Hopefully I will see this  I really hope u do ,en
157,"I watched this thrice. The song, the   lyrics, the aesthetics and the choreography indeed. Everything  scream for it. Wow ️️",en
158,Every movement has meaning.  Touching millions of hearts.  Gross level of excellence.,en
159,"I remember my journey with this song. Started hearing it from Tiktok, witnessing Tate saying her label wouldn't let her release the song to finally getting the go signal and getting to where we are now. I'm in love with this song and I'm so proud I'm one of those people who insisted this masterpiece to be released. Thank you for this, Tate.",en
160,You put the hottest parts of being physical with someone in dance form. Incredible. Love you!,en
161,WOW. her dancing and singing is just beautiful,en
162,i had my headphones on and this on almost full volume an amazing song Tate i scream the lyrics out to my mirror you are so talented wow,en
163,3.9 million subscribers that’s crazy  been here since the start and she’s made it this far ️,en
164,Oh my goodness I have chills ,en
165,"Tate: sings about relationship
Also Tate: Dances around cafe and kitchen",en
166,Shes come so far and im so proud to be apart of the journey <3,en
167,tate im so proud of you you have come so  far  your songs are ligit a nail on ya head lysm xxxx,en
168,"Best music video EVER, i swear I’m watching it on repeat.",en
169,I love this so much Tate McRae good job,en
170,Love your choreography tate  so mesmerizing and your songs are always so amazing and your voice is beautiful,en
171,The dance is so incredible I can’t wait to see her performing this at stages,en
172,This song is amazing and the video is absolutely beautiful.  Wow I wish I could dance like that.  Def gives all the feels wow,en
173,"I have never heard this song before and I didn't know who Tate was at all...I saw her talking to a reporter about getting ready to perform at the Euro MTV awards soon, so I looked her up and I am surprised at how emotionally impacted I felt listening to the song and watching the video. It is powerful. Every dance move has so much intention and forces you to experience the emotions she felt. It feels like real artistry and she is pretty young so hopefully she has a long, amazing career ahead.",en
