,comentario,liguagem
0,ahhhhhh i’m so excited about this. enjoy ma friends https://smarturl.it/TatexSAIWB,en
1,THIS IS WHY YOU'RE ALWAYS GONNA BE ONE OF MY FAVORITE SINGERS. YOU AND OLIVIA ARE MY LEGENDS.,en
2,"I love how near the end they kept showing up-close how the other girl is also struggling and exhausted. Like yeah, the girl you're jealous of, she's human too. She gets tired of all the pressure just like you. And the ending was perfect ️",en
3,"Tate is so underated, her voice is so unique, she's so young, and she literally can't write a single bad song!",en
4,I like the meaning. It doesn't push a generic stereotype of beauty but instead makes a remark at how this new girl is everything her SO is attracted to. I think everyone out there has a unique type but tends not to be with the person they idealise physically. So the song makes quite a vivid depiction of someone who's dating a partner that doesn't see them as their ideal SO appearance-wise; and as such she's getting caught up on it and feels inferior.,en
5,"I love it when tate and the ""perfect"" girl started dancing and have their first interaction with each other, tate started smiling as if realizing that the girl she envied is actually a good & fun person. they even started having fun together they also realize they both are not very different and had lots of similar interests (they both love dancing). Until both of them were disqualified from the ""competition"" meaning tate lost her insecurity and stop feel threatened to continue competing with the ""perfect"" girl. in the end, they even become friends.",en
6,"Her voice is so unique and beautiful, she’s an amazing dancer and such a relatable story line! The song is so good and catchy, love it ",en
7,"I love how the two girls don't seem to hate each others. The problem is not the ""other"" girl but the feeling of being insecure.",en
8,I love how realistic this is. The problem is not the other girl being better it’s the feeling of insecurity that u have in urself. She is one of my fav singers bc she is so relatable and so similar to me.,en
9,This girl should be nominated for the Best New Artist category this coming Grammy Awards 2023. She's a great performer. And she is the first Canadian finalist to be on So You Think You Can Dance. ,en
10,Can't imagine how nostalgic it will be to come back and listen to this song in ten years. ,en
11,"The way she sings “you say she’s nothing to worry about, then why did you close your eyes when you said it out loud” is actually heartbreaking; you can tell the actual concern she had for the guy. Yeah she is jealous and insecure which is what the song is mainly about but she is also concerned for the guy. You can also hear the  sadness turn to anger then into confidence through out the song.",en
12,"Tate literally has it all: looks, dancing, vocal capability, beautiful songwriting, great personality etc. Let´s make this go viral guys, she deserves it.",en
13,"I remember when she was doing “some day” on her old piano in her moms house, she’s gone so far! And really is inspirational",en
14,I love her voice period… it’s all on point vocals and the way she just let her voice just go out so smoothly,en
15,Ok can we just take a moment to appreciate how angelic her voice is and how gorgeous she is... I could never.,en
16,I come back to this video whenever I’m depressed and I need energy. Thanks Tate ,en
17,"Eu conheci a Tate McRee por causa dessa música, então ela sempre vai ser muito especial para mim, já faz um ano que eu acompanho essa artista incrível.",pt
18,This is such a bop Tate! I'm so happy that Bailey is the other girl :)!! <3!!,en
19,"I'm honestly so proud of Tate for making it this far, it's unbelievable, she's gonna be extremely massive one day",en
20,Absolutely stunning voice. Been a fan of tates music for ages now,en
21,I hope you have grown from the feeling you had writing this song. Because you are worth more than ever wanting to be like anyone else. This song is amazing Tate. Thank you for making something we can all relate to. <3,en
22,I've listened to this song multiple times on Spotify and this is my 1st time watching the mv. Loved it. I'm always rooting for you Tate . Lots of love from India,en
23,"I love that the ""other girl"" isn't made out to be the villain. She's her own person, and it's not her fault that Tate's SO is looking at her.",en
24,"wow - this song, the vocals, the amazing range in her voice and this video so much meaning to it. Also love how at the end neither of the girls get chosen and they are ok with it. LOVE IT great beat",en
25,"Fantastic voice, stunning dancer…Tate is definitely a superstar. ",en
26,"I love the rythm and the lyrics are so relatable, some times you compare yourself over a boy that is not worth it, we are perfect the way we are ",en
27,"The vocals are soooo nice. These days it seems like every pop star sounds the same, she sings so beautifully",en
28,"When I first watched her she was still writing original songs and posting them on youtube, this is incredible!",en
29,Anytime you need a boost of energy this is the perfect jam to turn on ,en
30,I'm so excited she has some of her SYTYCD mentors in this video. She is such a great dancer so glad she got to branch out because her voice is wonderful ,en
31,Long time since I heard new music that made my heart jump a little. Great song.  Important message for young girls.,en
32,"As a Chinese woman, I’m so excited to see the “mean girl” cast as an East Asian girl! Growing up I never got to see this of representation, we were usually cast as nerdy or shy. So excited to see that teens get to grow up with more diversified media.",en
33,"This music video is just as good as the song. Damn, love this so much. Love the message, love the lyrics, love the choreography. Its all beautiful!! Thanks so much",en
34,I really love how in the end they just vibing and have fun dancing with each other. Such a wholesome mv of an awesome song ,en
35,Eu simplesmente amo essa música de mais.,pt
36,"My daughter showed this song, now we listen to it on the daily, we absolutely love it <3",en
37,"mais uma msc de sofrência pra lista, te amo rainha",pt
38,Tate i’ve been here since “i wrote a song...” i can’t believe how much you’ve grown- you came out with this song the day i needed it and it’s amazing luv you gurl ️️,en
39,"Wow the way she matches all the lines, sounds so creative and talented ️",en
40,"SHE NOT ONLY SINGS SHE IS A MAGICAL DANCER! Wow, Tate, wow. These moves...",en
41,"Been here since ""Dear parents""
Tate has really helped me learn how to deal with roadblocks in life
So happy for all the success she has gained so far.",en
42,cara eu gosto muito dessa música! que cantora maravilhosa. 🇧🇷,pt
43,"The fact that the ""it girl"" is not a white mean blue-eyed blondie like all stereotypical it girls is genuinely so refreshing. It is about time we start showing that beautiful women come in many different ways and while blue-eyed blondies are beautiful, so are other women. Also the it girl isn't mean or self-absorbed and I love that.",en
44,This song is perfect and I don't get tired of hearing it ,en
45,"I've been sleeping on this song for a while bc the title gave me ""other woman vibes"", especially considering that I found Tate McRae through her more sad songs- but wow I'm obsessed with this. Most of the comments hit the nail on the head + I'm not big on music videos but I love this one and I can't stop watching it. I also just want to say my favorite part is the end. Not only is there no visible animosity between the girls, but I love so much how at the end neither of them win, but they still run off the stage laughing. This is SO important to me bro I'm literally in love with this song, this video, choreography, EVERYTHING.",en
46,"You want the girl with the small waist
And the perfect smile
Someone who's out every week day
In her dad's new car",en
47,"The more I listen to this song, the more I like it!
Keep on Tate, you're doin' well and kisses from a french fan!",en
48,"2 things about this video that I love:
1. There’s jealousy but not hate, neither girl is mean or bad, just normal comparison and insecurities.
2. The “it girl” isn’t the stereotypical blonde white girl. I absolutely love that a beautiful Asian girl with funky style is portraying the “perfect girl”. ",en
49,"Ahh just can't forget her songs.
Tate and Bailey just rock my heart .
Her voice is like i never had  thankyou Tate for this song",en
50,"I love Tate McRae, she is my favorite singer ️",en
51,Is it just me or is Tate beautiful inside and out and HER SONGS MAKE OUR DAY,en
52,This is my new favourite song . Great song tate ! ,en
53,I love the choreography n all the dances n emotions.self proclaimed no.1 fan️️️,en
54,"this is an incredible video. as a dancer i felt the stress when he began eliminating dancers, honestly a dance audition is such an effective way to plant insecurity with comparisons, and a brilliant metaphor for feeling insecure in a relationship. when she pulled out that leap my jaw dropped, literally the power she has in jumping alone is incredible.",en
55,"Love to listen Her voice...Headphones on up to max...Rrrrrrrr - goosebumps! Smoky, velvet voice. Almost hypnotising! Love this feeling!",en
56,"This lady's talent, so unusual ️",en
57,I relate to this song because it shows how easy it is to compare yourself to others,en
58,"I love you Tate McRae!   
…such an incredibly beautiful and talented singer!! This song is so catchy I find it replaying in my mind sometimes!! ️️️️️️",en
59,This song is strangely addictive and the singer is absolutely gorgeous.,en
