,comentario,liguagem
0,"Me at age 8: singing to my imaginary boyfriend
Me at age 19: singing because I’m lonely",en
1,does anyone else just check in with taylors old songs every once in a while. they will always be incredible.,en
2,My 12 year old self didn't have the slightest clue that I'd be listening to it at 25 and loving it just the same ,en
3,After 11 years i realized he dumped taylor swift for taylor swift,en
4,I love this song when I listen to everything around me to enter another universe I love you Taylor ️,en
5,"Eu lembro que a primeira vez que eu ouvi essa música foi em 2017, estava baixada no computador do meu padrasto, mt bom ouvir ela ",pt
6,This song is SO nostalgic,en
7,"Taylor's songs always make me feel comfortable. Also they make my heart beating so fast.

테일러언니 진짜루 정말로 뻥안치고 내가 너무 사랑해애️‍",en
8,"I may have been a fetus when this song was released, but this song just beings up so much memories I could probably write a feature length film with all of them. This is a timeless masterpiece, a modern classic.",en
9,"Taylor dressed as a boy: Oh that’s Taylor all the way
Taylor is a brown wig: Who is that?",en
10,"Whether she sings Country or Pop, Taylor Swift is one of the best singers of all time!",en
11,2023 and it was masterpiece!! Taylor's voice is unique,en
12,"I’ve heard this song maybe 1,000,000,000,000,000,008 times- Me and my bestie are literally obsessed with this song; I’ve memorized this song. I don’t how much I love this song and especially Taylor. She slays. THANK YOU TALOR ️️",en
13,Já se passaram anos e eu houço essa música como se fosse a primeira vez,pt
14,what did we ever do to deserve this woman? what a legend she will be remembered hundreds of years from now,en
15,He looks like every 2000’s Disney star everyone had a crush on,en
16,"Just rewatching the mv again after so many years .

And still finding it iconic",en
17,That last scene when the guy sees her in the dress and his eyes light still makes my heart melt. This song will never get old! ️️️,en
18,The way taylor can create a literal masterpiece which blends with our heart in the simplest way possible explains why she is and will always be the queen of country music,en
19,This song is like.... Literally iconic.... So unique... Never gets old... Listening to it since class 5 or so,en
20,Esse clipe tem todo meu coração,pt
21,I met this girl at the end of my 8th grade and the day of graduation all I said was bye to her after going to the dance and hanging out with her for about a month I left to visit family that day after graduating and I licensed to this song because it was one of her favorites and I just sat in the car crying for not saying how I actually felt.,en
22,I can’t believe this song turns 12 years old this year…,en
23,"When you're happy you enjoy the music,but when you're sad you understand the lyrics.",en
24,"one of the great gold standard videos: a story, her playing two characters, funny, real.",en
25,"She was then,  and still is, ""Insanely Beautiful""",en
26,this is the kind of music that we need it never gets old,en
27,"When I was a young teen I've always hated the brunette and it took me a decade to realise that it was also Taylor who was playing the mean girl! I was always balling my eyes out on the ending about them showing the paper where they both wrote ""I love you"" to each other. OMG and the details of the guy's paper where it looks older than Taylors. Agh! I-my heart can't, it's too beautiful! ",en
28,This song always bring back memories,en
29,"It a really beautiful music video, my fave of all time ",en
30,Hard to believe Taylor was 19 when she made this song.,en
31,It's really hard to forget someone you had your best time with. This song is a masterpiece,en
32,Taylor I love you this is so relatable such a masterpiece,en
33,These old songs are my favorites to listen to,en
34,This is a song that I wish I could put into words for this boy. He doesn’t understand how much I care for him. Even tho he played me and hurt me.. I can’t shake him. It’s so hard for them to realise how much of a mistake they made to push away someone who would do so much for them.,en
35,I am and proud to say it. She is one of the best examples of what a true superstar performer and humanitarian is. Thank you for all you do in this world,en
36,I WILL WATCH THIS EVERYDAY FOR THE REST OF MY LIFE,en
37,A true work of art,en
38,This song is still a bop after 13 years,en
39,what a great song to listen when im bored. Taylor Swift is the goat!!,en
40,The people who dislike this song must have some nerve,en
41,After 6 years i've still played this song,en
42,Minha música favorita do Fearless!,pt
43,I like this song,en
44,2023 and still listening to this song like it’s my first time hearing it ️️️,en
45,The fact that he actually answered and didn’t lie to her is just the cutest.,en
46,TAYLOR MINHA DIVA MINHA TUDO MINHA MÃE TE AMO,en
47," Taylor is the GOAT, dude.  No question.  Been loving this since I was 14.  I cover this now from a male perspective.",en
48,I love this version,en
49,Esse clipe é um ícone!,pt
50,"I love how there are comments ranging from years ago to yesterday. It just proves how much people check in on this song every day, even after 13 years. Taylor Swift is amazing, there’s no proving wrong about that.",en
51,"Looking back at this music video it’s like seeing A Cinderella movie again, She made this song as her biggest hit of all time I believe it, this song could reach the #1 to the country charts again, Taylor this song is one the biggest hit of all time I got to admit. ️",en
52,13 years of this masterpiece ,en
53,I needed her when I was a teen. Her songs would have helped me so much way back then.,en
54,Here after 11 years...and look at Taylor now....looks like she hasn't aged even a bit after all these years !!,en
55,Parece que foi ontem a primeira música dela que escutei ,pt
56,"O vídeo clipe que representa 50%, ou mais, das histórias no wattpad haha.",pt
57,I’m still obsessed with this song sense I was 8,en
58,This song will never get old...,en
59,All these years. I come back to this song in tears.....,en
60,Love it ,en
61,LOVE THIS SONG,en
62,"Thank you, Taylor. Your song encourage me to hear my inner voice and face the real life.",en
63,"Loved this song when I was 13, now i'm 26 and think this is a pick me girl song, but still love it",en
64,"Crush:- Accidentally touches hand
Me daydreaming:- You belong with meeeeeee",en
65,"I went to the eras tour, and when she start singing this song I start to cry, I get a flashback of my childhood, my high school life, and also this is the song why I become a swiftie the first time I listen to it…. This song would be forever in my heart 🫶",en
66,"I’m not the biggest fan, but she has some great video treatments! These videos really make the songs pop.",en
67,my friends and i always sing this even on field trip and last monday in computer class we were singing this so loud it was just us and the others were just watching us singing and the teacher doesn't care at all,en
68,I LOVE THIS SONG SM ,en
69,"Taylor: I’m studying 

Also Taylor: Shows up to prom twice as different people",en
70,This song never gets old!! Still singing along 13 years later.,en
71,"The fact that I grew up with this song. and at the age of 6 I could word for word ,without watching the video ,know exactly what their signs say and exactly when they popped up. That’s how much I would watch this video on repeat",en
72,13 years later but its still slaying it yas go Taylor!,en
73,The feeling when 90% of the comments are about how legendary this song is or about  how it's suprising that people are still coming back to it.,en
74,I was barely a year old when this came out ,en
75,This song is the same age as me but I still love it,en
76,Damm It's been 13 years since I first heard this phenomenal song,en
77,I know this song is 13years old but we will never forget it I really appreciate Taylor for making the best songs,en
78,"To anybody reading this, I pray that whatever is hurting you or whatever you are constantly stressing about gets better. May the dark thoughts, the overthinking, and the doubt exit your mind may clarity replace confusion. may peace and calmness fill your life.",en
79,Love that socially distanced communication through the windows,en
80,It’s been 13 years and this song still hits,en
81,"14 anos, mds 
Conheci a loirinha com essa música ️",pt
82,never realized how honestly relatable this song is until i fell for a guy who’s taken…,en
83,even after all those years this song and music video is still masterpiece,en
84,"Incrível que mesmo depois de anos, esse clipe ainda me faz chorar",pt
85,Miss this old days but Taylor swift is here for us to bring back that time.,en
86,Still one of my favorite song. ,en
87,Vim aqui relembrar minha adolescência meu deus como to veia ,pt
88,how lovely she is!! I love Taylor!!,en
89,The first Taylor Swift song I was obsessed with!,en
90,Its been 12 years and this song is still a hit,en
91,"This wasn’t just a music video, this was a movie that I enjoyed watching",en
92,This si my childhood song taylor was my favourite artist for along time when i listen to this i remember my old cringy self but old memories are the best  love u taylor,en
93,minha musica favorita,pt
94,This song never gets old ,en
95,This song was such a vibe to me when I was 7 and it’s still a vibe ngl,en
96,"still fresh to my memory,. i remember this song was a top music in MYX  during our high school days",en
97,"I was almost 1 years old when this song came out, it’s forever one of my favs.",en
98,"13 years ago, never gets old",en
99,This song never gets old to me,en
100,"Yo, incredible song, hit me between the eyes, love you Taylor",en
101,"In 2020
Boy: You going tonight?
Taylor: c o r o n a v i r u s",en
102,"13 years later,this song is in our heart ",en
103,I love Taylor ,en
104,E foi com essa música que eu conheci a Taylor Swift. Estava sofrendo pelo meu Crush da adolescência kk.,pt
105,The fact that all the top comments here are less than a week old says a lot about what an iconic song this is,en
106,Taylor Swift songs are always gonna be on top,en
107,This is my favourite song of all time and I listen to it on repeat all the time. ,en
108,This song came out the year I was born and I never ever would have thought that I would be listening to Taylor swift and I'm so happy I did,en
109,I think we all know this feeling but can't express it or say it. This song connects all of us in our own lives. Thank you for simplifying this feeling Taylor Swift.,en
110,This song is the same age as me but it’s still fresh and iconic and ageless,en
111,13 years and still listening to this,en
112,"The whole family is dancing to this, thanks for such a great song!",en
113,you go gurl shine like the star you are!!!!!!!!,en
114,"This song is 12 years old ? Feels like I heard it yesterday , so new . Taylor swift is really awesome ",en
115,this song was released a couple of months before i was born. it kinda feels like song was made for me and my friends to grow up to and finally realize what it's about.,en
116,"gosto muitoo, ja escutei milhões de vezes",pt
117,This song never gets old 13 years later,en
118,"You belong to me, in my heart.",en
119,"This song is 11 years old, yet people are still commenting.",en
120,This song is made before I get born. I grown up with this song I love it. It’s never getting old️,en
121,2023 ainda amando essa música ,pt
122,Forever gonna come back to this song!! HEY ISNT THIS EASY??,en
123,"you really know this song is literal GOLD, if the comment section is still active after 12 years",en
124,I’ve rewatched this 100times  never gets old,en
125,I love this song it realates to what I'm feeling but he's single and I'm also singing this for my choir concert,en
126,I’ll never get tired of this song ,en
127,it was crazy as an eighth grader we toured possible high schools for us and we went to the school they filmed this at!!,en
128,I love this song it really inspires me of Taylor Swift going out with the guy of his dreams and it became a reality,en
129,"Me: here 11 years later 

Also me: what the heck why isn't this still in style",en
130,"Years later I still find it amazing how she can pull off both blonde and the brunette look, it's so awesome!",en
131,I can never get over this,en
132,This is such a pick me song  but i LOVE it,en
133,why is this suddenly on everyone’s recommended page more than a decade later,en
134,13 years ago and i still love it,en
