,comentario,liguagem
0,"0:00 Ophelia

4:42 Cleopatra

9:25 Sleep on the Floor

13:23 Angela",en
1,"Anyone else notice this is a 25 minute video without a single ad to interrupt? Definitely a rare thing today, Lumineers did not want anything to take away from the story. I highly respect that. This is also a perfect piece of art, the first time I watched I cried more than once. Thank you! Absolutely beautiful and stunning, the music, lyrics, visuals all of it.",en
2,"Ophelia Meaning : 

The film opens with “Ophelia.” This is really one of the only parts of the film in which The Lumineers actually appear. It’s a way for them to introduce the ballad, with a song they hold close to their hearts. “Ophelia” deals with the success, expectations, and pressure the band has gone through since rising to fame, which is why this song means so much to them.",en
3,"It's 1st Jan,2023 and I have watched this ballad over and over 1000 times approx and I'm still not over it. Thanks Lumineers for this amazing album and power to you this year for your upcoming music.",en
4,"Em 2022 esse álbum completará 5 anos, mesmo assim é tão atual pra mim. Cleópatra embalou diversos momentos da minha história e eu não poderia me sentir mais grato, porque esse vínculo fez com que ele se tornasse meu álbum favorito.",pt
5,That piano tune gives me chill every time ,en
6,This is one of my favorite albums. And to see this whole story now...When I needed to I guess. I own a cd of the album and it really calmed my baby grand daughters down while riding in the car. They love Ophelia and would sing to it....lol! And that haunting piano would literally make them fall asleep. Just an amazing work of art. The whole thing. It definitely helped me through some challenging times.,en
7,"I cry almost every time I listen to this, no matter what I am doing. The context, the story, the emotions, acting- nothing, nothing could be any better than this.",en
8,"I could not express how well done this film was. Every single aspect of it was beyond words and each part tied itself so perfectly to the scenes prior. for the combined hours and days that I have listened to and supported the Lumineers, I'm shocked that this video JUST showed up on my recommended. quite honestly the best video I have ever watched on any platform. Phenomenal.",en
9,"How the Lumineers manage, every single time, to produce such emotion-filled, meaningful, beautiful songs is beyond me. I'm glad I found you guys.",en
10,"The story makes more sense now, and it's beautiful. This is hands down the most intricate, the most gripping, the most gorgeous thing to watch. It really makes you realise the consequences of life and how every path you take affects you. The lumineers are a band that are like no other, and they are honestly one of the best I've seen.",en
11,"Really good production quality, in every context and department. Such a great team behind such an amazing song/songs.",en
12,"Isso é o exato significado de perfeição. Música, clip, história, sentimento. Incrível",pt
13,"This video is a masterpiece. By the end of the video I was crying. I was still in the mist and confused but my tears were flowing. I couldn't control it, it was majestic, bitter, pretty and real at the same time. This, struck me to my soul, the depth of my soul. An absolute masterpiece. 15/10",en
14,I’m always gonna be proud I grew up listening to lumineers. It’s such an honor. ️‍,en
15,"Your songs help me to cope with this situation happening in my country. A hug from Venezuela and I'm grateful to relax my mind with your lyrics and your music. i am sorry if i don't write very well, but i need to write it. just thank!!",en
16,"The Lumineers retrata a vida como ela é, e de como devemos curtir cada momento. Me emocionei demais ouvindo esta obra de arte. Simplesmente maravilhoso",pt
17,"não canso de escutar esse álbum, sempre me traz  paz.",pt
18,"I had listened to this album before without knowing the story behind and I liked it, now I listen to it again and all I can say is that this is a master piece! full  of real life emotions and experiences <3",en
19,"This is just amazing!! Listening it when i'm drawing, drinking coffee, early in the morning, late at night when we're chatting with friends... This is soul music right here!",en
20,"This album, this video.... god, this is insane. I mean, when I feel sad I listen to this record and it makes life easier. And when I'm happy, I listen to it just because these are amazing songs. Still can't imagine how The Lumineers could make such a masterpiece, that suits all moods.",en
21,"The woman who Cleopatra is based in must have been special. She obviously went through a lot in her life and I think the lumineers were angels to have told the world her story. She must be eternally grateful, I sure am.",en
22,I really enjoyed this video and loved that you kept all of the ambient sounds throughout it. Great job!,en
23,"Me quebrei em mil pedaços, e me juntei novamente... simplesmente perfeito!!",pt
24,Eu amo essa sequencia de tantas formas... perfeita!,pt
25,Cleopatra é o melhor álbum! E esses clipes são uma obra de arte! Me provocam arrepios e emoções sempre fazem repensar o que é importante na minha vida...,pt
26,This is an absolute masterpiece. I will never get tired of listening to this️,en
27,The Lumineers are on a whole different level of musical talent.,en
28,"So much passion within 25min, your music is so touching and powerful. Thank you for sharing this piece of art with us ️️️️",en
