,comentario,liguagem
0,"People like to blame tiktok for ruining songs, but honestly they help a lot of artists out there. When their audio gets viral on tiktok people would search for it on youtube. And I'm glad the people on Tiktok recognized this song. It's heartwarming seeing a band that broke up make a return and become successful",en
1,This song hits hard when you knew that youre in a toxic relationship/friendship yet you still cant let go of them,en
2,"my parents are going through a separation right now, but i hope things can get better, so one day we'll be sitting around the dinner table, laughing and talking like the old times. this song reminds me of what my parents often say to each other while arguing, so i guess that's why it also gives me hope.",en
3,"[lyrics]

I just need someone in my life to give it structure
To handle all the selfish ways I'd spend my time without her",en
4,I’m into a lot of blues rock but there’s just something about this song that I love about it,en
5,"you have no idea how much this means to me. when i discovered this song in 2017, i was irreparably heartbroken. (also same time i discovered the band and found out that you guys broke up :/) this song accompanied me during that horrible time of my life. i literally couldn’t listen to this without crying. 4 years later, i could say that i’ve completely moved on and that i’m in a healthy relationship, which i never would have thought i’d ever have back then. you guys coming back reminded me of how far i’ve come. now i could listen to this without crying",en
6,Even 7 years later.. This song is still beautiful as the first day when it came out..,en
7,"This song hits different when you can’t stop thinking about your family because that one member taught you so much but they didn’t have to, but they did it anyway. My father taught me so much in my life, I would go insane after his death. This song describes everything after my dad dies in the future.",en
8,"Lyrics :

I just need someone in my life to give it structure
To handle all the selfish ways I'd spend my time without her",en
9,"I love when artists have a trending song on tiktok they made years ago and decide to revive it. It's the recognition they may not have gotten before but now they finally have it, and all thanks to a silly app. idk i just find it really amazing how much people can do for others without even realizing it :)",en
10,"Tiktok is incredible for discovering awesome new artists. Sure some songs can get annoying after a while, but you can also find great timeless songs like this.",en
11,"I was moments away from finishing the last segments of my novel then this song pops in my playlist. All of them we're dying one by one. This helped me a lot to execute the needed details. If in the future if my work was ever animated or filmed, this song will represent it.",en
12,IM SO GLAD THEY'RE BACK AGAIN ,en
13,"Big congratulations to you guys for making it after 7yrs of releasing this song, enjoy your success. I wish you the best on this journey of success.",en
14,Happy Valentines day to everybody without a Valentine  I'm here for y'all.,en
15,"I'd like to thank TikTok for recognizing this song once again, The Walters deserves so much recognition. I'm listening to them for years now and I'm so happy for their success (｡’▽’｡)♡",en
16,this song hits so hard when you realise your parents relationship is like this… but they still love each other.,en
17,Essa música é perfeita!,pt
18,"The truth is that this song makes you cry a little, it's beautiful, I love it.",en
19,Just feels like good old time People flying people die people depressed Just hits me.,en
20,"me and my band played this song one time in our school during our talent night and my ex was watching, she's still into me that time but she's toxic because she cheats alot and she just always says that i'm her home and she will return to me no matter what. i stared at her dead in the eyes while i'm singing and next day, she told me that she will move on. i never felt so relieved that day, even though it's devastating since i still love her so much, but life goes on, and i gotta accept the fact that she's toxic and doesn't deserve a guy like me.",en
21,"Are you guys officially back?!
Holy sheesh, I was just binging all your songs for over a week now. I even made a playlist with songs only from The Walters, Corduroy, L. Martin, and The Olson Brothers.
I hope you guys are back for good!",en
22,Am I the only one who finds this song nostalgic?,en
23,"""I hope you feel what I felt 
When you shattered my soul""
Got me!!!!",en
24,this song is the definition of bittersweet.,en
25,"Lyrics: I just need someone in my life to give it structure
To handle all the selfish ways I'd spend my time without her You're everything I want, but I can't deal with all your lovers
You're saying I'm the one, but it's your actions that speak louder Giving me love when you are down and need another
I've gotta get away and let you go, I've gotta get over But I love you so",en
26,Essa música torna as despedidas mais difíceis do que deveriam ser....,pt
27,this song is perfect️,en
28,"I remember finding this song years ago in college, I would imagine myself in a music video as that toxic girl in this song lol I really love it. Im so glad more people have been listening to this song, it's really great",en
29,"The song is so catchy, i really like it, is so heartwarming",en
30,calm rhythm makes this song beautiful,en
31,"Lyrics:



I just need someone in my life

To give it structure",en
32,"AHHHHHHHHHHHH
DIGANME QUE NO ESTOY SOÑANDO
NO LO PUEDO CREER 
ESTA BANDA SE CONVIRTIO EN MI FAVORITA Y SEGUN GOOGLE YA NO ESTABAN MAS JUNTOS",pt
33,"まじ死ぬほど好きな曲になった、耽美で、素敵です、この曲をこの世に発信してくれてありがとう。

This song has become my favorite song to death.It's aesthetic and nice.
Thank you for sending this song to the world.",en
34,I felt this song on so many levels dam…,en
35,The worst feeling ever is being in love with someone  and knowing you can't be with them.,en
36, this song was so beautiful,en
37,The song has been released more than 6 years ago. I've accidentally listened to this 3 years ago. And now it has official music video. I always have strange nostagia feelings listen to it. I'm glad that you have the recognization you deserve. What a wonderful song.,en
38,"I was in a relationship with this girl for a while and around two months before I ended it, I realized that she was messed up, from hurting my friends to abusing me. Not because I couldn’t fight back but because she knew I would never hurt her and used that against me. I stuck with that for 2 months",en
39,"You have no idea, how emotional I've been through, this songs makes me wanna go.",en
40,This is my favorite song but whenever i play this song in public they think im heartbroken ,en
41,"When you have no one in mind, you really appreciate the song by itself.",en
42,"1:14 really resonates with me tbh. I was in love with my best friend for over a year, and when she finally found out she completely shut me out, became emotionally abusive, and I eventually just got bored and had to walk away from her",en
43,“Arent you tired of chasing the love that wasn’t yours?”,en
44,"I just need someone in my life

To give it structure

To handle all the selfish ways

I'd spend my time without her",en
45,"A music video after 7 years? Wow I'm happy you guys got the recognition, you deserve this. When I found this song years back, it was everything, and when I came back after listening to this song on every reels, this mv pop up. I hope you guys get even bigger",en
46,"Lyrics:

I just need someone in my life
To give it structure",en
47,the song that cant make me hold back my tears,en
48,crying to this song right now it’s so much to handle,en
49,I found this song in august. Was so sad when found out they broke up. But now... this puts a smile on my face.,en
50,"I really love this song, and the vocals are really amazing, I love it, I love it. It's a great theme.",en
51,The best song for me ,en
52,"I love this song so much! I want to go the beach! This makes me think of summer, the heat, the lush greens! Amazing song",en
53,"my life already sucks, but this song always make my day when I hear it, beautiful.",en
54,You guys are something else. Been listening to this song ever since it came out and every time I just have to sing it aloud. We absolutely love your music!!!,en
55,I just discovered this song and I'm broken and crying internally rn. What a great timing and excellent song! ,en
56,Tô realmente com meu psicológico fodido...pensando em uma garota que eu não posso ter...rir pra não chorar pra ver se engano essa angústia no meu peito ...,pt
57,"i've been listening to this song since 2016!! this song really gives me calming and nostalgic vibes. as much as i want to keep this only for me, I'm happy and proud that a lot of people are discovering The Walters<33",en
58,I listen to this song every day  The key is to listen almost all the time ️,en
59,This has to be my favorite music video of all time,en
60,"this song is like release in 80s
already masterpiece.",en
61,This song hits different when you’re in love with someone you can never be with ,en
62,Give us more of your music please ,en
63,i love this song,en
64,"just heard this song on the radio, quickly got addicted to it xD",en
65,I love this song I love the end part almost the humming part or whatever you wanna call it and I keep replaying it and I thought this song was from a couple of years ago but turns out it aint,en
66,"AFTER SO MANY YEARS, THEY ARE FINALLY GETTING THE RECOGNITION THEY DESERVEEEE <3333",en
67,this song is a masterpiece ,en
68,"Im picking up strong beach boys vibes here. The Doo-wop back up singing is what really does it for me. Really nice song, hello summer 2022!",en
69,This song makes me happy every time I see somebody else with a girlfriend knowing that nobody wants to date me this song makes me happy,en
70,This is the greatest thing happened to me today,en
71,Me lembra muito the Beatles,en
72,Such a guy who has a peaceful song,en
73,this is so nostalgic i can't believe it's been 8 years since this came out time flies so fast i wish i could go back in time ,en
74,This song makes me feel so nostalgic!!!,en
75,There are so many unnoticed artists like one I just found out about young rising sons. Their songs are AMAZING,en
76,This hits so hard..,en
77,"me identifico d+ com esta musica <3

se for uma coisa boa se identificar,-,",pt
78,I LOVE THIS SONG ,en
79,I'm so happy you guys are back I waited for a year I'm so happy TikTok users help you make this song famous,en
80,"THIS IS A REAL ""THE BAND IS BACK TOGETHER"" MOMENT",en
81,"What a beautiful song<,3",en
82,I love this song sm ,en
83,0:52 e a musica ameii,pt
84,i absolutely love this song but it keeps making me cry,en
85,man this song hits so hard after a breakup with someone who you truly loved and they gave up but you came let go,en
86,This song is so good. It's a song that makes me miss my non-existent lover.,en
87,this song is literally so comforting for me,en
88,"story time: i dated someone who was in my class, is in my class actually. we dated for almost 5 months, he made me believe that he'd never leave me and that he'd propose when the time was right, and I believed him. Our relationship was a secret because both our parents did not approve of dating, my parents found out and demanded we break up, I didn't break up and I stayed because I loved him so much. My relationship with my parents got progressively worse but I didn't care because he was there for me. In the summer break, he messaged me saying that he 'has to break up with me' because it's 'exhausting to hide things'. I saw him everyday in school. i watch him smile and laugh while I was dying inside and cried everyday. it's been over a year since we ended and I still cry over him. Even so, as much as it hurts to see that I meant nothing to him, I'm happy to see him happy. i pray for him to be happy everyday.",en
89,"You sound like  ...
the Beatles    . Love your voices!    Keep up  Guys!!",en
90,"I only have 1 thing run through my mind whenever I hear this song
''THE PAIN FEELS GOOD''",en
91,Found this song on TikTok and it’s one of the most beautiful songs I ever heard.,en
92,The fact this was posted on my birthday made me even happier that they came back,en
93,"please make more songs like this,
you guys are so cool!",en
94,"This song gives me the vibe of wanting friends, but wanting to be alone at the same time…",en
95,I played this song with my girlfriend at our first date️️️,en
96,Thank you Walters for making this music into my life ,en
97,"This song makes me wanna cry, it's relatable and feels nostalgic...",en
98,Love the music video ,en
99,"Lyrics:
 just need someone in my life to give it structure
To handle all the selfish ways I'd spend my time without her
You're everything I want, but I can't deal with all your lovers",en
100,The bass is amazing,en
101,Vc me faz sofrer mais nn consigo te odiar Eu te amo tanto):,pt
102,This is a masterpiece. The video has nothing to do with the song and its funny af while the song is depresive and talks about toxic relationship,en
103,I sang this song to my sick puppy yesterday and now he's gone and now that everytime I listen to this song it reminds me of him,en
104,Toda vez que eu escuto essa música me faz chorar,pt
105,In honesty this song makes me think of how scary the future is,en
106,THANK YOU for this TikTok!!!! I love you the Walters ,en
107,This song hits hard about my gaming life..,en
108,"""I hope you feel how I felt when you shattered my soul.""
Damn, I really felt that.",en
109,"I just need someone in my life to give it structure
To handle all the selfish ways I'd spend my time without her
You're everything I want, but I can't deal with all your lovers
You're saying I'm the one, but it's your actions that speak louder",en
110,"The happier I am, the more stinging this song is.",en
111,you can tell these guys had fun recording,en
112,Orgulho de conhecer essa obra de arte bem antes do tiktok....,pt
113,more songs to come️,en
114,And thats how a legend was born,en
115,this song goes hard whenever a tragedy occurs in the hit-game Roblox,en
116,This song make me imagine one day I just woke up in a place with no one around with my stuff and Internet not working so I can't contact with anyone then realising I was the last survival.,en
117,"Here's the lyrics<33 

I just need someone in my life to give it structure
To handle all the selfish ways I'd spend my time without her",en
118,this has been in my playlist for months and i still dont know why,en
119,Hit like if you’re going through a difficult part in a relationship and this song just hits perfect,en
120,Tik tok is doing what Spotify can’t.  happy to see artists be re-discovered,en
121,"Tell me a lot of things, including love, I used to be like this before I want I will thank you for creating this song.",en
122,"They're back baby !!! Im not ganna lie I thought this would never happen and Lukes solo project actually produced some pretty good music, but im so glad theyre back :)",en
123,your songs might be successful if your musical style stays like this,en
124,This song has better cgi then most modern movies,en
125,why does this hit so hard,en
126,Wow I am so shocked the name of the group is hitting my heart strings love always 10,en
127,"I made a cover of this song for my senior project in highschool, I did it with a uke and a sick as hell kazoo solo",en
128,I was living in darkness all this time..... this song ,en
