,comentario,liguagem
0,It's literally impossible to explain how hard this song hits when you secretly love somebody,en
1,This song is like the 2 voices in your head one says that you should give up while the other one can't let go,en
2,9 years later and this song still hits hard.,en
3,"lyrics:I just need someone in my life to give it structure

To handle all the selfish ways I'd spend my time without her

You're everything I want, but I can't deal with all your lovers

You're saying I'm the one, but it's your actions that speak louder",en
4,8 years later and this song still hits hard,en
5,"I remember finding this song years ago, and I added it to my playlist. This song was playing in the background(along with other songs) while I was talking with a certain someone. After that someone and I stopped talking, I forgot about this song. While I was scrolling through TikTok, I came across someone using this sound, and it made me remember everything, from the sleepless nights, early mornings, and cheesy afternoons. The high we felt late at night, the moments we shared, laughing at the silliest inside jokes we make, while the others are clueless of why we were laughing. It was nice finding this song again, but I wish I didn't, because it reopened some wounds. But if I didn't today, I would probably still encounter it on a later date. I guess it's for the best that we stopped, but I wish you would've given me a heads up, I was not ready at all.",en
6,"No matter how many years pass, this song will stay in our hearts forever ",en
7,"Eu sempre escuto essa música quando estou com problemas , e eu sempre choro muito, mas é ate bom",pt
8,It's 2023 but this song never gets old️,en
9,"This song reminds me of my moms old Boyfriend, J. When he left he promised to see me every week and that he would stay my dad. Till years later I was sitting in a bar with my mom, she looks back and gets up, smiling. She walks over to a man I havent seen since I was young, a man with two new kids. He greets my mom and looks over to me saying ""Hi, sorry for crashing your dinner, Im J"" I could feel the tears welling up in my eyes as I responded with ""I know, it's me, Cas."" We had a brief conversation, then I went to the car and cried the same way I did when I clung to his leg when I was 5, begging him not to leave me.",en
10,This song is the definition of “The Right Person But At A Wrong Time”,en
11,this song is great for when you’re sad and want to feel infinitely worse,en
12,"I consider this song perfect in terms of emotions by its lyrics, a unique one with its irony, the way instruments are played, it fits in any type of human emotion and plus, it's short, so you can't get enough of it. Perfect!",en
13,"the bass part in this master piece is phenomenal, it's so ear-catching.",en
14,"I listen to this song when I raged out of my bedroom after knowing that my best friend died,can't believe that he is gone and I'm still here smiling hiding my sadness.",en
15,My gf and I have had what can be a shaky relationship at times and really beautiful at others. This song really just made me question our whole relationship…,en
16,“I hope you feel what i felt when you shattered my soul” i love that line sooooo much and relate to it.,en
17,Space song makes me feel sad but this song makes me actually cry by the way I image it,en
18,"There's this girl whom I had a crush on since before the pandemic but I confessed my love to her after the pandemic by a year, I never told her. It was a surprise for her, I got rejected and shot down but I never gave up I was patient and I put my head down even though I had a really bad experience with girls. Later on she gave me a chance and we've been dating for a while and our relationship is perfect, its like those relationships you see on TV. I love her so much, thank you so much God for giving her to me.",en
19,"it's 2023 and i still in here. ""giving me love when you are down and need another.""",en
20,"Essa música é simplesmente perfeita,tudo,a letra,a voz,tudo tudo,eu amo ela",pt
21,I'll forever love this song,en
22,“but I love you so” “please let me go” THAT PART.,en
23,I love this song so much and the fact that some random song from 2017 that went viral like 6 years later lead the band to reunited is just so cool i love it,en
24,The fact that this video was made 8 years ago and it is still so good.,en
25,I'm listening to this song while I'm holding my dead pet parrot feather it bring me back into my old-time where i got a lot of friends and i got my best buddy around my shoulder..,en
26,"I just need someone in my life to give it structure
To handle all the selfish ways I'd spend my time without her
You're everything I want, but I can't deal with all your lovers
You're saying I'm the one, but it's your actions that speak louder",en
27,this song calls out my personality when im felling confused of liking someone,en
28,No one have ever shattered my soul but I still crying hearing this,en
29,"I remember listening to this song back in 2017 but i didn’t feel anything in particular, now I’m listening to it with tears in my eyes because the person who once loved me just left me as fast as they came into my life. I am now trying to get over it and move on, I know it won’t be easy and it’ll take some time but if I learned something is that nothing lasts forever but that’s ok. You just need to appreciate the good times while they last",en
30,"its like the heart telling you that YOU LOVE THEM, but the brain telling you to LET GO OF THEM",en
31,this song hits so different when you relate to it and have a deep connection with it,en
32,"This songs embodies the feeling of falling in love with someone, but knowing that  person doesnt love you back",en
33,"I just need someone in my life
To give it structure
To handle all the selfish ways
I'd spend my time without her",en
34,damn this hits hard when ur listening to this on christmas remembering the last time that that person ever talked to you.,en
35,This makes me think about the times I’ve had with my ex and how much fun we had but I can’t experience that anymore. I hope someone will lift me into their arms like she did with me,en
36,Essa música é perfeita,pt
37,"""you're saying i'm the one but it's your actions that speak louder"" HITS HARD",en
38,It's literally impossible to explain how hard this song hits when you truly love someone but still chooses to let them go,en
39,It's already 2023 and this song still makes a lot of sense,en
40,8 years? I'm still following it and I'll keep listening,en
41,9 years later and this song still hits hard!,en
42,I'm a fan of The Walters since high school and this was one of my favs. I'm now in college and I'm glad that they are finally getting the recognition that they deserve. Thank you all for enjoying this song :),en
43,"The hardest part is when you know you'll walk away loving them, and will probably still love them for the rest of your life.",en
44,After almost one decade this song still hits hard.,en
45,Essa música é muito linda ,pt
46,8 years ago and it's still my fav song,en
47,"I was shocked to that this song has been in existence for 6 years, this is it....the feeling of discovering treasures...",en
48,when I was 11 I first heard this song now I'm 19 and I listen to it again,en
49,all I think about when i hear it is the winter vibes,en
50,"i remember going ice skating for a little band get together. when barely anyone was on the ice, i went around the edge with this song echoing across the rink. i just went around in my big black dress and let my fingers slowly freeze as i felt some kind of bittersweetness i'd never felt before or since. especially since i was going through the loss of my best friend at the time, trying to process all of it. it was the most lovely gloomy day i've ever had.",en
51,This song hits 10 times harder when you love someone so much and they don't know all the love and emotions you spend on them.,en
52,Still hits hard like the old days,en
53,I have been listening to this song for 1 year now and I still love this song.,en
