,comentario,liguagem
0,Amei essa música é linda massa..,pt
1,"Muitas lembranças dessa música, até choro qdo ouço.",pt
2,Música muito boa ,pt
3,"essa musica nos leva aos tempos q as musicas eraam perfeita,obg cara por fazer acreditar q ainda sim existe artista bom com musicas boas pra curtir ",pt
4,Linda música ,pt
5,"Sempre gostei de ouvir essa música, mas não sabia quem cantava, não consigo parar de dançar ",pt
6,"Luzes Ofuscantes
É

Eu tenho tentado ligar",pt
7,10 minutos dessa música tocando e eu só querendo que ela não acabe mais.,pt
8,Ainda Há Canções Que Valem a Pena Ouvir ! Sensacional ! Abraço a Todos!,pt
9,"Ele tem uma voz linda, música linda, grande talento, assisti um show dele, amei em Orlando no mês  de agosto.",pt
10,This song totally has that 80's sound and feel to it! Love it!,en
11,Música que sempre me faz sentir saudades de alguém muito especial,pt
12,"Quando ouso essa música me desligo do mundo, e tenho a sensação de liberdade",pt
13,tooop demais!... Aí sim. isso sim é que é música pop.,pt
14,Eu amo essa música,pt
15,It is a masterpiece. Love the music and signing. He sings with a lot expressions. Great!,en
16,Amo esse som ,pt
17,I could listen to this song all day. It makes me feel so nostalgic as if I had lived my youth in the 80s,en
18,"Wow! Speechless. Great song, great The Weeknd, great work. ️",en
19,Não me canso de ouvir esta bela musica em todos os momentos ela é top principalmente quando estou na estrada,pt
20,Amo,en
21,10 minutes feels like whole music industry is nothing in front of this ️‍,en
22,Amo ,pt
23,"Wow! Speechless. Great song, great The Weeknd, great work.",en
24,"An excellent song, with an 80s touch. To be current. Beautiful!!",en
25,mt boa a  musica o som tbm é mt bom,pt
26,Interessante que a primeira vez que ouvi esta musica pensei que era dos anos 80 muito boa  Brasil,pt
27,essa musica me faz viajar eu amo essa musica esse cantor e d mais valeu pelo som,pt
28,A música boa é eterna!,pt
29,Melhor música !!,pt
30,Love this song on repeat.,en
31,Very nice song... Removes stress,en
32,"Need a extended version of 24 hours.....
No,  stream this song live 24 /7
I'll play it on....
️",en
33,Top demais!,pt
34,"Música bastante animada muito boa
17/7/2022.    20:34",pt
35,Amo The Weeknd,en
36,Such a modern throwback to the 80s melancholie electro  pop. ,en
37,"Uma música q agente escuta,e repetir várias vezes.por a música faz bem... Ela também ficou top demais.  Remixada, com o DJ Gustavo remix oficial....",pt
38,I Really Love so much this Song️,en
39,"Lyrics

Yeah

I've been tryna call

I've been on my own for long enough",en
40,A voz de um intérprete pode se confundir com o masculino e feminino  Mas quando se fundem este é o resultado que pra mim é 100000%,pt
41,This song is excellent!!! He's a fantastic artist,en
42,Absolutely fantastic  ,en
43,Música boa isso ,pt
44,I love this song so much!,en
45,I love this song,en
46,"Lyrics:

Yeah
I've been tryna call",en
47,It's 2023 and this songs still hit me just like first time,en
48,Hello mate. Watching from sydney Australia :). I have gone through every single video u have made on repeat probably 100x and they are all  incredible!. Is there any way u can do any more extended remixes. I will always be here :).,en
49,Lindo ,pt
