,comentario,liguagem
0,"Three years old???? 
Still feels like a new and fresh song!!",en
1,Pqp como eu amo essa música ,pt
2,The Special thing about this Song is That it Sound like a Song from the 80‘s!,en
3,AMO ESSA MÚSICA ,pt
4,"nn importa quanto tempo passe, essa musica nunca fica ruim, msm se vc ouvir umas 8000x ela continua otima, sempre da aquela sensação de primeira vez, é uma honra muito grande poder estar vivendo na mesma época que um artista desses, VAI FAZER MUITO MAIS HISTORIA ABELLL",pt
5,This takes me back to the early stages of quarantine when everybody thought it’s only gonna last a month,en
6,"Music has no age limits, no language barriers, no need to be understand the lyrics if it is way too complex for us with their regional slangs. What I like about Weeknd is he is literally crafting his songs in a pleasant way, visually stunning visuals and his performance are top notch in every single of his songs. The way he melanging an eighties vibe with this new-era music is just mind blowing, talking about this song ""Blinding lights"" an absolute stunning masterclass in lyrics, music, performance of him visuals! Everything in this song is just a flat-out masterpiece. One of the best songs ever made.",en
7,"Vai se tornar um clássico e quebrar a barreira do tempo! Artistas de hj dificilmente conseguem esse feito, mas The Weeknd vai :)",pt
8,Quando ouço essa música  só quero dançar ,pt
9,Essa música é atemporal nunca canso de escutar ela ,pt
10,Love this song can't stop listening to it ,en
11,"""Do you want an 80's, 90's, or modern feel to your music?"".

""Yes."".",en
12,"When you're happy you enjoy the music,but when you're sad you understand the lyrics.",en
13,This song is a Legend and will never get old. The funniest part is that I thought it was a very old song from the 80s until I saw it was recent. I just love it!,en
14,"Minha música preferida dele, meu grande ídolo ",pt
15,"As an avid headbanger who listens to hard stuff while working out I can tell you that music has no boundaries. I love this even when getting a good lift in. Yes, I'm singing, bobbing my head while arm curling.",en
16,"Still coming back to this , Man outdid himself.
No track hits closer than this",en
17,this song makes me want to have so much fun in life and never stop,en
18,"When I first heard this song,I was mind-blown,it shook ALL my senses to the core.The Weeknd's mesmerizing,beautiful voice,that fascinating instrumental with eighties-vibe,stunningly beautiful music video that gives you a cinematic experience...This is not just pleasure in its highest form,this is actually a masterpiece of popular culture!",en
19,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
20,"this masterpiece doesn't need a grammy, it is THE vibe that makes you feel a lot better. this song personally connects hits hard somewhere",en
21,"Just imagine
 your home alone with this song 
and a speaker with 100% volume",en
22,I love this song keep up the good work!,en
23,Eu amo essa música  toda vez danço não consigo ficar quieta escultando ️,pt
24,"The Weeknd: has a record breaking year with his song and album atop the charts.
Grammys: I'm gonna pretend I didn't see that.",en
25,Umas das melhores músicas essa marcou 🇧🇷,pt
26,minha musica de 2020 ,pt
27,Adoro esta música ! Nunca consigo ouvir apenas 1 vez ....,pt
28,Amor  simplesmente  um hino relíquia respeita história legend respetc,pt
29,Why does this get me hyped on another level,en
30,This song has special place In my heart #theweeknd #blindinglights #afterhours,en
31,Estava procurando essa música desde o Início da copa do mundo de 2022.Ela tocava no intervalo dos jogos do primeiro tempo.Uma vibe muito 80's,pt
32,Essa música é incrível obrigado ,pt
33,this song is like a tunnel from 2021 to 80's,en
34,Thanks to bring us back those sounds of the 80's and 90's!!!,en
35,"I'm old-school metal. Black Sabbath, Motorhead and the rest but that synth pattern is absolute gold.",en
36,"If I were to describe the 80's using only a piece of music, I would choose this one. Damn, never would have thought about feeling nostalgia towards about the past that I didn't live in, but always wanted to. Just... damn...",en
37,This is gonna be a classic one day,en
38,"When you want to find a song of 80s, 90s or now, this is exactly what you want",en
39,essa música é incrível,pt
40,"i cant get over this song. oh my god. idk the weekend, but he's gotta be a musical genius cause this stuff hits on another level. Literally everything about this video is fuego",en
41,The Weeknd is just a whole another vibe,en
42,A vibe desse som é muito fod@@ vontade d sair dançando. Esteja  onde estiver.. Kkk saudações do 🇧🇷️️,pt
43,This guy has really good taste and knows how to prove it by his melodies,en
44,HERMOSAS CANCIONES ,en
45,This sounds like an 80's action movie opening theme song. From a film starring Jean Claude Van Damme. But as sung by TheWeeknd,en
46,"Eu amo muito essa música, eu sou Brasileiro",pt
47,Amo essa música mn,pt
48,I go to a different world when I listen to The Weekend's music...,en
49,"Best of all time, will never let this sing die",en
50,This song would really be good in a movie.,en
51,"3 year old song still going strong, hopefully it still will be a banger in the future",en
52,"Such nice, chill, upbeat music.",en
53,3 years on and it’s still never gets old,en
54,Love this song,en
55,This is not a song . This is feeling ,en
56,This song could be 40 years old and we would probably never notice,en
57,This is a masterpiece forever ,en
58,Really brings back the GTA Vice City days. Especially how he drives the car.,en
59,"I can’t believe how many times I comeback to this song and I still feel like the first time. I listened to this song when I just had a break up like a tower moment in tarot. So I can relate to the whole song: Sin city cold and empty, I told my ex and he agrees. Then I can finally move on and trying to do as what he sings: this time I won’t let you go",en
60,"you've really made the song a real hit, I mean you've come up with a lot of good words and stuff like that you lived get 1 medal when I hear this song I'm thinking how good the song is ps you're the best",en
61,Can we take a minute to appreciate his dancing and acting skills..,en
62,"Lyrics
Yeah
I been tryna call
I been on my own",en
63,"Absolutely 
One of the best songs I ever listened ",en
64,"Someone said “this sounds like the past, present AND future” and it LOOKS like it, too.",en
65,80s music is my life blood and this song is everything! ,en
66,"This song has the beat of""Take on me"" But more derivative but still gives off that 80's to 90's style of a song, and it works perfectly.",en
67,It really just feels like Your driving alone on an empty road with lights on blasting this masterpiece,en
68,"We were on holiday in Florida, and this came on whilst we were at sea world. iv'e never seen so many people spontaneously start dancing. what a tune!",en
69,This is the first time I ever heard this song.  This guy is a frigging genius!!!!!!,en
70,This is my fav music it's only 3 years ago! Still my fav can't stop Listen <33,en
71,Se vc voltou pra ouvir esse som Parabéns! Seu gosto e excelente!!! ,pt
72,"I have a soft spot for the 80s in my heart. Though I wasn’t there to experience anything that went down, I still feel very nostalgic when I hear any song from that glorious decade. I feel sad sometimes because I wish I was there to experience it.  So, I  appreciate all the stuff about it. (I even bought a gameboy with NES games on it) The 80s was such a wonderful (but crazy) place.",en
73,"Blinding Lights: 80s vibes
I feel it Coming: 70s vibes",en
74,This is WOW ! I Love IT ! ️,en
75,Something about this song makes me feeling it deep inside Every part of my life  covers every word in this song ,en
76,The amount of times I watch this everyday is unhealthy.,en
77,I was unironically convinced this was a hit from the 80' untill now... Mindblowing!,en
78,This song will definitely be played at my wedding reception.,en
79,this song make me happy everytime and its beat is amazing,en
80,"Everyone is talking about the City and the song but not about the ""VIDEO"". Those camera Shots are insane.  Well done.",en
81,He did not win the Grammys but he won +700 million people's hearts,en
82,Driving car +dark midnight + formal dress+Alone= heaven ,en
83,"Fact that this album didnt get a single Grammy will be always there to show us how flawed the music industry and critics are. In the end, only consumers matter, not those corrupt critics.",en
84,This song gave me an nostalgic memory I never had..,en
85,This song is timeless.,en
86,This man Always bring real music out. ,en
87,"Lets make it a classic forever. This is our pandemic years hit, a part of human history.",en
88,o balanço dessa musica e´ incrível. Adorooo,pt
89,Love this song ,en
90,imagine just driving around for fun and then seeing the weeknd dancing in the middle of the road like a maniac,en
91,"Blinding lights is not just a 80s themed song, it’s also an emotion for me ",en
92,"The greatest masterpiece of the last decade. This album. This song.

XO",en
93,I love this song,en
94,This will give me hella nostalgia later.,en
95,The greatest of all time imo - what a voice and his videos are so darn original; voice of an angel,en
96,The message to future generation Don't let this masterpiece die ,en
97,"A truly  gifted artist, one of my favorite songs.",en
98,this song makes me feel like I am in a movie and someone is being chased by the police,en
99,goosebumps down my spine,en
100,Great song! :),en
101,"The Weekend inspired me to go all in  with my music . He was just like me , an artist trying to get heard .And now he's on top. It's happening for me , and I'm not stopping when it does !",en
102,I’m embarrassed that i had no idea about this masterpiece  a year ago,en
103,3 years later and it is still my favorite song!,en
104,I think it's impossible to just stop liking a song!,en
105,"I love this song, my favorite, I always come to see it, listen to this beautiful and addictive song",en
106,This song is amazing. Very talented bright artist,en
107,"This time he didn’t picture his death like in “Tell Your Friends” or “Starboy”, this time he went back in time.",en
108,I love this song!,en
109,"Welp, found my new ringtone. I love this song so much, the weeknd is awesome.",en
110,Whenever I Hear This Song I Feel like Entered To New World ,en
111,"In all its forms, art is a reflection of the artist's present (or past) view of the world.  Likewise, our reactions to an artist's work are very much based on our past & present life experiences.  Sometimes we can't feel any such connection with an artist's painting, song, sculpture, movie, etc.  When that happens, we often dismiss the piece as not worth experiencing again.  Folks, that's art:  we love it, hate it or just walk away shaking our heads.  I think most artists hope for the love and/or hate scenario because they were able to touch a nerve.",en
112,Pushing your car to the limit with this song playing is one of the greatest combinations ,en
113,"This guy invested 3 million for his own gig in superbowlL during Covid, mad respect!",en
114,Perfection ,en
115,This is the number 1 song of all time stayed number 1 on the chart for 90 weeks which broke the world record making it the number 1 on the billboard chart of all time. And yes it's a very good song,en
116,"This is an Amazing music video, It haves everything including a lot of dancing that reassembles me smooth criminal but with the weekend own style with a lot of artistic physical expression and the cameras management are crazy.",en
117,That slowed part in between was fantastic ,en
118,"To think this MASTERPIECE turns a year old in two days...

Here before 500 views ",en
119,"First time i heard this song, i thought i heard it before... but i was wrong.

That is the power of generating such of feeling hearing this song.
Weeknd..",en
120,Blinding Lights is what you call a generational song. Songs like that only come up every once every 10-20 years. An absolute utter utter masterpiece of sensory pleasure.,en
121,Love this song!!,en
122,"Y'all need to understand he's won the people. In the long run, the public is what counts, not a lame ass award.",en
123,"Me to , I thought this was an 80's song  .The beat , the melody. I hear all the time at Wal-Mart ",en
124,It is the ultimate and grandest nightlife anthem of today. Nothing comes close. And it is especially such for those who love 80's New Wave/Post Punk but were too young to enjoy it first time around.,en
125,Hearing To This Masterpiece Everyday till date ,en
126,MY FAVORITE SONG. ITS JUST TOOOO GOOOOOD[ FOR YEARS],en
127,This character is like a cross between The Joker and Michael Jackson.,en
128,With simple lyrics and simple unic bgm combined to make this masterpiece,en
129,"Got some bad memories with this song, but can't stop listening to it.",en
130,this will be timeless forever this brings me so much nostalgia i can believe it was already 3 years ago feels like 1,en
131,"“Sin city’s cold and empty, no ones around to judge me” 

Hits different as an person with social anxiety",en
132,Unbeliviably cool music and still the best one in the world.,en
133,This is one of my best music and videos very accurate everything on point and its tune ....I love you ,en
134,What a banger of a song,en
135,You know this song is ultra legendary when the comments are from 1 day ago even though the song is 1 year old and we don't need a Grammy to prove that.,en
136,Um dos melhores álbuns que já ouvi na vida,pt
137,This is a  Masterpiece ,en
138,It's a tradition to come back here once in a while.,en
139,Love this song it's brilliant,en
140,"No gross nudity.
No swears and cusses.
Just art.",en
141,"I've never been experienced like this, this is the best song I've ever heard",en
142,WHEN I HEAR THE SONG I CRIED BUT I LOVE THIS ,en
143,"Hearing This is giving me a 80s ""Miami Vice"" feeling",en
144,"This song is one of the best songs in the world. On god, this will be on repeat till I die",en
145,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you,en
146,"When I first heard this song,I was mind-blown,it shook ALL my senses to the core.The Weeknd's mesmerizing,beautiful voice,that fascinating instrumental with eighties-vibe,stunningly beautiful music video that gives you a cinematic experience...This is not just pleasure in its highest form,this is actually a masterpiece of popular culture!",en
147,I love this song,en
148,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
149,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
150,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
151,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you,en
152,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself”  the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
153,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
154,I have listened to this sound track a million times I still love it,en
155,This song makes me want to fly when I play it in the car,en
156,the weekend is like those artist who make one banger song then leave but he does not leave he just makes the best bangers and he double up every new song,en
157,I love this song so much!!!!!!!,en
158,This not winning a Grammy is almost as outrageous as me not returning in my sixth movie.,en
