,comentario,liguagem
0,What color are your eyes? Mine are brown ,en
1,"This song has three effects on me:
1. Makes me nostalgic
2. Makes me happy
3. Makes me feel like 80s music",en
2,This song makes me feel happy and sad at the same time... the lyrics are so real and relatable “ you lie but I don’t let it define you” wow I love this song,en
3,"This song is so relaxing. Its not sad, but its enough to make you feel emotional in a sort of way that you can still jam to it. Man I love the Weeknd.",en
4,"This song was the right choice for cobra kai, it has the 80s feeling and the whole song just fitted so well with the scene",en
5,This song makes me wanna go outside and dance down the street to the music and forget about anyone watching me or life problems.,en
6,"I love how the weekend can reinvent himself, his music is phenomenal",en
7,This song makes me feel like taking a really long drive across the country at night  with windows open and streets isolated........,en
8,The Weeknd maravilhoso como sempre.,en
9,This song makes me feel like vibing on a warm evening in the 80’s,en
10,This sounds like a 80’s song and I love it. I imagine myself on a road trip listen to this beautiful song and feeling nostalgic.,en
11,"Man, this song has 80's vibes ! You know? That image of neon lines with a sunset and a purple ground. Even tho I'm not from the 80's, I wish I would have been born in the US to experience everything from the 80's. It must have been such a great Era !",en
12,I love that the 80s sounds are coming back,en
13,"Have this song on repeat, great for dancing to like no ones watching ",en
14,The Weeknd has one of the best voices I’ve ever heard.,en
15,"Socorro, não consigo sair dessa música   ",pt
16,Essa música é perfeita demais man,pt
17,"The 80s vibes! Keep up the great work, Weekend!",en
18,"This actually sounds good, I heard it on the radio during quarantine.",en
19,"Just love it!! My decade ( 80's ) came back....as it should be....with respect, and nostalgic ways!",en
20,This song brings certain vibes that make me feel like im living someone elses life..,en
21,this song gives me a warmth that comes from within ,en
22,mano the weeknd sua música e muito boa ,en
23,This song is THERAPY ! Especially the 80’s thing and that saxophone just made the perfect vibe! ,en
24,This song is bringing back my memories ️,en
25,Por eu não consigo para de escutar essa arte maravilhosa,pt
26,THE SAX IS KILLIN IT! LOT OF 80s VIBES!,en
27,I born in 1983 and I feel so connected with this rhythm and sound.. 80s was a great decade,en
28,This screams 80’s... and man do I love it :),en
29,I'm here since 1992. Couldn't see 80's. But I feel like now I'm in 1980s and can imagine how people enjoyed that era. Thanks weekend for bringing us that vibes during our life time specially for the people  born after 80's like me and for people who lived in 80's who can refresh their memory lane ️,en
30,So good!!  Love the 80s vibe,en
31,This song has so many amazing talents to it. Pure magic.,en
32,I love the 80s sound it’s just like your calming yourself,en
33,Love this song!!! Best one so far!!! 80’s vibe ️,en
34,Love the beat to this song...cant stop listening to it.,en
35,️ this . The Weeknd makes me happy  and I love how the 80’s vibe is highlighted in this!,en
36,Beautiful song..has that 80s to it,en
37,the vibe of this song gives me nostalgia and makes me relive the best moments of my life,en
38,Absolutely respect TheWknd for reviving the 80s. The best music of the 20th century and probably the 21st too . Listening on repeat. Seriously.,en
39,"it's mid night, and im listening to weeknd. I love it <3",en
40,this sounds like a 80's disco song,en
41,These guys are bringing back 80s vibes!,en
42,"I love it,sounds timeless",en
43,Cant stop listening to this music ... Makes me nostalgic yet depressive too.. its because of love related,en
44,Love the weknd’s latest two albums. Such creativity and a great vibe.,en
45,Love the amazing lyric videos! Keep up the good work :3!!,en
46,"what a masterpiece Abel came back stronger than ever! i'm absolutely IN LOVE with this song! <3   

2:28 is my ABSOLUTE FAV PART! that high note tho...",en
47,"For some reason, this song feels long to me. All of my other favourite Weeknd songs I feel are extremely short, but this one is just absolutely wonderful.",en
48,"Make me nostalgic ,every times i listen to it !  Such a great 80 's vibes song !.. Spread LOVE everywhere , Everybody ️",en
