,comentario,liguagem
0,You just know Abel is going to create the most incredible cinematics for this era ,en
1,45M views?!?  This should have at least 1B views. This song is seriously amazing! Great album too!,en
2,"Song = MASTERPIECE 
The Weeknd = MASTERPIECE",en
3,"You put a little bit of M. Jackson, Prince, David Bowie and Daftpunk in a cocktail and you get something like The Weeknd. And yet you try another of his cocktails on the next single and it tastes different to you. This man never stops innovating.",en
4,"Great album, Sacrifice is probably my favorite on it. ",en
5,One of the greatest voices in today's music and this is coming from someone spoiled by the golden ages of music !I love the Weekend!,en
6,"Lyrics:

I was born in a city
Where the winter nights don't ever sleep",en
7,Those are the type of songs that you hear and inspired you to make things you wanted to do during the day,en
8,"Speechless, no words can explain my love for Able’s music like deadass blows my mind with his creativity. The insane production and camera work behind the videos is something my mind can comprehend but draws me back. GG’s Able, Ty for all the hard work you do with each and every bop and banger. Much love ️",en
9,The Weeknd has Sacrificed his time in order to give us this great album,en
10,this album got me through a really rough winter this past year; God bless this man for giving us all hope and incredible music!,en
11,"I have been listening to this song on repeat for almost an entire year last year! I This song has been my all-time favorite from him ever since they day the album released.

Happy 1st Anniversary Dawn FM! ",en
12,"This song hits at next level during midnight drives,i feel like singing this song on the road with my car parked on the side of the road 
Thank you The WEEKND for masterpieces like blinding lights ,the hills ,i was never there and many more ️️️️️️️",en
13,I love that The Weeknd is trying to bring back that disco feeling mixed with the music of this decade. Absolutely love it,en
14,Que efeito na minha mente  e coração também ,pt
15,"This album is super vibes of Daft Punk and Michael Jackson, a futuristic and eighties aura at the same time, what art, excellent translation...",en
16,Sempre vo escutar  porque ele da um sucesso,pt
17,Had it on repeat two months ago and I’ve got it on repeat again just can’t get enough,en
18,I love how he's bringing back the retrowave echo from my childhood. When you turned on the radio and they be saying the radio station in like some kind of harmony. I love it sm,en
19,Fact: Everyone agrees that The Weeknd is making everyone's day better with his songs,en
20,This song is just so catchy! One of my most listened tracks of all 2022!,en
21,THE WEEKND GRACIAS POR ESTAS INCREIBLES Y ASOMBROSAS CANCIONES. ¡¡LETS GO TO DANCE !! ,en
22,"this song has kept me dancing every day. In my house, while I have by something in the store, even in school during examinations......... that's not a joke",en
23,A year on and this song is criminally underrated and so is the album,en
24,"This album becomes a part of you… it syncs with you.. he is nothing like other artists, he drops quality and quantity. Abel, the earth is 5 billion years old, and I’m just grateful to be living at the same time to witness and listen to beautiful piece of art. ",en
25,"Seriously talent of the decade.  The voice, the music, the innovation, the narrative.",en
26,Música top!!! Demais de boa,pt
27,"This guy has a lot of 80s/90s influence in his music, very catchy",en
28,"This song deserves more than a billion views
Straight up BANGER! He aint like all them ARTIST who just be usin dat AUTHENTIC views to get they hits up to go HAM...",en
29,"He must have a whole world in his head, because his scenarios seem so real and connected to every single album he does... so catching",en
30,I always listen to this song and it never gets old. ,en
31,Esse cara não tem uma canção ruim????IMPRESIONANTE,pt
32,This song hits different when you're alone driving on the highway,en
33,"The weeknd es el mejor, amo todas sus canciones ",en
34,I love that The weekend is trying to bring back that disco feeling mixed with the music of this decade. Absolutely love it.,en
35,"o maior, icônico , ATEMPORAL, obra de arte em forma de som",pt
36,"i love the juxtaposition of the disco beat and the sad bridge/chorus. the eerie/psychedelic visuals bring the two together. he wants this person to keep loving him, presumably because it keeps him going… but not as much as his solitude does. nothing seems to trump that, because it’s his most natural form, the easiest route to serenity. love, and the vulnerability that comes with sharing your heart with another is a foreign concept. an invasion… of peace.",en
37,What a track love it ,en
38,I don’t get how people are disappointed with this album. I think we have just played after hours too much. We’re not used to a change. This album is so clever. Thanks for never disappointing us king,en
39,straight up one of the best songs i've heard in years,en
40,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Thought You Should Know” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
41,Cada vez te superas más the weekend!!,en
42,"you can really tell that the weeknd was influenced by french electro music artists like Justice, Kavinsky, Daft Punk, Gasaffelstein and so on.  His singing voice which is influenced by singers like prince and michael jackson fits like a glove for this type of music. The combination makes him unique and the, in my opinion, best pop artist in his generation.",en
43,Even though everything in my life is in pieces the one thing I can always count on is the weeknd the music the visuals everything is just incredible thank you abel...,en
44,"The music is so great, thanks for sharing it with us, love you! Wishing everyone a happy working day and luck",en
45,"When you think current music will never be as good as the oldies, you have music from The Weeknd to give you hope.",en
46,This song sounds amazing. Even in the music video and how the song started from where Take My Breath left off with him gasping for air from the floor. What a masterpiece. This song NEEDS to be in Just Dance!,en
47,Cedo e eu ja estou aqi escutado ele muito fã que voz,pt
48,"eres grande the weeknd  , te admiro mucho.",en
49,"He is evolving the music industry, not only dors he sing, he creates masterpieces with meaning, visuals and music",en
50,His music also gives you the 80's vibes and I love it,en
51,"This song instantly puts me in a good mood, and the song “Clover Cage - Frozen In Time” took away my depression and changed my life. I am now working on loving myself and becoming the best version of me! Love you guys ",en
52,One of my favorite music videos and songs ever. The Weeked just cant make bad songs!,en
53,"Can we all just appreciate, that The Weeknd never disappoints us with his beautiful music ",en
54,i have a bizzare love and obsession for The Weekend and he keeps dropping hits...uggh...love it,en
55,"This deserves atleast 100 mill views now
A masterpiece indeed ",en
56,this dude doesnt know how to make a bad song and i love his songs so much,en
57,Thank you for using diverse chord progressions and awesome grooves,en
58,The 80s vibes are really kicking in ..love it,en
59,This should be a worldwide hit,en
60,"I love so much this video!!! Definitely, best music video ever!",en
61,Cool sounding jam. 80s vibes are real nice here ,en
62,"When they put the effort in to ensure the safety of viewers who have epilepsy, the great music becomes even greater with a guy who clearly values his fans and their safety.",en
63,The whole album is more than fantastic. The scenes in which transitions are used are perfectly timed. AMAZING $!!!,en
64,His soft voice paired with unique music makes listening to this such an experience! Honestly the entire album should get much more attention like After Hours did,en
65,Listening to this on repeat endlessly till i cant take it anymore...,en
66,I can't stop listening to his songs ️️,en
67,Abel... You don't need shiny trophies to know that you have the world in your hands! We love you so much and will follow you even after you take our breath! ️,en
68,I’m gonna tell my kids that this man carried good music for a whole generation.,en
69,mds isso é extremamente incrível,pt
70,Seeing him live in philly for the start of his tour was just amazing!!!  My daughters second concert!  We had so much fun!!!  Thank you!!!!!,en
71,Pra começa  o dia no clima,pt
72,"Everything u create is just art.    Because u are so good at making people feel in general, and more specifically, to feel nostalgia, but not in a regrettable way. You special, handsome.",en
73,É  maravilhosa essa música,pt
74,"3 stages of listening to the weeknd :
1. Listening
2. Understanding 
3. Knowing the lyrics",en
75,this song is a gem ,en
76,"Happy Birthday  God bless you Abel! Have a beautiful day, you're handsome, an amazing artist and singer, I love you from the bottom of my heart, thank you for everything.   My favourite.",en
77,My opinion...this is the best albumof the year by far this guy never ever misses,en
78,Amo️,en
79,1 year later and this song still hits!,en
80,"my fav song of the album is “out of time” but they’re all unique. this is not an album, it’s a life experience, thank you Abel ",en
81,I hope the weeknd knows we love this song as much as we love his most popular songs,en
82,I want to dance this on a night where I am alone and this song is at full volume,en
83,Love this artist he digs deep has amazing rhythm,en
84,The weekend é foda o cara é bom,en
85,"Look a lot of people are complaining that this album is trash and that they want the ""old"" Weeknd from 'Trilogy' back but I love this album!  It has an 80's morning radio, disco vibe!  And it's also a mix between the 'Kiss Land' and 'Starboy' albums!  Of course we have different opinions but just respect each other's opinion!  ",en
86,just LOVE this song it gives me so much good vibeeeee ,en
87,I love the retro vibes of some of his songs,en
88,This song deserves billions of views,en
89,"This is his best album in terms of art/production. The transition between songs, heavy synth and the experience of tuning into a radio station is amazing.",en
90,PQP THE WEEKND TÁ EM OUTRA DIMENSÃO <3,en
91,Definitely on my top 3 songs from him ,en
92,Your voice and songs are enlivening 100%,en
93,80's retro style still has a vibe,en
94,I listen this everyday day.. great song ! ,en
95,"The Weeknd has Sacrificed his time in order to give us this great album

Yo, AUTHENTICVIEWS dawwwt cawwwm be slayin' the game when it comes to YouTube views, know what I'm sayin'? They got that fire content and them views be comin' in hot!",en
