,comentario,liguagem
0,"Bro, this mix of The Mask and The Joker is fire.",en
1,Amo essa música ,pt
2,Bro got the ,en
3,"Lyrics for you 
Ooh
Na-na, yeah",en
4,He's no longer The Weekend. He now goes by Monday Morning.,en
5,2 years later and this song still hits different. Truly a masterpiece.,en
6,3 years later and still hits different,en
7,Eu amo essa música ,pt
8,So now the “Can’t feel my face” makes sense...,en
9,No one will ever understand how this song helped me go through depression when the album got released. SAVE YOUR TEARS FOR ANOTHER DAY !,en
10,Quando a música vale a pena não importa quanto tempo passa sempre as pessoas volta aqui para ouvi-la,pt
11,"I don't know why but every time he say
"" i don't know why i run away "" 
I GET goosebumps!",en
12,What a brilliant song.....Epic&Masterpiece,en
13,The Weeknd truly never disappoints.,en
14,Eita música gostosa de se ouvir e dançar!!! ,pt
15,ngl I'm addicted to this song,en
16,"CANT BELIEVE IT TOOK ME SO LONG TO FIND THIS VIDEO??? AWESOME SONG. 27 DAYS CLEAN 2DAY AND THIS IS ON MY "" NEW BEGINNING "" PLAYLIST... LEARNING HOW TO CRAWL AGAIN IS SO MUCH EASIER WITH SOME GOOD SOUNDS TO KEEP THE MIND OCCUPIED.",en
17,"When you're happy you enjoy the music,but when you're sad you understand the lyrics.",en
18,"Só eu que vim procurar depois da professora de inglês ter colocado no rádio pra a sala ouvir, e ela ficar cantando?",pt
19,its been 2023 but still love this songgg ‍‍‍‍,en
20,"The doctor : how do you want your face looks like :
The weeknd : yes",en
21,Não erra uma! Essa é uma música e um dos meus clips favoritos ,pt
22,"Listened to this song since it came out,it made me remember my past days  and i always wanted to say that this song hits so hard that it made me drop a tear from my eyes",en
23,This song has a magic. I can't control myself for not listening this song once in a day. The lyrics are so deep,en
24,Ouvindo esta música decidimos ir ao show The Weeknd aqui no Brasil !! Música sensacional !!,pt
25,"Amooo 
Ele é demais cada álbum uma criação diferente 
Quase me apaixonei perdidamente ",pt
26,Não paro de ouvir em nenhum minuto,pt
27,"If you mix the Joker, Handsome Squidward, The Mask, and singing talent together",en
28,"1.1B views in just 2yrs, phenomenal! This song deserved more credits.",en
29,"Canta muito! Voz perfeita, arranjo perfeito, música lindaaaa! ️️️️️ parabéns!",pt
30,"Its been 2 years, I still cant save my tears. Is here  anyone else like me?",en
31,Essa música lembra velhos tempos,pt
32,"""Save Your Tears"" is to 2021, what ""Blinding Lights"" was to 2020",en
33,Everything is perfect about this song,en
34,Se vc voltou pra ouvir esse som Parabéns! Seu gosto e excelente!!!,pt
35,Clássico de música!,pt
36,This music  is perfect ,en
37,The people that disliked cant save their tears,en
38,"So relatable.  Perfect lyrics. People are so bad, they make you fall in love when you are not even looking for it, they make promises, dreams and plans and one day they decide to leave in the middle. Suddenly everything crashes and leave us with the pain for lifetime.

People are not any more loyal. The entire world has been corrupted.",en
39,This song is definitely art….,en
40,I can't get over this song!!!!,en
41,This just feels like a villain scene and he’s finally going crazy,en
42,This song helped in amazing way through my difficult breakup and divorce. Ex suddenly left without proper explanation and I was also left alone with small children. This was like having a conclusion and an apology that I never got. Now I have moved on and everything is better. Still getting good vibes when listening this.,en
43,What a wholesome experience while listening to this song,en
44,"The Weeknd will never repeat himself with his album sound, he's always evolving and that's just impressive on it's own, that's why we always look forward to his albums.",en
45,imagine listening to this while driving to the city lights,en
46,The dislikes are from the people who think his new look is real,en
47,"Não me canso jamais, eu amo e não é pouco ",pt
48,I don't even normally listen or like this type of music  BUT something about this track on a good pair of headphones  turned all the way up just hits differently... I'm not sure what it is but.... its great.,en
49,Still can't get enough of this song  it!,en
50,Simply put he's saying he'd rather die than put on a fake face and perform for a meaningless award in front of fake people.,en
51,Essa música é maravilhosa demais. 🇧🇷,pt
52,Essa é uma das minhas músicas preferidas ,pt
53,Não canso de ouvir essa obra prima,pt
54,TO HELL GRAMMY! This man won the hearts' Grammy.,en
55,"OMG! My absolut favorite song!... Dear Abel, you are sooo MAGICAL.... XO ",en
56,"Realmente guarde suas lágrimas para outro dia,,, já chega de tristeza,,  amei, amei adorei,, xô tristeza,, xô baixo astral. Amei ",pt
57,I love this song so much,en
58,AMO ESTE TEMA ME PONE ENTRE ALEGRE Y TRISTE,en
59,"The weekend inspired me to go all in  with my music . He was just like me , an artist trying to get heard .And now he's on top. It's happening for me , and I'm not stopping when it does !",en
60,"“Same work done on their face, I don’t criticize” 
     -The Weeknd",en
61,Guys idk what s wrong with me i am listening to this masterpiece  everyday,en
62,Tem Uma vibe Massa essa música ,pt
63,Just heard this song for first time. Look forward to more,en
64,I have played this video so many times that I almost forgot how he really looks like..,en
65,This song is like fine wine the older it gets the better it is,en
66,Wasn't a huge fan of the song until I heard it in my car and I cranked up the volume. Man it hits!,en
67,Artista demais amooo,pt
68,Adoro é uma felicidade  dançar essa música,pt
69,"Ariana Grande and the Weeknd is a collab I always get hyped for since I heard ""Love Me Harder""",en
70,Amo essa musica,pt
71,Ouvindo e já gravei na minha playlist ,pt
72,I hope that this song was endless ,en
73,"Excelente som, cancao maravilhosa!",pt
74,The Weeknd save your tears for another day Ariana I already cried so there's no tears left,en
75,A melhor do momento ,pt
76,Love for Weeknd from India 🇮🇳🇮🇳🇮🇳🇮🇳,en
77,"Ooh
Na na, yeah
I saw you dancing in a crowded room
You look so happy when I’m not with you",en
78,"I wish, I can hit a like each time I hear this song. ",en
79,One of the only music videos where he doesn't die.,en
80,This song is incredible I'm Chilean and this song is great one of the best,en
81,The weekend I play it over and over again,en
82,This man seriously got snubbed of a Grammy last year wtf,en
83,eu choro com essa musica de tão boa q é!!!,pt
84,"Idk why the part on 2:10 makes me goosebumps, but is the one I like the most",en
85,I love this song so much I listen to it over and over again. Because she smiles at my unhappiness ️,en
86,"When The Weeknd said """" I felt that.",en
87,"Just saw this recently. The song and music video are both great.
The refreshing thing is that the best part is the vocals and acting abilities of this performer. Excellent. Will listen to more songs from Weeknds.",en
88,Damm Can't believe its been already a 2 year since this song Came out Time flies,en
89,Que maravilha de música!,pt
90,"DAMN! BRO""S LIGHTSKIN STARE IS CRAZY SHEEEESH
edit: bruh how does this have 4 likes lol",en
91,"The Weeknd 2020: 
The Weeknd 2021: ",en
92,"I love this music, such a talent ",en
93,Muito  boa  essa  música,pt
94,"Save your tears for another day.
                                                         - Weekend
This is the day you cry.
                                            - Monday",en
95,"Me: searches up sad songs to cry to

What it shows:",en
96,The most beautiful lyrics from the most beautiful voice. Not just 2023 but timeless,en
97,This go fire after 2 years ,en
98,"Imbatível, pode se ouvir todos os dias.",pt
99,Musica perfeita nmrl linda demais ,pt
