,comentario,liguagem
0,THE DAWN IS HERE !!!,en
1,The Weeknd is the true definition of a legend,en
2,The angelic vocals are unbelievable ,en
3,One of the best artist of the late 2010s and early 2020. The Weeknd will be remembered as a legend,en
4,"This came out a year ago and I still can’t get over the first 30 seconds. The sounds at the beginning the dark synth prepares you for what to come, and then the abrupt stop, for “ I saw the fire in your eyes” is just truly one of the greatest moments in music history to me. It sets the tone immediately and calls back to his older self but introducing you the new. Abel is a genius and an icon I’m so grateful to be alive during this time.",en
5,"I'm 40 I never thought i would become a Weeknd fan. I been a fan since ""can't feel my face"" and I just love how dark and 80s his music is, amazing.  I love how true he is to himself I hope he never changes. I love his CDs too all are dope from beginning to end.",en
6,What a wonderful blend of disco and 80s!,en
7,Abel’s music is so timeless. He never disappoints ,en
8,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Colorblind With A Beautiful Mind” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
9,I can't belive it's been 1 year since this dropped and it still slaps ,en
10,"This man could be gone for months, years, decades even, and still come out with a bop",en
11,This whole album. The concept. The sound. Everything is just beautiful. So underrated and under appreciated.,en
12,"Listening to this album late at night, in bed, with good noise-cancelling headphones is an amazing experience. I especially love this song but the whole album is magnificent.",en
13,"I’m one of your biggest fans, I was in your top 0.1% of listeners on Spotify last year. Dawn FM is my most favourite music album of all time! It’d make my day if you replied to my comment. Keep up the good music! Can’t wait for the next release! ️",en
14,"This song is incredible, and only continues to get better with time.",en
15,This song never fails to TAKE OUR BREATH AWAY!!,en
16,"YEAH, YEAH, SI, SI,  ¡VAMOS A BAILAR! ",en
17,"As almost 40 year old ""boomer"" raised on 70s, 80s and some 90s I almost completely ignore most music since 2006 except few bands. As years are adding I ignore more and more bands. But this guy is like a restoration. He doesn't need too many beats, autotune, etc.. 80s feeling is amazing and his singing too.",en
18,This album gonna break the internet.,en
19,"I can't stop listening to this song, one of the best songs I've ever heard, keep it up and don't change, you make great music",en
20,Se vc voltou pra ouvir esse som Parabéns! Seu gosto e excelente!!! ,pt
21,"What a song ,what a vibe, just amazing",en
22,"The Weeknd has reached the point where he can do no wrong. He was NEVER bad, but ever since Blinding Lights dropped, it's like he's reached a new gear and high in everything he's doing",en
23,Every songs of his is addictive,en
24,I got a feeling that this man never makes a bad song,en
25,the weekend's songs really fit in alot with today's situationship,en
26,Music I'll never get tired of listening ♬,en
27,I like this. No auto tune and it's very danceable. More please!,en
28,Último dia do ano escutando ele  esse cara araza demais adoro sou muito fã dele,pt
29,as músicas do The Weeknd são alucinantes!,pt
30,"I'm impressed with his creativity, his constant innovation as an artist. KING.",en
31,He’s a legend always delivers,en
32,Talentos ele têm demais ,pt
33,"Weeknd music style is very distinctive and memorable, it reminds me of the golden era 60s-90s music!! He's a modern-day blast from the past type of caliber which makes him stand out above the rest!!",en
34,"Love it, one of my favorite songs. I’m addicted to this guy’s music ",en
35,"The Weeknd does not disappoint at all, this shows he cares about his music so much he puts his heart and soul into it always. I just love him man. I've been jamming out to him since I was 14 now I'm 21!!",en
36,"Every Weekend song is always a hit and new experience for me. This song already sounds like a classic. Please never stop with these 80s vibes. This is one of my personal favorites from you sir.

3:20 I can't stop rewatching",en
37,Incrível como esse cara n tem música ruimmm.. ,pt
38,This song is so peaceful to listen to i love it,en
39,The Weeknd is the definition of an artist aging and developing like fine wine over their career,en
40,"there is so much to love in this album  , still growing on me",en
