,comentario,liguagem
0,Ava's voice is honestly so incredible the energy she brings to the song is amazing,en
1,Making a track sounding simple is sometimes really hard. Amazing work Mr Tiesto!,en
2,Definitely one of the best songs of 2022. Ava Max absolutely kills it in this one,en
3,Linda performance 🇧🇷,pt
4,I like these visuals better than the other. It fits the low chill vibe seductive edge of the song better while still keeping that high energy party feel,en
5,Absolute masterpiece. This is on replay all day,en
6,"Podem fazer milhões de versões, essa música é perfeita.

Love from Brazil 🇧🇷",pt
7,Amo essa música!,pt
8,A powerful song! Love Tiesto and Ava!,en
9,Amooo ela arrasa de mais,pt
10,I've had this song stuck in my head for the past week. Still drives me nuts that it's not longer It's so catchy,en
11,"This is my favourite song now...I can't stop replaying it-I listen to it hours and hours...CAN'T STOP IT! The vibezzz...And Ava Max, her voice it's perfecttt ",en
12,"Música gostosa você merece AVA
Tanto talento 
Que venha os 20 milhões desse lindo trabalho muito bom de ver e ouvir observar!",pt
13,Maravilhosa demais.,pt
14,essa garota arrasa!,pt
15,"Ava Max never disappoints us with her great voice, vocals and beautiful looks  She really deserves more attention within the music industry and I still can’t wait for everything she’s planned for us!!! ",en
16,We need more Tiesto and Ava Max please.,en
17,A Ava sempre entrega tudo 🇧🇷,pt
18,"Ava uma mulher abençoada por Deus,desejo muitas felicidades só sucesso ️️️🇧🇷🇧🇷🇧🇷",pt
19,Ficou muito maneiro essa música  e Ava maravilhosa como sempre,pt
20,"16/05/2022. #Ava Max# É a Melhor cantora e compositora, Norte-Americana. Da Música Pop Internacional. e sou fã de coração!!!🇧🇷️",pt
21,I have this song on repeat!!!,en
22,Yes ! Loving it Ava & Tiesto  sound like magic,en
23,Tudo perfeitoo!! Ameii! ,pt
24,This is beautiful. One of the best songs ive heard,en
25,"I am an avid fan of your songs. I love you, Ava! ",en
26,🇧🇷🇧🇷 Big Tiesto!!! Greeting from Brazil!,en
27,"She's so seductive... what a masterpiece of music,  vocals,  tone and choreography.  Wow. Stunning.",en
28,THE HIT OF THE SUMMER!!!! THIS SONG IS A MASTERPIECE!!!!,en
29,I am soooo glad there is a nice beat dancing song like this to have come out!! Starting thinking our music industires across the world had Covid... Thank you Ava Max and Tiesto !! Love this!!,en
30,"Ava Max is the best complement for the song: dancing, singing, beauty. Well done Tiesto!",en
31,"Pure rushes of
Pop! Loving it more & more as I listen!",en
32,TUNE OF THE DECADE!!!! gooshbumps on a big system!!!,en
33,Just  amazing song. I am listening to this song every day.And every time i listen to this i can't stop singing and dancing ️,en
34,"Soo good that when another song comes on the radio.. I have to keep this on "" My Song"" in my library!! ",en
35,Just fantastic!!! Bravo,en
36,"Amei essa segunda versão, essa música fica cada vez mais perfeita ",pt
37,In love with this music video ,en
38,Com certeza tem q ganhar o prêmio desse ano em ,pt
39,We need more music like this ️,en
40,This is fire. Masterpiece of all times. Ava Max great as always.,en
41,This man will never stop hitting charts. Unbelievable.,en
42,This song is amazing!!,en
43,She took the dance pop genre to its perfectes form by adding true artistry compared with a lot of it which could easily be produced in a factory. Long term I think she will be compares to avicii in that she took an existing musical artform with preformed “cliches” (for lack of a better term) and while still checking all the boxes the sum of the parts surpassed the expected product in the best way.,en
44,"Eu fico encantado com tanto talento esforço perfeição beleza a personalidade encantadora e majestosa, maravilhosa suas músicas seus projetos suas obra-primas principalmente são únicas lindas música icônicas e magníficas igual a você, AVA te amamos e saiba disso baby que você é incrível e necessária no mundo da música",pt
45,Listening to this on a repeat is my motto ,en
46,Fui brincar de ouvir uma vez e agr to aq ouvindo várias vezes e n consigo parar caminho sem voltar porém to viciado está tudo perfeito   já amo a ava ,pt
47,Well done. I love this ,en
48,Love it,en
49,Can’t stop playing this masterpiece ,en
50,Top demais,pt
51,"Excellent, Sensational, Thanks Tiesto ",en
52,"Mil vezes melhor que o primeiro clipe, melhor só dá close de bonita que uma historia totalmente sem sentido. Te amo Ava e Tiesto sem sal e sem açucar.",pt
53,"This has literally made me move in quite exciting ways, I love listening to the beat of this song.... Cleaning house, exercising, and this beat has increased my daily walking past the fou",en
54,"The Collab we never knew we needed 
Absolutely too good .",en
55,Muito boa essa música!!! Ava como sempre incrível!,pt
56,This is  Amazing️,en
57,"As much as I love the song, I would love to hear her sing it without the autotune!",en
58,I’m so proud of Ava and tiesto with this classic,en
59,"Wow I thought the scene at 1:16 was so beautiful. They all looked great, Ava was impressive! Never really listened to her much before, but this song is like right at the top of my spotify chart recently so slay. I feel like she's gonna be bigger and more well known in the coming years hopefully anyway!! ",en
60,I want to dance to this song for hours after your exams are over it feels great Avaaaa,en
61,"The best song of the moment, beautiful voice Ava",en
62,Perfection ,en
63,Rainha 🇧🇷,pt
64,I love all of your songs and keep replaying them everyday,en
65,One of my fav new songs with Tiesto!!,en
66,Nothing but the hits ,en
67,THANK YOU FOR SHARING YOUR MUSIC THIS PARTNERSHIP WAS PERFECT ,en
68,"Ela é tão icônica maravilhosa espetacular, incrível, majestosa, magnífica, linda, única, perfeita, exemplar, um verdadeiro exemplo de uma artista independente adoro suas músicas são icônicas igual a ela.
ESSA MULHER GAROTA ARTISTA COM LETRA MAIUSCULA É FODA
QUE PERFEIÇÃO SUAS MÚSICAS SÃO MAIS QUE SIMPLES PROJETOS SAO OBRA-PRIMAS GAROTA TE AMAMOS NAO ME CANSO DE DIZER QUE VOCE É FODA MARAVILHOSA ICÔNICA INCRÍVEL ESPETACULAR MAJESTOSA QUE QUE PERFEIÇÃO, ACABA COMIGO ME CORTA QUE MARAVILHOSO MINHA GENTE EU ADORO ISSO!!!!!!!!!!",pt
69,in my ears all the time ,en
70,Obrigado Ava Max por me viciar mais uma vez🇧🇷🇧🇷🇧🇷,pt
71,PERFECT ! So much better than the first one ,en
72,Love this song congrats Tiesto and Ava Max!!!! For the 1B global streams big congrats to u guys,en
73,She is great. Good performer,en
74,Música muito gostosa de ouvir ,pt
75,This song will forever be a timeless masterpiece,en
76,"This is truely an earworm and masterpiece of EDM! Many respect to Tiësto and Ava for this amazing, fantastic song! Play and play it again... :-)
Great, that they produced this second video! In my opinion the better one. I know, Tiësto is seen in the first video and without no doubt he really earned this! The story behind is coherent and the first video was good! ",en
77,such an amazing music video ,en
78,Tiësto: You are a Legend! - Ava: You are a Goddess!,en
79,Everything is amazing. Love it!! ,en
80,Wow -= a masterpiece -  we need more of this !!!,en
81,Ava will be and forever an icon to my eyes,en
82,I can't stop watching. Gorgeous amazing ️️,en
83,Well done.Can't get enough of this one.,en
84,"Wow... What a perfect clip with a perfect, ""lovely"" singer and a professional group ",en
85,"Crazy! crazy, beat and lyrics that I cannot get out of my head! Everything I do in my daily life is affected by this song, I cannot mention everything that I use this beat to accomplish during the day! And that's including training my two German shepherds!",en
86,"#TheMotto #Tiesto #AvaMax
This song is a summer masterpiece I love it so much.",en
87,Amoo essa música,pt
88,Na minha festa quero essa música,pt
89,Love this song!,en
90, tô viciado,pt
91,"Congratulations on this Masterpiece
Ava and Tiesto ",en
