,comentario,liguagem
0,"This is such a good song, I really don't understand why it's not getting more traction. The production is amazing and the vocals and flute are so imaginative!  Good job, Tiesto! ",en
1,This song makes me feel like I’m having fun and it gives me early 2010s vibes,en
2,"Voltando aqui de novo
Eu adoro assistir na TV essa obra-prima, voltando aqui pra matar a saldade eu não consigo ficar 1 semana sem ouvir esse hino eu adoro Ava",pt
3,This is a masterpiece. It never gets old. Every listen is like hearing it for the first time and grooving to the melody and Ava Max's legendary voice :),en
4,Ava Max will rock every party with her songs,en
5,THIS RECORD IS A HIT,en
6,I've had this song on repeat for 2 days lol it's just such a freaking BANGER. Tiesto and Ava killed it on this track and the video was super dope.,en
7,You deserve to be well-known and played on the radio frequently. Love your EDM / pop music ️,en
8,Me traz  uma lembrança  maravilhoso  essa música..Ela é simplesmente  espetacular,pt
9,"Me leva aos céus, com suas músicas divinas igual a você!",pt
10,The boss did it again! What a smash!!,en
11,"bom um bom detalhe das musicas é que elas fazem a gente lembrar de memorias, elas guardam nossas memorias",pt
12,Ava Max e incrível cada clipe um espetáculo linda demais ️,pt
13,"I love this song. It's my favourite! I love Ava Max's voice, and now her dancing as well!! ",en
14,This is definitely THE BEST song of 2022 in my opinion. It's so fun and catchy to listen to. And its really cool that Tiesto and Ava Max made this song together. This song wouldn't be the same without Ava singing it.,en
15,Eu tô deitando pra Ava Max e não levanto mais depois desse hit super sônico  Eternamente no meu Top 50. Muito bom Man! Apaixonei ,pt
16,This is the actual... Motto. This is the theme song to life!!!,en
17,Quando tem DJ Tiesto as coisas ficam incríveis. Parabéns  mestre,pt
18,"Ela é uma perfeição um exemplo de pessoa magnífica, que ninguém consegue explicar!",pt
19,"Had this song on repeat for six hours straigt in the car over a year ago, such great beat and production! ️",en
20,Linda demais! Amo demais! ️,pt
21,"2:42 love that part with the flute big thanks to Tiësto, Ava Max and all the staff !",en
22,She knows how to craft great pop songs that gets stuck in your head whether your want it to or not. She really deserves more credit as a songwriter,en
23,"So many years, so many sounds and so many masterpieces. Tiësto, what a legend.",en
