,comentario,liguagem
0,"I was so down listening to this song, so I decided to read the comments it makes me cry so much, it’s so touching to see how we are all connected to each other, never forget that you are not alone in this world. We are all together somehow.",en
1,I want to meet everyone hearing this song. A massive group hug that would never end. You are loved <3,en
2,"Met a girl at a concert, I was 22 and she was a dream come true, held her in my arms during the slow songs, we kissed and hug...I never saw her again, one of the best nights of my life",en
3,"LYRICS :

There is a house built out of stone
Wooden floors, walls and window sills",en
4,One day i was with my dad in the mountain district of scotland and this song played on the radio it was something otherworldly that i felt its hard to describe but all my worries just washed away and i was calm.. No more worrying about tests i could just.. relax in the car with my dad lookin at mountains bigger than me and more mighty than me it made me feel so small yet so important so tiny yet so powerful  and it was one of the best things i have ever experienced and i  will hold on to that memory for my whole life,en
5,"I love how everyone in the  comments is sharing their stories, their emotions, the pain they went through. No hate. I love this part of the internet.",en
6,"I remember listening to this song when I was freshmen. Made me feel lot of things back then. I was lost, scared and broken. On this day I finished high school. I am living proof that things get better. It gets better. Hold on tight.",en
7,This songs hits so many feelings you didn't even knew you had. It just makes your body go 'wow',en
8,"Essa música me faz lembrar de uma certa pessoa que já me fez muito feliz, hoje em dia não nos falamos mais. Mais eu jamais irei esquecer as coisas boas que ela me fez... Eu sempre vou amar aquela menina ️",pt
9,"I've had anxiety since almost five years. Always feel like I'm worthless, like I can't do nothing right, feel like everyone tells me that. I've been looking up for help, but every person that tries to help me gets bored of everything. This song makes me feel like someday I'll find a way out of this loneliness. Thanks to the comments, I'm definitely not alone",en
10,"You don't know heart ache till you listen to this. 
There's so much soul in the music and the singer's voice.",en
11,"Eu estou tão triste. Mas, de certa forma essa música me traz paz. ️",pt
12,"This song brings me peace! For everyone with anxiety, depression hold on tight, everything is going to be okay. Just focus on positive vibes, tell yourself everyday how much you love yourself and accept yourself no matter what people say... Remember yourself you're important and you're going to achieve great things... Please have faith... May the love guide u, stay strong...",en
13,Eu sou apaixonada nessa música desde a primeira vez que ouvi,pt
14,Isso me lembra de dois lugares 1° uma casa na árvore e 2° uma pessoa dançando no pôr do sol livremente como se não tivesse amanhã mas dançando de uma forma tão pura,pt
15,"LYRICS:
There is a house built out of stone

Wooden floors, walls and window sills

Tables and chairs worn by all of the dust",en
16,"Essa Música me leva longe, longe dos problemas das dores apenas eu e um turbilhão de sentimentos bons ",pt
17,"Deus obrigado, pois até aqui nos sustentou o senhor ️",pt
18,Essa música é linda demais,pt
19,"Apart from the song, the album cover never fails to evoke sort of feeling in me which I cannot explain with words.",en
20,"This song was taught to me by anyone who thought he was the love of my life, he played it on the piano for me, he had to go to another country to study and whenever he listened to this song he cried because he remembered it, we were never together again, now He is happy with his new girlfriend, but I will always have it in my memory and heart, I still keep remembering this song with much affection",en
21,I cry every time i listen to this because of how pretty this song is and I love it.,en
22,"Eu devo a minha vida a ele. Foi ele quem me manteve de pé nos meus piores momentos, quem me reergueu nos meus piores momentos, ele é o verdadeiro significado de ""amor"" pra mim. Eu o amo.",pt
23,"Não preciso ficar triste para sentir oque essa musica passa , só de ouvir ja traz uma paz no coração  ",pt
24,Música maravilhosa ,pt
25,I honestly appreciate everyone that takes there time to type a message out for those that could be struggling you are making a wonderful impact ,en
26,"this song reminds me of times that weren't easy for me, i always do my best but for others it's never enough, so i keep it all to myself.",en
27,"this song it’s just magic, like it’s different than the other ones i mean I can’t even explain the feeling ",en
28,"I read the following piece in the comment section of 'Saturn' by Sleeping At Last and I think it needs to be read by more people and since that song and this one is really similar, the people listening to them must have something common in them too. I found every word of it relatable. Anyway, here it is...",en
29,I’m so proud of how far you’ve all come. Let’s hold on for a bit longer ok?,en
30,this song causes my eyes to swell up with tears even though nothing's wrong,en
31,"It's such a weird feeling coming back to a song which (among others) was my day and night during my depression. I can remember nearly nothing from that time, a 2 year period that I will forever feel that I was robbed of. The only things that I can conjure clearly in my mind from then are the songs, that must've kept me going. Now that I am healing and developing and strengthening myself, and have much more feelings and experiences and just more aliveness, it sends me a lot of flashbacks when listening to this song. I haven't listened to it in a very long time. Sort of processing and seeing my past self through an outer lense and renewed understanding. There's also a lot of emotions I feel that I can't describe. It's such a strange feeling.",en
32,"To Build A Home

The Cinematic Orchestra",en
33,Eu amo essa musica e a forma com que ela faz meu coração dançar :D,pt
34,Eu sinto um sentimento tão único com essa música.,pt
35,"I listen to this song sometimes when I’m down, but today i feel broken and lost and now i get to feel it more cause I’m struggling to find my place in this world and it hit me. I need to build a home for me first. I wish i could meet everyone that listens to this song cause i know how it feels",en
36,"There is a house built out of stone

Wooden floors, walls and window sills

Tables and chairs worn by all of the dust",en
37,Uma música bem clássica - amo,pt
38,"5:23 get me every time, so powerful, im grateful to have the chance to hear this.",en
39,this is the kind of music you want to play when you dance with someone you really love.,en
40,"I used to listen to this song many years ago and after I forgot it exist. I found it again few days ago and I'm glad. My mom passed away one year ago, and I'm on a really down period. This song is my comfort place thank you ",en
41,This song has been with me some 4 years now. Still hasnt lost its magic.,en
42,This is my brothers funeral song and it hits me every time rip bro,en
43,"I hope to do an animatic to this one day... It fits my novel's main couple so well, as the series follows them from contentious acquaintances to first loves to husbands to dads and finally to old men as they pass away. They leave behind their legacy of life and love and hope in their kids and everyone their actions impacted <33",en
44,"i feel so calm listening to this song and i haven't felt this peace in so long, it's refreshing.",en
45,"listening to this at 1 am , missing my late grandma :) how beautiful she is and she was . hoping that she's doing fine up there . if i had the chance , i will never missed a night to sleep over at her house every day :'( i miss you so much , nenek <3 i wish i can turned back time where we are chilling at the beach . i love you nenek , forever ️",en
46,"I'm not sad. I accidentally clicked on this song and got a ton of memories unlocked because this song is just so beautiful and it brings joy to me, you know",en
47,. I wish I could meet all of the people listening to this.,en
48,"Everytime I think I shouldn't be in this world, I come back to this song....somewhat comforting",en
49,This song makes me feel free from everything it's a beautiful feeling,en
50,"To everyone listening this right now, please never forget you are loved, okay? You‘ll get to the point where you live your life and where it’s better again, even if it’s not right now, stay strong, it’s worth it!",en
51,This music brings out the story from within to the forefront. It's magical!,en
52,Como tem gente que não gosta dessa música???,pt
53,"You're amazing! Don't waste your tear. I know this is a difficult time, but you have to get  through it. I hope you the best!
You're not alone!",en
54,This song is so beautiful.,en
55,"If you took a while to listen to this then trust me you got this , just don't give up no matter what  know there's someone somewhere who Adore and misses you,,️",en
56,"Hey, everything ok? I wanted to say that if you are readind this comment now I know it’s being hard and I know how much you left behind during this quarantine, how much you might be feeling anxious and useless on this whole story. But I wanted to say that even if we don’t even know each other, something made you come into this comment, doesn’t matter what you believe, this God or higher power (how you believe) wanted my thoughts to come to you and it’s exactly for you I wanted it to reach. Look, even not knowing you I can imagine how special and outstanding you are as human being. Inside you I know it’s a beautiful heart, full of qualities and strength to face all this, I know for real, I trust you. I know that sometimes we feel low, feel bad and just want this all to end at once, I know have stress’ moments and agony, but we can’t let our feelings beat us down and for each fall we have we gonna have breath to get up with double strength. That’s why I want to say that I am with you in all this, I am by your side and beyond everything I need to tell you that it all is going to come to an end and we will be fine even if you can’t see it right now. We are together and we gonna get out of this together, alright?",en
57,Never thought I could find the warmth and hope I was looking for in a comment section. It's so good to know that we are comforting each other. The maker of this song must be so happy to bring us together like this,en
58,"A Música é a minha casa. Enquanto houver fazedores de sonhos que nos elevam, nunca estaremos sós.Obrigado",pt
59,"Sometimes we just need to cry, this song and the comments get me every time if your here letting out pain let’s cry together ",en
60,"When I listen to this exceptional music, it brings out buried emotions, it brings out everything I have experienced, it brings out the pain, trauma, grief, death that I may have had. When I listen to her I have tears in my eyes, she makes me feel my heart, how strong and courageous I could be but sometimes I wonder if I have the courage to continue, life puts a lot on us test on our way. Sometimes I wonder but what have I done to deserve all of this in my life! And the last event I went through was the most for me, I was abused. I consider myself to be a good person, or at least I do everything to be one because I don't want to be like those who made me suffer, I am making a better world on my own scale. I have long asked myself the question, is there a reason for everything we experience, and today I don't have the answer, other than maturity I think. I turned to spirituality, thinking of finding an answer. Besides, it's astonishing but everything that I have lived has still made the person I am, has always wanted to help others, to be good with people, to have relationships of trust, to be generous and to have kindness and being hypersensitive, I had a lot of questioning. But sometimes I still have the urge to give up and let it all go. I write this comment with the heart, I send good waves and even if it is not easy you have the resources in you, the trials that you did not think you had overcome in the past you have overcome them say you that, you are strong and courageous.",en
61,watching a documentary and heard this song...and broke down in tears...beautiful,en
62,This song never fails to make me cry,en
63,"There is a house built out of stone

Wooden floors, walls and window sills

Tables and chairs worn by all of the dust

This is a place where I don't feel alone",en
64,"Having Covid right now and hearing this song on a rainy day while lying in my bed and staring at the ceiling is good, it makes me calm down. I'm thinking about my home because it isn't where I live, it's 10 minutes away. How beautiful would it be if I could be there now?",en
65,"Every time I hear this song I think... “but here’s the truth; sometimes the more things change, the more they stay the same”... love greys anatomy and love this song",en
66,Com essa musica Acabou de passar um filme na minha mente,pt
67,A favorite song of my son Gabriel. I lost him..and now listening to this song makes me feel like this is our house. Im just left behind with all these memories. ,en
68,I don't have depression or anything I just like the song. Wonderful piano sections. Anyone else feel the same?,en
69,This song has always made me tear up but now I always feel like bawling my eyes out because it reminds me of Jack Pearson :'(,en
70,I'm in the balcony looking up in the sky and suddenly i remembered all the happy moments in the streets where me and my friends would hang out all night long not worrying about the time...  God i'd love to experience that again.,en
71,"This song literally makes me wanna cry myself out and that's it. It is just telling me ""u can cry here, don't worry""... And I also heard it in one scene of my favourite show (TW) when Sheriff Stilinski got fired because of Stiles and they were talking in a garage, and this song was playing.. Just love the song even more <3",en
72,Já até me acostumei a ouvi essas sofrências internacionais e sentir aquele friozinho na barriga,pt
73,I want this to play on my funeral as the nice calm song to remind you of the good and fun things the person did.,en
74,impresionante me fascina no puedo explicar bien que es lo que siento al escucharla pero se siente genial se siente como si estuviese en otro lugar /// awesome fascinates me I can't explain well what I feel when listening to it but it feels great it feels like I'm somewhere else,en
75,You know when you listen to the song so many times you can feel yourself starting to go off it but it's too good and if only you could find a similar one,en
76,"My Friends find this kind of music depressing  and sad, but me it makes actually happy and whole, Because it resonates so much my emotions and thoughts and wishes and my inner world.
I feel understand and accepted. I wished I had friends who would understand and feel with me.",en
77,I am living proof that things do get better ️️️,en
78,"I miss my grandma when I listen to this. I wish we would all value our loved ones, while they are still there, more.",en
79,"""Você fez meu coração bater novamente, mas quebrou ele quando o seu parou de bater """,pt
80,Goosebumps from the first chord,en
81,"at the start of the year, i felt like ending it. i told my friends & bf to play it at my funeral. i got help & i have made it to the end of this year. this song always calmed me down because its orchestral (me and my dad love listening to orchestral music) anyway, the point of this comment is to say keep going in life. ",en
82,"This brings me so many tough memories but i think this is why i love that song so much
We are warriors, don’t you forget that, NEVER !",en
83,"I've always been looking for a home,
a home where I really felt love. I searched for it until someone said to me that ""You are your home"". Now I'm trying to reconstruct it. Because it is broken. 
I love this song. I just wanted to write down some things I felt.  Thank you for reading.",en
84,"I remember playing Fallout 4 and listening to this track, I got so into the character that I fell into severe depression, it took me a while to get over the helplessness of losing everything you ever held dear. It was a scary feeling. Maybe it's not a real experience but I'm always reminded of it when I listen to the song.",en
85,This song makes you feel like you have a new start ,en
86,"My problem with anxiety has started six years ago, now i'm 18 and it's still the same pain, I can't get out of this problem even if some people are good to me and they say that I have to try to think in a positive way but it's just really hard you know.. this songs gives me hope, i'm praying in my room just so I can be relaxed, God bless you people and try to be positive and love yourself",en
87,I'm not even depressed and this song still makes me cry for no reason,en
88,Listening to this song made me realise how much I have grown as a person and how my parents and siblings have grown too. I’m not a kid anymore well at least not until the end of this year. I was crying hard out that I’m losing my childhood but I realised that this isn’t the end. It’s just the beginning,en
89,My favorite music. Can’t listen without cry,en
90,"The comment section of such songs are really blessed 
Also,
A small request :
I am new to listening to these type of songs..(they are super calming and relatable, untouched by the crappy music remix industries ",en
91,"These comments really show how incredibly strong is the power of music. Also I wish to everyone who is lost, to find their way and to keep their heads high, because no matter how hard it is a better day will always come. Trust me I know.",en
92,I heard the beginning of this song and my first thought was what a beautiful song. This is amazing.,en
93,This will always be my number #1 favorite song. Always.,en
94,"You’re not alone, however far apart we may be geographically. We are together in this intangible home we built for ourselves, Have heart :)",en
95,"Hello stranger!
I know, you are listening to this song for a reason... Whatever the reason might be, please promise me you will not give up. Please please please promise me that you will hold on, you know help will come but you don't know when. Imagine it will come tomorrow? If you give up, you will never make it.. I don't want any of your precious souls getting hurt.. It is so difficult but it is possible. So promise me one thing stranger, believe in yourself, you are amazing.",en
96,Crying on my own in a dark room knowing I have no one,en
97,"I'm alone at night and it feels like time has stopped, like everything dissapeared and the only thing that's remaining is me, my pain, my tears and I'm listening to this hoping it'll make me feel something, hoping it'll make me feel alive and real. Because everything seems false, me, others, the world,I just want to feel real. To feel alive because I feel like I'm surviving for years now",en
98,My god this is so beautiful ️ I'm literally drowning in my tears right now,en
99,"this sounds like hugging the inner child in me, whispering that it's still all alright.",en
100,hearing this kind of songs just want me to cry but there's no more tears left. I just remember all those times that I was genuinely happy I want to go back there. I miss the old me:(.,en
101,"I really love how people feel comfortable in this comments to tell their own and special stories to others, strangers, that for first are human. In all of this comments i found a level of humanity that in the world of all days is rare the see and I know for sure that this is the power of music, it reunites us.️",en
102,"I hope everyone is listening to this please tell people you love them when it's true don't be ashamed of it, don't be embarrassed to ask a boy/girl out, don't think life is waiting for us because it isn't
Life is a blow and we fly away with it when we are not expecting it so please, live as each second was the last one and tell people all the good things you think about them, if you don't do that, those things will die with you.",en
103,"i'm screaming.
as loud as i can. 
and i'm crying like crazy. 
but only on the inside, so no one can hear me.",en
104,"This song heals wounds no one else could,  music just gives me comfort",en
105,It gets better dudes. Trust me. Maybe not soon but it gets better. 1 day you will feel completely complete️ stay strong my dudes,en
106,my emotions are all over the place when I listen to this song,en
107,I have an immunity of not crying to sad songs. I used to cry but now my heart just breaks from the inside,en
108,"everything's gonna be fine
I'm going to feel fine

 this song brings me hope and safeness",en
109,"I have gone through many difficulties in life, I am sick, but not fatal. Getting up every day with blackouts in my eyes, taking injections, going to doctors and taking medicines, this is my life. But know that I am pleased with her, because I still walk on two legs, I study at school, I have a family and support. People from the comments, you are wonderful, just go forward no matter what",en
110,This song is for the place of my dreams..a city above the clouds that I visit in my dreams. This song makes me happy ,en
111,I listened to this song by the end of a snowy cliff and all I wanted to do was cry but I couldn't. The view was just too pretty to let myself cry,en
112,"It is a song that enters you, it makes you think and even so, you will always come up with good ideas",en
113,How is it possible for a song to mess with our feelings so much.,en
114,I'm always crying while I'm listening this song. My home city it in war for 6 years and I never came back there. Now I lived in another country alone and when I close my eyes while I listen this I see my home how I remember it from childhood. I know that it never gona be the same....,en
115,"To those who are struggling, these things work for me; Have faith in yourself and forge your own path. Surround yourselves with things that make you smile. Embrace the positive when making choices. Change what makes you unhappy and avoid relying on others to make you feel whole. Embrace love when you find it.
Be safe️",en
116,This song is beautiful ,en
117,"This song reminds me of my pain , it reminds me of my heart shattering to pieces from crying too hard, it reminds me of my attempt.",en
118,Almost everyone who listened to this have experience hurtful stuffs and yes I feel you. And I hope you become better soon️,en
119,"this song makes me so sad and at the same time feels like im not alone, just crazy and really intense...",en
