,comentario,liguagem
0,This song NEVER gets old. It’s one of those I can’t skip.,en
1,It's 2023 and it still gives me goosebumps,en
2,"I'll never get tired of saying this is one of the best songs of the decade, it's an absolute masterpiece. And I love the way the lyrics and the meaning of the song go perfectly with the instrumentation and the melody.",en
3,"this will always be one of the best songs ever made. to all who are reading this, you all are wonderful humanbeings. Tom, thank you so much for sharing this beautiful song",en
4,"The reason why this song is so popular is because so many people are lonely/depressed and it's very heart breaking. 
To anyone that finds this comment I wish you a happy life. :⁠')",en
5,"finally this song is getting the recognition it deserves! love seeing it everywhere these days, makes me happy. It's about time ",en
6,Minha favorita. A melhor música de todas.️,pt
7,"This song brings back so many memories of a special person. Tom, I've been following you for ten years and each of your songs has accompanied me throughout my life. You really are an exceptional artist. I can't wait to see you in concert. U're the Best 🇲🇽🇲🇽🇲🇽️️️",en
8,"Listening to this song I have feelings that I can't describe, it's like Tom playing on my emotions - amazingly. Consistently my favorite song for years ️",en
9,"""Life is like a piano. The black keys are pain and the white keys are happiness, but we need both to play music""",en
10,2021 ~2023 e ainda não canso de escutar,pt
11,"To the next generations, please DO NOT LET THIS MASTERPIECE DIE!",en
12,This legendary song will always live on!,en
13,"Those chords are amazing and I cant stop listening to this song every single day...This song will never die, thank you Tom",en
14,"I LOVE THIS SONG  
Have it saved to my favorites ",en
15,This will always be my favourite song. I will never get bored listening to this.,en
16,Recently I've been listening to an acapella version of this studio record and the moment at 1:35  is fascinating. I wonder how many voices you added there. Just charming..,en
17,"I posted this on the original video but maybe more people will read this and hopefully someone can lipread what the woman says starting 2:10 and share with us!

""The music video is as much as a masterpiece as the song itself. I remember reading that this song is not only about relationships with others but also about about self-love, self-acceptance, and about the everyday struggle against mental illnesses such as depression, anxiety/eating/addiction disorders, suicidal thoughts, etc. ",en
18,This song is so emotional for me because it literally looks just like the room and fireplace from my childhood home where I lived for most of my life for 21 years and lost the home in 2019 and the lyrics all my tears have been used up are exactly how I feel about losing it,en
19,"I used to listen this in repeat when I was my lowest. Now I'm much better and I have tattoo that says ""I wanna cry, I wanna learn to love;""

I'm forever thankfull that this song exists.",en
20,I play this song everyday. I think we all have someone that comes into mind when we hear it. Brilliant. Tom Odell is very talented.,en
21,I'm left weak and exposed by this song. Every grain of emotion seeps through my skin. Hauntingly beautiful.  Between hello and goodbye there was love,en
22,"“All my tears have been used on, another love~” this hits me hard because I know how many relationships I failed for the past 6-7years and I’m still hanging in there trying to move on but the good memories are always there for me. This song hits me so hard",en
23,"This will forever my favourite song . This helped me through some very tough times when I couldn't sleep at night . I know this is a sad song but for me , it is a relief song . 
Thank you Tom Odell",en
24,ouvindo todos os dias repetidas vezes que som bom ,pt
25,it's been 3 years of listening this but the energy never changes and the flashback  whenever that beat drops,en
26,Incredible song and will never get old especially with Tom's vocals.  And I only discovered it six  months ago !,en
27,"It's been lots of years, but this song still hits different ",en
28,"This song is, and will forever be my favorite song. It feels like this song is on another level, and it is one of the best songs ever made!
I don't know why but i have such a strong connection to it, and i cant never get enough of it. Some days i try to not to listen it so i wont ruin it by hearing it all the time, but nothing can ruin it for me. This song means my whole life to me. I have decided that i want a some kind off tattoo of Another Love, to be with me forever.",en
29,Tom thank you for this masterpiece ,en
30,"This is the most diverse and instrumental song I have ever heard and has changed my life, thank you tom odell.",en
31,"If you ask me, it's the best song ever made. It has helped me through my tough times. I love you Tom, i really love you",en
32,"Thank you so much for this, this song makes my soul feel whole again! ️",en
33,"Still gives me goosebumps listening to this... Thank you Tom, for your music, for being yourself. Loved the concert in Lisbon, hope to see you here soon again! Once again, thank you",en
34,"And I'd sing a song, that'd be just ours

But I sang 'em all to another heart

And I wanna cry, I wanna learn to love

But all my tears have been used up",en
35,I’ll never get tired of this song,en
36,"Minha ansiedade fez amar essa música, toda vida que não estou ouço ela, minha terapia ️‍🫠",pt
37,"So much pain and beauty. Eternal masterpiece. Thank you, Tom.",en
38,"The hard work you put into this performance shows. All the best.

I can listen to your voice over and over again. It’s so good.",en
39,This song has been trending on every social media site. Indeed it is powerful till this day.,en
40,"One of the best songs made by humaan. The feeling, delivery and lyrics. The flow and everything. It is like leaving a footprint thanks for making this and help is going trough life",en
41,"Apesar de não ser exatamente isso a que se refere a letra desta canção, quando a ouço choro, porque me lembro dos alunos do Conservatório.  Dei-vos amor e tenho saudades vossas. Trouxe-vos no meu coração.",pt
42,Im so sad and nostalgic when i listen to Another Love.. So much memories are tied  with this song :) Thanks Tom for bringing this into life ,en
43,This song is a powerful magnet for those whom life has broken  at some point.,en
