,comentario,liguagem
0,"It's not just a song, it's a feeling...",en
1,essa é minha musica favorita ,pt
2,"10 anos depois que descobrir que essa musica existia, hoje ouço esculto sempre que posso. ️",pt
3,Great strength to everyone connecting to this song on a deeper level.️,en
4,10 years have passed and this song is still a masterpiece,en
5,Songs that do their Message ten year s later are master pieces fo real,en
6,10 years and i can listen to this song on repeat ,en
7,Glad to see many people are still coming to listen this masterpiece ,en
8,Muito bom,pt
9,"This man was 21 when he wrote this masterpiece. Meanwhile I'm 22, still feeling like a kid.",en
10,"I am at my lowest point I’ve ever been, but this song helps me get through it. Thanks for this masterpiece.",en
11,"Tenho 17 anos , e essa música sempre estará comigo na caminhada , ela me trás uma sensação de sentimento tão suaves",pt
12,"I thought its a new song, but i see its 10 years old. A masterpiece",en
13,"At 14, I first listened to this masterpiece. At 17, I vibed to its beat. By 19, I'd matured enough to grasp the lyrics. Now, at 21, heartbroken and staring at the ceiling at 3 am, the lyrics hit me like a ton of bricks. Each line tears through me, carving a hole in my soul. But its fine. Its fine as long as my heart beats.",en
14,"Sometimes it's not the lyrics of the song that make you cry 

It's the people you think about while listening to the lyrics.",en
15,"10 years? 
Damn still gives better relief than most of the crap nowadays",en
16,Que pedazo de Tema! ,pt
17,"I'm 23 and I wish I made my parents proud. They tried their best but all I do is let them down every time, but they still love me no matter what. At this point I'm not afraid of death because I'd rather be dead than being a liability and a burden to my parents",en
18,Can’t believe I just discovered this song…. and I can’t stop playing it,en
19,"My battery: 1%

Me: listening to this song 

My phone: I will wait",en
20,"Eu jurava que essa música era nova, tipo de 2022, aí fui pesquisar, a música de 10 anos atrás. Incrível como um boa música é pra sempre e nunca é esquecida ",pt
21,"10 anos depois, e nunca enjoamos ️",pt
22,"Nice addition to the mix I revisit every so often.  New to me, but I get the love for it.  (This mix has changed quite a bit, but still some of my favorites, and every so often it throws me a new curve.)",en
23,Essa música  é  simplesmente linda ,pt
24,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
25,I love this song,en
26,I had only ever listened to a remix of this song that just looped the very first verse and chorus. I had no idea how emotional the song really gets until today! It's so good!,en
27,"10 years for this song, I’m listening it first time, my feelings are heavy and song calms my soul, it’s amazing when you want crying and rejoice at the same time",en
28,This is masterpiece ,en
29,You know a song is legendary when after almost 10 years it still makes you cry,en
30,"eu amor muito, muito mesmo essa música eu me  bastante,  eu fico chorando muito pois eu vejo a tradução que e muito...triste   
l love this song, , I listen to it every day and I see the translation of the song and the song is really, really good, and it's so sad",en
31,amo essa música mesmo depressiva eu amo,pt
32,Uma obra de arte,pt
33,"This song is amazing. I just broke up with my bf and this really helped me out, love the chorus...",en
34,Não sei quais sentimentos invadem a sua alma. Mas posso dizer que o Espírito Santo é a pessoa que pode dar a força que você precisa em todos os momentos. Se entregue a Jesus e viva o que o Espírito Santo tem para o seu coração.,pt
35,The way it gets louder when he’s getting more emotional makes me love this song so much it’s like as he’s singing he’s realising his situation sadness is turning to anger ughhh love this such a master piece,en
36,"I always loved this song and I also knew it when it came out 10 yrs ago.
It helped me with my first heart break and still does. It's nice to hear that you aren't the only one that's sort of broken.",en
37,This is the most beautiful music I've ever heard,en
38,4 years later and I can finally listen to this song without drowning in emotion. I still miss what we had but I hope you find happiness. Love you always.,en
39,I just realized this song is 8 years old and still a masterpiece to this day . Wow ,en
40,amo essa música,pt
41,This music is a real sensory experience! Every note and every chord seems to have been carefully chosen to create perfect harmony. I'm mesmerized by the voice and how it blends with the music. It's like I'm transported to another universe every time I listen to this song. I love the way it makes me feel and I'm sure I'll be listening to it on repeat for hours!,en
42,"Although 9 years have passed, this song is even more beautiful than many songs today",en
43,Essa música vai lá na alma ️,pt
