,comentario,liguagem
0,I can't stop listening this song . This song touched my heart,en
1,I love them  keep them coming ️,en
2,Love it,en
3,So cool keep up the work,en
4,I love all of them,en
5,"Perfect playlist to listen to at loop while pulling an all-nighter. Waves to all the students out there, keep it up!",en
6,I love them all awesome,en
7,"It's soothing. Thanks for uploading this one  
To the person reading this, Good Luck!  I am sending love to everyone who reads this. Everything’s gonna be okay. If you are reading this at night, you should get some sleep, and don't stress about everything going on in the world, or what you are going through. Don't dwell on things from the past, don't stress on your future. Just live your life, because you only get one. Do whatever makes you happy, not what other people want from you.",en
8,Top 2023 .como assim tem músicas de 5 anos atrás.acho que fui enganado,pt
9,Das ist super songs,en
10,And flowers and dance monkey,en
11,you love dark horse 5 and 18 ,en
12,Calm down as well,en
13,"Awesome, keep it coming️",en
14,Hi beautiful I'm for fiji island,en
