,comentario,liguagem
0,"2023
E esta canção continua sendo uma Maravilha 
Eu amo muito essa canção 
️",pt
1,Que linda música. Espanhol e português duas línguas irmãs. Que lindo o sotaque angolano... um abraço desde o Brasil .,pt
2,Linda e maravilhosa música ️ parabéns Portugal ️️,pt
3,"Me emociono cada vez que escuto essa música, é muito especial para mim! meu amor português (Jose) me  mandou ",pt
4,"Não importa a língua, a musica feita com talento e amor é  linda e universal.",pt
5,"Adoro esta música, caem-me lágrimas sempre que escuto. Música terapêutica, a letra, os instrumentos, tudo no ponto",pt
6,Essa é a prova que a música não tem fronteiras e nem cor. Somos todos cidadãos do mundo e temos direito a sermos felizes. Viva a música.,pt
7,"Aparência é detalhe, Caráter é fundamental, Amor é necessário.",pt
8,Viva esta união de culturas 🇪🇦🇦🇴🇵🇹🇧🇷🇲🇿🇨🇻🇹🇱🇬🇼🇸🇹,pt
9,"ANGOLA E ESPANHA , ESTA MUSICA É UMA MARAVILHA SE ABRIRMOS OS OLHOS SERÁ PORQUE QUEREMOS VER-NOS .",pt
10,"A mistura dos dois ingredientes , castelhano e português polvilhado de aromas africanos , fazem desta canção um resultado apaixonado , viajamos nas asas da imaginação e repetimos o sonho de um amor prometido ...",pt
11,"Essa música é a prova de que o amor existe️
Beijos a todos🇲🇿🇲🇿🇲🇿🇲🇿",pt
12,"Todos os dias eu ouço essa música, simplesmente perfeita ️",pt
13,"Esta é daquelas músicas que utilizamos como banda sonora de um grande amor, como banda sonora de uma história de vida, é indescritível o que se sente, obrigada por existirem músicas assim, obrigada aos dois ",pt
14,Música que me acalma .amo ouvir está música  será que tem mais alguém a ouvir está música em 2021?,pt
15,"Essa música toca no coração, enche a alma de emoção e alegra o espirito.
Força ai grande Matias Damásio quem vem mais coisas boas com Vanesa Martín.",pt
16,"Está música e’ linda demais!
As vozes deles se complementam tão bem!",pt
17,"Que música! Linda de morrer! Cada vez que a oiço, é como se fosse a primeira! Parabéns aos dois! E obrigado!",pt
18,"AO OUVIR ESSES DOIS PROFISSIONAIS DA MÚSICA, EU ME CALO, OUÇO E CHORO COPIOSAMENTE,
E AO FALTAR ÁS LÁGRIMAS EU FAÇO USO DAS PALMAS, VOCÊS SÃO MARAVILHOSOS, OBRIGADO!!!!!",pt
19,Não canso de ouvir... Linda demais ,pt
20,Muito linda essa música,pt
21,"Amo essa música me foi enviada há mais de dois anos, por uma pessoa muito especial.",pt
22,"Canção maravilhosa, intemporal.Adoro!! ",pt
23,"Sou brasileira, meu avô  materno era espanhol, amei essa dupla.",pt
24,"Que canção linda, saudações Brasileira ",pt
25,"Matias Damasio, Amor de verdade, canta com a alma!!!",pt
26,"Uma maravilhosa melodia, pois essa musica exprime os sentimentos mais profundos.",pt
27,Essa música é tão perfeita,pt
28,"É uma canção repleta de ternura e fragilidade, parabéns ",pt
29,Orgulho do meu compatriota 🇦🇴,pt
30,"MAGISTRAL!!!  MI SENSIBILIDAD  ESCUCHANDO TAL CANCION CON TAN MARAVILLOSAS VOCES, HE ESCRITO ALGO HACIA EL AMOR...  VANESA TE HAS TRANSFORMADO EN ESTA CANCIÓN. TIENES EN TU ROSTRO UNA  DULZURA ESPECIAL. ERES FANTÁSTICA  ME ENCANTAS!!!.  CADA DÍA DESCUBRO  CANCIONES NUEVAS. TENGO TODOS TUS DISCOS, PERO NO LOS HE ABIERTO POR SI ME LOS PUEDES DEDICAR. POR DELICADEZA NO HE QUERIDO QUITAR EL PAPEL PARA QUE SEAS TU LA PRIMERA EN TOCARLOS. CON LO DEL VIRUS SOY MUY METICULOSA. HASTA EL VIERNES DÍA 13... YA LLEGAAAAA. ESTA MURCIANA CON TODO RESPETO TE SIGUE ABRAZANDO.",en
31,"que excelentes recordações esta musica me traz, um amor perdido no tempo que o tempo não quis ajudar a esquecer, um amor impossível que nós queríamos mas não poderíamos ter...",pt
32,"A maior saudade é aquela que você sente,mas sabe que não pode ir atrás ",pt
33,"Pode passar muito tempo ,essa música sempre vai mexer comigo🇦🇴🇦🇴🇦🇴",pt
34,Lindo de mais..maravilhosa entra no coração..Quem concorda comigo?,pt
35,A Vanessa Martin é linnnnda!  Tens uma voz extraordinária.  J'adore !,pt
36,Eu gosto muito da música ,pt
37,Sou completamente apaixonada por essa música. Combinação perfeita de vozes!,pt
38,"Grande som 
Musica com muita alma",pt
39,"Que linda canção 
Me recorda um grande  amor 
Que dueto lindo  ",pt
40,"Esta musica merece muitos premios ,estou arrepiada ... amazing",pt
41,"Amo essa música, nota 1000  !",pt
42,"Desde que escutei a música pela primeira vez que  a adorei ...parabéns! 
Matias Damásio e Vanessa Martins,linda música.toca fundo no coração  ",pt
43,Lindíssima adoro muito top ,pt
44,"Muitas saudades de Portugal e Espanha,boa música.",pt
45,Sempre que oiço esta musica me esqueço de todos momentos triste que ja vivi por causa deste sentimento puro que se chama AMOR... Linda demais esta musica!!!,pt
46,Não canso de ouvir esta musica.lindaaa,pt
47,"A língua portuguesa é demasiado bela, seja com sotaque português, brasileiro, angolano, ou outros. Que bela herança Portugal deixou às suas ex-colónias, embaixadores deste idioma, nomeadamente ao Brasil pela sua grandeza geográfica e população. Angola está de parabéns pela forma como abraçou este idioma após a independência que se generalizou praticamente por todo o país.",pt
48,"Não cança ouvir...duas belas vozes, numa interpretação que mistura emoção ... maravilhoso!",pt
49,"que bonita letra e melodia, adoro esta música",pt
50,Essa versão é imbatível. Dupla imbatível,pt
51,Que linda canção !!Bençãos ao casal !,pt
52,Matias Damásio é abençoado ️🇦🇴orgulho,pt
53,Está música é qualquer coisa de brutal.. De arrepios. Das músicas mais lindas e com sentimento que ouvi.. ,pt
54,"A melhor canção de amor!
Embala nossos corações e rejuvenesce!!!",pt
