,comentario,liguagem
0,Thanks Wednesday on Netflix for presenting this beautiful song to my ears. ,en
1,It’s really sad to know such a beautiful song existed for over a decade and nobody’s didn’t know it existed until Wednesday ,en
2,Just heard this song on Netflix series Wednesday.  LOVE it.,en
3,"This song makes me feel like it's not too late to do the things I love,and to hold those close to me.",en
4,"there arent many songs I can listen to for nearly 8 minutes without getting a bit bored. This is incredible. I am so glad I found this, thanks for the awesome music.",en
5,"Wolf Larsen - If I Be Wrong...

What if I’m wrong, what if I’ve lied 
What if I’ve dragged you here to my own dark night ",en
6,"Tragically beautiful - a familiar feeling. It reminds me of the days when I was still depressed. The unmistakable clash of light and darkness; the unraveling mystery of the human condition; the heart and the mind at constant war with each other.

But I found that life is too short to be living in fear, and that I'm glad love never gave up on me. So, no matter the pain, in utter comparison, I'll still choose love no matter what.",en
7,I finally understand what it means to be touched by the music in its full form.,en
8,"This is one of my all-time favorite songs.  Fits in great with Daughter (youth), Tracy Chapman (the promise), Craig Armstrong (Wake Up In New York), Imogen Heap (Hide and Seek), and Sufjan (For the Widows in Paradise).   In case anyone's looking for other suggestions!",en
9,So glad that Wolf Larsen is finally getting the exposure she deserves!  She's an amazing artist!,en
10,"Truly one of the greatest songs I've ever heard, lyrically especially. And the voice, and the instrumental, and the melody.. Just everything, so so SO beautiful",en
11,"Thanks Wednesday from Netflix for showing this amazing song to my ears️️‍
Thats killing me ",en
12,"This song has so many meanings, depends on the moment and what I’m going through.  Pure poetry.",en
13,The magnitude of emotions this song evokes!!!!,en
14,"I found this song from  Wednesday series and I love it it makes me feel sad, lonely and peaceful at the same time",en
15,Those violins. The orchestra. The voices. ,en
16,"I think I love everything about this song...the lyrics, the vocals, the instrumentation. It makes my musical soul smile.  Thank you.",en
17,This brings peace to my soul  I’d like to thank Wednesday for featuring this masterpiece.,en
18,Have loved this song for years - was pleasantly surprised to hear it in the new Wednesday show.,en
19,The beauty of this song brings tears to my eyes... I don't know how anyone could press a thumbs down to such powerful and moving artwork,en
20,"Wow, what an amazing song! Loved the lyrics, love the music, love her voice, loved her dancing, her dress, her body movement, her expressions, loved how the video was made. Absolutely loved this song that touched so many beautiful fibers in me. Thank you.",en
21,I'VE BEEN LOOKING FOR THIS SONG FOR SO LONG! My life is now complete ️,en
22,"Still sends shivers to the spine, its been said before and I will say it again..This is a classic masterpiece.",en
23,Everyone who Unterstand this masterpiece is on a higher State of consciousness combined with Deep Self- love and complete acceptance.,en
24,"Her voice, the lyrics, the timing. Unmatched, hands down one of the greatest songs ever.. imo..",en
25,If it wasn't for the show Wednesday this song when it made it to my playlist the song gives me goosebumps,en
26,"I found this song 2 years a go and ever since that it has changed my life, it is almost impossible to express how much this song means to me. Thank you",en
27,please tell me i am not so late in discovering this MASTERPIECE . ,en
28,"What a wonderful song, looked it up right away. Wednesday is a great show, there's going to be a second season!",en
29,"While listening to this magnificent music, I came to conclusion that only this kind of music makes me feel positive and confident. It is a very happy song, actually.",en
30,Every single person on the planet needs to hear this song,en
31,"Thank you, Wednesday, for leading this masterpiece to me. ",en
32,The beauty of the music and dance together is stunning!,en
33,"An incredible experience, this song is. Truly well crafted, genuine appreciation for fine music. Gotta love love love this.",en
34,"Wonderful, it's so touching, it gave me peace and joy in the same time sadness , a lot of feelings into my heart ",en
35,This song is absolutely where I'm at. This is absolutely beautiful ,en
36,"intensely powerful, the emotion in this pulls every heartstring, as the beauty of love fills your soul…absolutely heartfelt ️ if there is a will there is a way….tears",en
37,Always adored this song and hearing this gorgeous melody in Wednesday after so many years was so wholesome  so thankful for the reminder :’) those violins always captivate me ,en
38,"I discovered this song today and dear Lord, like an angel has fallen to earth to sing for us. Heaven's soundtrack.",en
39,I can't stop listening to this song ,en
40,You can tell a lot about a person based on the emotion this song brings out. Happiness or sadness. Or an understanding of each.,en
41,"Wolf Larsen. -  If I be Wrong.
This is a very moving piece of music sung so emotionally.
The Video Photography is a pleasure to watch. It’s been really well done. As are the lyrics well written too.
She’s got a delightful voice.",en
42,This song is quite wonderful. It has several moments of musical beauty that arrest my senses and transfix me in contemplation of my life and those I hold dear.,en
43,"My girl showed me this song, she expresses feelings through songs all the time. I had to hold her and reassure her no matter what, I'm there. We don't have to be together, we can be together forever, either way I'll always love her. 10 years together. Getting married in October. No second thoughts but we love this song.",en
44,"Such a beautiful song, thanks to Wednesday ️",en
45,"Always coming back to this beauty.
A masterpiece. 
The music, all aspects of the video, her voice, powerful lyrics.
Eternally grateful.",en
46,I love this song... I simply can not stop listening to this. her voice is beautiful.,en
47,I've been loving this song since 2016 and then I heard this played on the funeral scene in Wednesday.,en
48,One of the most beautiful pieces I've seen and heard... thank you....,en
49,"Flawless song, outstanding melody... ",en
50,Such a beautiful haunting soulful voice ,en
51,Only just discovered this song in the last month and I keep coming back to it. So wistful.,en
52,"This is so Stunning  
 I understand things come to you when the time is right. I so appreciate this hugely than I ever could ten years ago.
  Thankfully it's on the Wednesday soundtrack. I absolutely feel every note, every word in all my being and then some. Thank you #WolfLarsen @WolfLarsen ",en
53,"Just beautiful, my soul stirred, this really got me, love from Ireland",en
54,I have this on replay. Such an intense beautiful meaning (meanings)in this song …  ️,en
