,comentario,liguagem
0,Muito bom essa musica,pt
1,Essa música tem uma energia incrível.,pt
2,SIMPLESMENTE O MELHOR SOM DOS ANOS 90!! FABULOSO.. ADOOORO,pt
3,This song will forever be one of the 90s icons.,en
4,"What a song !
Unforgettable !!!!
I dance on it 
I loved the song ",en
5,"Oh my days, every time I hear this track I just want smash the volume up to full and dance the night away. Such a cracking track.. one love haddaway",en
6,"Simplesmente inesquecível,  maravilhosa , perfeita, música que ficará sempre na minha lembrança!!!!!",pt
7,Aaaaa isso que é música ,pt
8,"Quanto mais escuto essa música, mais vontade fico de escutar novamente, tempos bons",pt
9,A melhor música para a melhor infância,pt
10,"Lembro de quando foi lançada em 1992, hit instantâneo. E hoje se tornou um dos principais clássicos do Eurodance.",pt
11,"It will be here and on our hearts for ever, this is a LEGEND song️️",en
12,FUE COMO TOMAR UNA MAQUINA DEL TIEMPO Y VIAJAR AL PASADO. QUE MARAVILLA DE MUSICA.,en
13,"Aos 47 anos ainda amando essa música, saudades dessa época ",pt
14,Classics don't die..they become legend,en
15,"Essa música e imortal 
De geração em geração nunca será esquecida ",pt
16,"Vem tantas lembranças quando escuto essa música,saudades, a se o tempo voltasse. Essa música é maravilhosa ",pt
17,Maravilhoso ,pt
18,Essa sim é uma música nostálgica,pt
19,CLÁSSICA! NÃO TEM Como não dançar!! TOPP!! Ainda mais essa versão extendida!!!!,pt
20,Amo essa música ,pt
21,What a masterpiece ,en
22,essa música fez parte de minha juventude no Maranhão eu curti muito. adoro essa música.,pt
23,This song will always b a classic and great song for generations to come this song is awesome ,en
24,Essa música é perfeita!! Amo de verdade!! ️,pt
25,Essa música é incrível passa uma energia boa de mais. Show!,pt
26,I really love this guy. His music is genuine.,en
27,"Música top irada , verdadeiramente sensacional.",pt
28,Musicas como essa jamais serão  esquecidas....,pt
29,Essa musica nunca envelhecer.......muito maneiro...!!!!!,pt
30,Amo essa música ♡ todos os dia venho ver esse música com o fone,pt
31,Amo essa menina ,pt
32,a melhor música de 2015 ️,pt
33,Eu amo essa música!!!!!!!!,pt
34,Músicas que não envelhecem nunca 🇧🇷,pt
35,Eu ouvi essa música quando eu tinha 3 anos muito tempo atrás! até hoje lembro como era antes >:),pt
36,"Amo essa musica desde pequena, apesar que ela ja existia antes do meu nascimento rsrsr",pt
37,"Tempo bom que não volta mais, dancei muito essa música bom de mais ",pt
38,"I'll always love this song, no matter what.",en
39,Adoro essas músicas anos 90,pt
40,Loving this song!!!️️️️️️️️️️,en
41,Que épocas... Recordar es volver a vivir!!!,pt
42,"Esse hits sempre faz sucesso, é muito bom",pt
43,Adoro esta música boas lembranças  ,pt
44,Impossível não dançar!! ,pt
45,Está música é eterna,pt
46,This song takes me to the 94 taking the train every weekend beautiful memories ,en
47,Música nastalgica maravilhosa amooo,pt
48,In my opinion this is the best version of this absolute classic-perfection,en
49,Escutando essa aqui so me vem o tom na cabeça,pt
50,Deste que me entendo como gente eu amo esse música ️ Aí essas batidas ️️,pt
51,Boas recordações!,pt
52,One of the greatest songs of all time!!,en
53,Omg one of my favorite love songs ever awesome!!,en
54,"Essa música me trás muita nostalgia mano, tempos que não voltam ",pt
55,Essa música mim lenbra a minha infância ,pt
56,Amo essa música tempo mais gostoso,pt
57,A mais bela música já inventada,pt
58,Apaixonada por esse hit,pt
59,"Letras

What is love?

Oh baby, don't hurt me

Don't hurt me",en
60,Essa música me traz ânimo,pt
61,I still can't listen to this song without thinking about Ricky Vasquez dancing to it in My So-Called Life. That scene was epic!,en
62,Aumento no último volume do som pra ouvir essa lindeza de música ️,pt
63,"essa música é tipo... Precisa existir tlg, faz parte da realidade já de tão classica",pt
64,Essa música é outras da época faz voltar ao passado éramos felizes e não sabíamos,pt
65,"Abril de 2023, essa música é muito envolvente, top de mais!",pt
66,"LA MEJOR REPRESENTACION DE LOS 90, ME FASINA EL TECHNO.",en
67,"já dancei muito esta música, dance muito  bom .",pt
68,"Bons tempos, cresci ouvindo essa música que nostálgia .
Maio 2023",pt
69,Ó melhor cantor de todos os tempos 🇧🇷,pt
70,Eu amo.,pt
71,2023 escutando esse clássico ,pt
72,Issoooo q é música ,pt
73,já escutei essa musica meu filho gosta dessa musica ! melhor tempo antigo voltar de novo e escutar todas as musicas boas!,pt
74,Essa música não é do meu tempo mas eu acho top  la ele,pt
75,Is it just me or does this song almost fill you with a nostalgia that's both incredibly happy and sad at the same time for an era you weren't a part of and a reality that never happened,en
76,Melhor versão do single Disparada!!!!!,pt
77,Brings back so many memories ,en
78,Amo essa música,pt
79,esse som tocava dia e noite na academia que eu treinava,pt
80,"Sucesso forever, parabéns pelo seu trabalho  Eziquiel Costa Junior  Cantor e compositor gospel  Sucesso.",pt
81,I remember hearing this on the radio and  also my mum used to play this at parties and to this day it’s still nostalgic,en
82,True love is forever and so is this beat brings me back to life when Im feeling down....always!!!! ....dance everybody!!!,en
83,Cara guando era um jovem minha família adoravam essa música...  quando eu escuto vem  pensamendo.    ( Show ),pt
84,This song is absolutely beautiful.,en
85,Muito boa ,pt
86,The new beat in 3:54 gets me every time,en
87,"What is love?
Oh baby, don't hurt me
Don't hurt me
No more",en
88,31 de dezembro de 2022 e essa musica tem que tocar não pode faltar ,pt
89,Música show!!,en
90,Segunda semana da quarentena e continuamos com bom gosto musical ,pt
91,This song  2023 still hit me ,en
92,Esse música começa a tocar e você só lembra do tom ....,pt
93,NO IMPORTA EN QUE FECHA LO ESCUCHES O EN QUE AÑO LO QUE IMPORTA ES QUE TE DIVIERTAS CON ESTA CANCION,pt
94,"Saudades, me faz lembrar quando eu era jovem.",pt
95,Sempre toca  nas rádios do GTA ! Top,pt
96,Best times in the 90’s it’s sad that we can’t relive it anymore,en
97,Music That Never die ,en
98,A TOP 1 das músicas Dance de todos os tempos!,pt
99,Mês de Abril de 2023 ouvindo as antigas adorooo,pt
100,Love this song!!,en
101,Amo muito tudo isso,pt
102,That break where the elements are reconstructed and layered in various combos is amazing!,en
103,"Minha coroa se amarra nessa, passei a gostar por causa dela. ",pt
104,"What is love?
Oh baby, don't hurt me
Don't hurt me
No more",en
105,ES UNA HERMOSA CANCION ME ENCANTA,en
106,Isso sim é uma musica.,pt
107,Eterno!!!!,pt
108,"One of, if not "" The Best"" song of its decade.Man the memories it brings back....Party on",en
