,comentario,liguagem
0,"The Beginning:
Song for horror movie
The Midle:
Song for disco break dancing",en
1,"Every time I listen to this song, I feel very relaxed  I love this song 🫰🇻🇳",en
2,I Love The Song ,en
3,7 years later and this song still hits different. Truly a masterpiece.,en
4,Música muito fixe,pt
5,"I’m not from TikTok-
I’m from my old French class memories",en
6,muito boa a musica ,pt
7,No matter how long I listen to the song it still is good,en
8,"French teacher: How did you get so good at French?
Me: ",en
9,"Essa é minha favorita, nos momentos difícil ouvi muito ....hoje ouço por lembranças, gratidão ",pt
10,"This song will always hit hard, even in 2023. One of the best in my opinion",en
11,"I vibed to this song a year ago, and now people are finding about this-",en
12,"this song will never die! It is always in my mind no matter what, even if i m in trouble, this song just pops up in my mind XD",en
13,"A song that I love, and that will never lose its grace.....",en
14,Musica top demais ate hj mano top demais,pt
15,"Da vontade de dançar  ,uma das muitas músicas que amoo.",pt
16,"Gosto muito dessa música, é muito viciante",pt
17,"Man, you really deserve!!! Your music lifts my spirits, and makes me see that I'm not a perfect person but I can improve and change. It may not be perfect, but I can learn from experience and that makes me more human than I already am.",en
18,"Effect studio: what kind of effects u want in ur song
Willy william: all effects u have",en
19,"The most beautiful song in the world, although it is old, it ranks first for the year 2023 in my opinion.",en
20,"This song is unforgettable 

Willy William never disappoints!",en
21,Still sounding awesome ,en
22,"This song is just truly timeless, it's just so good",en
23,I love  this song,en
24,Almost 1 billion views on this upload! Thank you everyone for your support,en
25,"Honestly, this song is amazing.
7 years later and I feel this song.
The dancing is so iconic 
I love it so much",en
26,this song is constantly in my head every night I sing this song thank you for making this song,en
27,I remember this song being everywhere on the radio when it came out,en
28,"5 years later
If you're watching this your a legend.",en
29,"After all this time, i still hear this! I grew up with this song, I will never stop hearing this!!",en
30,I still listent to this since it came out and it still hits so hard,en
31,"5-6 years ago, we used to listen to the last sound with friends at school. Like the first day, I listen to it fondly and my school memories come to mind. How fast time passes",en
32,One of the greatest songs of all time,en
33,it is a masterpiece!,en
34,"What an amazing song by Willy William!

#WillyWilliam #Ego #OfficialMusicVideo #MusicVideo #Music",en
35,I love this song  ,en
36,Who doesn’t understand nothing but vibes with it Edit: thx for the likes,en
37,one of the best songs ever made,en
38,"The meaning of this song is really dark and also beautiful as hell. Despite living in France I usually don't listen to a lot of french music. But artists like this man, Soprano or plenty of others are so so good!",en
39,"This song : supposed to be a French song
English people : Well yes, but actually no.",en
40,"this song so great , i think it deserve much better production , i love it .",en
41,"Popular opinion: Everyone agrees that Willy William’s visuals, charisma, concept and talent is everything!",en
42,I am both thankfull and kinda sad that I discivered this 8 years later. It still hits the same,en
43,This song just makes me feel better every time love this even 7 years after <3,en
44,I love this song!,en
45,“ this doll is so pretty i want her” ...... “ no you can’t have this doll it’s dangerous” tiktok really ruined this song,en
46,"The amazing visuals, lyrics and music tho! I wish we played this for our band warm up, the horn line is fire along with everything else:)",en
47,cette musique a bercer mon enfance merci willy william !!,en
48,"When this song came out everything was different.. I was in 3th grade... Now Im almost in the 11th grade.... what???

But then, in a hot summer night I heard the first 15 seconds of this legendary song and had gossepumps over my entire body....",en
49,"my battery: at 1%

me listening to this

my battery: i will wait",en
50,Use me as the “I knew this song before tik tok” button,en
51,I'm watching this masterpiece in 2023 now I have 9 years but this is my favorite song when I have 3 years and this is still my favorite song   RESPECT FOR WILLY WILLIAM!,en
52,"I very like this music, 7 years and it never get old",en
53,"4 years ago,If you are watching this you’re legend",en
54,I kept hearing this song slowed down and for some reason I’ve never heard the original so I’m glad I decided to check it out finally. This song is amazing! Both slowed down and in the original.,en
55,I absolutely love it,en
56,Love this song,en
57,This song never gets old because its forever young ,en
58,I love this song ;),en
59,"I am leaving this comment here in hope that
whenever someone likes it, I will be reminded of
this masterpiece!",en
60,Que contagiante tô dançando dentro carro ,pt
61,Imagine is willy and stromae made a song together,en
62,"It's 2023, still listening to this masterpiece of a song.",en
63,I love this song ️% so much!!!,en
64,I have watched this 17 times and still love it where ever he is I don't care how far I have to go and meet him I would risk my life for him I think that everyone that watched this is a true fan and are comfortable sharing feeling about life with him happy valintines day everyone,en
65,There's a beauty in your voice.,en
66,I like this song ,en
67,I remember we dance with (my friends) this song for learning  writing and reading.... It was good times...,en
68,"Ego:don't believe anyone
Me:believe this song ",en
69,I could keep listening to this song indefinitely,en
70,J’adore trop ,pt
71,I love this song,en
72,The music video is better and better quality than a lot of music videos I've seen,en
73,Wow 7 years and still a banger,en
74,2023 and still one of the best songs I’ve heard,en
75,"We are  literally using this exact song for our dance ON STAGE at our school    
And also, i this song ",en
76,I searched “Allez allez allez” looking for “Feel the Magic in the Air” and got very confused,en
77,mi encanta this song ,en
78,"Wow  this song , is so relaxing!",en
79,The starting tuning of the song is amazing.,en
80,I remember when I was little and I was insanely cool to hear this song but the song is still a cool respect to the author of the song.,en
81,One of the best songs I've ever heard in my life,en
82,I love this song,en
83,I love it so much,en
84,"I TikTok obviously doesn’t know what this song is actually about


Edit: Thanks For 500 Likes!!",en
85,What a song ,en
86,Everyone On Tik Tok Makes This About Kidnappers & Sad Stuff But.... He’s Littery Dancing Weird  1:11,en
87,I’ve heard this song everytime when i was a kid and i still do,en
88,"I'm the only one watching this in 2020 

(Thx for the likes)",en
89,This song is pure fire man,en
90,it's crazy how many people come back to this everyday. this song is legendary..,en
91,There's a beauty in your voice.,en
92,I love this song,en
93,J'adore,pt
94,This man's a LEGEND hope he gets immortality irl he's my child hood this was the music my class had to dance for our annual day in school when i was in like 2nd grade or smt,en
95,Im vibing every day with this song,en
96,Europeans knew this song before TikTok.,en
