,comentario,liguagem
0,This song gives me good and nostalgic vibes. Amazing work Willy William.,en
1,Tem que ser hit️🇧🇷o Brasil te ama Willy,pt
2,Can’t stop listening to this. This version is so good!!! Makes you wanna dance and just fill ya with life.,en
3,"I heard this song on the radio and immediately looked it up, it made me spontaneously happy. Amazing song",en
4,"I adore your style of music
 Keeps me going everyday and just want to dance  to it wherever I am . ",en
5,"This song is and has been my ringtone all summer ... gets me going every time :D ... and I always make a little dance move before I answer my phone calls , :p",en
6,"I've always loved this beat, so happy you made a song to it, this is amazing!!!!!!! love from Toronto, Canada!!!!!!!!",en
7,"amazing, the clip as well as the music are as well prepared as each other, 
continue what you do Willy Willam is great.",en
8,"Love it! This music should be everybody's wake up, burst of energy, love spreading, peace in the world music. 
Thanks for your creative talent!!! 
More please! Thanks:)
<3",en
9,"Perfeita 🇧🇷️

Trilha sonora top para a copa do mundo.",pt
10,love it love it thanks for the music Willy,en
11,This song is being played everywhere in Holland! Massive love for you and all of your songs man! <3,en
12,i just found this song and i love it!! great job,en
13,No Brasil já é estouro 🇧🇷,pt
14,Completamente viciada nessa música hahaha,pt
15,Top demais aqui no  Brasil esses hits fazem sucesso,pt
16,"Great Song, Love it!",en
17,"Wonderful song!!!
I wonder why this song is not among the most played on Spotify?
Very strange!
Congratulations on the song!!!!",en
18,"This gets tears in my eyes, it just takes one back to a more carefree time when one was younger.",en
19,One of the biggest singer ever with best beats thanks for giving such masterpiece ️,en
20,Love it,en
21,GREAT SONG Love it,en
22,"This song makes me feel so good and start to dance, but it's so nostalgic in the same time, I hear this everytime at work, and I get the energy I need, we need more songs like this one! Hello from Romania 🇷🇴 ",en
23,"Essa música do Willy ficou perfeita.
Love from Brazil 🇧🇷",pt
24,"Love this song.
G R E A T",en
25,"Incredible song, I can’t stop dancing when it’s on ",en
26,Boa vibe tem essa música,pt
27,This song makes me feel hopeful and reminds me of the beautiful wonders of life ️ My heart beats fast with this one ,en
28,Gonna make all my friends listen to this!!!! This was playing at my fav club in India and I just had to Shazam it ,en
29,"This song is legit been playing everywhere in major pop channels in Finland, basically hourly. Gotta say that I'm in love with this song",en
30,This music is soooo AMAZINGGG,en
31,Great Track Willy! ,en
32,Love this ,en
33,love it great job if I get popular in the furture I will say it came from Willy William.,en
34,"Please make EDM trending again  since I listened this for first time I was in love, because it brings me nostalgia and also it's new!
This needs to be a banger like Mi Gente",en
35,Heard the song on Radio 🇳🇱 and had to Shazam it. Thank Willy for this uplifting song... Super!,en
36,This song is just the definition of amazing greetings from Monaco 🇲🇨,en
37,Great awesome song Love it,en
38,Wonderful music track with best bass ever ,en
